# wavelength flux
3300.0 5.185139216429617e-16
3301.0 5.185138543371983e-16
3302.0 5.185137870314436e-16
3303.0 5.185137197256976e-16
3304.0 5.1851365241996035e-16
3305.0 5.185135851142319e-16
3306.0 5.185135178085121e-16
3307.0 5.185134505028011e-16
3308.0 5.185133831970987e-16
3309.0 5.18513315891405e-16
3310.0 5.185132485857202e-16
3311.0 5.18513181280044e-16
3312.0 5.185131139743765e-16
3313.0 5.185130466687179e-16
3314.0 5.18512979363068e-16
3315.0 5.185129120574266e-16
3316.0 5.185128447517941e-16
3317.0 5.185127774461702e-16
3318.0 5.185127101405552e-16
3319.0 5.185126428349488e-16
3320.0 5.185125755293513e-16
3321.0 5.185125082237623e-16
3322.0 5.185124409181821e-16
3323.0 5.185123736126105e-16
3324.0 5.185123063070478e-16
3325.0 5.185122390014938e-16
3326.0 5.185121716959485e-16
3327.0 5.185121043904118e-16
3328.0 5.185120370848841e-16
3329.0 5.18511969779365e-16
3330.0 5.185119024738545e-16
3331.0 5.18511835168353e-16
3332.0 5.1851176786286e-16
3333.0 5.185117005573757e-16
3334.0 5.185116332519001e-16
3335.0 5.185115659464334e-16
3336.0 5.185114986409753e-16
3337.0 5.18511431335526e-16
3338.0 5.185113640300853e-16
3339.0 5.185112967246534e-16
3340.0 5.185112294192302e-16
3341.0 5.185111621138158e-16
3342.0 5.185110948084101e-16
3343.0 5.185110275030131e-16
3344.0 5.185109601976249e-16
3345.0 5.185108928922453e-16
3346.0 5.185108255868743e-16
3347.0 5.185107582815124e-16
3348.0 5.185106909761591e-16
3349.0 5.185106236708143e-16
3350.0 5.185105563654784e-16
3351.0 5.185104890601511e-16
3352.0 5.185104217548327e-16
3353.0 5.185103544495229e-16
3354.0 5.185102871442219e-16
3355.0 5.185102198389296e-16
3356.0 5.18510152533646e-16
3357.0 5.185100852283711e-16
3358.0 5.185100179231051e-16
3359.0 5.185099506178476e-16
3360.0 5.185098833125989e-16
3361.0 5.18509816007359e-16
3362.0 5.185097487021276e-16
3363.0 5.185096813969051e-16
3364.0 5.185096140916912e-16
3365.0 5.185095467864863e-16
3366.0 5.185094794812899e-16
3367.0 5.185094121761023e-16
3368.0 5.185093448709235e-16
3369.0 5.185092775657533e-16
3370.0 5.185092102605917e-16
3371.0 5.18509142955439e-16
3372.0 5.18509075650295e-16
3373.0 5.185090083451597e-16
3374.0 5.18508941040033e-16
3375.0 5.185088737349152e-16
3376.0 5.185088064298061e-16
3377.0 5.185087391247057e-16
3378.0 5.185086718196141e-16
3379.0 5.185086045145312e-16
3380.0 5.185085372094569e-16
3381.0 5.185084699043913e-16
3382.0 5.185084025993347e-16
3383.0 5.185083352942867e-16
3384.0 5.185082679892471e-16
3385.0 5.185082006842167e-16
3386.0 5.185081333791948e-16
3387.0 5.185080660741817e-16
3388.0 5.185079987691772e-16
3389.0 5.1850793146418155e-16
3390.0 5.185078641591945e-16
3391.0 5.185077968542162e-16
3392.0 5.185077295492467e-16
3393.0 5.1850766224428595e-16
3394.0 5.185075949393339e-16
3395.0 5.185075276343904e-16
3396.0 5.185074603294559e-16
3397.0 5.1850739302453e-16
3398.0 5.185073257196128e-16
3399.0 5.185072584147043e-16
3400.0 5.185071911098046e-16
3401.0 5.185071238049135e-16
3402.0 5.185070565000312e-16
3403.0 5.185069891951575e-16
3404.0 5.185069218902928e-16
3405.0 5.185068545854366e-16
3406.0 5.185067872805893e-16
3407.0 5.185067199757505e-16
3408.0 5.185066526709206e-16
3409.0 5.185065853660994e-16
3410.0 5.185065180612868e-16
3411.0 5.185064507564831e-16
3412.0 5.18506383451688e-16
3413.0 5.185063161469017e-16
3414.0 5.185062488421242e-16
3415.0 5.185061815373552e-16
3416.0 5.185061142325951e-16
3417.0 5.185060469278437e-16
3418.0 5.1850597962310085e-16
3419.0 5.185059123183669e-16
3420.0 5.185058450136416e-16
3421.0 5.185057777089251e-16
3422.0 5.185057104042173e-16
3423.0 5.185056430995181e-16
3424.0 5.185055757948277e-16
3425.0 5.185055084901461e-16
3426.0 5.185054411854732e-16
3427.0 5.18505373880809e-16
3428.0 5.185053065761534e-16
3429.0 5.185052392715068e-16
3430.0 5.185051719668687e-16
3431.0 5.185051046622395e-16
3432.0 5.185050373576187e-16
3433.0 5.185049700530069e-16
3434.0 5.185049027484039e-16
3435.0 5.185048354438094e-16
3436.0 5.185047681392237e-16
3437.0 5.185047008346467e-16
3438.0 5.185046335300785e-16
3439.0 5.185045662255189e-16
3440.0 5.185044989209682e-16
3441.0 5.18504431616426e-16
3442.0 5.185043643118928e-16
3443.0 5.185042970073682e-16
3444.0 5.185042297028521e-16
3445.0 5.185041623983449e-16
3446.0 5.185040950938465e-16
3447.0 5.185040277893568e-16
3448.0 5.185039604848757e-16
3449.0 5.185038931804035e-16
3450.0 5.185038258759401e-16
3451.0 5.185037585714851e-16
3452.0 5.18503691267039e-16
3453.0 5.185036239626016e-16
3454.0 5.18503556658173e-16
3455.0 5.18503489353753e-16
3456.0 5.185034220493418e-16
3457.0 5.185033547449393e-16
3458.0 5.185032874405455e-16
3459.0 5.185032201361605e-16
3460.0 5.185031528317841e-16
3461.0 5.185030855274165e-16
3462.0 5.185030182230577e-16
3463.0 5.185029509187076e-16
3464.0 5.185028836143661e-16
3465.0 5.185028163100333e-16
3466.0 5.185027490057093e-16
3467.0 5.185026817013942e-16
3468.0 5.185026143970876e-16
3469.0 5.185025470927898e-16
3470.0 5.185024797885007e-16
3471.0 5.185024124842202e-16
3472.0 5.185023451799487e-16
3473.0 5.185022778756858e-16
3474.0 5.185022105714317e-16
3475.0 5.18502143267186e-16
3476.0 5.185020759629494e-16
3477.0 5.185020086587213e-16
3478.0 5.18501941354502e-16
3479.0 5.185018740502914e-16
3480.0 5.185018067460896e-16
3481.0 5.185017394418964e-16
3482.0 5.18501672137712e-16
3483.0 5.185016048335364e-16
3484.0 5.185015375293694e-16
3485.0 5.185014702252112e-16
3486.0 5.185014029210617e-16
3487.0 5.18501335616921e-16
3488.0 5.185012683127889e-16
3489.0 5.185012010086656e-16
3490.0 5.185011337045509e-16
3491.0 5.185010664004451e-16
3492.0 5.185009990963479e-16
3493.0 5.185009317922594e-16
3494.0 5.185008644881797e-16
3495.0 5.185007971841086e-16
3496.0 5.185007298800464e-16
3497.0 5.185006625759929e-16
3498.0 5.18500595271948e-16
3499.0 5.185005279679119e-16
3500.0 5.185004606638845e-16
3501.0 5.185003933598659e-16
3502.0 5.18500326055856e-16
3503.0 5.185002587518547e-16
3504.0 5.185001914478623e-16
3505.0 5.185001241438786e-16
3506.0 5.185000568399034e-16
3507.0 5.184999895359371e-16
3508.0 5.184999222319795e-16
3509.0 5.184998549280307e-16
3510.0 5.184997876240906e-16
3511.0 5.184997203201591e-16
3512.0 5.184996530162365e-16
3513.0 5.184995857123225e-16
3514.0 5.184995184084171e-16
3515.0 5.184994511045207e-16
3516.0 5.184993838006329e-16
3517.0 5.184993164967539e-16
3518.0 5.184992491928835e-16
3519.0 5.184991818890218e-16
3520.0 5.184991145851689e-16
3521.0 5.184990472813246e-16
3522.0 5.184989799774892e-16
3523.0 5.184989126736624e-16
3524.0 5.184988453698446e-16
3525.0 5.184987780660353e-16
3526.0 5.184987107622347e-16
3527.0 5.184986434584428e-16
3528.0 5.184985761546597e-16
3529.0 5.184985088508853e-16
3530.0 5.184984415471197e-16
3531.0 5.184983742433626e-16
3532.0 5.184983069396145e-16
3533.0 5.184982396358749e-16
3534.0 5.184981723321441e-16
3535.0 5.184981050284221e-16
3536.0 5.184980377247088e-16
3537.0 5.184979704210041e-16
3538.0 5.184979031173083e-16
3539.0 5.184978358136211e-16
3540.0 5.184977685099427e-16
3541.0 5.18497701206273e-16
3542.0 5.18497633902612e-16
3543.0 5.184975665989597e-16
3544.0 5.184974992953162e-16
3545.0 5.184974319916813e-16
3546.0 5.184973646880553e-16
3547.0 5.184972973844379e-16
3548.0 5.184972300808291e-16
3549.0 5.184971627772294e-16
3550.0 5.184970954736381e-16
3551.0 5.184970281700557e-16
3552.0 5.184969608664819e-16
3553.0 5.184968935629168e-16
3554.0 5.184968262593605e-16
3555.0 5.184967589558131e-16
3556.0 5.18496691652274e-16
3557.0 5.184966243487439e-16
3558.0 5.184965570452225e-16
3559.0 5.1849648974171e-16
3560.0 5.184964224382058e-16
3561.0 5.184963551347106e-16
3562.0 5.184962878312241e-16
3563.0 5.184962205277463e-16
3564.0 5.184961532242773e-16
3565.0 5.184960859208169e-16
3566.0 5.184960186173652e-16
3567.0 5.184959513139224e-16
3568.0 5.184958840104883e-16
3569.0 5.184958167070627e-16
3570.0 5.18495749403646e-16
3571.0 5.18495682100238e-16
3572.0 5.184956147968388e-16
3573.0 5.184955474934483e-16
3574.0 5.184954801900664e-16
3575.0 5.184954128866933e-16
3576.0 5.184953455833288e-16
3577.0 5.184952782799732e-16
3578.0 5.184952109766263e-16
3579.0 5.184951436732879e-16
3580.0 5.184950763699585e-16
3581.0 5.184950090666377e-16
3582.0 5.184949417633257e-16
3583.0 5.184948744600224e-16
3584.0 5.184948071567277e-16
3585.0 5.184947398534419e-16
3586.0 5.184946725501648e-16
3587.0 5.184946052468963e-16
3588.0 5.184945379436366e-16
3589.0 5.184944706403856e-16
3590.0 5.184944033371434e-16
3591.0 5.184943360339099e-16
3592.0 5.184942687306849e-16
3593.0 5.184942014274689e-16
3594.0 5.184941341242616e-16
3595.0 5.184940668210629e-16
3596.0 5.184939995178729e-16
3597.0 5.184939322146916e-16
3598.0 5.184938649115194e-16
3599.0 5.184937976083555e-16
3600.0 5.184937303052005e-16
3601.0 5.184936630020541e-16
3602.0 5.184935956989166e-16
3603.0 5.184935283957879e-16
3604.0 5.184934610926676e-16
3605.0 5.184933937895562e-16
3606.0 5.184933264864535e-16
3607.0 5.184932591833596e-16
3608.0 5.184931918802744e-16
3609.0 5.184931245771979e-16
3610.0 5.184930572741301e-16
3611.0 5.18492989971071e-16
3612.0 5.184929226680207e-16
3613.0 5.184928553649791e-16
3614.0 5.18492788061946e-16
3615.0 5.184927207589219e-16
3616.0 5.184926534559064e-16
3617.0 5.184925861528998e-16
3618.0 5.1849251884990175e-16
3619.0 5.184924515469125e-16
3620.0 5.184923842439321e-16
3621.0 5.184923169409601e-16
3622.0 5.18492249637997e-16
3623.0 5.184921823350426e-16
3624.0 5.184921150320971e-16
3625.0 5.184920477291601e-16
3626.0 5.184919804262318e-16
3627.0 5.184919131233124e-16
