# wavelength flux
3300.0 2.9690551722803987e-15
3301.0 2.968899868601465e-15
3302.0 2.9687444830157626e-15
3303.0 2.968589015489524e-15
3304.0 2.968433465988981e-15
3305.0 2.9682778344803633e-15
3306.0 2.968122120929895e-15
3307.0 2.9679663253038e-15
3308.0 2.967810447568296e-15
3309.0 2.9676544876896015e-15
3310.0 2.9674984456339307e-15
3311.0 2.967342321367495e-15
3312.0 2.9671861148565026e-15
3313.0 2.967029826067159e-15
3314.0 2.9668734549656686e-15
3315.0 2.9667170015182306e-15
3316.0 2.9665604656910443e-15
3317.0 2.9664038474503037e-15
3318.0 2.9662471467622e-15
3319.0 2.966090363592925e-15
3320.0 2.965933497908665e-15
3321.0 2.9657765496756035e-15
3322.0 2.9656195188599228e-15
3323.0 2.9654624054278027e-15
3324.0 2.9653052093454187e-15
3325.0 2.965147930578947e-15
3326.0 2.9649905690945557e-15
3327.0 2.964833124858416e-15
3328.0 2.964675597836694e-15
3329.0 2.9645179879955536e-15
3330.0 2.964360295301156e-15
3331.0 2.9642025197196592e-15
3332.0 2.964044661217221e-15
3333.0 2.963886719759994e-15
3334.0 2.9637286953141315e-15
3335.0 2.963570587845781e-15
3336.0 2.9634123973210896e-15
3337.0 2.9632541237062017e-15
3338.0 2.9630957669672597e-15
3339.0 2.9629373270704014e-15
3340.0 2.962778803981765e-15
3341.0 2.9626201976674866e-15
3342.0 2.9624615080936977e-15
3343.0 2.9623027352265284e-15
3344.0 2.9621438790321065e-15
3345.0 2.9619849394765576e-15
3346.0 2.9618259165260066e-15
3347.0 2.9616668101465728e-15
3348.0 2.9615076203043756e-15
3349.0 2.9613483469655323e-15
3350.0 2.961188990096158e-15
3351.0 2.9610295496623628e-15
3352.0 2.9608700256302588e-15
3353.0 2.960710417965953e-15
3354.0 2.9605507266355534e-15
3355.0 2.9603909516051617e-15
3356.0 2.9602310928408796e-15
3357.0 2.9600711503088073e-15
3358.0 2.9599111239750435e-15
3359.0 2.9597510138056818e-15
3360.0 2.959590819766816e-15
3361.0 2.959430541824538e-15
3362.0 2.959270179944938e-15
3363.0 2.959109734094102e-15
3364.0 2.9589492042381156e-15
3365.0 2.958788590343062e-15
3366.0 2.958627892375025e-15
3367.0 2.9584671103000818e-15
3368.0 2.9583062440843108e-15
3369.0 2.9581452936937874e-15
3370.0 2.9579842590945877e-15
3371.0 2.9578231402527805e-15
3372.0 2.957661937134438e-15
3373.0 2.9575006497056278e-15
3374.0 2.9573392779324174e-15
3375.0 2.9571778217808697e-15
3376.0 2.9570162812170494e-15
3377.0 2.956854656207017e-15
3378.0 2.9566929467168325e-15
3379.0 2.9565311527125524e-15
3380.0 2.9563692741602336e-15
3381.0 2.95620731102593e-15
3382.0 2.956045263275695e-15
3383.0 2.955883130875578e-15
3384.0 2.955720913791629e-15
3385.0 2.9555586119898966e-15
3386.0 2.9553962254364244e-15
3387.0 2.9552337540972586e-15
3388.0 2.9550711979384413e-15
3389.0 2.9549085569260138e-15
3390.0 2.9547458310260155e-15
3391.0 2.954583020204485e-15
3392.0 2.954420124427458e-15
3393.0 2.954257143660971e-15
3394.0 2.954094077871056e-15
3395.0 2.9539309270237462e-15
3396.0 2.9537676910850714e-15
3397.0 2.9536043700210607e-15
3398.0 2.953440963797742e-15
3399.0 2.953277472381142e-15
3400.0 2.9531138957372856e-15
3401.0 2.9529502338321955e-15
3402.0 2.952786486631894e-15
3403.0 2.9526226541024027e-15
3404.0 2.952458736209741e-15
3405.0 2.9522947329199265e-15
3406.0 2.9521306441989756e-15
3407.0 2.9519664700129057e-15
3408.0 2.951802210327729e-15
3409.0 2.951637865109459e-15
3410.0 2.9514734343241087e-15
3411.0 2.9513089179376885e-15
3412.0 2.951144315916206e-15
3413.0 2.9509796282256713e-15
3414.0 2.9508148548320916e-15
3415.0 2.9506499957014712e-15
3416.0 2.950485050799816e-15
3417.0 2.950320020093129e-15
3418.0 2.9501549035474143e-15
3419.0 2.9499897011286715e-15
3420.0 2.9498244128029016e-15
3421.0 2.9496590385361054e-15
3422.0 2.949493578294279e-15
3423.0 2.94932803204342e-15
3424.0 2.9491623997495264e-15
3425.0 2.9489966813785926e-15
3426.0 2.9488308768966126e-15
3427.0 2.94866498626958e-15
3428.0 2.948499009463489e-15
3429.0 2.948332946444328e-15
3430.0 2.9481667971780897e-15
3431.0 2.948000561630765e-15
3432.0 2.94783423976834e-15
3433.0 2.9476678315568044e-15
3434.0 2.947501336962145e-15
3435.0 2.9473347559503495e-15
3436.0 2.9471680884874023e-15
3437.0 2.9470013345392888e-15
3438.0 2.9468344940719937e-15
3439.0 2.9466675670514985e-15
3440.0 2.9465005534437876e-15
3441.0 2.946333453214843e-15
3442.0 2.946166266330645e-15
3443.0 2.9459989927571745e-15
3444.0 2.945831632460412e-15
3445.0 2.945664185406337e-15
3446.0 2.945496651560927e-15
3447.0 2.9453290308901604e-15
3448.0 2.9451613233600162e-15
3449.0 2.944993528936469e-15
3450.0 2.9448256475854973e-15
