# wavelength flux
1500.0 2.2518506464726987e-18
1501.0 2.2546460329480574e-18
1502.0 2.2574414194234166e-18
1503.0 2.2602368058987753e-18
1504.0 2.2630321923741344e-18
1505.0 2.2658275788494932e-18
1506.0 2.268622965324852e-18
1507.0 2.271418351800211e-18
1508.0 2.27421373827557e-18
1509.0 2.277009124750929e-18
1510.0 2.2798045112262877e-18
1511.0 2.2825998977016465e-18
1512.0 2.2853952841770056e-18
1513.0 2.2881906706523644e-18
1514.0 2.2909860571277235e-18
1515.0 2.2937814436030823e-18
1516.0 2.296576830078441e-18
1517.0 2.2993722165538e-18
1518.0 2.302167603029159e-18
1519.0 2.304962989504518e-18
1520.0 2.307758375979877e-18
1521.0 2.310553762455236e-18
1522.0 2.3133491489305947e-18
1523.0 2.3161445354059535e-18
1524.0 2.3189399218813126e-18
1525.0 2.3217353083566714e-18
1526.0 2.3245306948320305e-18
1527.0 2.3273260813073892e-18
1528.0 2.330121467782748e-18
1529.0 2.332916854258107e-18
1530.0 2.335712240733466e-18
1531.0 2.338507627208825e-18
1532.0 2.3413030136841838e-18
1533.0 2.3440984001595425e-18
1534.0 2.3468937866349017e-18
1535.0 2.3496891731102604e-18
1536.0 2.3524845595856196e-18
1537.0 2.3552799460609783e-18
1538.0 2.358075332536337e-18
1539.0 2.3608707190116962e-18
1540.0 2.363666105487055e-18
1541.0 2.366461491962414e-18
1542.0 2.369256878437773e-18
1543.0 2.3720522649131316e-18
1544.0 2.3748476513884908e-18
1545.0 2.3776430378638495e-18
1546.0 2.3804384243392086e-18
1547.0 2.3832338108145674e-18
1548.0 2.386029197289926e-18
1549.0 2.3888245837652853e-18
1550.0 2.391619970240644e-18
1551.0 2.394415356716003e-18
1552.0 2.397210743191362e-18
1553.0 2.4000061296667207e-18
1554.0 2.40280151614208e-18
1555.0 2.4055969026174386e-18
1556.0 2.4083922890927977e-18
1557.0 2.4111876755681565e-18
1558.0 2.4139830620435152e-18
1559.0 2.4167784485188744e-18
1560.0 2.419573834994233e-18
1561.0 2.4223692214695923e-18
1562.0 2.425164607944951e-18
1563.0 2.4279599944203098e-18
1564.0 2.430755380895669e-18
1565.0 2.4335507673710277e-18
1566.0 2.4363461538463868e-18
1567.0 2.4391415403217455e-18
1568.0 2.4419369267971043e-18
1569.0 2.4447323132724634e-18
1570.0 2.4475276997478222e-18
1571.0 2.4503230862231813e-18
1572.0 2.45311847269854e-18
1573.0 2.455913859173899e-18
1574.0 2.458709245649258e-18
1575.0 2.4615046321246167e-18
1576.0 2.464300018599976e-18
1577.0 2.4670954050753346e-18
1578.0 2.4698907915506934e-18
1579.0 2.4726861780260525e-18
1580.0 2.4754815645014113e-18
1581.0 2.4782769509767704e-18
1582.0 2.481072337452129e-18
1583.0 2.483867723927488e-18
1584.0 2.486663110402847e-18
1585.0 2.4894584968782058e-18
1586.0 2.492253883353565e-18
1587.0 2.4950492698289237e-18
1588.0 2.497844656304283e-18
1589.0 2.5006400427796416e-18
1590.0 2.5034354292550003e-18
1591.0 2.5062308157303595e-18
1592.0 2.5090262022057182e-18
1593.0 2.5118215886810774e-18
1594.0 2.514616975156436e-18
1595.0 2.517412361631795e-18
1596.0 2.520207748107154e-18
1597.0 2.5230031345825128e-18
1598.0 2.525798521057872e-18
1599.0 2.5285939075332307e-18
1600.0 2.5313892940085894e-18
1601.0 2.5341846804839486e-18
1602.0 2.5369800669593073e-18
1603.0 2.5397754534346665e-18
1604.0 2.5425708399100252e-18
1605.0 2.5453662263853843e-18
1606.0 2.548161612860743e-18
1607.0 2.550956999336102e-18
1608.0 2.553752385811461e-18
1609.0 2.5565477722868197e-18
1610.0 2.559343158762179e-18
1611.0 2.5621385452375376e-18
1612.0 2.5649339317128964e-18
1613.0 2.5677293181882555e-18
1614.0 2.5705247046636143e-18
1615.0 2.5733200911389734e-18
1616.0 2.576115477614332e-18
1617.0 2.578910864089691e-18
1618.0 2.58170625056505e-18
1619.0 2.584501637040409e-18
1620.0 2.587297023515768e-18
1621.0 2.5900924099911267e-18
1622.0 2.5928877964664855e-18
1623.0 2.5956831829418446e-18
1624.0 2.5984785694172034e-18
1625.0 2.6012739558925625e-18
1626.0 2.6040693423679212e-18
1627.0 2.60686472884328e-18
1628.0 2.609660115318639e-18
1629.0 2.612455501793998e-18
1630.0 2.615250888269357e-18
1631.0 2.6180462747447158e-18
1632.0 2.6208416612200745e-18
1633.0 2.6236370476954337e-18
1634.0 2.6264324341707924e-18
1635.0 2.6292278206461516e-18
1636.0 2.6320232071215103e-18
1637.0 2.634818593596869e-18
1638.0 2.6376139800722282e-18
1639.0 2.640409366547587e-18
1640.0 2.643204753022946e-18
1641.0 2.646000139498305e-18
1642.0 2.6487955259736636e-18
1643.0 2.6515909124490228e-18
1644.0 2.6543862989243815e-18
1645.0 2.6571816853997406e-18
1646.0 2.6599770718750994e-18
1647.0 2.662772458350458e-18
1648.0 2.6655678448258173e-18
1649.0 2.668363231301176e-18
1650.0 2.671158617776535e-18
1651.0 2.673954004251894e-18
1652.0 2.6767493907272527e-18
1653.0 2.679544777202612e-18
1654.0 2.6823401636779706e-18
1655.0 2.6851355501533297e-18
1656.0 2.6879309366286885e-18
1657.0 2.6907263231040472e-18
1658.0 2.6935217095794064e-18
1659.0 2.696317096054765e-18
1660.0 2.6991124825301243e-18
1661.0 2.701907869005483e-18
1662.0 2.7047032554808418e-18
1663.0 2.707498641956201e-18
1664.0 2.7102940284315597e-18
1665.0 2.7130894149069188e-18
1666.0 2.7158848013822775e-18
1667.0 2.7186801878576363e-18
1668.0 2.7214755743329954e-18
1669.0 2.7242709608083542e-18
1670.0 2.7270663472837133e-18
1671.0 2.729861733759072e-18
1672.0 2.732657120234431e-18
1673.0 2.73545250670979e-18
1674.0 2.7382478931851487e-18
1675.0 2.741043279660508e-18
1676.0 2.7438386661358666e-18
1677.0 2.7466340526112254e-18
1678.0 2.7494294390865845e-18
1679.0 2.7522248255619433e-18
1680.0 2.7550202120373024e-18
1681.0 2.757815598512661e-18
1682.0 2.76061098498802e-18
1683.0 2.763406371463379e-18
1684.0 2.766201757938738e-18
1685.0 2.768997144414097e-18
1686.0 2.7717925308894557e-18
1687.0 2.7745879173648145e-18
1688.0 2.7773833038401736e-18
1689.0 2.7801786903155327e-18
1690.0 2.7829740767908915e-18
1691.0 2.7857694632662502e-18
1692.0 2.788564849741609e-18
1693.0 2.791360236216968e-18
1694.0 2.7941556226923273e-18
1695.0 2.796951009167686e-18
1696.0 2.7997463956430448e-18
1697.0 2.802541782118404e-18
1698.0 2.8053371685937627e-18
1699.0 2.8081325550691218e-18
1700.0 2.8109279415444806e-18
1701.0 2.8137233280198393e-18
1702.0 2.8165187144951985e-18
1703.0 2.8193141009705572e-18
1704.0 2.8221094874459163e-18
1705.0 2.824904873921275e-18
1706.0 2.827700260396634e-18
1707.0 2.830495646871993e-18
1708.0 2.8332910333473517e-18
1709.0 2.836086419822711e-18
1710.0 2.8388818062980696e-18
1711.0 2.8416771927734284e-18
1712.0 2.8444725792487875e-18
1713.0 2.8472679657241463e-18
1714.0 2.8500633521995054e-18
1715.0 2.852858738674864e-18
1716.0 2.855654125150223e-18
1717.0 2.858449511625582e-18
1718.0 2.861244898100941e-18
1719.0 2.8640402845763e-18
1720.0 2.8668356710516587e-18
1721.0 2.8696310575270175e-18
1722.0 2.8724264440023766e-18
1723.0 2.8752218304777354e-18
1724.0 2.8780172169530945e-18
1725.0 2.8808126034284532e-18
1726.0 2.883607989903812e-18
1727.0 2.886403376379171e-18
1728.0 2.88919876285453e-18
1729.0 2.891994149329889e-18
1730.0 2.8947895358052478e-18
1731.0 2.8975849222806065e-18
1732.0 2.9003803087559657e-18
1733.0 2.9031756952313244e-18
1734.0 2.9059710817066836e-18
1735.0 2.9087664681820423e-18
1736.0 2.911561854657401e-18
1737.0 2.9143572411327602e-18
1738.0 2.917152627608119e-18
1739.0 2.919948014083478e-18
1740.0 2.922743400558837e-18
1741.0 2.9255387870341956e-18
1742.0 2.9283341735095548e-18
1743.0 2.9311295599849135e-18
1744.0 2.9339249464602726e-18
1745.0 2.9367203329356314e-18
1746.0 2.93951571941099e-18
1747.0 2.9423111058863493e-18
1748.0 2.945106492361708e-18
1749.0 2.947901878837067e-18
1750.0 2.950697265312426e-18
1751.0 2.9534926517877847e-18
1752.0 2.956288038263144e-18
1753.0 2.9590834247385026e-18
1754.0 2.9618788112138617e-18
1755.0 2.9646741976892205e-18
1756.0 2.9674695841645792e-18
1757.0 2.9702649706399384e-18
1758.0 2.973060357115297e-18
1759.0 2.9758557435906563e-18
1760.0 2.978651130066015e-18
1761.0 2.9814465165413738e-18
1762.0 2.984241903016733e-18
1763.0 2.9870372894920917e-18
1764.0 2.9898326759674508e-18
1765.0 2.9926280624428095e-18
1766.0 2.9954234489181683e-18
1767.0 2.9982188353935274e-18
1768.0 3.0010142218688862e-18
1769.0 3.0038096083442453e-18
1770.0 3.006604994819604e-18
1771.0 3.009400381294963e-18
1772.0 3.012195767770322e-18
1773.0 3.0149911542456807e-18
1774.0 3.01778654072104e-18
1775.0 3.0205819271963986e-18
1776.0 3.0233773136717574e-18
1777.0 3.0261727001471165e-18
1778.0 3.0289680866224757e-18
1779.0 3.0317634730978344e-18
1780.0 3.034558859573193e-18
1781.0 3.037354246048552e-18
1782.0 3.040149632523911e-18
1783.0 3.0429450189992702e-18
1784.0 3.045740405474629e-18
1785.0 3.0485357919499877e-18
1786.0 3.051331178425347e-18
1787.0 3.0541265649007056e-18
1788.0 3.0569219513760647e-18
1789.0 3.0597173378514235e-18
1790.0 3.0625127243267822e-18
1791.0 3.0653081108021414e-18
1792.0 3.0681034972775e-18
1793.0 3.0708988837528593e-18
1794.0 3.073694270228218e-18
1795.0 3.0764896567035768e-18
1796.0 3.079285043178936e-18
1797.0 3.0820804296542947e-18
1798.0 3.0848758161296538e-18
1799.0 3.0876712026050126e-18
1800.0 3.0904665890803713e-18
1801.0 3.0932619755557305e-18
1802.0 3.0960573620310892e-18
1803.0 3.0988527485064483e-18
1804.0 3.101648134981807e-18
1805.0 3.104443521457166e-18
1806.0 3.107238907932525e-18
1807.0 3.1100342944078837e-18
1808.0 3.112829680883243e-18
1809.0 3.1156250673586016e-18
1810.0 3.1184204538339604e-18
1811.0 3.121215840309319e-18
1812.0 3.1240112267846783e-18
1813.0 3.1268066132600374e-18
1814.0 3.129601999735396e-18
1815.0 3.132397386210755e-18
1816.0 3.135192772686114e-18
1817.0 3.137988159161473e-18
1818.0 3.140783545636832e-18
1819.0 3.1435789321121907e-18
1820.0 3.1463743185875495e-18
1821.0 3.1491697050629086e-18
1822.0 3.1519650915382674e-18
1823.0 3.1547604780136265e-18
1824.0 3.1575558644889852e-18
1825.0 3.160351250964344e-18
1826.0 3.163146637439703e-18
1827.0 3.165942023915062e-18
1828.0 3.168737410390421e-18
1829.0 3.1715327968657798e-18
1830.0 3.1743281833411385e-18
1831.0 3.1771235698164977e-18
1832.0 3.1799189562918564e-18
1833.0 3.1827143427672156e-18
1834.0 3.1855097292425743e-18
1835.0 3.188305115717933e-18
1836.0 3.1911005021932922e-18
1837.0 3.193895888668651e-18
