# wavelength flux
3300.0 3.418037485583987e-15
3301.0 3.4180374650412333e-15
3302.0 3.41803744449848e-15
3303.0 3.4180374239557263e-15
3304.0 3.4180374034129727e-15
3305.0 3.41803738287022e-15
3306.0 3.4180373623274666e-15
3307.0 3.4180373417847133e-15
3308.0 3.418037321241961e-15
3309.0 3.418037300699208e-15
3310.0 3.418037280156455e-15
3311.0 3.4180372596137034e-15
3312.0 3.4180372390709505e-15
3313.0 3.4180372185281985e-15
3314.0 3.4180371979854464e-15
3315.0 3.4180371774426943e-15
3316.0 3.4180371568999426e-15
3317.0 3.4180371363571906e-15
3318.0 3.4180371158144385e-15
3319.0 3.4180370952716876e-15
3320.0 3.4180370747289363e-15
3321.0 3.4180370541861854e-15
3322.0 3.4180370336434337e-15
3323.0 3.418037013100683e-15
3324.0 3.418036992557932e-15
3325.0 3.418036972015181e-15
3326.0 3.41803695147243e-15
3327.0 3.4180369309296797e-15
3328.0 3.4180369103869296e-15
3329.0 3.418036889844179e-15
3330.0 3.418036869301429e-15
3331.0 3.4180368487586792e-15
3332.0 3.4180368282159287e-15
3333.0 3.4180368076731794e-15
3334.0 3.41803678713043e-15
3335.0 3.4180367665876804e-15
3336.0 3.4180367460449307e-15
3337.0 3.418036725502181e-15
3338.0 3.4180367049594325e-15
3339.0 3.4180366844166827e-15
3340.0 3.4180366638739342e-15
3341.0 3.4180366433311857e-15
3342.0 3.4180366227884368e-15
3343.0 3.4180366022456882e-15
3344.0 3.4180365817029397e-15
3345.0 3.4180365611601916e-15
3346.0 3.4180365406174435e-15
3347.0 3.4180365200746953e-15
3348.0 3.4180364995319476e-15
3349.0 3.4180364789891995e-15
3350.0 3.4180364584464517e-15
3351.0 3.4180364379037044e-15
3352.0 3.4180364173609566e-15
3353.0 3.4180363968182097e-15
3354.0 3.4180363762754623e-15
3355.0 3.4180363557327154e-15
3356.0 3.418036335189968e-15
3357.0 3.4180363146472215e-15
3358.0 3.4180362941044745e-15
3359.0 3.4180362735617288e-15
3360.0 3.4180362530189814e-15
3361.0 3.418036232476235e-15
3362.0 3.4180362119334895e-15
3363.0 3.418036191390743e-15
3364.0 3.418036170847997e-15
3365.0 3.4180361503052514e-15
3366.0 3.418036129762506e-15
3367.0 3.4180361092197595e-15
3368.0 3.418036088677015e-15
3369.0 3.41803606813427e-15
3370.0 3.4180360475915238e-15
3371.0 3.4180360270487796e-15
3372.0 3.418036006506034e-15
3373.0 3.4180359859632892e-15
3374.0 3.4180359654205447e-15
3375.0 3.4180359448778e-15
3376.0 3.418035924335055e-15
3377.0 3.4180359037923113e-15
3378.0 3.418035883249567e-15
3379.0 3.4180358627068225e-15
3380.0 3.418035842164079e-15
3381.0 3.418035821621335e-15
3382.0 3.418035801078591e-15
3383.0 3.418035780535847e-15
3384.0 3.418035759993104e-15
3385.0 3.41803573945036e-15
3386.0 3.418035718907617e-15
3387.0 3.418035698364874e-15
3388.0 3.418035677822131e-15
3389.0 3.4180356572793886e-15
3390.0 3.4180356367366455e-15
3391.0 3.4180356161939025e-15
3392.0 3.4180355956511603e-15
3393.0 3.418035575108418e-15
3394.0 3.418035554565676e-15
3395.0 3.4180355340229333e-15
3396.0 3.4180355134801915e-15
3397.0 3.41803549293745e-15
3398.0 3.4180354723947082e-15
3399.0 3.4180354518519664e-15
3400.0 3.4180354313092246e-15
3401.0 3.4180354107664835e-15
3402.0 3.4180353902237413e-15
3403.0 3.4180353696810015e-15
3404.0 3.4180353491382593e-15
3405.0 3.418035328595519e-15
3406.0 3.4180353080527784e-15
3407.0 3.4180352875100373e-15
3408.0 3.418035266967297e-15
3409.0 3.4180352464245565e-15
3410.0 3.418035225881817e-15
3411.0 3.418035205339076e-15
3412.0 3.418035184796336e-15
3413.0 3.418035164253596e-15
3414.0 3.4180351437108564e-15
3415.0 3.4180351231681166e-15
3416.0 3.4180351026253775e-15
3417.0 3.4180350820826377e-15
3418.0 3.4180350615398986e-15
3419.0 3.41803504099716e-15
3420.0 3.4180350204544205e-15
3421.0 3.418034999911682e-15
3422.0 3.4180349793689424e-15
3423.0 3.4180349588262037e-15
3424.0 3.4180349382834654e-15
3425.0 3.418034917740727e-15
3426.0 3.418034897197989e-15
3427.0 3.4180348766552506e-15
3428.0 3.4180348561125127e-15
3429.0 3.4180348355697745e-15
3430.0 3.418034815027037e-15
3431.0 3.4180347944842983e-15
3432.0 3.4180347739415612e-15
3433.0 3.4180347533988238e-15
3434.0 3.4180347328560867e-15
3435.0 3.4180347123133484e-15
3436.0 3.4180346917706125e-15
3437.0 3.418034671227875e-15
3438.0 3.4180346506851387e-15
3439.0 3.4180346301424016e-15
3440.0 3.418034609599665e-15
3441.0 3.4180345890569286e-15
3442.0 3.4180345685141915e-15
3443.0 3.4180345479714564e-15
3444.0 3.4180345274287197e-15
3445.0 3.418034506885984e-15
3446.0 3.418034486343248e-15
3447.0 3.4180344658005124e-15
3448.0 3.4180344452577765e-15
3449.0 3.4180344247150418e-15
3450.0 3.4180344041723055e-15
3451.0 3.4180343836295708e-15
3452.0 3.4180343630868356e-15
3453.0 3.418034342544101e-15
3454.0 3.4180343220013654e-15
3455.0 3.4180343014586307e-15
3456.0 3.4180342809158968e-15
3457.0 3.4180342603731616e-15
3458.0 3.4180342398304277e-15
3459.0 3.4180342192876934e-15
3460.0 3.418034198744959e-15
3461.0 3.4180341782022243e-15
3462.0 3.4180341576594916e-15
3463.0 3.4180341371167573e-15
3464.0 3.418034116574024e-15
3465.0 3.4180340960312906e-15
3466.0 3.418034075488557e-15
3467.0 3.418034054945824e-15
3468.0 3.4180340344030908e-15
3469.0 3.418034013860358e-15
3470.0 3.4180339933176245e-15
3471.0 3.418033972774892e-15
3472.0 3.4180339522321594e-15
3473.0 3.418033931689427e-15
3474.0 3.4180339111466943e-15
3475.0 3.418033890603962e-15
3476.0 3.41803387006123e-15
3477.0 3.4180338495184988e-15
3478.0 3.4180338289757656e-15
3479.0 3.418033808433034e-15
3480.0 3.418033787890302e-15
3481.0 3.4180337673475713e-15
3482.0 3.4180337468048394e-15
3483.0 3.4180337262621086e-15
3484.0 3.418033705719377e-15
3485.0 3.4180336851766462e-15
3486.0 3.418033664633915e-15
3487.0 3.418033644091185e-15
3488.0 3.4180336235484543e-15
3489.0 3.418033603005723e-15
3490.0 3.418033582462993e-15
3491.0 3.4180335619202628e-15
3492.0 3.4180335413775324e-15
3493.0 3.4180335208348024e-15
3494.0 3.418033500292072e-15
3495.0 3.418033479749342e-15
3496.0 3.4180334592066132e-15
3497.0 3.4180334386638836e-15
3498.0 3.4180334181211544e-15
3499.0 3.418033397578425e-15
3500.0 3.418033377035696e-15
3501.0 3.418033356492966e-15
3502.0 3.0377e-16
3504.0 2.8104e-16
3506.0 3.0635e-16
3508.0 3.2074e-16
3510.0 3.0124e-16
3512.0 3.5153e-16
3514.0 3.1329e-16
3516.0 3.1255e-16
3518.0 3.2052e-16
3520.0 2.379e-16
3522.0 2.6817e-16
3524.0 2.6994e-16
3526.0 2.3232e-16
3528.0 1.9083e-16
3530.0 1.6364e-16
3532.0 1.3733e-16
3534.0 1.7354e-16
3536.0 1.1619e-16
3538.0 1.4065e-16
3540.0 1.5823e-16
3542.0 1.2268e-16
3544.0 1.1993e-16
3546.0 9.2883e-17
3548.0 1.0774e-16
3550.0 1.3362e-16
3552.0 1.253e-16
3554.0 1.7117e-16
3556.0 1.4627e-16
3558.0 1.1056e-16
3560.0 1.5616e-16
3562.0 1.707e-16
3564.0 1.441e-16
3566.0 1.6541e-16
3568.0 1.6288e-16
3570.0 1.7995e-16
3572.0 1.8241e-16
3574.0 2.1406e-16
3576.0 1.6733e-16
3578.0 1.7028e-16
3580.0 1.6804e-16
3582.0 1.8923e-16
3584.0 1.8514e-16
3586.0 1.746e-16
3588.0 1.7682e-16
3590.0 1.6752e-16
3592.0 1.8663e-16
3594.0 1.8581e-16
3596.0 1.8503e-16
3598.0 1.6911e-16
3600.0 2.0099e-16
3602.0 1.9242e-16
3604.0 2.0254e-16
3606.0 1.9589e-16
3608.0 1.7631e-16
3610.0 1.9179e-16
3612.0 1.8588e-16
3614.0 1.9107e-16
3616.0 2.2916e-16
3618.0 2.3915e-16
3620.0 2.1358e-16
3622.0 2.467e-16
3624.0 2.7946e-16
3626.0 2.9368e-16
3628.0 2.6612e-16
3630.0 2.8138e-16
3632.0 2.7734e-16
3634.0 2.6086e-16
3636.0 2.8768e-16
3638.0 2.6763e-16
3640.0 2.4596e-16
3642.0 2.5635e-16
3644.0 2.0607e-16
3646.0 2.441e-16
3648.0 2.1384e-16
3650.0 2.2728e-16
3652.0 2.1556e-16
3654.0 2.5344e-16
3656.0 2.1671e-16
3658.0 2.5184e-16
3660.0 2.4258e-16
3662.0 2.8629e-16
3664.0 2.9845e-16
3666.0 2.6506e-16
3668.0 2.9949e-16
3670.0 2.6001e-16
3672.0 2.6454e-16
3674.0 2.5982e-16
3676.0 2.4734e-16
3678.0 1.9979e-16
3680.0 2.0506e-16
3682.0 2.1744e-16
3684.0 1.8726e-16
3686.0 2.0503e-16
