# wavelength flux
3720.00230 1.22791e-17
3721.49568 1.01243e-17
3722.99921 1.16381e-17
3724.50274 1.50465e-17
3725.99611 1.36703e-17
3727.49964 1.12440e-17
3729.00318 1.06037e-17
3730.49655 9.63892e-18
3732.00008 1.28496e-17
3733.50361 1.26171e-17
3734.99699 9.12651e-18
3736.50052 1.23355e-17
3738.00405 1.33994e-17
3739.49742 1.18615e-17
3741.00095 1.20973e-17
3742.50449 1.18787e-17
3743.99786 1.16602e-17
3745.50139 1.14416e-17
3746.99476 1.12231e-17
3748.49830 1.10045e-17
3750.00183 1.10042e-17
3751.49520 1.24106e-17
3752.99873 1.23948e-17
3754.50227 1.27859e-17
3755.99564 1.16852e-17
3757.49917 9.53429e-18
3759.00270 8.18416e-18
3760.49608 9.78495e-18
3761.99961 1.24395e-17
3763.50314 1.27061e-17
3764.99651 1.25637e-17
3766.50005 1.14651e-17
3768.00358 1.13033e-17
3769.49695 1.11415e-17
3771.00048 1.11028e-17
3772.50401 1.10640e-17
3773.99739 1.10253e-17
3775.50092 1.09866e-17
3777.00445 1.09479e-17
3778.49782 1.09091e-17
3780.00136 1.08704e-17
3781.50489 1.08317e-17
3782.99826 1.07930e-17
3784.50179 1.07543e-17
3785.99517 1.07155e-17
3787.49870 1.06768e-17
3789.00223 1.06381e-17
3790.49560 1.05994e-17
3791.99914 1.05607e-17
3793.50267 1.05220e-17
3794.99604 1.04833e-17
3796.49957 1.04447e-17
3798.00310 1.04060e-17
3799.49648 1.03673e-17
3801.00001 1.03286e-17
3802.50354 1.02899e-17
3803.99691 1.02513e-17
3805.50045 1.02126e-17
3807.00398 1.01739e-17
3808.49735 1.15282e-17
3810.00088 1.05562e-17
3811.50441 9.70673e-18
3812.99779 1.00288e-17
3814.50132 7.51169e-18
3816.00485 7.25613e-18
3817.49823 8.50365e-18
3819.00176 9.10774e-18
3820.49513 9.05398e-18
3821.99866 8.53520e-18
3823.50219 8.00063e-18
3824.99557 8.82984e-18
3826.49910 1.04283e-17
3828.00263 1.01565e-17
3829.49600 9.62708e-18
3830.99954 9.54056e-18
3832.50307 1.16401e-17
3833.99644 1.13445e-17
3835.49997 1.17953e-17
3837.00351 1.44333e-17
3838.49688 1.25104e-17
3840.00041 1.04985e-17
3841.50394 1.00854e-17
3842.99732 1.07197e-17
3844.50085 9.82317e-18
3846.00438 1.28723e-17
3847.49775 1.10202e-17
3849.00128 9.75059e-18
3850.50482 1.27079e-17
3851.99819 1.20680e-17
3853.50172 1.22397e-17
3854.99509 8.89685e-18
3856.49863 1.12610e-17
3858.00216 1.02390e-17
3859.49553 1.10694e-17
3860.99906 1.04840e-17
