# wavelength flux
3300.0 3.323909009084538e-09
3301.0 3.3238978252003748e-09
3302.0 3.3238866413538446e-09
3303.0 3.323875457544944e-09
3304.0 3.3238642737736736e-09
3305.0 3.32385309004003e-09
3306.0 3.323841906344019e-09
3307.0 3.3238307226856375e-09
3308.0 3.3238195390648854e-09
3309.0 3.3238083554817596e-09
3310.0 3.323797171936266e-09
3311.0 3.3237859884284014e-09
3312.0 3.323774804958166e-09
3313.0 3.3237636215255557e-09
3314.0 3.323752438130578e-09
3315.0 3.3237412547732283e-09
3316.0 3.3237300714535037e-09
3317.0 3.323718888171411e-09
3318.0 3.3237077049269458e-09
3319.0 3.323696521720109e-09
3320.0 3.323685338550897e-09
3321.0 3.3236741554193156e-09
3322.0 3.323662972325362e-09
3323.0 3.3236517892690363e-09
3324.0 3.3236406062503344e-09
3325.0 3.3236294232692634e-09
3326.0 3.323618240325819e-09
3327.0 3.323607057419999e-09
3328.0 3.3235958745518082e-09
3329.0 3.323584691721245e-09
3330.0 3.323573508928308e-09
3331.0 3.323562326172994e-09
3332.0 3.3235511434553103e-09
3333.0 3.323539960775252e-09
3334.0 3.323528778132821e-09
3335.0 3.3235175955280116e-09
3336.0 3.323506412960832e-09
3337.0 3.323495230431278e-09
3338.0 3.3234840479393494e-09
3339.0 3.323472865485043e-09
3340.0 3.3234616830683653e-09
3341.0 3.323450500689313e-09
3342.0 3.3234393183478826e-09
3343.0 3.3234281360440802e-09
3344.0 3.3234169537779025e-09
3345.0 3.3234057715493496e-09
3346.0 3.3233945893584185e-09
3347.0 3.323383407205115e-09
3348.0 3.3233722250894353e-09
3349.0 3.32336104301138e-09
3350.0 3.323349860970946e-09
3351.0 3.323338678968139e-09
3352.0 3.323327497002956e-09
3353.0 3.3233163150753966e-09
3354.0 3.3233051331854574e-09
3355.0 3.3232939513331447e-09
3356.0 3.3232827695184562e-09
3357.0 3.323271587741387e-09
3358.0 3.323260406001944e-09
3359.0 3.323249224300124e-09
3360.0 3.323238042635927e-09
3361.0 3.3232268610093498e-09
3362.0 3.323215679420398e-09
3363.0 3.3232044978690686e-09
3364.0 3.3231933163553614e-09
3365.0 3.3231821348792736e-09
3366.0 3.323170953440811e-09
3367.0 3.32315977203997e-09
3368.0 3.323148590676751e-09
3369.0 3.3231374093511504e-09
3370.0 3.323126228063175e-09
3371.0 3.3231150468128206e-09
3372.0 3.3231038656000844e-09
3373.0 3.3230926844249724e-09
3374.0 3.323081503287482e-09
3375.0 3.323070322187612e-09
3376.0 3.3230591411253604e-09
3377.0 3.3230479601007316e-09
3378.0 3.323036779113724e-09
3379.0 3.3230255981643366e-09
3380.0 3.3230144172525663e-09
3381.0 3.3230032363784194e-09
3382.0 3.3229920555418927e-09
3383.0 3.322980874742983e-09
3384.0 3.3229696939816953e-09
3385.0 3.322958513258028e-09
3386.0 3.32294733257198e-09
3387.0 3.3229361519235483e-09
3388.0 3.322924971312739e-09
3389.0 3.3229137907395493e-09
3390.0 3.322902610203978e-09
3391.0 3.3228914297060228e-09
3392.0 3.322880249245689e-09
3393.0 3.3228690688229744e-09
3394.0 3.3228578884378783e-09
3395.0 3.3228467080903977e-09
3396.0 3.3228355277805377e-09
3397.0 3.3228243475082963e-09
3398.0 3.32281316727367e-09
3399.0 3.3228019870766644e-09
3400.0 3.3227908069172765e-09
3401.0 3.3227796267955062e-09
3402.0 3.322768446711351e-09
3403.0 3.322757266664816e-09
3404.0 3.322746086655898e-09
3405.0 3.322734906684597e-09
3406.0 3.32272372675091e-09
3407.0 3.322712546854843e-09
3408.0 3.3227013669963933e-09
3409.0 3.3226901871755596e-09
3410.0 3.3226790073923395e-09
3411.0 3.3226678276467387e-09
3412.0 3.3226566479387544e-09
3413.0 3.3226454682683828e-09
3414.0 3.322634288635631e-09
3415.0 3.3226231090404943e-09
3416.0 3.3226119294829733e-09
3417.0 3.322600749963065e-09
3418.0 3.3225895704807757e-09
3419.0 3.3225783910361016e-09
3420.0 3.3225672116290427e-09
3421.0 3.3225560322595957e-09
3422.0 3.3225448529277664e-09
3423.0 3.3225336736335527e-09
3424.0 3.322522494376953e-09
3425.0 3.322511315157965e-09
3426.0 3.322500135976595e-09
3427.0 3.3224889568328393e-09
3428.0 3.3224777777266946e-09
3429.0 3.322466598658167e-09
3430.0 3.3224554196272534e-09
3431.0 3.322444240633953e-09
3432.0 3.3224330616782643e-09
3433.0 3.322421882760192e-09
3434.0 3.3224107038797324e-09
3435.0 3.3223995250368868e-09
3436.0 3.3223883462316518e-09
3437.0 3.3223771674640324e-09
3438.0 3.322365988734026e-09
3439.0 3.3223548100416286e-09
3440.0 3.322343631386848e-09
3441.0 3.3223324527696794e-09
3442.0 3.3223212741901238e-09
3443.0 3.3223100956481775e-09
3444.0 3.322298917143846e-09
3445.0 3.322287738677127e-09
3446.0 3.322276560248019e-09
3447.0 3.3222653818565205e-09
3448.0 3.3222542035026366e-09
3449.0 3.3222430251863642e-09
3450.0 3.3222318469077038e-09
3451.0 3.322220668666651e-09
3452.0 3.3222094904632123e-09
3453.0 3.3221983122973855e-09
3454.0 3.322187134169166e-09
3455.0 3.3221759560785605e-09
3456.0 3.322164778025565e-09
3457.0 3.3221536000101814e-09
3458.0 3.322142422032404e-09
3459.0 3.322131244092241e-09
3460.0 3.322120066189687e-09
3461.0 3.3221088883247434e-09
3462.0 3.3220977104974076e-09
3463.0 3.322086532707683e-09
3464.0 3.3220753549555695e-09
3465.0 3.3220641772410652e-09
3466.0 3.322052999564167e-09
3467.0 3.3220418219248812e-09
3468.0 3.3220306443232044e-09
3469.0 3.322019466759134e-09
3470.0 3.3220082892326752e-09
3471.0 3.3219971117438254e-09
3472.0 3.3219859342925838e-09
3473.0 3.3219747568789482e-09
3474.0 3.321963579502924e-09
3475.0 3.321952402164508e-09
3476.0 3.3219412248637e-09
3477.0 3.321930047600497e-09
3478.0 3.3219188703749053e-09
3479.0 3.3219076931869205e-09
3480.0 3.3218965160365443e-09
3481.0 3.3218853389237718e-09
3482.0 3.3218741618486103e-09
3483.0 3.3218629848110557e-09
3484.0 3.3218518078111056e-09
3485.0 3.3218406308487654e-09
3486.0 3.321829453924032e-09
3487.0 3.3218182770369053e-09
3488.0 3.321807100187382e-09
3489.0 3.3217959233754688e-09
3490.0 3.3217847466011615e-09
3491.0 3.3217735698644604e-09
3492.0 3.3217623931653625e-09
3493.0 3.321751216503874e-09
3494.0 3.3217400398799913e-09
3495.0 3.321728863293711e-09
3496.0 3.321717686745039e-09
3497.0 3.3217065102339735e-09
3498.0 3.3216953337605127e-09
3499.0 3.3216841573246543e-09
3500.0 3.321672980926404e-09
3501.0 3.3216618045657583e-09
3502.0 3.3216506282427178e-09
3503.0 3.3216394519572793e-09
3504.0 3.321628275709448e-09
3505.0 3.7301e-09
3510.0 3.2689e-09
3515.0 3.1797e-09
3520.0 3.2932e-09
3525.0 3.387e-09
3530.0 3.2768e-09
3535.0 3.3124e-09
3540.0 3.4077e-09
3545.0 3.2987e-09
3550.0 3.3648e-09
3555.0 3.4579e-09
3560.0 3.4389e-09
3565.0 3.2424e-09
3570.0 3.271e-09
3575.0 3.6057e-09
3580.0 3.2502e-09
3585.0 3.2868e-09
3590.0 3.1823e-09
3595.0 3.415e-09
3600.0 3.36e-09
3605.0 3.3798e-09
3610.0 3.3541e-09
3615.0 3.5334e-09
3620.0 3.4623e-09
3625.0 3.523e-09
3630.0 3.5049e-09
3635.0 3.4639e-09
3640.0 3.3252e-09
3645.0 3.4076e-09
3650.0 3.4325e-09
3655.0 3.3675e-09
3660.0 3.3545e-09
3665.0 3.3677e-09
3670.0 3.4806e-09
3675.0 3.5001e-09
3680.0 3.5246e-09
3685.0 3.4982e-09
3690.0 3.4868e-09
3695.0 3.5238e-09
3700.0 3.2844e-09
3705.0 3.3445e-09
3710.0 3.3443e-09
3715.0 3.3757e-09
3720.0 3.5264e-09
3725.0 3.5117e-09
3730.0 3.3279e-09
3735.0 3.415e-09
3740.0 3.3554e-09
