# wavelength flux
3300.0 2.5314917685528743e-16
3301.0 2.542080412656764e-16
3302.0 2.5527120994091677e-16
3303.0 2.5633869928903707e-16
3304.0 2.574105257710837e-16
3305.0 2.5848670590120667e-16
3306.0 2.595672562467441e-16
3307.0 2.6065219342830687e-16
3308.0 2.6174153411986134e-16
3309.0 2.628352950488131e-16
3310.0 2.639334929960882e-16
3311.0 2.6503614479621427e-16
3312.0 2.6614326733740144e-16
3313.0 2.6725487756162085e-16
3314.0 2.683709924646846e-16
3315.0 2.6949162909632282e-16
3316.0 2.7061680456026115e-16
3317.0 2.717465360142967e-16
3318.0 2.7288084067037346e-16
3319.0 2.7401973579465707e-16
3320.0 2.751632387076082e-16
3321.0 2.7631136678405533e-16
3322.0 2.7746413745326617e-16
3323.0 2.786215681990194e-16
3324.0 2.7978367655967377e-16
3325.0 2.8095048012823764e-16
3326.0 2.821219965524369e-16
3327.0 2.8329824353478165e-16
3328.0 2.844792388326331e-16
3329.0 2.85665000258268e-16
3330.0 2.86855545678943e-16
3331.0 2.880508930169578e-16
3332.0 2.8925106024971695e-16
3333.0 2.904560654097911e-16
3334.0 2.916659265849768e-16
3335.0 2.9288066191835537e-16
3336.0 2.941002896083509e-16
3337.0 2.9532482790878634e-16
3338.0 2.9655429512893993e-16
3339.0 2.977887096335988e-16
3340.0 2.9902808984311297e-16
3341.0 3.002724542334468e-16
3342.0 3.015218213362305e-16
3343.0 3.027762097388099e-16
3344.0 3.0403563808429463e-16
3345.0 3.0530012507160597e-16
3346.0 3.065696894555224e-16
3347.0 3.078443500467255e-16
3348.0 3.091241257118425e-16
3349.0 3.104090353734894e-16
3350.0 3.1169909801031203e-16
3351.0 3.1299433265702517e-16
3352.0 3.14294758404452e-16
3353.0 3.156003943995605e-16
3354.0 3.1691125984550004e-16
3355.0 3.1822737400163487e-16
3356.0 3.1954875618357773e-16
3357.0 3.2087542576322183e-16
3358.0 3.222074021687704e-16
3359.0 3.2354470488476637e-16
3360.0 3.24887353452119e-16
3361.0 3.2623536746813026e-16
3362.0 3.275887665865193e-16
3363.0 3.2894757051744547e-16
3364.0 3.303117990275298e-16
3365.0 3.3168147193987467e-16
3366.0 3.330566091340827e-16
3367.0 3.3443723054627353e-16
3368.0 3.358233561690989e-16
3369.0 3.372150060517569e-16
3370.0 3.3861220030000306e-16
3371.0 3.4001495907616216e-16
3372.0 3.414233025991364e-16
3373.0 3.4283725114441237e-16
3374.0 3.4425682504406747e-16
3375.0 3.456820446867726e-16
3376.0 3.4711293051779513e-16
3377.0 3.4854950303899933e-16
3378.0 3.4999178280884453e-16
3379.0 3.514397904423827e-16
3380.0 3.528935466112524e-16
3381.0 3.543530720436737e-16
3382.0 3.558183875244386e-16
3383.0 3.57289513894901e-16
3384.0 3.5876647205296446e-16
3385.0 3.6024928295306833e-16
3386.0 3.617379676061717e-16
3387.0 3.632325470797356e-16
3388.0 3.6473304249770334e-16
3389.0 3.6623947504047814e-16
3390.0 3.677518659449003e-16
3391.0 3.6927023650422146e-16
3392.0 3.707946080680761e-16
3393.0 3.7232500204245273e-16
3394.0 3.738614398896614e-16
3395.0 3.754039431283004e-16
3396.0 3.769525333332206e-16
3397.0 3.785072321354865e-16
3398.0 3.8006806122233705e-16
3399.0 3.816350423371426e-16
3400.0 3.8320819727936103e-16
3401.0 3.84787547904491e-16
3402.0 3.8637311612402284e-16
3403.0 3.87964923905388e-16
3404.0 3.895629932719049e-16
3405.0 3.911673463027242e-16
3406.0 3.9277800513277053e-16
3407.0 3.943949919526826e-16
3408.0 3.9601832900874976e-16
3409.0 3.9764803860284837e-16
3410.0 3.992841430923741e-16
3411.0 4.0092666489017153e-16
3412.0 4.025756264644637e-16
3413.0 4.0423105033877535e-16
3414.0 4.058929590918583e-16
3415.0 4.075613753576106e-16
3416.0 4.0923632182499484e-16
3417.0 4.109178212379538e-16
3418.0 4.126058963953229e-16
3419.0 4.143005701507417e-16
3420.0 4.1600186541256046e-16
3421.0 4.1770980514374606e-16
3422.0 4.194244123617844e-16
3423.0 4.2114571013857943e-16
3424.0 4.2287372160035194e-16
3425.0 4.246084699275327e-16
3426.0 4.2634997835465444e-16
3427.0 4.2809827017024137e-16
3428.0 4.29853368716694e-16
3429.0 4.3161529739017465e-16
3430.0 4.3338407964048587e-16
3431.0 4.351597389709497e-16
3432.0 4.369422989382809e-16
3433.0 4.387317831524606e-16
3434.0 4.4052821527660403e-16
3435.0 4.423316190268271e-16
3436.0 4.441420181721095e-16
3437.0 4.459594365341538e-16
3438.0 4.477838979872439e-16
3439.0 4.496154264580984e-16
3440.0 4.51454045925721e-16
3441.0 4.532997804212493e-16
3442.0 4.551526540277984e-16
3443.0 4.57012690880303e-16
3444.0 4.588799151653565e-16
3445.0 4.607543511210446e-16
3446.0 4.626360230367783e-16
3447.0 4.645249552531223e-16
3448.0 4.664211721616205e-16
3449.0 4.68324698204618e-16
3450.0 4.7023555787508e-16
3451.0 4.721537757164074e-16
3452.0 4.740793763222478e-16
3453.0 4.760123843363058e-16
3454.0 4.779528244521469e-16
3455.0 4.799007214130001e-16
3456.0 4.818561000115553e-16
3457.0 4.838189850897586e-16
3458.0 4.857894015386041e-16
3459.0 4.877673742979201e-16
3460.0 4.897529283561549e-16
3461.0 4.917460887501551e-16
3462.0 4.937468805649446e-16
3463.0 4.957553289334965e-16
3464.0 4.977714590365027e-16
3465.0 4.997952961021401e-16
3466.0 5.018268654058313e-16
3467.0 5.038661922700044e-16
3468.0 5.059133020638464e-16
3469.0 5.079682202030536e-16
3470.0 5.100309721495793e-16
3471.0 5.121015834113746e-16
3472.0 5.141800795421298e-16
3473.0 5.162664861410073e-16
3474.0 5.183608288523733e-16
3475.0 5.204631333655253e-16
3476.0 5.225734254144129e-16
3477.0 5.246917307773596e-16
3478.0 5.268180752767755e-16
3479.0 5.289524847788684e-16
3480.0 5.310949851933504e-16
3481.0 5.332456024731405e-16
3482.0 5.35404362614062e-16
3483.0 5.375712916545374e-16
3484.0 5.397464156752771e-16
3485.0 5.41929760798965e-16
3486.0 5.441213531899399e-16
3487.0 5.463212190538722e-16
3488.0 5.485293846374354e-16
3489.0 5.507458762279755e-16
3490.0 5.529707201531723e-16
3491.0 5.552039427807009e-16
3492.0 5.574455705178846e-16
3493.0 5.596956298113457e-16
3494.0 5.619541471466503e-16
3495.0 5.642211490479498e-16
3496.0 5.664966620776173e-16
3497.0 5.687807128358786e-16
3498.0 5.710733279604402e-16
3499.0 5.733745341261099e-16
3500.0 5.75684358044417e-16
3501.0 5.780028264632225e-16
3502.0 5.803299661663295e-16
3503.0 5.826658039730846e-16
3504.0 5.850103667379769e-16
3505.0 5.873636813502324e-16
3506.0 5.89725774733402e-16
3507.0 5.920966738449445e-16
3508.0 5.944764056758076e-16
3509.0 5.968649972499984e-16
3510.0 5.992624756241555e-16
3511.0 6.016688678871107e-16
3512.0 6.040842011594486e-16
3513.0 6.065085025930601e-16
3514.0 6.089417993706897e-16
3515.0 6.113841187054805e-16
3516.0 6.138354878405112e-16
3517.0 6.162959340483297e-16
3518.0 6.187654846304802e-16
3519.0 6.21244166917025e-16
3520.0 6.237320082660632e-16
3521.0 6.262290360632409e-16
3522.0 6.287352777212585e-16
3523.0 6.312507606793708e-16
3524.0 6.337755124028833e-16
3525.0 6.363095603826418e-16
3526.0 6.388529321345175e-16
3527.0 6.414056551988857e-16
3528.0 6.439677571400992e-16
3529.0 6.465392655459564e-16
3530.0 6.491202080271643e-16
3531.0 6.517106122167944e-16
3532.0 6.543105057697348e-16
3533.0 6.569199163621337e-16
3534.0 6.595388716908415e-16
3535.0 6.621673994728433e-16
3536.0 6.648055274446879e-16
3537.0 6.674532833619093e-16
3538.0 6.701106949984436e-16
3539.0 6.727777901460408e-16
3540.0 6.754545966136679e-16
3541.0 6.781411422269091e-16
3542.0 6.808374548273586e-16
3543.0 6.835435622720067e-16
3544.0 6.862594924326221e-16
3545.0 6.889852731951266e-16
3546.0 6.917209324589638e-16
3547.0 6.944664981364614e-16
3548.0 6.972219981521893e-16
3549.0 6.999874604423097e-16
3550.0 7.027629129539212e-16
3551.0 7.055483836443979e-16
3552.0 7.083439004807204e-16
3553.0 7.111494914388028e-16
3554.0 7.139651845028124e-16
3555.0 7.167910076644814e-16
3556.0 7.196269889224161e-16
3557.0 7.224731562813955e-16
3558.0 7.25329537751667e-16
3559.0 7.281961613482345e-16
3560.0 7.310730550901381e-16
3561.0 7.339602469997315e-16
3562.0 7.368577651019481e-16
3563.0 7.397656374235656e-16
3564.0 7.426838919924594e-16
3565.0 7.456125568368532e-16
3566.0 7.485516599845607e-16
3567.0 7.515012294622209e-16
3568.0 7.544612932945283e-16
3569.0 7.574318795034559e-16
3570.0 7.604130161074695e-16
3571.0 7.634047311207379e-16
3572.0 7.664070525523361e-16
3573.0 7.694200084054397e-16
3574.0 7.724436266765154e-16
3575.0 7.754779353545019e-16
3576.0 7.785229624199858e-16
3577.0 7.815787358443713e-16
3578.0 7.846452835890405e-16
3579.0 7.877226336045095e-16
3580.0 7.908108138295759e-16
3581.0 7.939098521904598e-16
3582.0 7.970197765999382e-16
3583.0 8.001406149564729e-16
3584.0 8.032723951433299e-16
3585.0 8.064151450276935e-16
3586.0 8.095688924597715e-16
3587.0 8.12733665271896e-16
3588.0 8.159094912776143e-16
3589.0 8.190963982707757e-16
3590.0 8.222944140246079e-16
3591.0 8.255035662907887e-16
3592.0 8.287238827985101e-16
3593.0 8.319553912535352e-16
3594.0 8.351981193372484e-16
3595.0 8.38452094705695e-16
3596.0 8.417173449886206e-16
3597.0 8.449938977884959e-16
3598.0 8.482817806795399e-16
3599.0 8.515810212067325e-16
3600.0 8.548916468848199e-16
3601.0 8.582136851973156e-16
3602.0 8.615471635954922e-16
3603.0 8.648921094973645e-16
3604.0 8.682485502866685e-16
3605.0 8.716165133118303e-16
3606.0 8.749960258849286e-16
3607.0 8.783871152806525e-16
3608.0 8.817898087352466e-16
3609.0 8.852041334454534e-16
3610.0 8.886301165674455e-16
3611.0 8.92067785215753e-16
3612.0 8.955171664621814e-16
3613.0 8.98978287334723e-16
3614.0 9.024511748164606e-16
3615.0 9.059358558444628e-16
3616.0 9.094323573086758e-16
3617.0 9.129407060508026e-16
3618.0 9.164609288631786e-16
3619.0 9.199930524876362e-16
3620.0 9.23537103614368e-16
3621.0 9.27093108880775e-16
3622.0 9.306610948703133e-16
3623.0 9.342410881113299e-16
3624.0 9.378331150758925e-16
3625.0 9.414372021786124e-16
3626.0 9.450533757754592e-16
3627.0 9.486816621625667e-16
3628.0 9.523220875750342e-16
3629.0 9.559746781857175e-16
3630.0 9.596394601040153e-16
3631.0 9.633164593746456e-16
3632.0 9.670057019764161e-16
3633.0 9.707072138209867e-16
3634.0 9.74421020751624e-16
3635.0 9.781471485419508e-16
3636.0 9.818856228946841e-16
3637.0 9.856364694403703e-16
3638.0 9.893997137361077e-16
3639.0 9.93175381264267e-16
3640.0 9.969634974312014e-16
3641.0 1.0007640875659497e-15
3642.0 1.0045771769189311e-15
3643.0 1.0084027906606346e-15
3644.0 1.0122409538803e-15
3645.0 1.0160916915845926e-15
3646.0 1.0199550286962668e-15
3647.0 1.0238309900528288e-15
3648.0 1.027719600405184e-15
3649.0 1.0316208844162858e-15
3650.0 1.03553486665977e-15
3651.0 1.0394615716185856e-15
3652.0 1.0434010236836175e-15
3653.0 1.0473532471522998e-15
3654.0 1.051318266227227e-15
