# wavelength flux
6209.99767 1.37288e-17
6211.94778 1.37717e-17
6213.89789 1.34283e-17
6215.84800 1.30488e-17
6217.79811 1.28562e-17
6219.74822 1.32743e-17
6221.69833 1.36719e-17
6223.64844 1.40249e-17
6225.59855 1.42802e-17
6227.54866 1.39953e-17
6229.49877 1.40448e-17
6231.44888 1.48459e-17
6233.39899 1.57237e-17
6235.34910 1.54123e-17
6237.29921 1.52212e-17
6239.24932 1.53044e-17
6241.19943 1.55499e-17
6243.14954 1.52532e-17
6245.09965 1.51722e-17
6247.04976 1.57034e-17
6248.99987 1.58875e-17
6250.94998 1.55148e-17
6252.90009 1.54790e-17
6254.85020 1.58018e-17
6256.80031 1.56179e-17
6258.75042 1.52754e-17
6260.70053 1.57710e-17
6262.65064 1.57255e-17
6264.60075 1.50245e-17
6266.55086 1.50286e-17
6268.50097 1.51313e-17
6270.45108 1.47905e-17
6272.40119 1.46592e-17
6274.35130 1.50281e-17
6276.30141 1.50275e-17
6278.25152 1.48213e-17
6280.20163 1.47973e-17
6282.15174 1.44679e-17
6284.10185 1.41485e-17
6286.05196 1.42512e-17
6288.00207 1.41604e-17
6289.95218 1.39076e-17
6291.90229 1.39009e-17
6293.85240 1.33166e-17
6295.80251 1.27258e-17
6297.75262 1.31473e-17
6299.70273 1.37788e-17
6301.65284 1.39875e-17
6303.60295 1.34187e-17
6305.55306 1.33350e-17
6307.50317 1.37560e-17
6309.45328 1.40906e-17
6311.40339 1.44347e-17
6313.35350 1.38051e-17
6315.30361 1.37658e-17
6317.25372 1.45281e-17
6319.20383 1.46477e-17
6321.15394 1.45523e-17
6323.10405 1.46807e-17
6325.05416 1.49423e-17
6327.00427 1.56494e-17
6328.95438 1.60103e-17
6330.90449 1.59270e-17
6332.85460 1.59546e-17
6334.79450 1.54210e-17
6336.75482 1.55309e-17
6338.70493 1.60528e-17
6340.64483 1.57112e-17
6342.60515 1.57461e-17
6344.54505 1.63373e-17
6346.49516 1.64215e-17
6348.44527 1.65309e-17
6350.39538 1.65946e-17
6352.34549 1.62762e-17
6354.29560 1.71160e-17
6356.24571 1.70089e-17
6358.19582 1.62799e-17
6360.14593 1.67625e-17
6362.09604 1.76511e-17
6364.04615 1.73475e-17
6365.99626 1.72456e-17
6367.94637 1.73711e-17
6369.89648 1.73486e-17
6371.84659 1.73428e-17
6373.79670 1.74973e-17
6375.74681 1.72290e-17
6377.69692 1.70362e-17
6379.64703 1.72319e-17
6381.59714 1.69677e-17
6383.54725 1.71415e-17
6385.49736 1.70913e-17
6387.44747 1.70899e-17
6389.39758 1.67163e-17
6391.34769 1.66539e-17
