# wavelength flux
3300.0 3.1262967562256247e-17
3301.0 3.131873968559582e-17
3302.0 3.13746016643531e-17
3303.0 3.143055360585929e-17
3304.0 3.148659561742484e-17
3305.0 3.15427278063386e-17
3306.0 3.159895027986725e-17
3307.0 3.1655263145254394e-17
3308.0 3.171166650971996e-17
3309.0 3.176816048045937e-17
3310.0 3.182474516464289e-17
3311.0 3.1881420669414826e-17
3312.0 3.193818710189279e-17
3313.0 3.199504456916696e-17
3314.0 3.205199317829932e-17
3315.0 3.2109033036322926e-17
3316.0 3.216616425024115e-17
3317.0 3.222338692702687e-17
3318.0 3.228070117362178e-17
3319.0 3.2338107096935564e-17
3320.0 3.2395604803845184e-17
3321.0 3.245319440119405e-17
3322.0 3.2510875995791305e-17
3323.0 3.2568649694410984e-17
3324.0 3.262651560379129e-17
3325.0 3.268447383063379e-17
3326.0 3.2742524481602624e-17
3327.0 3.280066766332373e-17
3328.0 3.2858903482384003e-17
3329.0 3.2917232045330624e-17
3330.0 3.297565345867008e-17
3331.0 3.303416782886755e-17
3332.0 3.309277526234594e-17
3333.0 3.315147586548519e-17
3334.0 3.3210269744621445e-17
3335.0 3.326915700604618e-17
3336.0 3.332813775600544e-17
3337.0 3.338721210069902e-17
3338.0 3.3446380146279604e-17
3339.0 3.350564199885202e-17
3340.0 3.356499776447231e-17
3341.0 3.3624447549146964e-17
3342.0 3.368399145883207e-17
3343.0 3.3743629599432506e-17
3344.0 3.380336207680105e-17
3345.0 3.3863188996737556e-17
3346.0 3.3923110464988125e-17
3347.0 3.398312658724423e-17
3348.0 3.404323746914193e-17
3349.0 3.410344321626088e-17
3350.0 3.416374393412364e-17
3351.0 3.4224139728194664e-17
3352.0 3.428463070387956e-17
3353.0 3.434521696652414e-17
3354.0 3.440589862141355e-17
3355.0 3.446667577377147e-17
3356.0 3.4527548528759147e-17
3357.0 3.4588516991474617e-17
3358.0 3.46495812669517e-17
3359.0 3.4710741460159217e-17
3360.0 3.4771997676000063e-17
3361.0 3.483335001931028e-17
3362.0 3.4894798594858254e-17
3363.0 3.4956343507343715e-17
3364.0 3.5017984861396916e-17
3365.0 3.5079722761577644e-17
3366.0 3.514155731237444e-17
3367.0 3.520348861820354e-17
3368.0 3.5265516783408076e-17
3369.0 3.5327641912257086e-17
3370.0 3.5389864108944654e-17
3371.0 3.5452183477588947e-17
3372.0 3.5514600122231317e-17
3373.0 3.557711414683531e-17
3374.0 3.563972565528583e-17
3375.0 3.570243475138811e-17
3376.0 3.576524153886687e-17
3377.0 3.582814612136527e-17
3378.0 3.589114860244403e-17
3379.0 3.5954249085580464e-17
3380.0 3.601744767416757e-17
3381.0 3.6080744471513016e-17
3382.0 3.614413958083818e-17
3383.0 3.620763310527726e-17
3384.0 3.627122514787621e-17
3385.0 3.63349158115919e-17
3386.0 3.6398705199291036e-17
3387.0 3.6462593413749204e-17
3388.0 3.652658055764994e-17
3389.0 3.659066673358375e-17
3390.0 3.6654852044047046e-17
3391.0 3.6719136591441264e-17
3392.0 3.6783520478071795e-17
3393.0 3.684800380614704e-17
3394.0 3.691258667777742e-17
3395.0 3.697726919497432e-17
3396.0 3.7042051459649135e-17
3397.0 3.710693357361226e-17
3398.0 3.7171915638572077e-17
3399.0 3.723699775613395e-17
3400.0 3.730218002779916e-17
3401.0 3.736746255496399e-17
3402.0 3.743284543891859e-17
3403.0 3.749832878084605e-17
3404.0 3.75639126818213e-17
3405.0 3.7629597242810107e-17
3406.0 3.7695382564668044e-17
3407.0 3.7761268748139474e-17
3408.0 3.782725589385648e-17
3409.0 3.789334410233778e-17
3410.0 3.795953347398779e-17
3411.0 3.802582410909546e-17
3412.0 3.8092216107833326e-17
3413.0 3.8158709570256366e-17
3414.0 3.8225304596300976e-17
3415.0 3.8292001285783895e-17
3416.0 3.835879973840118e-17
3417.0 3.8425700053727086e-17
3418.0 3.8492702331213026e-17
3419.0 3.855980667018646e-17
