# wavelength flux
3300.0 4.4994017726275194e-17
3301.0 4.499388850838309e-17
3302.0 4.499375914735413e-17
3303.0 4.499362964301554e-17
3304.0 4.499349999519439e-17
3305.0 4.499337020371752e-17
3306.0 4.499324026841159e-17
3307.0 4.499311018910301e-17
3308.0 4.499297996561803e-17
3309.0 4.499284959778266e-17
3310.0 4.4992719085422716e-17
3311.0 4.499258842836378e-17
3312.0 4.4992457626431255e-17
3313.0 4.499232667945034e-17
3314.0 4.499219558724599e-17
3315.0 4.4992064349643006e-17
3316.0 4.49919329664659e-17
3317.0 4.4991801437539053e-17
3318.0 4.499166976268658e-17
3319.0 4.499153794173243e-17
3320.0 4.499140597450032e-17
3321.0 4.4991273860813723e-17
3322.0 4.499114160049595e-17
3323.0 4.4991009193370103e-17
3324.0 4.499087663925904e-17
3325.0 4.4990743937985425e-17
3326.0 4.499061108937168e-17
3327.0 4.499047809324008e-17
3328.0 4.4990344949412635e-17
3329.0 4.499021165771113e-17
3330.0 4.49900782179572e-17
3331.0 4.498994462997221e-17
3332.0 4.498981089357733e-17
3333.0 4.498967700859353e-17
3334.0 4.498954297484153e-17
3335.0 4.498940879214188e-17
3336.0 4.498927446031488e-17
3337.0 4.4989139979180654e-17
3338.0 4.4989005348559034e-17
3339.0 4.4988870568269757e-17
3340.0 4.498873563813223e-17
3341.0 4.4988600557965686e-17
3342.0 4.498846532758918e-17
3343.0 4.4988329946821503e-17
3344.0 4.498819441548123e-17
3345.0 4.4988058733386746e-17
3346.0 4.498792290035622e-17
3347.0 4.498778691620755e-17
3348.0 4.498765078075851e-17
3349.0 4.4987514493826546e-17
3350.0 4.4987378055228984e-17
3351.0 4.4987241464782865e-17
3352.0 4.498710472230505e-17
3353.0 4.498696782761217e-17
3354.0 4.4986830780520614e-17
3355.0 4.49866935808466e-17
3356.0 4.4986556228406075e-17
3357.0 4.4986418723014797e-17
3358.0 4.498628106448831e-17
3359.0 4.4986143252641907e-17
3360.0 4.498600528729068e-17
3361.0 4.4985867168249517e-17
3362.0 4.498572889533304e-17
3363.0 4.4985590468355666e-17
3364.0 4.498545188713162e-17
3365.0 4.49853131514749e-17
3366.0 4.498517426119924e-17
3367.0 4.498503521611818e-17
3368.0 4.4984896016045037e-17
3369.0 4.498475666079292e-17
3370.0 4.4984617150174677e-17
3371.0 4.498447748400296e-17
3372.0 4.498433766209018e-17
3373.0 4.4984197684248573e-17
3374.0 4.4984057550290064e-17
3375.0 4.498391726002642e-17
3376.0 4.4983776813269166e-17
3377.0 4.4983636209829617e-17
3378.0 4.498349544951882e-17
3379.0 4.498335453214764e-17
3380.0 4.498321345752668e-17
3381.0 4.4983072225466366e-17
3382.0 4.4982930835776844e-17
3383.0 4.498278928826807e-17
3384.0 4.498264758274974e-17
3385.0 4.4982505719031355e-17
3386.0 4.498236369692218e-17
3387.0 4.4982221516231243e-17
3388.0 4.498207917676736e-17
3389.0 4.498193667833909e-17
3390.0 4.49817940207548e-17
3391.0 4.498165120382261e-17
3392.0 4.4981508227350394e-17
3393.0 4.498136509114581e-17
3394.0 4.4981221795016316e-17
3395.0 4.49810783387691e-17
3396.0 4.498093472221112e-17
3397.0 4.498079094514916e-17
3398.0 4.498064700738969e-17
3399.0 4.498050290873899e-17
3400.0 4.4980358649003133e-17
3401.0 4.4980214227987935e-17
3402.0 4.498006964549895e-17
3403.0 4.497992490134157e-17
3404.0 4.4979779995320886e-17
3405.0 4.497963492724181e-17
3406.0 4.497948969690899e-17
3407.0 4.497934430412683e-17
3408.0 4.497919874869955e-17
3409.0 4.4979053030431106e-17
3410.0 4.497890714912518e-17
3411.0 4.49787611045853e-17
3412.0 4.497861489661471e-17
3413.0 4.497846852501641e-17
3414.0 4.49783219895932e-17
3415.0 4.497817529014762e-17
3416.0 4.4978028426481995e-17
3417.0 4.49778813983984e-17
3418.0 4.4977734205698654e-17
3419.0 4.4977586848184365e-17
3420.0 4.4977439325656934e-17
3421.0 4.4977291637917463e-17
3422.0 4.497714378476685e-17
3423.0 4.497699576600576e-17
3424.0 4.49768475814346e-17
3425.0 4.4976699230853544e-17
3426.0 4.497655071406255e-17
3427.0 4.4976402030861314e-17
3428.0 4.4976253181049297e-17
3429.0 4.497610416442574e-17
3430.0 4.4975954980789604e-17
3431.0 4.497580562993965e-17
3432.0 4.497565611167438e-17
3433.0 4.497550642579206e-17
3434.0 4.4975356572090716e-17
3435.0 4.4975206550368126e-17
3436.0 4.497505636042184e-17
3437.0 4.497490600204915e-17
3438.0 4.497475547504714e-17
3439.0 4.4974604779212596e-17
3440.0 4.497445391434212e-17
3441.0 4.497430288023203e-17
3442.0 4.497415167667842e-17
3443.0 4.497400030347714e-17
3444.0 4.497384876042378e-17
3445.0 4.497369704731372e-17
3446.0 4.497354516394206e-17
3447.0 4.4973393110103686e-17
3448.0 4.497324088559322e-17
3449.0 4.4973088490205035e-17
3450.0 4.497293592373329e-17
3451.0 4.497278318597185e-17
3452.0 4.4972630276714374e-17
3453.0 4.4972477195754275e-17
3454.0 4.497232394288468e-17
3455.0 4.4972170517898516e-17
3456.0 4.4972016920588445e-17
3457.0 4.497186315074687e-17
3458.0 4.497170920816597e-17
3459.0 4.4971555092637653e-17
3460.0 4.4971400803953596e-17
3461.0 4.497124634190522e-17
3462.0 4.497109170628368e-17
3463.0 4.4970936896879937e-17
3464.0 4.497078191348465e-17
3465.0 4.497062675588823e-17
3466.0 4.4970471423880877e-17
3467.0 4.4970315917252503e-17
3468.0 4.4970160235792795e-17
3469.0 4.4970004379291175e-17
3470.0 4.4969848347536814e-17
3471.0 4.4969692140318636e-17
3472.0 4.496953575742532e-17
3473.0 4.4969379198645283e-17
3474.0 4.496922246376669e-17
3475.0 4.4969065552577456e-17
3476.0 4.4968908464865264e-17
3477.0 4.4968751200417495e-17
3478.0 4.496859375902132e-17
3479.0 4.496843614046366e-17
3480.0 4.4968278344531136e-17
3481.0 4.4968120371010164e-17
3482.0 4.4967962219686866e-17
3483.0 4.4967803890347163e-17
3484.0 4.496764538277665e-17
3485.0 4.4967486696760733e-17
3486.0 4.49673278320845e-17
3487.0 4.4967168788532846e-17
3488.0 4.496700956589039e-17
3489.0 4.4966850163941425e-17
3490.0 4.496669058247011e-17
3491.0 4.4966530821260276e-17
3492.0 4.496637088009545e-17
3493.0 4.496621075875902e-17
3494.0 4.496605045703402e-17
3495.0 4.4965889974703247e-17
3496.0 4.496572931154928e-17
3497.0 4.4965568467354395e-17
3498.0 4.496540744190062e-17
3499.0 4.496524623496972e-17
3500.0 4.4965084846343224e-17
3501.0 4.496492327580236e-17
3502.0 4.496476152312815e-17
3503.0 4.4964599588101294e-17
3504.0 4.496443747050229e-17
3505.0 4.496427517011132e-17
3506.0 4.496411268670833e-17
3507.0 4.4963950020073027e-17
3508.0 4.496378716998481e-17
3509.0 4.496362413622286e-17
3510.0 4.496346091856606e-17
3511.0 4.4963297516793054e-17
3512.0 4.496313393068219e-17
3513.0 4.496297016001161e-17
3514.0 4.496280620455913e-17
3515.0 4.496264206410234e-17
3516.0 4.496247773841854e-17
3517.0 4.49623132272848e-17
3518.0 4.496214853047787e-17
3519.0 4.4961983647774296e-17
3520.0 4.496181857895033e-17
3521.0 4.496165332378196e-17
3522.0 4.4961487882044866e-17
3523.0 4.496132225351455e-17
3524.0 4.4961156437966174e-17
3525.0 4.496099043517465e-17
3526.0 4.496082424491465e-17
3527.0 4.496065786696053e-17
3528.0 4.496049130108643e-17
3529.0 4.4960324547066166e-17
3530.0 4.496015760467334e-17
3531.0 4.495999047368124e-17
3532.0 4.4959823153862925e-17
3533.0 4.495965564499112e-17
3534.0 4.495948794683837e-17
3535.0 4.495932005917688e-17
3536.0 4.4959151981778603e-17
3537.0 4.4958983714415223e-17
3538.0 4.495881525685817e-17
3539.0 4.495864660887855e-17
3540.0 4.4958477770247264e-17
3541.0 4.49583087407349e-17
3542.0 4.495813952011178e-17
3543.0 4.495797010814795e-17
3544.0 4.4957800504613185e-17
3545.0 4.4957630709276996e-17
3546.0 4.495746072190862e-17
3547.0 4.495729054227699e-17
3548.0 4.49571201701508e-17
3549.0 4.495694960529846e-17
3550.0 4.495677884748809e-17
3551.0 4.495660789648754e-17
3552.0 4.495643675206442e-17
3553.0 4.4956265413985983e-17
3554.0 4.4956093882019295e-17
3555.0 4.4955922155931095e-17
3556.0 4.495575023548783e-17
3557.0 4.4955578120455726e-17
3558.0 4.4955405810600706e-17
3559.0 4.495523330568836e-17
3560.0 4.495506060548409e-17
3561.0 4.495488770975296e-17
3562.0 4.4954714618259765e-17
3563.0 4.4954541330769044e-17
3564.0 4.495436784704504e-17
3565.0 4.4954194166851696e-17
3566.0 4.495402028995271e-17
3567.0 4.495384621611148e-17
3568.0 4.495367194509111e-17
3569.0 4.495349747665446e-17
3570.0 4.495332281056407e-17
3571.0 4.495314794658223e-17
3572.0 4.495297288447092e-17
3573.0 4.4952797623991854e-17
3574.0 4.4952622164906455e-17
3575.0 4.4952446506975876e-17
3576.0 4.495227064996096e-17
3577.0 4.49520945936223e-17
3578.0 4.495191833772017e-17
3579.0 4.495174188201457e-17
3580.0 4.495156522626526e-17
3581.0 4.495138837023163e-17
3582.0 4.4951211313672864e-17
3583.0 4.495103405634781e-17
3584.0 4.4950856598015044e-17
3585.0 4.495067893843285e-17
3586.0 4.495050107735924e-17
3587.0 4.495032301455195e-17
3588.0 4.4950144749768385e-17
3589.0 4.4949966282765685e-17
3590.0 4.4949787613300724e-17
3591.0 4.4949608741130034e-17
3592.0 4.494942966600992e-17
3593.0 4.4949250387696355e-17
3594.0 4.494907090594503e-17
3595.0 4.4948891220511354e-17
3596.0 4.4948711331150435e-17
3597.0 4.494853123761712e-17
