# wavelength flux
3300.0 7.667867147476343e-15
3301.0 7.662304006791714e-15
3302.0 7.656744902239707e-15
3303.0 7.65118983089206e-15
3304.0 7.645638789822616e-15
3305.0 7.64009177610737e-15
3306.0 7.634548786824418e-15
3307.0 7.629009819053982e-15
3308.0 7.6234748698784e-15
3309.0 7.617943936382125e-15
3310.0 7.61241701565174e-15
3311.0 7.606894104775921e-15
3312.0 7.601375200845469e-15
3313.0 7.595860300953287e-15
3314.0 7.5903494021944e-15
3315.0 7.584842501665932e-15
3316.0 7.579339596467112e-15
3317.0 7.573840683699276e-15
3318.0 7.568345760465858e-15
3319.0 7.562854823872402e-15
3320.0 7.557367871026555e-15
3321.0 7.551884899038049e-15
3322.0 7.546405905018718e-15
3323.0 7.54093088608249e-15
3324.0 7.535459839345397e-15
3325.0 7.529992761925558e-15
3326.0 7.524529650943174e-15
3327.0 7.519070503520547e-15
3328.0 7.513615316782057e-15
3329.0 7.508164087854179e-15
3330.0 7.502716813865472e-15
3331.0 7.497273491946571e-15
3332.0 7.491834119230197e-15
3333.0 7.486398692851154e-15
3334.0 7.48096720994632e-15
3335.0 7.475539667654658e-15
3336.0 7.470116063117193e-15
3337.0 7.464696393477039e-15
3338.0 7.45928065587937e-15
3339.0 7.453868847471444e-15
3340.0 7.448460965402579e-15
3341.0 7.443057006824164e-15
3342.0 7.437656968889653e-15
3343.0 7.43226084875457e-15
3344.0 7.4268686435765e-15
3345.0 7.42148035051509e-15
3346.0 7.416095966732047e-15
3347.0 7.410715489391134e-15
3348.0 7.405338915658182e-15
3349.0 7.399966242701072e-15
3350.0 7.394597467689735e-15
3351.0 7.389232587796162e-15
3352.0 7.383871600194392e-15
3353.0 7.37851450206052e-15
3354.0 7.373161290572684e-15
3355.0 7.367811962911074e-15
3356.0 7.362466516257914e-15
3357.0 7.357124947797488e-15
3358.0 7.351787254716117e-15
3359.0 7.346453434202159e-15
3360.0 7.341123483446017e-15
3361.0 7.335797399640129e-15
3362.0 7.330475179978972e-15
3363.0 7.32515682165906e-15
3364.0 7.319842321878936e-15
3365.0 7.314531677839184e-15
3366.0 7.309224886742408e-15
3367.0 7.303921945793246e-15
3368.0 7.29862285219837e-15
3369.0 7.293327603166474e-15
3370.0 7.288036195908271e-15
3371.0 7.282748627636507e-15
3372.0 7.277464895565949e-15
3373.0 7.27218499691338e-15
3374.0 7.266908928897605e-15
3375.0 7.261636688739444e-15
3376.0 7.256368273661737e-15
3377.0 7.251103680889344e-15
3378.0 7.245842907649123e-15
3379.0 7.240585951169959e-15
3380.0 7.235332808682741e-15
3381.0 7.23008347742036e-15
3382.0 7.224837954617733e-15
3383.0 7.219596237511767e-15
3384.0 7.214358323341379e-15
3385.0 7.209124209347489e-15
3386.0 7.203893892773018e-15
3387.0 7.19866737086289e-15
3388.0 7.193444640864025e-15
3389.0 7.188225700025341e-15
3390.0 7.183010545597755e-15
3391.0 7.17779917483417e-15
3392.0 7.172591584989495e-15
3393.0 7.167387773320621e-15
3394.0 7.162187737086428e-15
3395.0 7.156991473547793e-15
3396.0 7.151798979967568e-15
3397.0 7.14661025361061e-15
3398.0 7.14142529174374e-15
3399.0 7.136244091635775e-15
3400.0 7.131066650557505e-15
3401.0 7.125892965781711e-15
3402.0 7.12072303458314e-15
3403.0 7.115556854238527e-15
3404.0 7.110394422026573e-15
3405.0 7.1052357352279605e-15
3406.0 7.1000807911253454e-15
3407.0 7.094929587003348e-15
3408.0 7.089782120148566e-15
3409.0 7.084638387849562e-15
3410.0 7.079498387396864e-15
3411.0 7.0743621160829716e-15
3412.0 7.0692295712023455e-15
3413.0 7.064100750051408e-15
3414.0 7.058975649928545e-15
3415.0 7.053854268134094e-15
3416.0 7.0487366019703734e-15
3417.0 7.043622648741633e-15
3418.0 7.038512405754092e-15
3419.0 7.033405870315924e-15
3420.0 7.028303039737246e-15
3421.0 7.023203911330142e-15
3422.0 7.0181084824086356e-15
3423.0 7.013016750288698e-15
3424.0 7.007928712288252e-15
3425.0 7.002844365727166e-15
3426.0 6.997763707927255e-15
3427.0 6.992686736212268e-15
3428.0 6.987613447907907e-15
3429.0 6.9825438403418025e-15
3430.0 6.977477910843539e-15
3431.0 6.972415656744622e-15
3432.0 6.967357075378507e-15
3433.0 6.962302164080574e-15
3434.0 6.9572509201881384e-15
3435.0 6.9522033410404545e-15
3436.0 6.947159423978698e-15
3437.0 6.9421191663459815e-15
3438.0 6.9370825654873344e-15
3439.0 6.932049618749721e-15
3440.0 6.9270203234820315e-15
3441.0 6.921994677035074e-15
3442.0 6.9169726767615836e-15
3443.0 6.9119543200162054e-15
3444.0 6.906939604155518e-15
3445.0 6.901928526538013e-15
3446.0 6.896921084524094e-15
3447.0 6.891917275476085e-15
3448.0 6.886917096758218e-15
3449.0 6.881920545736637e-15
3450.0 6.876927619779412e-15
3451.0 6.871938316256504e-15
3452.0 6.866952632539787e-15
3453.0 6.861970566003046e-15
3454.0 6.856992114021971e-15
3455.0 6.8520172739741536e-15
3456.0 6.847046043239089e-15
3457.0 6.8420784191981714e-15
3458.0 6.837114399234693e-15
3459.0 6.832153980733854e-15
3460.0 6.8271971610827454e-15
3461.0 6.822243937670354e-15
3462.0 6.81729430788756e-15
3463.0 6.812348269127133e-15
3464.0 6.807405818783747e-15
3465.0 6.802466954253954e-15
3466.0 6.7975316729362e-15
3467.0 6.792599972230816e-15
3468.0 6.787671849540019e-15
3469.0 6.782747302267917e-15
3470.0 6.777826327820495e-15
3471.0 6.7729089236056205e-15
3472.0 6.767995087033042e-15
3473.0 6.763084815514386e-15
3474.0 6.758178106463164e-15
3475.0 6.753274957294757e-15
3476.0 6.748375365426422e-15
3477.0 6.7434793282772925e-15
3478.0 6.738586843268367e-15
3479.0 6.7336979078225295e-15
3480.0 6.72881251936452e-15
3481.0 6.723930675320954e-15
3482.0 6.719052373120308e-15
3483.0 6.714177610192935e-15
3484.0 6.7093063839710414e-15
3485.0 6.704438691888699e-15
3486.0 6.699574531381847e-15
3487.0 6.694713899888276e-15
3488.0 6.6898567948476465e-15
3489.0 6.6850032137014645e-15
3490.0 6.680153153893104e-15
3491.0 6.675306612867783e-15
3492.0 6.670463588072575e-15
3493.0 6.665624076956417e-15
3494.0 6.6607880769700865e-15
3495.0 6.655955585566207e-15
3496.0 6.65112660019926e-15
3497.0 6.646301118325568e-15
3498.0 6.641479137403302e-15
3499.0 6.636660654892476e-15
3500.0 6.631845668254943e-15
3501.0 6.627034174954403e-15
3502.0 6.62222617245639e-15
3503.0 6.617421658228287e-15
3504.0 6.612620629739305e-15
3505.0 6.607823084460496e-15
3506.0 6.603029019864743e-15
3507.0 6.598238433426763e-15
3508.0 6.59345132262311e-15
3509.0 6.5886676849321645e-15
3510.0 6.583887517834138e-15
3511.0 6.579110818811063e-15
3512.0 6.5743375853468155e-15
3513.0 6.569567814927082e-15
3514.0 6.5648015050393786e-15
3515.0 6.560038653173042e-15
3516.0 6.555279256819231e-15
3517.0 6.5505233134709296e-15
3518.0 6.545770820622936e-15
3519.0 6.541021775771867e-15
3520.0 6.536276176416151e-15
3521.0 6.531534020056037e-15
3522.0 6.5267953041935904e-15
3523.0 6.522060026332683e-15
3524.0 6.517328183978997e-15
3525.0 6.512599774640028e-15
3526.0 6.507874795825077e-15
3527.0 6.503153245045257e-15
3528.0 6.498435119813482e-15
3529.0 6.4937204176444685e-15
3530.0 6.489009136054744e-15
3531.0 6.484301272562628e-15
3532.0 6.4795968246882504e-15
3533.0 6.4748957899535325e-15
3534.0 6.470198165882198e-15
3535.0 6.465503949999762e-15
3536.0 6.460813139833544e-15
3537.0 6.4561257329126475e-15
3538.0 6.451441726767979e-15
3539.0 6.446761118932222e-15
3540.0 6.44208390693986e-15
3541.0 6.437410088327171e-15
3542.0 6.432739660632209e-15
3543.0 6.4280726213948156e-15
3544.0 6.4234089681566255e-15
3545.0 6.418748698461045e-15
3546.0 6.414091809853276e-15
3547.0 6.40943829988029e-15
3548.0 6.404788166090846e-15
3549.0 6.400141406035476e-15
3550.0 6.395498017266489e-15
3551.0 6.390857997337979e-15
3552.0 6.386221343805802e-15
3553.0 6.381588054227599e-15
3554.0 6.37695812616277e-15
3555.0 6.372331557172494e-15
3556.0 6.3677083448197214e-15
3557.0 6.363088486669166e-15
3558.0 6.35847198028731e-15
3559.0 6.3538588232424e-15
3560.0 6.349249013104444e-15
3561.0 6.344642547445226e-15
3562.0 6.3400394238382766e-15
3563.0 6.335439639858894e-15
3564.0 6.33084319308413e-15
3565.0 6.3262500810928064e-15
3566.0 6.32166030146549e-15
3567.0 6.3170738517845075e-15
3568.0 6.312490729633936e-15
3569.0 6.3079109325996085e-15
3570.0 6.3033344582691135e-15
3571.0 6.298761304231783e-15
3572.0 6.2941914680787e-15
3573.0 6.2896249474026965e-15
3574.0 6.285061739798347e-15
3575.0 6.2805018428619785e-15
3576.0 6.275945254191658e-15
3577.0 6.271391971387191e-15
3578.0 6.26684199205013e-15
3579.0 6.2622953137837635e-15
3580.0 6.257751934193129e-15
3581.0 6.253211850884985e-15
3582.0 6.248675061467838e-15
3583.0 6.2441415635519285e-15
3584.0 6.2396113547492205e-15
3585.0 6.235084432673432e-15
3586.0 6.2305607949399904e-15
3587.0 6.226040439166065e-15
3588.0 6.22152336297055e-15
3589.0 6.2170095639740656e-15
3590.0 6.212499039798966e-15
3591.0 6.207991788069321e-15
3592.0 6.20348780641093e-15
3593.0 6.198987092451309e-15
3594.0 6.194489643819706e-15
3595.0 6.189995458147078e-15
3596.0 6.1855045330661075e-15
3597.0 6.1810168662111896e-15
3598.0 6.176532455218436e-15
3599.0 6.172051297725685e-15
3600.0 6.1675733913724716e-15
3601.0 6.163098733800055e-15
3602.0 6.158627322651399e-15
3603.0 6.154159155571178e-15
3604.0 6.149694230205783e-15
3605.0 6.145232544203305e-15
3606.0 6.140774095213544e-15
3607.0 6.136318880888002e-15
3608.0 6.13186689887989e-15
3609.0 6.1274181468441186e-15
3610.0 6.1229726224372975e-15
3611.0 6.118530323317744e-15
3612.0 6.114091247145468e-15
3613.0 6.109655391582174e-15
3614.0 6.105222754291274e-15
3615.0 6.1007933329378644e-15
3616.0 6.0963671251887435e-15
3617.0 6.091944128712397e-15
3618.0 6.087524341179002e-15
3619.0 6.083107760260433e-15
3620.0 6.0786943836302466e-15
3621.0 6.074284208963687e-15
3622.0 6.069877233937686e-15
3623.0 6.06547345623087e-15
3624.0 6.0610728735235356e-15
3625.0 6.056675483497668e-15
3626.0 6.052281283836936e-15
3627.0 6.0478902722266874e-15
3628.0 6.043502446353951e-15
3629.0 6.039117803907431e-15
3630.0 6.0347363425775105e-15
3631.0 6.0303580600562434e-15
3632.0 6.025982954037366e-15
3633.0 6.021611022216283e-15
3634.0 6.017242262290072e-15
3635.0 6.0128766719574824e-15
3636.0 6.00851424891893e-15
3637.0 6.0041549908765004e-15
3638.0 5.999798895533949e-15
3639.0 5.995445960596697e-15
3640.0 5.991096183771826e-15
3641.0 5.986749562768084e-15
3642.0 5.982406095295878e-15
3643.0 5.9780657790672884e-15
3644.0 5.973728611796036e-15
3645.0 5.969394591197518e-15
3646.0 5.965063714988775e-15
3647.0 5.9607359808885175e-15
3648.0 5.9564113866171e-15
3649.0 5.9520899298965386e-15
3650.0 6.6538e-15
3654.24 6.6126e-15
3658.48 6.9139e-15
3662.72 6.9274e-15
3666.95 6.7273e-15
3671.19 6.6814e-15
3675.43 6.7641e-15
3679.67 6.8404e-15
3683.91 6.6578e-15
3688.15 6.779e-15
3692.39 6.7681e-15
3696.62 6.7287e-15
3700.86 6.6121e-15
3705.1 6.3847e-15
3709.34 6.4327e-15
3713.58 6.4253e-15
3717.82 6.4916e-15
3722.06 6.5609e-15
3726.29 6.4842e-15
3730.53 6.5427e-15
3734.77 6.8058e-15
3739.01 6.5297e-15
3743.25 6.1482e-15
3747.49 6.0777e-15
