# wavelength flux
3300.0 4.0368063861013434e-16
3301.0 4.036768980318219e-16
3302.0 4.0367315717059543e-16
3303.0 4.03669416026033e-16
3304.0 4.0366567459771185e-16
3305.0 4.036619328852087e-16
3306.0 4.0365819088810007e-16
3307.0 4.036544486059615e-16
3308.0 4.036507060383682e-16
3309.0 4.0364696318489453e-16
3310.0 4.0364322004511476e-16
3311.0 4.036394766186021e-16
3312.0 4.036357329049293e-16
3313.0 4.0363198890366897e-16
3314.0 4.036282446143925e-16
3315.0 4.0362450003667105e-16
3316.0 4.036207551700752e-16
3317.0 4.0361701001417483e-16
3318.0 4.036132645685395e-16
3319.0 4.0360951883273776e-16
3320.0 4.036057728063381e-16
3321.0 4.0360202648890802e-16
3322.0 4.035982798800145e-16
3323.0 4.0359453297922426e-16
3324.0 4.0359078578610307e-16
3325.0 4.035870383002162e-16
3326.0 4.0358329052112846e-16
3327.0 4.03579542448404e-16
3328.0 4.0357579408160637e-16
3329.0 4.035720454202984e-16
3330.0 4.035682964640428e-16
3331.0 4.035645472124011e-16
3332.0 4.035607976649347e-16
3333.0 4.0355704782120413e-16
3334.0 4.0355329768076947e-16
3335.0 4.0354954724319003e-16
3336.0 4.035457965080249e-16
3337.0 4.035420454748322e-16
3338.0 4.035382941431696e-16
3339.0 4.0353454251259426e-16
3340.0 4.035307905826625e-16
3341.0 4.0352703835293047e-16
3342.0 4.035232858229532e-16
3343.0 4.0351953299228557e-16
3344.0 4.035157798604815e-16
3345.0 4.035120264270947e-16
3346.0 4.0350827269167786e-16
3347.0 4.035045186537834e-16
3348.0 4.0350076431296305e-16
3349.0 4.034970096687678e-16
3350.0 4.034932547207482e-16
3351.0 4.0348949946845405e-16
3352.0 4.0348574391143486e-16
3353.0 4.034819880492391e-16
3354.0 4.034782318814149e-16
3355.0 4.0347447540750973e-16
3356.0 4.034707186270705e-16
3357.0 4.034669615396434e-16
3358.0 4.034632041447741e-16
3359.0 4.034594464420075e-16
3360.0 4.0345568843088835e-16
3361.0 4.0345193011096017e-16
3362.0 4.0344817148176626e-16
3363.0 4.034444125428492e-16
3364.0 4.03440653293751e-16
3365.0 4.0343689373401287e-16
3366.0 4.0343313386317566e-16
3367.0 4.034293736807794e-16
3368.0 4.034256131863639e-16
3369.0 4.0342185237946774e-16
3370.0 4.034180912596293e-16
3371.0 4.034143298263861e-16
3372.0 4.0341056807927543e-16
3373.0 4.0340680601783347e-16
3374.0 4.0340304364159607e-16
3375.0 4.033992809500985e-16
3376.0 4.0339551794287507e-16
3377.0 4.033917546194599e-16
3378.0 4.0338799097938634e-16
3379.0 4.0338422702218674e-16
3380.0 4.033804627473934e-16
3381.0 4.033766981545376e-16
3382.0 4.033729332431502e-16
3383.0 4.0336916801276125e-16
3384.0 4.033654024629005e-16
3385.0 4.033616365930965e-16
3386.0 4.033578704028777e-16
3387.0 4.0335410389177165e-16
3388.0 4.033503370593055e-16
3389.0 4.033465699050054e-16
3390.0 4.03342802428397e-16
