# wavelength flux
3201.45440 8.42223e-18
3203.39791 9.06867e-18
3205.35149 -9.62486e-18
3207.30507 -1.03889e-17
3209.24858 3.68794e-18
3211.20216 1.83673e-17
3213.14567 2.24644e-17
3215.09925 1.82935e-18
3217.05283 1.06711e-17
3218.99634 9.12087e-18
3220.94992 6.75449e-18
3222.90350 7.60793e-18
3224.84701 -7.80809e-18
3226.80059 -1.62927e-18
3228.75417 1.62477e-17
3230.69768 1.41593e-17
3232.65126 5.16890e-18
3234.60484 3.84265e-18
3236.54835 -7.33876e-19
3238.50193 -1.08966e-18
3240.44544 4.11670e-18
3242.39902 1.62574e-18
3244.35260 -5.65437e-18
3246.29611 -5.18624e-18
3248.24969 -9.19463e-18
3250.20327 -6.29242e-18
3252.14678 -2.13044e-18
3254.10036 -7.58613e-18
3256.05394 -3.24129e-18
3257.99745 6.10431e-18
3259.95103 -9.94482e-18
3261.90461 -6.11542e-18
3263.84812 2.00561e-17
3265.80170 1.05806e-17
3267.74521 -1.24793e-17
3269.69879 -5.00788e-18
3271.65237 5.71302e-18
3273.59588 2.30363e-18
3275.54946 3.41467e-18
3277.50304 1.08009e-17
3279.44655 1.74518e-17
3281.40013 1.97324e-18
3283.35371 1.04650e-18
3285.29722 8.75445e-18
3287.25080 5.27929e-18
3289.20438 1.43109e-18
3291.14789 6.19252e-18
3293.10147 -9.14695e-19
3295.05505 -1.12432e-18
3296.99856 -4.06185e-18
3298.95214 -8.12831e-18
3300.89565 1.75388e-17
3302.84923 2.86129e-17
3304.80281 1.36983e-17
3306.74632 6.28257e-18
3308.69990 6.91769e-18
3310.65348 5.90919e-18
3312.59699 -1.71644e-18
3314.55057 -8.32949e-18
3316.50415 -7.78888e-19
3318.44766 7.64291e-18
3320.40124 3.77614e-18
3322.35482 -1.13879e-18
3324.29833 2.38706e-18
3326.25191 5.74726e-18
3328.19542 3.17954e-18
3330.14900 -1.06543e-17
3332.10258 -2.97873e-18
3334.04609 3.73575e-18
3335.99967 -4.22820e-18
3337.95325 -2.11756e-18
3339.89676 5.59155e-18
3341.85034 2.50052e-18
3343.80392 3.05177e-18
3345.74743 -2.82181e-19
3347.70101 -3.81160e-18
3349.65459 -8.95226e-19
3351.59810 -8.82534e-18
3353.55168 -8.59781e-18
3355.49519 2.24986e-18
3357.44877 -4.15891e-19
3359.40235 -5.38214e-18
3361.34586 -4.28878e-18
3363.29944 4.26017e-18
3365.25302 6.30347e-18
3367.19653 -3.80324e-18
3369.15011 -2.49783e-18
3371.10369 -1.85042e-18
3373.04720 -4.52877e-18
3375.00078 4.06960e-18
