# wavelength flux
3491.65808 2.16582e-18
3493.65724 2.67628e-18
3495.64634 1.62249e-18
3497.64550 9.19234e-19
3499.63461 1.07812e-18
3501.63376 1.01354e-18
3503.63291 1.38468e-18
3505.62202 1.57257e-18
3507.62118 1.43479e-18
3509.62033 2.24856e-18
3511.60944 1.63836e-18
3513.60859 1.87095e-18
3515.59770 1.75424e-18
3517.59685 1.28457e-18
3519.59601 1.39470e-18
3521.58512 9.73230e-19
3523.58427 -2.70560e-20
3525.57338 8.01771e-19
3527.57253 1.98424e-18
3529.57169 2.31120e-18
3531.56079 1.78174e-18
3533.55995 2.08149e-18
3535.54906 2.67908e-18
3537.54821 7.39554e-19
3539.54736 1.13296e-18
3541.53647 1.92317e-18
3543.53563 1.26778e-18
3545.52473 1.33090e-18
3547.52389 6.62417e-19
3549.52304 -4.67219e-19
3551.51215 5.75701e-19
3553.51130 8.09198e-19
3555.51046 1.36423e-18
3557.49957 2.02670e-18
3559.49872 1.17409e-18
3561.48783 1.16856e-18
3563.48698 1.84839e-18
3565.48614 2.28438e-18
3567.47524 9.15644e-19
3569.47440 1.12739e-18
3571.46351 1.16370e-18
3573.46266 1.64070e-18
3575.46181 1.17779e-18
3577.45092 8.12255e-19
3579.45008 8.71958e-19
3581.43918 1.29027e-18
3583.43834 1.58008e-18
3585.43749 1.97645e-18
3587.42660 1.66207e-18
3589.42575 8.69382e-19
3591.42491 1.27969e-18
3593.41402 8.81518e-19
3595.41317 1.50386e-18
3597.40228 1.73229e-18
3599.40143 1.03320e-18
3601.40059 1.48940e-18
3603.38969 1.46390e-18
3605.38885 2.02543e-18
3607.37796 1.58925e-18
3609.37711 9.54895e-19
3611.37626 1.33048e-18
3613.36537 1.87513e-18
3615.36453 1.26113e-18
3617.35363 1.28472e-18
3619.35279 2.02528e-18
3621.35194 1.44723e-18
3623.34105 8.07939e-19
3625.34020 1.70059e-18
3627.33936 8.61331e-19
3629.32847 1.31326e-18
3631.32762 1.57432e-18
3633.31673 1.45308e-18
3635.31588 1.00840e-18
3637.31504 1.43195e-18
3639.30414 2.01173e-18
3641.30330 1.50441e-18
3643.29241 1.30970e-18
3645.29156 1.67942e-18
3647.29071 1.64944e-18
3649.27982 1.50616e-18
3651.27898 1.63997e-18
3653.26808 9.90229e-19
3655.26724 1.20113e-18
3657.26639 1.10149e-18
3659.25550 1.37897e-18
3661.25465 1.36093e-18
3663.24376 1.05320e-18
3665.24292 8.72458e-19
3667.24207 1.54816e-18
3669.23118 7.30557e-19
3671.23033 1.45043e-18
3673.22949 1.90283e-18
3675.21859 2.06223e-18
3677.21775 1.53867e-18
3679.20686 1.77706e-18
3681.20601 1.34640e-18
3683.20516 1.68889e-18
3685.19427 1.61741e-18
3687.19343 1.07572e-18
3689.18253 1.36331e-18
3691.18169 1.13363e-18
3693.18084 8.55528e-19
3695.16995 7.08181e-19
3697.16910 1.14250e-18
3699.15821 1.64913e-18
3701.15737 1.29502e-18
3703.15652 2.19914e-18
3705.14563 2.22191e-18
3707.14478 1.15457e-18
3709.14394 1.96802e-18
3711.13304 1.35824e-18
3713.13220 1.25004e-18
3715.12131 1.40365e-18
3717.12046 1.72878e-18
3719.11961 1.85557e-18
3721.10872 1.31374e-18
3723.10788 1.20943e-18
3725.09698 1.19102e-18
3727.09614 1.17262e-18
3729.09529 1.14147e-18
3731.08440 1.11033e-18
3733.08355 1.07919e-18
3735.07266 1.04806e-18
3737.07182 1.01692e-18
3739.07097 9.85791e-19
3741.06008 9.54664e-19
3743.05923 9.23539e-19
3745.04834 8.92417e-19
3747.04749 8.61298e-19
3749.04665 8.30182e-19
3751.03576 7.99069e-19
3753.03491 7.67958e-19
3755.03406 7.36850e-19
3757.02317 7.05746e-19
3759.02233 6.74644e-19
3761.01143 6.43545e-19
3763.01059 6.12448e-19
3765.00974 5.81350e-19
3766.99885 1.05923e-18
3768.99800 9.00047e-19
3770.98711 7.59387e-19
3772.98627 6.55841e-19
3774.98542 3.27676e-19
3776.97453 7.81224e-19
3778.97368 7.71167e-19
3780.96279 6.15270e-19
3782.96194 1.07687e-18
3784.96110 1.00568e-18
