# wavelength flux
3300.0 5.264124632154613e-10
3301.0 5.264124621248869e-10
3302.0 5.264124610343125e-10
3303.0 5.264124599437381e-10
3304.0 5.264124588531637e-10
3305.0 5.264124577625894e-10
3306.0 5.264124566720149e-10
3307.0 5.264124555814406e-10
3308.0 5.264124544908662e-10
3309.0 5.264124534002919e-10
3310.0 5.264124523097175e-10
3311.0 5.264124512191431e-10
3312.0 5.264124501285688e-10
3313.0 5.264124490379944e-10
3314.0 5.264124479474201e-10
3315.0 5.264124468568457e-10
3316.0 5.264124457662714e-10
3317.0 5.26412444675697e-10
3318.0 5.264124435851227e-10
3319.0 5.264124424945483e-10
3320.0 5.26412441403974e-10
3321.0 5.264124403133996e-10
3322.0 5.264124392228253e-10
3323.0 5.264124381322509e-10
3324.0 5.264124370416766e-10
3325.0 5.264124359511022e-10
3326.0 5.26412434860528e-10
3327.0 5.264124337699536e-10
3328.0 5.264124326793793e-10
3329.0 5.264124315888049e-10
3330.0 5.264124304982306e-10
3331.0 5.264124294076563e-10
3332.0 5.26412428317082e-10
3333.0 5.264124272265077e-10
3334.0 5.264124261359334e-10
3335.0 5.264124250453591e-10
3336.0 5.264124239547848e-10
3337.0 5.264124228642106e-10
3338.0 5.264124217736362e-10
3339.0 5.264124206830619e-10
3340.0 5.264124195924876e-10
3341.0 5.264124185019133e-10
3342.0 5.26412417411339e-10
3343.0 5.264124163207647e-10
3344.0 5.264124152301904e-10
3345.0 5.264124141396162e-10
3346.0 5.264124130490418e-10
3347.0 5.264124119584676e-10
3348.0 5.264124108678932e-10
3349.0 5.264124097773191e-10
3350.0 5.264124086867447e-10
3351.0 5.264124075961705e-10
3352.0 5.264124065055961e-10
3353.0 5.26412405415022e-10
3354.0 5.264124043244476e-10
3355.0 5.264124032338734e-10
3356.0 5.264124021432991e-10
3357.0 5.264124010527249e-10
3358.0 5.264123999621506e-10
3359.0 5.264123988715764e-10
3360.0 5.264123977810021e-10
3361.0 5.264123966904278e-10
3362.0 5.264123955998536e-10
3363.0 5.264123945092794e-10
3364.0 5.26412393418705e-10
3365.0 5.264123923281309e-10
3366.0 5.264123912375566e-10
3367.0 5.264123901469824e-10
3368.0 5.264123890564081e-10
3369.0 5.26412387965834e-10
3370.0 5.264123868752596e-10
3371.0 5.264123857846855e-10
3372.0 5.264123846941112e-10
3373.0 5.26412383603537e-10
3374.0 5.264123825129628e-10
3375.0 5.264123814223886e-10
3376.0 5.264123803318143e-10
3377.0 5.2641237924124e-10
3378.0 5.264123781506659e-10
3379.0 5.264123770600916e-10
3380.0 5.264123759695175e-10
3381.0 5.264123748789432e-10
3382.0 5.264123737883691e-10
3383.0 5.264123726977948e-10
3384.0 5.264123716072207e-10
3385.0 5.264123705166464e-10
3386.0 5.264123694260723e-10
3387.0 5.264123683354981e-10
3388.0 5.26412367244924e-10
3389.0 5.264123661543497e-10
3390.0 5.264123650637756e-10
3391.0 5.264123639732013e-10
3392.0 5.264123628826273e-10
3393.0 5.26412361792053e-10
3394.0 5.264123607014788e-10
3395.0 5.264123596109046e-10
3396.0 5.264123585203305e-10
3397.0 5.264123574297563e-10
3398.0 5.264123563391822e-10
3399.0 5.26412355248608e-10
3400.0 5.264123541580337e-10
3401.0 5.264123530674597e-10
3402.0 5.264123519768854e-10
3403.0 5.264123508863114e-10
3404.0 5.264123497957371e-10
3405.0 5.264123487051631e-10
3406.0 5.264123476145888e-10
3407.0 5.264123465240148e-10
3408.0 5.264123454334405e-10
3409.0 5.264123443428665e-10
3410.0 5.264123432522923e-10
3411.0 5.264123421617182e-10
3412.0 5.26412341071144e-10
3413.0 5.2641233998057e-10
3414.0 5.264123388899958e-10
3415.0 5.264123377994216e-10
3416.0 5.264123367088475e-10
3417.0 5.264123356182734e-10
3418.0 5.264123345276993e-10
3419.0 5.264123334371252e-10
3420.0 5.26412332346551e-10
3421.0 5.264123312559769e-10
3422.0 5.264123301654028e-10
3423.0 5.264123290748287e-10
3424.0 5.264123279842546e-10
3425.0 5.264123268936805e-10
3426.0 5.264123258031064e-10
3427.0 5.264123247125323e-10
3428.0 5.264123236219581e-10
3429.0 5.264123225313841e-10
3430.0 5.264123214408099e-10
3431.0 5.264123203502359e-10
3432.0 5.264123192596618e-10
3433.0 5.264123181690878e-10
3434.0 5.264123170785136e-10
3435.0 5.264123159879396e-10
3436.0 5.264123148973654e-10
3437.0 5.264123138067914e-10
3438.0 5.264123127162173e-10
3439.0 5.264123116256432e-10
3440.0 5.264123105350691e-10
3441.0 5.264123094444951e-10
3442.0 5.26412308353921e-10
3443.0 5.264123072633469e-10
3444.0 5.264123061727729e-10
3445.0 5.264123050821988e-10
3446.0 5.264123039916248e-10
3447.0 5.264123029010507e-10
3448.0 5.264123018104766e-10
3449.0 5.264123007199026e-10
3450.0 5.264122996293285e-10
3451.0 5.264122985387545e-10
3452.0 5.264122974481804e-10
3453.0 5.264122963576065e-10
3454.0 5.264122952670323e-10
3455.0 5.264122941764583e-10
3456.0 5.264122930858843e-10
3457.0 5.264122919953102e-10
3458.0 5.264122909047363e-10
3459.0 5.264122898141622e-10
3460.0 5.264122887235882e-10
3461.0 5.264122876330141e-10
3462.0 5.264122865424402e-10
3463.0 5.264122854518661e-10
3464.0 5.264122843612921e-10
3465.0 5.264122832707181e-10
3466.0 5.264122821801441e-10
3467.0 5.2641228108957e-10
3468.0 5.26412279998996e-10
3469.0 5.26412278908422e-10
3470.0 5.26412277817848e-10
3471.0 5.264122767272739e-10
3472.0 5.264122756367e-10
3473.0 5.26412274546126e-10
3474.0 5.264122734555521e-10
3475.0 5.264122723649781e-10
3476.0 5.264122712744041e-10
3477.0 5.264122701838301e-10
3478.0 5.26412269093256e-10
3479.0 5.264122680026821e-10
3480.0 5.264122669121081e-10
3481.0 5.264122658215342e-10
3482.0 5.264122647309601e-10
3483.0 5.264122636403862e-10
3484.0 5.264122625498122e-10
3485.0 5.264122614592382e-10
3486.0 5.264122603686642e-10
3487.0 5.264122592780903e-10
3488.0 5.264122581875164e-10
3489.0 5.264122570969424e-10
3490.0 5.264122560063684e-10
3491.0 5.264122549157944e-10
3492.0 5.264122538252205e-10
3493.0 5.264122527346465e-10
3494.0 5.264122516440726e-10
3495.0 5.264122505534987e-10
3496.0 5.264122494629247e-10
3497.0 5.264122483723508e-10
3498.0 5.264122472817768e-10
3499.0 5.264122461912029e-10
3500.0 5.26412245100629e-10
3500.52 3.7584e-10
3501.99 3.4734e-10
3503.46 3.6218e-10
3504.93 4.3934e-10
3506.4 4.2118e-10
3507.87 4.2155e-10
3509.34 4.9542e-10
3510.81 5.4282e-10
3512.28 7.4052e-10
3513.75 7.4649e-10
3515.22 4.3638e-10
3516.69 2.9772e-10
3518.16 3.0035e-10
3519.63 3.9806e-10
3521.1 4.3022e-10
3522.57 3.3783e-10
3524.04 2.4152e-10
3525.51 3.8987e-10
3526.98 6.5983e-10
3528.45 6.955e-10
3529.92 6.8969e-10
3531.39 6.2763e-10
3532.86 6.3211e-10
3534.33 7.5253e-10
3535.8 8.7541e-10
3537.27 6.1116e-10
3538.74 4.4808e-10
3540.21 5.4828e-10
3541.68 7.0027e-10
3543.15 6.183e-10
3544.62 6.6375e-10
3546.09 4.1372e-10
3547.56 3.9218e-10
3549.03 6.4907e-10
3550.5 6.5458e-10
3551.97 6.0941e-10
3553.44 5.6709e-10
3554.91 5.491e-10
3556.38 5.2922e-10
3557.85 4.0289e-10
3559.32 4.2733e-10
3560.79 4.5326e-10
3562.26 4.8076e-10
3563.73 5.0992e-10
3565.2 5.4086e-10
3566.67 5.7367e-10
3568.14 6.0848e-10
3569.61 6.454e-10
3571.08 6.8455e-10
3572.55 7.2608e-10
3574.02 7.7013e-10
3575.49 8.1686e-10
3576.96 8.1686e-10
3578.43 5.244e-10
3579.9 5.4256e-10
3581.37 6.3463e-10
3582.84 7.061e-10
3584.31 5.8759e-10
3585.78 5.0485e-10
3587.25 6.7312e-10
3588.72 6.7858e-10
3590.19 6.2604e-10
3591.66 6.5203e-10
3593.13 8.3967e-10
3594.6 8.4985e-10
3596.07 5.8537e-10
3597.54 5.0354e-10
3599.01 7.3838e-10
3600.48 8.1193e-10
3601.95 6.1126e-10
3603.42 5.9407e-10
3604.89 6.1605e-10
3606.36 7.7584e-10
3607.83 6.4007e-10
3609.3 4.3438e-10
3610.77 4.9998e-10
3612.24 6.1466e-10
3613.71 6.0495e-10
3615.18 6.5411e-10
3616.65 8.4662e-10
3618.12 8.6878e-10
3619.59 8.0003e-10
3621.06 1.0203e-09
3622.53 9.4348e-10
3624.0 6.7539e-10
3625.47 6.7624e-10
3626.94 7.0675e-10
3628.41 7.0086e-10
3629.88 6.8265e-10
3631.35 6.9585e-10
3632.82 6.6327e-10
3634.29 5.1532e-10
3635.76 5.1863e-10
3637.23 6.5951e-10
3638.7 6.183e-10
3640.17 5.2843e-10
3641.64 5.917e-10
3643.11 6.3136e-10
3644.58 5.3738e-10
3646.05 6.0404e-10
3647.52 7.8445e-10
3648.99 6.1701e-10
3650.46 5.8277e-10
3651.93 6.2213e-10
3653.4 5.2322e-10
3654.87 6.1213e-10
3656.34 5.4641e-10
3657.81 6.4508e-10
3659.28 1.1463e-09
3660.75 7.8924e-10
3662.22 5.4785e-10
3663.69 7.408e-10
3665.16 8.0997e-10
3666.63 7.918e-10
3668.1 7.8686e-10
3669.57 7.0514e-10
3671.04 5.6071e-10
3672.51 5.1544e-10
3673.98 6.4314e-10
3675.45 7.9869e-10
3676.92 7.8998e-10
3678.39 6.563e-10
3679.86 5.6533e-10
3681.33 6.6563e-10
3682.8 6.1677e-10
3684.27 5.2531e-10
3685.74 5.1842e-10
3687.21 5.5337e-10
3688.68 5.5323e-10
3690.15 5.3316e-10
3691.62 5.5794e-10
3693.09 5.1232e-10
3694.56 4.3226e-10
3696.03 4.0995e-10
3697.5 4.4684e-10
3698.97 5.695e-10
3700.44 6.9563e-10
3701.91 8.9486e-10
3703.38 7.6031e-10
3704.85 6.5042e-10
3706.32 5.7907e-10
3707.79 5.7325e-10
3709.26 8.4035e-10
3710.73 7.7225e-10
3712.2 6.1902e-10
3713.67 5.855e-10
3715.14 6.5596e-10
3716.61 8.1385e-10
3718.08 9.3062e-10
3719.55 7.6744e-10
3721.02 5.9974e-10
3722.49 6.2019e-10
3723.96 7.1249e-10
3725.43 6.987e-10
3726.9 6.2323e-10
3728.37 6.0031e-10
3729.84 6.3587e-10
3731.31 6.5901e-10
3732.78 6.82e-10
3734.25 7.9505e-10
3735.72 8.4343e-10
3737.19 8.3196e-10
3738.66 7.6152e-10
