# wavelength flux
1500.0 2.1630903398098386e-18
1501.0 2.1652779079950108e-18
1502.0 2.1674654761801825e-18
1503.0 2.1696530443653547e-18
1504.0 2.1718406125505264e-18
1505.0 2.1740281807356985e-18
1506.0 2.1762157489208707e-18
1507.0 2.1784033171060424e-18
1508.0 2.1805908852912146e-18
1509.0 2.1827784534763863e-18
1510.0 2.1849660216615584e-18
1511.0 2.18715358984673e-18
1512.0 2.1893411580319023e-18
1513.0 2.1915287262170744e-18
1514.0 2.1937162944022462e-18
1515.0 2.1959038625874183e-18
1516.0 2.19809143077259e-18
1517.0 2.2002789989577622e-18
1518.0 2.2024665671429343e-18
1519.0 2.204654135328106e-18
1520.0 2.2068417035132782e-18
1521.0 2.20902927169845e-18
1522.0 2.211216839883622e-18
1523.0 2.213404408068794e-18
1524.0 2.215591976253966e-18
1525.0 2.217779544439138e-18
1526.0 2.21996711262431e-18
1527.0 2.222154680809482e-18
1528.0 2.2243422489946537e-18
1529.0 2.226529817179826e-18
1530.0 2.228717385364998e-18
1531.0 2.2309049535501698e-18
1532.0 2.233092521735342e-18
1533.0 2.2352800899205136e-18
1534.0 2.2374676581056858e-18
1535.0 2.2396552262908575e-18
1536.0 2.2418427944760297e-18
1537.0 2.2440303626612018e-18
1538.0 2.2462179308463735e-18
1539.0 2.2484054990315457e-18
1540.0 2.2505930672167174e-18
1541.0 2.2527806354018895e-18
1542.0 2.2549682035870617e-18
1543.0 2.2571557717722334e-18
1544.0 2.2593433399574056e-18
1545.0 2.2615309081425773e-18
1546.0 2.2637184763277494e-18
1547.0 2.265906044512921e-18
1548.0 2.2680936126980933e-18
1549.0 2.2702811808832655e-18
1550.0 2.2724687490684372e-18
1551.0 2.2746563172536093e-18
1552.0 2.276843885438781e-18
1553.0 2.2790314536239532e-18
1554.0 2.2812190218091254e-18
1555.0 2.283406589994297e-18
1556.0 2.2855941581794692e-18
1557.0 2.287781726364641e-18
1558.0 2.289969294549813e-18
1559.0 2.292156862734985e-18
1560.0 2.294344430920157e-18
1561.0 2.296531999105329e-18
1562.0 2.298719567290501e-18
1563.0 2.300907135475673e-18
1564.0 2.3030947036608448e-18
1565.0 2.305282271846017e-18
1566.0 2.307469840031189e-18
1567.0 2.3096574082163608e-18
1568.0 2.311844976401533e-18
1569.0 2.3140325445867046e-18
1570.0 2.3162201127718768e-18
1571.0 2.3184076809570485e-18
1572.0 2.3205952491422207e-18
1573.0 2.3227828173273928e-18
1574.0 2.3249703855125645e-18
1575.0 2.3271579536977367e-18
1576.0 2.3293455218829084e-18
1577.0 2.3315330900680806e-18
1578.0 2.3337206582532527e-18
1579.0 2.3359082264384244e-18
1580.0 2.3380957946235966e-18
1581.0 2.3402833628087683e-18
1582.0 2.3424709309939405e-18
1583.0 2.3446584991791122e-18
1584.0 2.3468460673642843e-18
1585.0 2.3490336355494565e-18
1586.0 2.3512212037346282e-18
1587.0 2.3534087719198003e-18
1588.0 2.355596340104972e-18
1589.0 2.3577839082901442e-18
1590.0 2.3599714764753164e-18
1591.0 2.362159044660488e-18
1592.0 2.3643466128456602e-18
1593.0 2.366534181030832e-18
1594.0 2.368721749216004e-18
1595.0 2.3709093174011763e-18
1596.0 2.373096885586348e-18
1597.0 2.37528445377152e-18
1598.0 2.377472021956692e-18
1599.0 2.379659590141864e-18
1600.0 2.3818471583270358e-18
1601.0 2.384034726512208e-18
1602.0 2.38622229469738e-18
1603.0 2.3884098628825518e-18
1604.0 2.390597431067724e-18
1605.0 2.3927849992528957e-18
1606.0 2.3949725674380678e-18
1607.0 2.3971601356232395e-18
1608.0 2.3993477038084117e-18
1609.0 2.4015352719935838e-18
1610.0 2.4037228401787556e-18
1611.0 2.4059104083639277e-18
1612.0 2.4080979765490994e-18
1613.0 2.4102855447342716e-18
1614.0 2.4124731129194437e-18
1615.0 2.4146606811046154e-18
1616.0 2.4168482492897876e-18
1617.0 2.4190358174749593e-18
1618.0 2.4212233856601315e-18
1619.0 2.4234109538453036e-18
1620.0 2.4255985220304753e-18
1621.0 2.4277860902156475e-18
1622.0 2.4299736584008192e-18
1623.0 2.4321612265859914e-18
1624.0 2.434348794771163e-18
1625.0 2.4365363629563352e-18
1626.0 2.4387239311415074e-18
1627.0 2.440911499326679e-18
1628.0 2.4430990675118512e-18
1629.0 2.445286635697023e-18
1630.0 2.447474203882195e-18
1631.0 2.449661772067367e-18
1632.0 2.451849340252539e-18
1633.0 2.454036908437711e-18
1634.0 2.456224476622883e-18
1635.0 2.458412044808055e-18
1636.0 2.4605996129932268e-18
1637.0 2.462787181178399e-18
1638.0 2.464974749363571e-18
1639.0 2.4671623175487428e-18
1640.0 2.469349885733915e-18
1641.0 2.4715374539190867e-18
1642.0 2.4737250221042588e-18
1643.0 2.475912590289431e-18
1644.0 2.4781001584746027e-18
1645.0 2.480287726659775e-18
1646.0 2.4824752948449466e-18
1647.0 2.4846628630301187e-18
1648.0 2.4868504312152904e-18
1649.0 2.4890379994004626e-18
1650.0 2.4912255675856347e-18
1651.0 2.4934131357708065e-18
1652.0 2.4956007039559786e-18
1653.0 2.4977882721411503e-18
1654.0 2.4999758403263225e-18
1655.0 2.5021634085114942e-18
1656.0 2.5043509766966663e-18
1657.0 2.5065385448818385e-18
1658.0 2.5087261130670102e-18
1659.0 2.5109136812521824e-18
1660.0 2.513101249437354e-18
1661.0 2.5152888176225262e-18
1662.0 2.5174763858076984e-18
1663.0 2.51966395399287e-18
1664.0 2.5218515221780423e-18
1665.0 2.524039090363214e-18
1666.0 2.526226658548386e-18
1667.0 2.5284142267335583e-18
1668.0 2.53060179491873e-18
1669.0 2.532789363103902e-18
1670.0 2.534976931289074e-18
1671.0 2.537164499474246e-18
1672.0 2.539352067659418e-18
1673.0 2.54153963584459e-18
1674.0 2.543727204029762e-18
1675.0 2.5459147722149338e-18
1676.0 2.548102340400106e-18
1677.0 2.5502899085852777e-18
1678.0 2.55247747677045e-18
1679.0 2.5546650449556216e-18
1680.0 2.5568526131407937e-18
1681.0 2.559040181325966e-18
1682.0 2.5612277495111376e-18
1683.0 2.5634153176963097e-18
1684.0 2.5656028858814814e-18
1685.0 2.5677904540666536e-18
1686.0 2.5699780222518257e-18
1687.0 2.5721655904369975e-18
1688.0 2.5743531586221696e-18
1689.0 2.5765407268073413e-18
1690.0 2.5787282949925135e-18
1691.0 2.5809158631776856e-18
1692.0 2.5831034313628574e-18
1693.0 2.5852909995480295e-18
1694.0 2.5874785677332012e-18
1695.0 2.5896661359183734e-18
1696.0 2.5918537041035455e-18
1697.0 2.5940412722887173e-18
1698.0 2.5962288404738894e-18
1699.0 2.598416408659061e-18
1700.0 2.6006039768442333e-18
1701.0 2.6027915450294054e-18
1702.0 2.604979113214577e-18
1703.0 2.607166681399749e-18
1704.0 2.609354249584921e-18
1705.0 2.611541817770093e-18
1706.0 2.613729385955265e-18
1707.0 2.615916954140437e-18
1708.0 2.6181045223256088e-18
1709.0 2.620292090510781e-18
1710.0 2.622479658695953e-18
1711.0 2.6246672268811248e-18
1712.0 2.626854795066297e-18
1713.0 2.6290423632514687e-18
1714.0 2.631229931436641e-18
1715.0 2.633417499621813e-18
1716.0 2.6356050678069847e-18
1717.0 2.637792635992157e-18
1718.0 2.6399802041773286e-18
1719.0 2.6421677723625007e-18
1720.0 2.644355340547673e-18
1721.0 2.6465429087328446e-18
1722.0 2.6487304769180167e-18
1723.0 2.6509180451031885e-18
1724.0 2.6531056132883606e-18
1725.0 2.6552931814735327e-18
1726.0 2.6574807496587045e-18
1727.0 2.6596683178438762e-18
1728.0 2.6618558860290484e-18
1729.0 2.6640434542142205e-18
1730.0 2.6662310223993922e-18
1731.0 2.6684185905845644e-18
1732.0 2.670606158769736e-18
1733.0 2.6727937269549083e-18
1734.0 2.6749812951400804e-18
1735.0 2.677168863325252e-18
1736.0 2.6793564315104243e-18
1737.0 2.681543999695596e-18
1738.0 2.683731567880768e-18
1739.0 2.6859191360659403e-18
1740.0 2.688106704251112e-18
1741.0 2.690294272436284e-18
1742.0 2.692481840621456e-18
1743.0 2.694669408806628e-18
1744.0 2.6968569769918e-18
1745.0 2.699044545176972e-18
1746.0 2.701232113362144e-18
1747.0 2.703419681547316e-18
1748.0 2.705607249732488e-18
1749.0 2.70779481791766e-18
1750.0 2.709982386102832e-18
1751.0 2.7121699542880036e-18
1752.0 2.7143575224731757e-18
1753.0 2.716545090658348e-18
1754.0 2.7187326588435196e-18
1755.0 2.7209202270286917e-18
1756.0 2.7231077952138635e-18
1757.0 2.7252953633990356e-18
1758.0 2.7274829315842077e-18
1759.0 2.7296704997693795e-18
1760.0 2.7318580679545516e-18
1761.0 2.7340456361397234e-18
1762.0 2.7362332043248955e-18
1763.0 2.7384207725100676e-18
1764.0 2.7406083406952394e-18
1765.0 2.7427959088804115e-18
1766.0 2.7449834770655833e-18
1767.0 2.7471710452507554e-18
1768.0 2.7493586134359275e-18
1769.0 2.7515461816210993e-18
1770.0 2.7537337498062714e-18
1771.0 2.755921317991443e-18
1772.0 2.7581088861766153e-18
1773.0 2.7602964543617874e-18
1774.0 2.762484022546959e-18
1775.0 2.764671590732131e-18
1776.0 2.766859158917303e-18
1777.0 2.769046727102475e-18
1778.0 2.771234295287647e-18
1779.0 2.773421863472819e-18
1780.0 2.7756094316579908e-18
1781.0 2.777796999843163e-18
1782.0 2.779984568028335e-18
1783.0 2.782172136213507e-18
1784.0 2.784359704398679e-18
1785.0 2.7865472725838507e-18
1786.0 2.788734840769023e-18
1787.0 2.790922408954195e-18
1788.0 2.7931099771393667e-18
1789.0 2.795297545324539e-18
1790.0 2.7974851135097106e-18
