# wavelength flux
3472.10415 1.46758e-17
3473.57145 1.32282e-17
3475.04880 3.25726e-18
3476.51610 4.75041e-18
3477.98340 7.13910e-18
3479.45070 8.24587e-18
3480.92805 1.47999e-17
3482.39535 1.63544e-17
3483.86265 1.83789e-17
3485.32995 1.25398e-17
3486.80730 2.16013e-17
3488.27460 1.74858e-17
3489.74190 2.36777e-17
3491.21925 1.64410e-17
3492.68655 1.63076e-17
3494.15385 2.23403e-17
3495.62115 1.31945e-17
3497.09850 9.53828e-18
3498.56580 1.88495e-17
3500.03310 1.71414e-17
3501.50040 1.62100e-17
3502.97775 1.60717e-17
3504.44505 9.23987e-18
3505.91235 1.31875e-17
3507.38970 1.35790e-17
3508.85700 1.43697e-17
3510.32430 1.31132e-17
3511.79160 1.58586e-17
3513.26895 1.68510e-17
3514.73625 1.65240e-17
3516.20355 1.56766e-17
3517.67085 1.13963e-17
3519.14820 -9.19889e-19
3520.61550 2.71420e-18
3522.08280 9.84043e-18
3523.56015 6.94273e-18
3525.02745 3.50509e-18
3526.49475 9.67475e-18
3527.96205 9.82039e-18
3529.43940 1.52812e-17
3530.90670 9.55048e-18
3532.37400 1.70364e-17
3533.84130 9.77638e-18
3535.31865 3.21747e-18
3536.78595 4.37572e-18
3538.25325 1.60724e-17
3539.73060 1.98239e-17
3541.19790 1.54206e-17
3542.66520 1.87574e-17
3544.13250 1.40769e-17
3545.60985 1.63328e-17
3547.07715 2.21195e-17
3548.54445 6.36307e-18
3550.01175 1.66239e-17
3551.48910 2.33468e-17
3552.95640 1.74441e-17
3554.42370 1.75803e-17
3555.90105 1.79743e-17
3557.36835 6.93147e-18
3558.83565 1.56560e-17
3560.30295 1.32454e-17
3561.78030 1.01431e-17
3563.24760 1.16433e-17
3564.71490 1.38888e-17
3566.18220 7.77710e-18
3567.65955 1.49973e-17
3569.12685 1.20609e-17
3570.59415 3.99408e-18
3572.07150 6.36579e-18
3573.53880 6.17388e-18
3575.00610 7.57005e-18
3576.47340 1.19762e-17
3577.95075 6.29744e-18
3579.41805 1.87293e-18
3580.88535 5.46291e-18
3582.35265 1.54065e-17
3583.83000 1.63640e-17
3585.29730 1.32992e-17
3586.76460 1.37055e-17
3588.24195 9.43064e-18
3589.70925 1.38684e-18
3591.17655 1.03213e-17
3592.64385 1.40675e-17
3594.12120 5.44199e-18
3595.58850 7.00589e-18
3597.05580 1.80982e-17
3598.52310 9.92117e-18
3600.00045 1.53110e-17
3601.46775 1.44815e-17
3602.93505 5.53409e-18
3604.41240 9.80211e-18
3605.87970 1.54703e-17
3607.34700 5.92364e-18
3608.81430 1.23650e-17
3610.29165 1.96379e-17
3611.75895 3.30486e-18
3613.22625 8.93309e-18
3614.69355 2.00141e-17
3616.17090 2.07968e-17
3617.63820 1.10097e-17
3619.10550 1.58921e-17
3620.58285 9.97432e-18
3622.05015 6.25736e-18
3623.51745 3.67769e-18
3624.98475 1.06483e-17
3626.46210 1.40007e-17
3627.92940 8.53384e-18
3629.39670 8.38988e-18
3630.86400 1.02454e-17
3632.34135 1.14406e-17
3633.80865 9.40061e-18
3635.27595 1.53179e-17
3636.75330 1.26132e-17
3638.22060 1.40659e-17
3639.68790 8.09906e-18
3641.15520 9.00846e-18
3642.63255 1.17109e-17
3644.09985 7.29257e-18
3645.56715 5.37802e-18
3647.03445 8.45144e-18
3648.51180 7.57199e-18
3649.97910 9.93970e-18
3651.44640 9.74627e-18
3652.92375 1.42039e-17
3654.39105 1.55892e-17
3655.85835 3.47861e-18
3657.32565 9.15613e-18
3658.80300 1.82530e-17
3660.27030 1.90328e-17
3661.73760 1.99924e-17
3663.20490 1.54690e-17
3664.68225 8.51412e-18
3666.14955 1.07631e-17
3667.61685 8.17400e-18
3669.09420 5.10457e-18
3670.56150 9.36307e-18
3672.02880 1.47422e-17
3673.49610 8.90835e-18
3674.97345 1.44659e-17
3676.44075 1.84216e-17
3677.90805 9.42063e-18
3679.37535 9.36069e-18
3680.85270 7.63011e-18
3682.32000 7.51492e-18
3683.78730 1.03182e-17
3685.26465 7.48773e-18
3686.73195 3.26776e-18
3688.19925 2.19412e-18
3689.66655 1.47225e-17
3691.14390 8.61985e-18
3692.61120 7.15626e-18
3694.07850 7.33814e-18
3695.54580 8.02108e-18
3697.02315 9.25535e-18
3698.49045 8.18233e-18
3699.95775 1.00023e-17
3701.43510 9.88229e-18
3702.90240 1.79567e-17
3704.36970 1.42661e-17
3705.83700 2.66696e-18
3707.31435 8.24208e-18
3708.78165 9.67179e-18
3710.24895 9.29057e-18
3711.71625 7.40151e-18
3713.19360 9.22035e-18
3714.66090 1.37553e-17
3716.12820 1.18799e-17
3717.60555 1.51532e-17
3719.07285 9.01451e-18
3720.54015 9.79793e-18
3722.00745 8.97606e-18
3723.48480 1.19266e-17
3724.95210 1.25055e-17
3726.41940 8.16344e-18
3727.88670 6.95776e-18
3729.36405 1.27208e-17
3730.83135 1.17767e-17
3732.29865 9.88064e-18
3733.77600 8.43028e-18
3735.24330 5.10022e-18
3736.71060 9.15527e-18
3738.17790 8.85338e-18
3739.65525 7.91398e-18
3741.12255 1.44149e-17
3742.58985 1.54503e-17
3744.05715 1.33430e-17
3745.53450 1.36465e-17
3747.00180 1.50051e-17
3748.46910 1.58439e-17
3749.94645 1.55966e-17
3751.41375 1.41886e-17
3752.88105 1.30744e-17
3754.34835 1.00878e-17
3755.82570 1.10811e-17
3757.29300 1.24937e-17
3758.76030 9.05994e-18
3760.22760 7.28854e-18
3761.70495 8.04195e-18
3763.17225 1.27439e-17
3764.63955 1.07454e-17
3766.11690 9.91023e-18
3767.58420 9.87440e-18
3769.05150 6.61305e-18
3770.51880 1.16289e-17
3771.99615 1.10908e-17
3773.46345 9.90134e-18
3774.93075 1.25109e-17
3776.39805 1.09613e-17
3777.87540 1.15176e-17
3779.34270 8.64615e-18
3780.81000 1.17881e-17
3782.28735 1.23486e-17
3783.75465 1.15197e-17
3785.22195 7.38627e-18
3786.68925 1.00792e-17
3788.16660 8.27249e-18
3789.63390 8.84549e-18
3791.10120 1.02125e-17
3792.56850 1.24470e-17
3794.04585 7.07400e-18
3795.51315 1.42704e-18
3796.98045 8.82976e-18
3798.45780 1.39003e-17
3799.92510 1.06277e-17
3801.39240 9.09874e-18
3802.85970 9.15698e-18
3804.33705 8.52087e-18
3805.80435 1.10415e-17
3807.27165 7.24305e-18
3808.73895 8.20457e-18
3810.21630 9.08824e-18
3811.68360 1.01925e-17
3813.15090 8.85668e-18
3814.62825 8.92576e-18
3816.09555 8.89197e-18
3817.56285 6.06587e-18
3819.03015 4.76247e-18
3820.50750 8.06783e-18
3821.97480 5.21602e-18
3823.44210 6.57377e-18
3824.91945 8.11674e-18
3826.38675 1.12919e-17
3827.85405 1.54444e-17
3829.32135 1.15109e-17
3830.79870 7.38105e-18
3832.26600 1.09190e-17
3833.73330 1.50386e-17
3835.20060 9.56091e-18
3836.67795 6.29880e-18
3838.14525 9.40706e-18
3839.61255 1.32936e-17
3841.07985 1.50347e-17
3842.55720 1.42365e-17
3844.02450 9.22918e-18
3845.49180 9.99433e-18
3846.96915 7.76633e-18
3848.43645 8.27655e-18
3849.90375 8.46166e-18
3851.37105 9.06723e-18
3852.84840 8.14211e-18
3854.31570 7.30089e-18
3855.78300 6.94532e-18
3857.25030 5.66499e-18
3858.72765 6.20514e-18
3860.19495 8.53686e-18
3861.66225 1.08180e-17
3863.13960 7.89298e-18
3864.60690 1.20722e-17
3866.07420 1.41227e-17
3867.54150 7.82675e-18
3869.01885 1.10150e-17
3870.48615 1.16421e-17
3871.95345 1.14116e-17
3873.43080 1.16096e-17
3874.89810 9.77325e-18
3876.36540 9.17176e-18
3877.83270 1.11463e-17
3879.31005 1.13674e-17
3880.77735 1.00885e-17
3882.24465 8.25691e-18
3883.71195 1.04691e-17
3885.18930 1.03617e-17
3886.65660 1.35160e-17
3888.12390 6.52646e-18
3889.60125 8.57906e-18
3891.06855 9.89352e-18
3892.53585 7.87868e-18
3894.00315 1.07405e-17
3895.48050 1.25940e-17
3896.94780 1.30173e-17
3898.41510 1.47727e-17
3899.88240 8.78036e-18
3901.35975 9.76092e-18
3902.82705 1.16384e-17
3904.29435 7.48575e-18
3905.76165 5.41669e-18
3907.23900 6.48481e-18
3908.70630 8.12936e-18
3910.17360 8.41070e-18
3911.65095 1.11266e-17
3913.11825 1.31945e-17
3914.58555 1.30030e-17
3916.05285 1.10438e-17
3917.53020 1.29097e-17
3918.99750 1.42236e-17
3920.46480 1.45855e-17
3921.94215 1.47686e-17
3923.40945 1.82129e-17
3924.87675 1.69742e-17
3926.34405 1.67653e-17
3927.82140 1.49665e-17
3929.28870 1.28832e-17
3930.75600 1.51130e-17
3932.22330 1.42968e-17
3933.70065 1.31302e-17
3935.16795 1.53375e-17
3936.63525 1.75197e-17
3938.11260 1.49733e-17
3939.57990 1.26718e-17
3941.04720 1.51149e-17
3942.51450 1.61092e-17
3943.99185 1.71657e-17
3945.45915 1.64099e-17
3946.92645 1.45689e-17
3948.39375 1.83194e-17
3949.87110 1.88920e-17
3951.33840 1.86058e-17
3952.80570 1.67092e-17
3954.28305 1.49529e-17
3955.75035 1.37244e-17
3957.21765 1.50021e-17
3958.68495 1.71324e-17
3960.16230 2.04792e-17
3961.62960 1.64048e-17
3963.09690 1.57511e-17
3964.56420 1.68316e-17
3966.04155 1.79466e-17
3967.50885 1.12811e-17
3968.97615 1.09994e-17
3970.45350 1.39259e-17
3971.92080 1.71732e-17
3973.38810 1.22569e-17
3974.85540 1.30822e-17
3976.33275 1.44431e-17
3977.80005 1.32844e-17
3979.26735 1.20651e-17
3980.73465 1.95948e-17
3982.21200 1.49879e-17
3983.67930 1.19011e-17
3985.14660 9.85521e-18
3986.62395 9.28105e-18
3988.09125 8.17370e-18
3989.55855 8.42478e-18
3991.02585 5.12835e-18
3992.50320 7.14358e-18
3993.97050 8.59697e-18
3995.43780 1.20951e-17
