# wavelength flux
3300.0 2.829193103462598e-09
3301.0 2.829177614446176e-09
3302.0 2.8291621255145523e-09
3303.0 2.8291466366677263e-09
3304.0 2.829131147905697e-09
3305.0 2.829115659228464e-09
3306.0 2.8291001706360277e-09
3307.0 2.8290846821283867e-09
3308.0 2.8290691937055404e-09
3309.0 2.829053705367489e-09
3310.0 2.829038217114232e-09
3311.0 2.829022728945769e-09
3312.0 2.829007240862098e-09
3313.0 2.8289917528632207e-09
3314.0 2.8289762649491355e-09
3315.0 2.8289607771198426e-09
3316.0 2.828945289375341e-09
3317.0 2.8289298017156297e-09
3318.0 2.8289143141407097e-09
3319.0 2.828898826650579e-09
3320.0 2.828883339245238e-09
3321.0 2.8288678519246864e-09
3322.0 2.8288523646889233e-09
3323.0 2.828836877537948e-09
3324.0 2.8288213904717605e-09
3325.0 2.8288059034903608e-09
3326.0 2.828790416593747e-09
3327.0 2.8287749297819206e-09
3328.0 2.8287594430548794e-09
3329.0 2.828743956412623e-09
3330.0 2.8287284698551524e-09
3331.0 2.828712983382466e-09
3332.0 2.8286974969945633e-09
3333.0 2.8286820106914443e-09
3334.0 2.828666524473108e-09
3335.0 2.8286510383395547e-09
3336.0 2.8286355522907833e-09
3337.0 2.828620066326794e-09
3338.0 2.8286045804475854e-09
3339.0 2.8285890946531576e-09
3340.0 2.82857360894351e-09
3341.0 2.8285581233186423e-09
3342.0 2.8285426377785544e-09
3343.0 2.8285271523232446e-09
3344.0 2.8285116669527133e-09
3345.0 2.8284961816669603e-09
3346.0 2.8284806964659845e-09
3347.0 2.828465211349786e-09
3348.0 2.8284497263183638e-09
3349.0 2.828434241371718e-09
3350.0 2.828418756509847e-09
3351.0 2.828403271732752e-09
3352.0 2.8283877870404316e-09
3353.0 2.828372302432885e-09
3354.0 2.8283568179101123e-09
3355.0 2.8283413334721135e-09
3356.0 2.8283258491188866e-09
3357.0 2.828310364850433e-09
3358.0 2.8282948806667508e-09
3359.0 2.8282793965678398e-09
3360.0 2.8282639125537003e-09
3361.0 2.8282484286243307e-09
3362.0 2.8282329447797318e-09
3363.0 2.828217461019902e-09
3364.0 2.828201977344841e-09
3365.0 2.8281864937545494e-09
3366.0 2.8281710102490255e-09
3367.0 2.82815552682827e-09
3368.0 2.8281400434922816e-09
3369.0 2.8281245602410595e-09
3370.0 2.828109077074604e-09
3371.0 2.828093593992914e-09
3372.0 2.82807811099599e-09
3373.0 2.828062628083831e-09
3374.0 2.828047145256436e-09
3375.0 2.828031662513805e-09
3376.0 2.828016179855938e-09
3377.0 2.8280006972828337e-09
3378.0 2.827985214794492e-09
3379.0 2.8279697323909126e-09
3380.0 2.827954250072095e-09
3381.0 2.8279387678380387e-09
3382.0 2.8279232856887428e-09
3383.0 2.8279078036242047e-09
3384.0 2.827892321644429e-09
3385.0 2.827876839749413e-09
3386.0 2.827861357939156e-09
3387.0 2.8278458762136566e-09
3388.0 2.8278303945729163e-09
3389.0 2.8278149130169326e-09
3390.0 2.8277994315457068e-09
3391.0 2.8277839501592368e-09
3392.0 2.8277684688575234e-09
3393.0 2.827752987640565e-09
3394.0 2.827737506508363e-09
3395.0 2.8277220254609146e-09
3396.0 2.8277065444982212e-09
3397.0 2.827691063620281e-09
3398.0 2.8276755828270945e-09
3399.0 2.8276601021186608e-09
3400.0 2.82764462149498e-09
3401.0 2.8276291409560508e-09
3402.0 2.827613660501873e-09
3403.0 2.8275981801324455e-09
3404.0 2.8275826998477693e-09
3405.0 2.8275672196478436e-09
3406.0 2.827551739532667e-09
3407.0 2.8275362595022393e-09
3408.0 2.8275207795565612e-09
3409.0 2.8275052996956307e-09
3410.0 2.827489819919448e-09
3411.0 2.8274743402280126e-09
3412.0 2.827458860621324e-09
3413.0 2.8274433810993823e-09
3414.0 2.827427901662186e-09
3415.0 2.827412422309735e-09
3416.0 2.82739694304203e-09
3417.0 2.827381463859068e-09
3418.0 2.8273659847608515e-09
3419.0 2.8273505057473778e-09
3420.0 2.8273350268186475e-09
3421.0 2.8273195479746594e-09
3422.0 2.8273040692154143e-09
3423.0 2.8272885905409106e-09
3424.0 2.8272731119511477e-09
3425.0 2.827257633446126e-09
3426.0 2.8272421550258453e-09
3427.0 2.8272266766903036e-09
3428.0 2.8272111984395016e-09
3429.0 2.8271957202734385e-09
3430.0 2.8271802421921142e-09
3431.0 2.827164764195527e-09
3432.0 2.8271492862836786e-09
3433.0 2.8271338084565667e-09
3434.0 2.8271183307141917e-09
3435.0 2.8271028530565523e-09
3436.0 2.8270873754836488e-09
3437.0 2.8270718979954813e-09
3438.0 2.827056420592048e-09
3439.0 2.8270409432733487e-09
3440.0 2.8270254660393837e-09
3441.0 2.827009988890152e-09
3442.0 2.8269945118256534e-09
3443.0 2.8269790348458868e-09
3444.0 2.826963557950853e-09
3445.0 2.82694808114055e-09
3446.0 2.826932604414978e-09
3447.0 2.8269171277741366e-09
3448.0 2.826901651218026e-09
3449.0 2.826886174746645e-09
3450.0 2.826870698359993e-09
3451.0 2.8268552220580693e-09
3452.0 2.8268397458408747e-09
3453.0 2.8268242697084074e-09
3454.0 2.8268087936606674e-09
3455.0 2.8267933176976547e-09
3456.0 2.8267778418193684e-09
3457.0 2.8267623660258073e-09
3458.0 2.8267468903169727e-09
3459.0 2.8267314146928625e-09
3460.0 2.8267159391534775e-09
3461.0 2.826700463698816e-09
3462.0 2.826684988328878e-09
3463.0 2.826669513043664e-09
3464.0 2.826654037843172e-09
3465.0 2.8266385627274025e-09
3466.0 2.826623087696355e-09
3467.0 2.826607612750029e-09
3468.0 2.8265921378884232e-09
3469.0 2.8265766631115383e-09
3470.0 2.826561188419373e-09
3471.0 2.8265457138119275e-09
3472.0 2.826530239289201e-09
3473.0 2.8265147648511927e-09
3474.0 2.8264992904979032e-09
3475.0 2.8264838162293307e-09
3476.0 2.8264683420454755e-09
3477.0 2.826452867946337e-09
3478.0 2.8264373939319147e-09
3479.0 2.826421920002208e-09
3480.0 2.8264064461572167e-09
3481.0 2.826390972396941e-09
3482.0 2.8263754987213787e-09
3483.0 2.8263600251305305e-09
3484.0 2.826344551624396e-09
3485.0 2.8263290782029742e-09
3486.0 2.8263136048662653e-09
3487.0 2.826298131614268e-09
3488.0 2.826282658446983e-09
3489.0 2.8262671853644084e-09
3490.0 2.826251712366545e-09
3491.0 2.8262362394533914e-09
3492.0 2.8262207666249473e-09
3493.0 2.826205293881213e-09
3494.0 2.8261898212221872e-09
3495.0 2.82617434864787e-09
3496.0 2.8261588761582602e-09
3497.0 2.8261434037533583e-09
3498.0 2.8261279314331637e-09
3499.0 2.8261124591976746e-09
3500.0 2.8260969870468924e-09
3501.0 2.8260815149808153e-09
3502.0 2.826066042999444e-09
3503.0 2.826050571102776e-09
3504.0 2.826035099290813e-09
3505.0 2.826019627563554e-09
3506.0 2.826004155920998e-09
3507.0 2.8259886843631445e-09
3508.0 2.8259732128899932e-09
3509.0 2.8259577415015445e-09
3510.0 2.8259422701977965e-09
3511.0 2.8259267989787498e-09
3512.0 2.8259113278444035e-09
3513.0 2.8258958567947575e-09
3514.0 2.82588038582981e-09
3515.0 2.8258649149495623e-09
3516.0 2.8258494441540135e-09
3517.0 2.8258339734431625e-09
3518.0 2.825818502817009e-09
3519.0 2.8258030322755527e-09
3520.0 2.8257875618187935e-09
3521.0 2.8257720914467305e-09
3522.0 2.8257566211593633e-09
3523.0 2.8257411509566916e-09
3524.0 2.825725680838714e-09
3525.0 2.825710210805432e-09
3526.0 2.8256947408568413e-09
3527.0 2.825679270992946e-09
3528.0 2.825663801213744e-09
3529.0 2.825648331519234e-09
3530.0 2.8256328619094172e-09
3531.0 2.8256173923842912e-09
3532.0 2.825601922943857e-09
3533.0 2.8255864535881127e-09
3534.0 2.8255709843170594e-09
3535.0 2.825555515130696e-09
3536.0 2.825540046029021e-09
3537.0 2.825524577012036e-09
3538.0 2.8255091080797387e-09
3539.0 2.8254936392321295e-09
3540.0 2.8254781704692082e-09
3541.0 2.8254627017909733e-09
3542.0 2.825447233197425e-09
3543.0 2.8254317646885633e-09
3544.0 2.8254162962643874e-09
3545.0 2.825400827924896e-09
3546.0 2.8253853596700893e-09
3547.0 2.825369891499967e-09
3548.0 2.825354423414529e-09
3549.0 2.825338955413773e-09
3550.0 2.825323487497701e-09
3551.0 2.8253080196663107e-09
3552.0 2.825292551919603e-09
3553.0 2.8252770842575766e-09
3554.0 2.825261616680231e-09
3555.0 2.8252461491875655e-09
3556.0 2.825230681779581e-09
3557.0 2.8252152144562753e-09
3558.0 2.825199747217649e-09
3559.0 2.825184280063701e-09
3560.0 2.825168812994432e-09
3561.0 2.82515334600984e-09
3562.0 2.8251378791099256e-09
3563.0 2.8251224122946884e-09
3564.0 2.825106945564127e-09
3565.0 2.825091478918242e-09
3566.0 2.825076012357032e-09
3567.0 2.825060545880497e-09
3568.0 2.8250450794886364e-09
3569.0 2.8250296131814498e-09
3570.0 2.825014146958937e-09
3571.0 2.824998680821097e-09
3572.0 2.82498321476793e-09
3573.0 2.8249677487994356e-09
3574.0 2.8249522829156124e-09
3575.0 2.8249368171164607e-09
3576.0 2.824921351401979e-09
3577.0 2.8249058857721686e-09
3578.0 2.8248904202270275e-09
3579.0 2.824874954766556e-09
3580.0 2.824859489390753e-09
3581.0 2.8248440240996193e-09
3582.0 2.824828558893153e-09
3583.0 2.8248130937713544e-09
3584.0 2.824797628734223e-09
3585.0 2.824782163781758e-09
3586.0 2.8247666989139596e-09
3587.0 2.8247512341308263e-09
3588.0 2.8247357694323588e-09
3589.0 2.8247203048185556e-09
3590.0 2.8247048402894165e-09
3591.0 2.8246893758449417e-09
3592.0 2.82467391148513e-09
3593.0 2.8246584472099814e-09
3594.0 2.8246429830194958e-09
3595.0 2.8246275189136713e-09
3596.0 2.824612054892509e-09
3597.0 2.8245965909560072e-09
3598.0 2.8245811271041665e-09
3599.0 2.824565663336985e-09
3600.0 2.824550199654464e-09
3601.0 2.824534736056602e-09
3602.0 2.8245192725433988e-09
3603.0 2.824503809114854e-09
3604.0 2.8244883457709662e-09
3605.0 2.8244728825117367e-09
3606.0 2.8244574193371637e-09
3607.0 2.8244419562472473e-09
3608.0 2.824426493241987e-09
3609.0 2.824411030321381e-09
3610.0 2.8243955674854315e-09
3611.0 2.824380104734136e-09
3612.0 2.8243646420674945e-09
3613.0 2.824349179485507e-09
3614.0 2.8243337169881725e-09
3615.0 2.8243182545754907e-09
3616.0 2.824302792247461e-09
3617.0 2.8242873300040832e-09
3618.0 2.8242718678453567e-09
3619.0 2.824256405771281e-09
3620.0 2.8242409437818555e-09
3621.0 2.8242254818770804e-09
3622.0 2.8242100200569545e-09
3623.0 2.8241945583214776e-09
3624.0 2.8241790966706495e-09
3625.0 2.8241636351044692e-09
3626.0 2.8241481736229364e-09
3627.0 2.8241327122260515e-09
3628.0 2.8241172509138124e-09
3629.0 2.8241017896862203e-09
3630.0 2.8240863285432732e-09
3631.0 2.8240708674849715e-09
3632.0 2.824055406511315e-09
3633.0 2.8240399456223026e-09
3634.0 2.824024484817935e-09
3635.0 2.82400902409821e-09
3636.0 2.823993563463128e-09
3637.0 2.823978102912689e-09
3638.0 2.8239626424468913e-09
3639.0 2.8239471820657357e-09
3640.0 2.823931721769221e-09
3641.0 2.823916261557347e-09
3642.0 2.823900801430113e-09
3643.0 2.8238853413875196e-09
3644.0 2.823869881429564e-09
3645.0 2.8238544215562487e-09
3646.0 2.823838961767571e-09
3647.0 2.8238235020635317e-09
3648.0 2.8238080424441292e-09
3649.0 2.8237925829093635e-09
3650.0 2.8237771234592353e-09
3651.0 2.8237616640937422e-09
3652.0 2.823746204812885e-09
3653.0 2.823730745616663e-09
3654.0 2.8237152865050752e-09
3655.0 2.8236998274781223e-09
3656.0 2.8236843685358028e-09
3657.0 2.8236689096781167e-09
3658.0 2.823653450905063e-09
3659.0 2.8236379922166417e-09
3660.0 2.8236225336128525e-09
3661.0 2.8236070750936946e-09
3662.0 2.823591616659167e-09
3663.0 2.8235761583092707e-09
3664.0 2.8235607000440043e-09
3665.0 2.823545241863367e-09
3666.0 2.8235297837673593e-09
3667.0 2.8235143257559803e-09
3668.0 2.8234988678292292e-09
3669.0 2.8234834099871034e-09
3670.0 2.8234679522296068e-09
3671.0 2.8234524945567377e-09
3672.0 2.8234370369684943e-09
3673.0 2.823421579464877e-09
3674.0 2.8234061220458848e-09
3675.0 2.823390664711518e-09
3676.0 2.8233752074617754e-09
3677.0 2.8233597502966567e-09
3678.0 2.823344293216162e-09
3679.0 2.82332883622029e-09
3680.0 2.8233133793090407e-09
3681.0 2.823297922482413e-09
3682.0 2.8232824657404076e-09
3683.0 2.823267009083023e-09
3684.0 2.8232515525102597e-09
3685.0 2.823236096022116e-09
3686.0 2.8232206396185925e-09
3687.0 2.8232051832996887e-09
3688.0 2.823189727065403e-09
3689.0 2.823174270915736e-09
3690.0 2.823158814850687e-09
3691.0 2.8231433588702557e-09
3692.0 2.823127902974441e-09
3693.0 2.8231124471632434e-09
3694.0 2.8230969914366617e-09
3695.0 2.823081535794696e-09
3696.0 2.823066080237345e-09
3697.0 2.823050624764609e-09
3698.0 2.823035169376487e-09
3699.0 2.823019714072979e-09
3700.0 2.8230042588540838e-09
3701.0 2.822988803719802e-09
3702.0 2.8229733486701327e-09
3703.0 2.822957893705075e-09
3704.0 2.8229424388246288e-09
3705.0 2.8229269840287936e-09
3706.0 2.822911529317569e-09
3707.0 2.822896074690955e-09
3708.0 2.82288062014895e-09
3709.0 2.822865165691554e-09
3710.0 2.822849711318767e-09
3711.0 2.822834257030589e-09
3712.0 2.8228188028270176e-09
3713.0 2.822803348708054e-09
3714.0 2.8227878946736973e-09
3715.0 2.8227724407239467e-09
3716.0 2.8227569868588022e-09
3717.0 2.822741533078263e-09
3718.0 2.8227260793823295e-09
3719.0 2.8227106257709996e-09
3720.0 2.822695172244274e-09
3721.0 2.8226797188021523e-09
3722.0 2.8226642654446333e-09
3723.0 2.8226488121717175e-09
3724.0 2.8226333589834036e-09
3725.0 2.8226179058796917e-09
3726.0 3.7393e-09
3728.0 3.5265e-09
3730.0 3.5265e-09
3732.0 3.5873e-09
3734.0 3.2701e-09
3736.0 3.6538e-09
3738.0 3.068e-09
3740.0 4.0076e-09
3742.0 4.0406e-09
3744.0 3.8975e-09
3746.0 3.069e-09
3748.0 3.2576e-09
3750.0 3.4506e-09
3752.0 3.8486e-09
3754.0 3.3671e-09
3756.0 4.1963e-09
3758.0 3.7604e-09
3760.0 3.6153e-09
3762.0 3.6075e-09
3764.0 2.9689e-09
3766.0 3.1892e-09
3768.0 3.5548e-09
3770.0 3.731e-09
3772.0 3.992e-09
3774.0 3.5488e-09
3776.0 3.6781e-09
3778.0 3.4622e-09
3780.0 3.2734e-09
3782.0 3.6577e-09
3784.0 3.4101e-09
3786.0 3.4146e-09
3788.0 2.589e-09
3790.0 3.5437e-09
3792.0 4.18e-09
3794.0 4.1915e-09
3796.0 2.7069e-09
3798.0 3.5465e-09
3800.0 3.606e-09
3802.0 3.2865e-09
3804.0 3.7654e-09
3806.0 4.3359e-09
3808.0 3.6288e-09
3810.0 2.6004e-09
3812.0 3.5715e-09
3814.0 3.6364e-09
3816.0 3.7031e-09
3818.0 3.3608e-09
3820.0 3.7095e-09
3822.0 3.8807e-09
3824.0 3.9932e-09
