# wavelength flux
3800.34405 2.20916e-17
3801.81375 1.90826e-17
3803.28345 2.55618e-17
3804.75315 2.29677e-17
3806.22285 2.71644e-17
3807.69255 2.65778e-17
3809.16225 2.48595e-17
3810.63195 2.31553e-17
3812.10165 2.34002e-17
3813.57135 2.13234e-17
3815.04105 2.24245e-17
3816.51075 2.26057e-17
3817.98045 2.28018e-17
3819.45015 1.73903e-17
3820.91985 1.59768e-17
3822.38955 1.59346e-17
3823.85925 1.87567e-17
3825.32895 1.90906e-17
3826.79865 2.10100e-17
3828.26835 1.54387e-17
3829.73805 1.78231e-17
3831.20775 1.62284e-17
3832.67745 1.82918e-17
3834.14715 1.82888e-17
3835.61685 1.79538e-17
3837.08655 1.61769e-17
3838.55625 1.42360e-17
3840.02595 1.88991e-17
3841.49565 2.01523e-17
3842.96535 1.84825e-17
3844.43505 2.21925e-17
3845.91510 1.87507e-17
3847.38480 1.64732e-17
3848.85450 1.67205e-17
3850.32420 1.90054e-17
3851.79390 1.71720e-17
3853.26360 1.24485e-17
3854.73330 1.33758e-17
3856.20300 1.54693e-17
3857.67270 1.66810e-17
3859.14240 1.76988e-17
3860.61210 1.66519e-17
3862.08180 1.97155e-17
3863.55150 1.87284e-17
3865.02120 2.25973e-17
3866.49090 1.55227e-17
3867.96060 1.96192e-17
3869.43030 2.45096e-17
3870.90000 1.70324e-17
3872.36970 1.74903e-17
3873.83940 1.82825e-17
3875.30910 1.93247e-17
3876.77880 2.32695e-17
3878.24850 1.53333e-17
3879.71820 1.40846e-17
3881.18790 1.64321e-17
3882.65760 1.95274e-17
3884.12730 2.05046e-17
3885.59700 2.31318e-17
3887.06670 1.61048e-17
3888.53640 1.63019e-17
3890.00610 1.96773e-17
3891.47580 2.01478e-17
3892.94550 1.96941e-17
3894.41520 1.93162e-17
3895.89525 1.70963e-17
3897.36495 2.06463e-17
3898.83465 1.86754e-17
3900.30435 1.36974e-17
3901.77405 1.82910e-17
3903.24375 1.66116e-17
3904.71345 1.62817e-17
3906.18315 2.01413e-17
3907.65285 1.88686e-17
3909.12255 2.08348e-17
3910.59225 2.06013e-17
3912.06195 1.86180e-17
3913.53165 2.34116e-17
3915.00135 1.99207e-17
3916.47105 1.79704e-17
3917.94075 1.84911e-17
3919.41045 1.71528e-17
3920.88015 1.57341e-17
3922.34985 1.30097e-17
3923.81955 1.56465e-17
3925.28925 1.93152e-17
3926.75895 2.04041e-17
3928.22865 1.51079e-17
3929.69835 1.46544e-17
3931.16805 1.65741e-17
3932.63775 1.71906e-17
3934.10745 1.97865e-17
3935.57715 1.53817e-17
3937.04685 1.29755e-17
3938.51655 1.58897e-17
3939.98625 1.58585e-17
3941.45595 1.88301e-17
3942.92565 2.06867e-17
3944.39535 1.75013e-17
3945.87540 1.62202e-17
3947.34510 1.78601e-17
3948.81480 1.93429e-17
3950.28450 1.83499e-17
3951.75420 1.61842e-17
3953.22390 1.58969e-17
3954.69360 1.52234e-17
3956.16330 1.62815e-17
3957.63300 1.83363e-17
3959.10270 1.55860e-17
3960.57240 1.53704e-17
3962.04210 1.58880e-17
3963.51180 1.63793e-17
3964.98150 1.70724e-17
3966.45120 1.74379e-17
3967.92090 1.80075e-17
3969.39060 1.66986e-17
3970.86030 1.86444e-17
3972.33000 1.89860e-17
3973.79970 1.72273e-17
3975.26940 1.77173e-17
3976.73910 1.96908e-17
3978.20880 1.95382e-17
3979.67850 1.70391e-17
3981.14820 1.61828e-17
3982.61790 1.60846e-17
3984.08760 1.58240e-17
3985.55730 1.70961e-17
3987.02700 1.68794e-17
3988.49670 1.72225e-17
3989.96640 1.83507e-17
3991.43610 1.53433e-17
3992.90580 1.34146e-17
3994.37550 1.56449e-17
3995.84520 2.01304e-17
3997.32525 1.78052e-17
3998.79495 1.89363e-17
4000.26465 1.86198e-17
4001.73435 1.84982e-17
4003.20405 1.59346e-17
4004.67375 1.69299e-17
4006.14345 1.81768e-17
4007.61315 1.60638e-17
4009.08285 1.81752e-17
4010.55255 2.06909e-17
4012.02225 1.76231e-17
4013.49195 1.74439e-17
4014.96165 1.77744e-17
4016.43135 1.76711e-17
4017.90105 1.69219e-17
4019.37075 1.83979e-17
4020.84045 1.78915e-17
4022.31015 1.73643e-17
4023.77985 1.47769e-17
4025.24955 1.35571e-17
4026.71925 1.64387e-17
4028.18895 1.70533e-17
4029.65865 1.77020e-17
4031.12835 1.81894e-17
4032.59805 1.87957e-17
4034.06775 1.79632e-17
4035.53745 1.80054e-17
4037.00715 1.65129e-17
4038.47685 1.72754e-17
4039.94655 1.87953e-17
4041.41625 1.83526e-17
4042.88595 1.55217e-17
4044.35565 1.69477e-17
4045.82535 1.58479e-17
4047.30540 1.73817e-17
4048.77510 1.86072e-17
4050.24480 1.73109e-17
4051.71450 1.75585e-17
4053.18420 1.88771e-17
4054.65390 1.86375e-17
4056.12360 1.95471e-17
4057.59330 1.66644e-17
4059.06300 1.55893e-17
4060.53270 1.70139e-17
4062.00240 1.73239e-17
4063.47210 1.90355e-17
4064.94180 1.84968e-17
4066.41150 1.91811e-17
4067.88120 1.75886e-17
4069.35090 1.59693e-17
4070.82060 1.70624e-17
4072.29030 1.76983e-17
4073.76000 1.84780e-17
4075.22970 1.71423e-17
4076.69940 1.53672e-17
4078.16910 1.88886e-17
4079.63880 2.04296e-17
4081.10850 1.88638e-17
4082.57820 1.65908e-17
4084.04790 1.68298e-17
4085.51760 1.75805e-17
4086.98730 1.93198e-17
4088.45700 2.05091e-17
4089.92670 1.61679e-17
4091.39640 1.42611e-17
4092.86610 1.83433e-17
4094.33580 1.81268e-17
4095.80550 1.79964e-17
4097.27520 1.73193e-17
4098.75525 1.61028e-17
4100.22495 1.60239e-17
4101.69465 1.57069e-17
4103.16435 1.65376e-17
4104.63405 1.74056e-17
4106.10375 1.73309e-17
4107.57345 1.66496e-17
4109.04315 1.72879e-17
4110.51285 1.79444e-17
4111.98255 1.65976e-17
4113.45225 1.58815e-17
4114.92195 1.79560e-17
4116.39165 1.79535e-17
4117.86135 1.70102e-17
4119.33105 1.71569e-17
4120.80075 1.72125e-17
4122.27045 1.85327e-17
4123.74015 1.91578e-17
4125.20985 1.73803e-17
4126.67955 1.50512e-17
4128.14925 1.84301e-17
4129.61895 1.87106e-17
4131.08865 1.75696e-17
4132.55835 1.64655e-17
4134.02805 1.42341e-17
4135.49775 1.68659e-17
4136.96745 1.84983e-17
4138.43715 1.71751e-17
4139.90685 1.66036e-17
4141.37655 1.83853e-17
4142.84625 1.60731e-17
4144.31595 1.63855e-17
4145.78565 1.83406e-17
4147.25535 1.62604e-17
4148.72505 1.61174e-17
4150.20510 1.81448e-17
4151.67480 1.66599e-17
4153.14450 1.56474e-17
4154.61420 1.76637e-17
4156.08390 1.73570e-17
4157.55360 1.63659e-17
4159.02330 1.66924e-17
4160.49300 1.41863e-17
4161.96270 1.50937e-17
4163.43240 1.43690e-17
4164.90210 1.84530e-17
4166.37180 1.73991e-17
4167.84150 1.48519e-17
4169.31120 1.71108e-17
4170.78090 1.68988e-17
4172.25060 1.84156e-17
4173.72030 1.82278e-17
4175.19000 1.89899e-17
4176.65970 1.83957e-17
4178.12940 1.74181e-17
4179.59910 1.72323e-17
4181.06880 1.51122e-17
4182.53850 1.51646e-17
4184.00820 1.55592e-17
4185.47790 1.57441e-17
4186.94760 1.49559e-17
4188.41730 1.74787e-17
4189.88700 1.80074e-17
4191.35670 1.86302e-17
4192.82640 1.72808e-17
4194.29610 1.59077e-17
4195.76580 1.71261e-17
4197.23550 1.78766e-17
4198.70520 1.70741e-17
4200.18525 1.71840e-17
4201.65495 1.70118e-17
4203.12465 1.85559e-17
4204.59435 1.66105e-17
4206.06405 1.63750e-17
4207.53375 1.63457e-17
4209.00345 1.61841e-17
4210.47315 1.59167e-17
4211.94285 1.67889e-17
4213.41255 1.80968e-17
4214.88225 1.79868e-17
4216.35195 1.79629e-17
4217.82165 1.72639e-17
4219.29135 1.66467e-17
4220.76105 1.78413e-17
4222.23075 1.94731e-17
4223.70045 2.08520e-17
4225.17015 2.04838e-17
4226.63985 1.70969e-17
4228.10955 1.57588e-17
4229.57925 1.55672e-17
4231.04895 1.61366e-17
4232.51865 1.84217e-17
4233.98835 1.71987e-17
4235.45805 1.45137e-17
4236.92775 1.51789e-17
4238.39745 1.48427e-17
4239.86715 1.45542e-17
4241.33685 1.59622e-17
4242.80655 1.58346e-17
4244.27625 1.38079e-17
4245.74595 1.36305e-17
4247.21565 1.36492e-17
4248.68535 1.41948e-17
4250.16540 1.62009e-17
4251.62475 1.71023e-17
4253.10480 1.52314e-17
4254.57450 1.44840e-17
4256.04420 1.56575e-17
4257.51390 1.64529e-17
4258.98360 1.58767e-17
4260.45330 1.61861e-17
4261.92300 1.64668e-17
4263.39270 1.59941e-17
4264.86240 1.56875e-17
4266.33210 1.71571e-17
4267.80180 1.71386e-17
4269.27150 1.51692e-17
4270.74120 1.45548e-17
4272.21090 1.57710e-17
4273.68060 1.45681e-17
4275.15030 1.56642e-17
4276.62000 1.70343e-17
4278.08970 1.52705e-17
4279.55940 1.50048e-17
4281.02910 1.52481e-17
4282.49880 1.47964e-17
4283.96850 1.48637e-17
4285.43820 1.63512e-17
4286.90790 1.71674e-17
4288.37760 1.52923e-17
4289.84730 1.49798e-17
4291.31700 1.69291e-17
4292.78670 1.57608e-17
4294.25640 1.37452e-17
4295.72610 1.51210e-17
4297.19580 1.51009e-17
4298.66550 1.49263e-17
4300.14555 1.55631e-17
4301.61525 1.59149e-17
4303.08495 1.66687e-17
4304.55465 1.63098e-17
4306.02435 1.62079e-17
4307.49405 1.68125e-17
4308.96375 1.60421e-17
4310.43345 1.64386e-17
4311.90315 1.63165e-17
4313.37285 1.55273e-17
4314.84255 1.61368e-17
4316.31225 1.64423e-17
4317.78195 1.61005e-17
4319.25165 1.83758e-17
4320.72135 1.84003e-17
4322.19105 1.77464e-17
4323.66075 1.71273e-17
4325.13045 1.56782e-17
4326.60015 1.61024e-17
4328.06985 1.55719e-17
4329.53955 1.71722e-17
4331.00925 1.77447e-17
4332.47895 1.58981e-17
4333.94865 1.59261e-17
4335.41835 1.69602e-17
4336.88805 1.72700e-17
4338.35775 1.57841e-17
4339.82745 1.55958e-17
4341.29715 1.71101e-17
4342.76685 1.69355e-17
4344.23655 1.44493e-17
4345.70625 1.38803e-17
4347.17595 1.61557e-17
4348.64565 1.65439e-17
4350.11535 1.53613e-17
4351.58505 1.58723e-17
4353.06510 1.77271e-17
4354.53480 1.67737e-17
4356.00450 1.59147e-17
4357.47420 1.64786e-17
4358.94390 1.51436e-17
4360.41360 1.47152e-17
4361.88330 1.51562e-17
4363.35300 1.64989e-17
4364.82270 1.74331e-17
4366.29240 1.60104e-17
4367.76210 1.51012e-17
4369.23180 1.54058e-17
4370.70150 1.63456e-17
4372.17120 1.61740e-17
4373.64090 1.65245e-17
4375.11060 1.69314e-17
4376.58030 1.68511e-17
4378.05000 1.60015e-17
4379.51970 1.65840e-17
4380.98940 1.65578e-17
4382.45910 1.62636e-17
4383.92880 1.62503e-17
4385.39850 1.56793e-17
4386.86820 1.69656e-17
4388.33790 1.59844e-17
4389.80760 1.62701e-17
4391.27730 1.63997e-17
4392.74700 1.60186e-17
4394.21670 1.72429e-17
4395.68640 1.66196e-17
4397.15610 1.54937e-17
4398.62580 1.72533e-17
4400.09550 1.84098e-17
4401.56520 1.72125e-17
4403.04525 1.59038e-17
4404.50460 1.68907e-17
4405.98465 1.61557e-17
4407.45435 1.76358e-17
4408.92405 1.68002e-17
4410.39375 1.48188e-17
4411.86345 1.60435e-17
4413.33315 1.57633e-17
4414.80285 1.56037e-17
4416.27255 1.57532e-17
4417.74225 1.55647e-17
4419.21195 1.66236e-17
4420.68165 1.67205e-17
4422.15135 1.70967e-17
4423.62105 1.70190e-17
4425.09075 1.75521e-17
4426.56045 1.60552e-17
4428.03015 1.64356e-17
4429.49985 1.66806e-17
4430.96955 1.58282e-17
4432.43925 1.67017e-17
4433.90895 1.65091e-17
4435.37865 1.58103e-17
4436.84835 1.57552e-17
4438.31805 1.39307e-17
4439.78775 1.46204e-17
4441.25745 1.71713e-17
4442.72715 1.84469e-17
4444.19685 1.71811e-17
4445.66655 1.55016e-17
4447.13625 1.50829e-17
4448.60595 1.66665e-17
4450.07565 1.69031e-17
4451.54535 1.63949e-17
4453.02540 1.61036e-17
4454.49510 1.66448e-17
4455.96480 1.66985e-17
4457.43450 1.58916e-17
4458.90420 1.45491e-17
4460.37390 1.51996e-17
4461.84360 1.76998e-17
4463.31330 1.81077e-17
4464.78300 1.73834e-17
4466.25270 1.67557e-17
4467.72240 1.74134e-17
4469.19210 1.73267e-17
4470.66180 1.59940e-17
4472.13150 1.65560e-17
4473.60120 1.69032e-17
4475.07090 1.70092e-17
4476.54060 1.77170e-17
4478.01030 1.81543e-17
4479.48000 1.71757e-17
4480.94970 1.67219e-17
4482.41940 1.73881e-17
4483.88910 1.66553e-17
4485.35880 1.66177e-17
4486.82850 1.71536e-17
4488.29820 1.69250e-17
4489.76790 1.70565e-17
4491.23760 1.58475e-17
4492.70730 1.56498e-17
4494.17700 1.73317e-17
4495.64670 1.69057e-17
4497.11640 1.57270e-17
4498.58610 1.66613e-17
4500.05580 1.68254e-17
4501.52550 1.67564e-17
4502.99520 1.79127e-17
4504.47525 1.77241e-17
4505.94495 1.68487e-17
4507.41465 1.58701e-17
4508.88435 1.68951e-17
4510.35405 1.78442e-17
4511.82375 1.64744e-17
4513.29345 1.66767e-17
4514.76315 1.78289e-17
4516.23285 1.71714e-17
4517.70255 1.64856e-17
4519.17225 1.58981e-17
4520.64195 1.65848e-17
4522.11165 1.85904e-17
4523.58135 1.80965e-17
4525.05105 1.80037e-17
4526.52075 1.84589e-17
4527.99045 1.73197e-17
4529.46015 1.70501e-17
4530.92985 1.74676e-17
4532.39955 1.77749e-17
4533.86925 1.82017e-17
4535.33895 1.61037e-17
4536.80865 1.43014e-17
4538.27835 1.56361e-17
4539.74805 1.67529e-17
4541.21775 1.59907e-17
4542.68745 1.41175e-17
4544.15715 1.53495e-17
4545.62685 1.70644e-17
4547.09655 1.56825e-17
4548.56625 1.51430e-17
4550.03595 1.56987e-17
4551.50565 1.63345e-17
4552.97535 1.64941e-17
4554.45540 1.63383e-17
4555.91475 1.54130e-17
4557.39480 1.52213e-17
4558.86450 1.49084e-17
4560.33420 1.44207e-17
4561.80390 1.40925e-17
4563.27360 1.43684e-17
4564.74330 1.54458e-17
4566.21300 1.55801e-17
4567.68270 1.56240e-17
4569.15240 1.41913e-17
4570.62210 1.37478e-17
4572.09180 1.52056e-17
4573.56150 1.68082e-17
4575.03120 1.60078e-17
4576.50090 1.57937e-17
4577.97060 1.68415e-17
4579.44030 1.66057e-17
4580.91000 1.63802e-17
4582.37970 1.62868e-17
4583.84940 1.58620e-17
4585.31910 1.56352e-17
4586.78880 1.64813e-17
4588.25850 1.74972e-17
4589.72820 1.62381e-17
4591.19790 1.48205e-17
4592.66760 1.51025e-17
4594.13730 1.53464e-17
4595.60700 1.57353e-17
4597.07670 1.52916e-17
4598.54640 1.61054e-17
4600.01610 1.57736e-17
4601.48580 1.51103e-17
4602.95550 1.59945e-17
4604.43555 1.48216e-17
4605.90525 1.41744e-17
4607.37495 1.59561e-17
4608.84465 1.61797e-17
4610.31435 1.56764e-17
4611.78405 1.70435e-17
4613.25375 1.65113e-17
4614.72345 1.55843e-17
4616.19315 1.61643e-17
4617.66285 1.61112e-17
4619.13255 1.55886e-17
4620.60225 1.53130e-17
4622.07195 1.60046e-17
4623.54165 1.57636e-17
4625.01135 1.47915e-17
4626.48105 1.52316e-17
4627.95075 1.53342e-17
4629.42045 1.53966e-17
4630.89015 1.51347e-17
4632.35985 1.47780e-17
4633.82955 1.44011e-17
4635.29925 1.39060e-17
4636.76895 1.48068e-17
4638.23865 1.56878e-17
4639.70835 1.66106e-17
4641.17805 1.70041e-17
4642.64775 1.71082e-17
4644.11745 1.66788e-17
4645.58715 1.63455e-17
4647.05685 1.60428e-17
4648.52655 1.62688e-17
4649.99625 1.67448e-17
4651.46595 1.52013e-17
4652.93565 1.51274e-17
4654.40535 1.62191e-17
4655.88540 1.64505e-17
4657.35510 1.54765e-17
4658.82480 1.50091e-17
4660.29450 1.53121e-17
4661.76420 1.52123e-17
4663.23390 1.52442e-17
4664.70360 1.58088e-17
4666.17330 1.56518e-17
4667.64300 1.46179e-17
4669.11270 1.48974e-17
4670.58240 1.57540e-17
4672.05210 1.58307e-17
4673.52180 1.67197e-17
4674.99150 1.74359e-17
4676.46120 1.67125e-17
4677.93090 1.59151e-17
4679.40060 1.56676e-17
4680.87030 1.62037e-17
4682.34000 1.56792e-17
4683.80970 1.50159e-17
4685.27940 1.60197e-17
4686.74910 1.66455e-17
4688.21880 1.64679e-17
4689.68850 1.53692e-17
4691.15820 1.51312e-17
4692.62790 1.49262e-17
4694.09760 1.45291e-17
4695.56730 1.49901e-17
4697.03700 1.48715e-17
4698.50670 1.50427e-17
4699.97640 1.50138e-17
4701.44610 1.49445e-17
4702.91580 1.55390e-17
4704.38550 1.44896e-17
4705.85520 1.36117e-17
4707.33525 1.60419e-17
4708.79460 1.65963e-17
4710.27465 1.46250e-17
4711.74435 1.44554e-17
4713.21405 1.49397e-17
4714.68375 1.54573e-17
4716.15345 1.54510e-17
4717.62315 1.47336e-17
4719.09285 1.46322e-17
4720.56255 1.36728e-17
4722.03225 1.42846e-17
4723.50195 1.55277e-17
4724.97165 1.61841e-17
4726.44135 1.59299e-17
4727.91105 1.43673e-17
4729.38075 1.47818e-17
4730.85045 1.51698e-17
4732.32015 1.43488e-17
4733.78985 1.43386e-17
4735.25955 1.52906e-17
4736.72925 1.60510e-17
4738.19895 1.69219e-17
4739.66865 1.63528e-17
4741.13835 1.59387e-17
4742.60805 1.54238e-17
4744.07775 1.40619e-17
4745.54745 1.44739e-17
4747.01715 1.51872e-17
4748.48685 1.50441e-17
4749.95655 1.57732e-17
4751.42625 1.67633e-17
4752.89595 1.57890e-17
4754.36565 1.44557e-17
4755.83535 1.34974e-17
4757.31540 1.41517e-17
4758.77475 1.46918e-17
4760.25480 1.49427e-17
4761.72450 1.64083e-17
4763.19420 1.58941e-17
4764.66390 1.51764e-17
4766.13360 1.46139e-17
4767.60330 1.48100e-17
4769.07300 1.54189e-17
4770.54270 1.33618e-17
4772.01240 1.22476e-17
4773.48210 1.44451e-17
4774.95180 1.55056e-17
4776.42150 1.46413e-17
4777.89120 1.40983e-17
4779.36090 1.49377e-17
4780.83060 1.51895e-17
4782.30030 1.39985e-17
4783.77000 1.43136e-17
4785.23970 1.48894e-17
4786.70940 1.48303e-17
4788.17910 1.45655e-17
4789.64880 1.47913e-17
4791.11850 1.45572e-17
4792.58820 1.45459e-17
4794.05790 1.43249e-17
4795.52760 1.41945e-17
4796.99730 1.42208e-17
4798.46700 1.36597e-17
4799.93670 1.45678e-17
4801.40640 1.51668e-17
4802.87610 1.46012e-17
4804.34580 1.38845e-17
4805.81550 1.36020e-17
4807.28520 1.38906e-17
4808.76525 1.36266e-17
4810.23495 1.48499e-17
4811.70465 1.46374e-17
4813.17435 1.33047e-17
4814.64405 1.34880e-17
4816.11375 1.40108e-17
4817.58345 1.47109e-17
4819.05315 1.36757e-17
4820.52285 1.25072e-17
4821.99255 1.28716e-17
4823.46225 1.33547e-17
4824.93195 1.35643e-17
4826.40165 1.40271e-17
4827.87135 1.37490e-17
4829.34105 1.31868e-17
4830.81075 1.25247e-17
4832.28045 1.27808e-17
4833.75015 1.37252e-17
4835.21985 1.42373e-17
4836.68955 1.47468e-17
4838.15925 1.41704e-17
4839.62895 1.31801e-17
4841.09865 1.34440e-17
4842.56835 1.36372e-17
4844.03805 1.29966e-17
4845.50775 1.35462e-17
4846.97745 1.42183e-17
4848.44715 1.37371e-17
4849.91685 1.29661e-17
4851.38655 1.37841e-17
4852.85625 1.35307e-17
4854.32595 1.34595e-17
4855.79565 1.34124e-17
4857.26535 1.39437e-17
4858.74540 1.38998e-17
4860.20475 1.27984e-17
4861.68480 1.30457e-17
4863.15450 1.28617e-17
4864.62420 1.30113e-17
4866.09390 1.27755e-17
4867.56360 1.33876e-17
4869.03330 1.42022e-17
4870.50300 1.27486e-17
4871.97270 1.25083e-17
4873.44240 1.36001e-17
4874.91210 1.38208e-17
4876.38180 1.30403e-17
4877.85150 1.25780e-17
4879.32120 1.15538e-17
4880.79090 1.20528e-17
4882.26060 1.36455e-17
4883.73030 1.32161e-17
4885.20000 1.37022e-17
4886.66970 1.25266e-17
4888.13940 1.21798e-17
4889.60910 1.36548e-17
4891.07880 1.27542e-17
4892.54850 1.19146e-17
4894.01820 1.26597e-17
4895.48790 1.23690e-17
4896.95760 1.19275e-17
4898.42730 1.20053e-17
4899.89700 1.20551e-17
4901.36670 1.23735e-17
4902.83640 1.27292e-17
4904.30610 1.23096e-17
4905.77580 1.17041e-17
4907.24550 1.17891e-17
4908.72555 1.23979e-17
4910.19525 1.27332e-17
4911.66495 1.19125e-17
4913.13465 1.15301e-17
4914.60435 1.10914e-17
4916.07405 1.17049e-17
4917.54375 1.19569e-17
4919.01345 1.23131e-17
4920.48315 1.16830e-17
4921.95285 1.17427e-17
4923.42255 1.36221e-17
4924.89225 1.29855e-17
4926.36195 1.25461e-17
4927.83165 1.25667e-17
4929.30135 1.10201e-17
4930.77105 1.12199e-17
4932.24075 1.25672e-17
4933.71045 1.26386e-17
4935.18015 1.25322e-17
4936.64985 1.13777e-17
4938.11955 1.11815e-17
4939.58925 1.20384e-17
