# wavelength flux
3300.0 2.900477231038082e-16
3301.0 2.90151441783543e-16
3302.0 2.9025519731628833e-16
3303.0 2.9035898971456e-16
3304.0 2.9046281899087624e-16
3305.0 2.9056668515775863e-16
3306.0 2.9067058822773123e-16
3307.0 2.90774528213321e-16
3308.0 2.908785051270577e-16
3309.0 2.909825189814738e-16
3310.0 2.910865697891049e-16
3311.0 2.91190657562489e-16
3312.0 2.912947823141671e-16
3313.0 2.91398944056683e-16
3314.0 2.9150314280258326e-16
3315.0 2.916073785644172e-16
3316.0 2.91711651354737e-16
3317.0 2.918159611860974e-16
3318.0 2.919203080710563e-16
3319.0 2.920246920221742e-16
3320.0 2.92129113052014e-16
3321.0 2.922335711731421e-16
3322.0 2.923380663981271e-16
3323.0 2.9244259873954054e-16
3324.0 2.9254716820995663e-16
3325.0 2.926517748219526e-16
3326.0 2.927564185881082e-16
3327.0 2.9286109952100587e-16
3328.0 2.92965817633231e-16
3329.0 2.930705729373715e-16
3330.0 2.9317536544601837e-16
3331.0 2.9328019517176506e-16
3332.0 2.933850621272077e-16
3333.0 2.934899663249454e-16
3334.0 2.9359490777757975e-16
3335.0 2.9369988649771523e-16
3336.0 2.9380490249795894e-16
3337.0 2.9390995579092085e-16
3338.0 2.9401504638921344e-16
3339.0 2.9412017430545195e-16
3340.0 2.9422533955225453e-16
3341.0 2.9433054214224176e-16
3342.0 2.9443578208803704e-16
3343.0 2.945410594022664e-16
3344.0 2.946463740975587e-16
3345.0 2.947517261865453e-16
3346.0 2.9485711568186055e-16
3347.0 2.949625425961409e-16
3348.0 2.950680069420263e-16
3349.0 2.9517350873215866e-16
3350.0 2.952790479791828e-16
3351.0 2.9538462469574634e-16
3352.0 2.9549023889449945e-16
3353.0 2.9559589058809493e-16
3354.0 2.957015797891883e-16
3355.0 2.9580730651043756e-16
3356.0 2.959130707645038e-16
3357.0 2.960188725640502e-16
3358.0 2.9612471192174283e-16
3359.0 2.962305888502507e-16
3360.0 2.9633650336224483e-16
3361.0 2.964424554703994e-16
3362.0 2.9654844518739084e-16
3363.0 2.966544725258985e-16
3364.0 2.967605374986042e-16
3365.0 2.9686664011819246e-16
3366.0 2.9697278039735014e-16
3367.0 2.9707895834876723e-16
3368.0 2.971851739851358e-16
3369.0 2.9729142731915086e-16
3370.0 2.973977183635097e-16
3371.0 2.9750404713091265e-16
3372.0 2.9761041363406214e-16
3373.0 2.9771681788566366e-16
3374.0 2.978232598984247e-16
3375.0 2.979297396850559e-16
3376.0 2.9803625725827023e-16
3377.0 2.981428126307831e-16
3378.0 2.9824940581531277e-16
3379.0 2.983560368245798e-16
3380.0 2.9846270567130754e-16
3381.0 2.9856941236822157e-16
3382.0 2.9867615692805046e-16
3383.0 2.9878293936352494e-16
3384.0 2.988897596873785e-16
3385.0 2.9899661791234686e-16
3386.0 2.9910351405116883e-16
3387.0 2.9921044811658527e-16
3388.0 2.993174201213398e-16
3389.0 2.9942443007817827e-16
3390.0 2.995314779998495e-16
3391.0 2.9963856389910446e-16
3392.0 2.9974568778869684e-16
3393.0 2.9985284968138254e-16
3394.0 2.9996004958992036e-16
3395.0 3.0006728752707135e-16
3396.0 3.0017456350559903e-16
3397.0 3.002818775382696e-16
3398.0 3.003892296378516e-16
3399.0 3.00496619817116e-16
3400.0 3.006040480888363e-16
3401.0 3.0071151446578855e-16
3402.0 3.0081901896075125e-16
3403.0 3.0092656158650525e-16
3404.0 3.010341423558338e-16
3405.0 3.0114176128152306e-16
3406.0 3.0124941837636103e-16
3407.0 3.0135711365313854e-16
3408.0 3.014648471246487e-16
3409.0 3.0157261880368717e-16
3410.0 3.016804287030519e-16
3411.0 3.017882768355435e-16
3412.0 3.018961632139646e-16
3413.0 3.020040878511209e-16
3414.0 3.021120507598197e-16
3415.0 3.0222005195287137e-16
3416.0 3.0232809144308837e-16
3417.0 3.024361692432857e-16
3418.0 3.0254428536628064e-16
3419.0 3.026524398248927e-16
3420.0 3.0276063263194443e-16
3421.0 3.0286886380026e-16
3422.0 3.029771333426664e-16
3423.0 3.030854412719928e-16
3424.0 3.0319378760107094e-16
3425.0 3.0330217234273473e-16
3426.0 3.0341059550982037e-16
3427.0 3.0351905711516685e-16
3428.0 3.0362755717161497e-16
3429.0 3.0373609569200826e-16
3430.0 3.038446726891924e-16
3431.0 3.0395328817601533e-16
3432.0 3.0406194216532773e-16
3433.0 3.0417063466998216e-16
3434.0 3.042793657028337e-16
3435.0 3.0438813527673974e-16
3436.0 3.0449694340455986e-16
3437.0 3.0460579009915627e-16
3438.0 3.0471467537339303e-16
3439.0 3.048235992401369e-16
3440.0 3.049325617122568e-16
3441.0 3.0504156280262374e-16
3442.0 3.0515060252411127e-16
3443.0 3.0525968088959515e-16
3444.0 3.053687979119533e-16
3445.0 3.0547795360406626e-16
3446.0 3.0558714797881626e-16
3447.0 3.056963810490884e-16
3448.0 3.058056528277696e-16
3449.0 3.059149633277491e-16
3450.0 3.060243125619186e-16
3451.0 3.061337005431719e-16
3452.0 3.0624312728440496e-16
3453.0 3.0635259279851607e-16
3454.0 3.0646209709840577e-16
3455.0 3.0657164019697676e-16
3456.0 3.0668122210713397e-16
3457.0 3.0679084284178444e-16
3458.0 3.069005024138377e-16
3459.0 3.070102008362052e-16
3460.0 3.0711993812180064e-16
3461.0 3.0722971428353983e-16
3462.0 3.073395293343412e-16
3463.0 3.0744938328712483e-16
3464.0 3.0755927615481323e-16
3465.0 3.076692079503309e-16
3466.0 3.0777917868660496e-16
3467.0 3.07889188376564e-16
3468.0 3.0799923703313936e-16
3469.0 3.081093246692641e-16
3470.0 3.082194512978739e-16
3471.0 3.0832961693190605e-16
3472.0 3.084398215843002e-16
3473.0 3.085500652679984e-16
3474.0 3.0866034799594433e-16
3475.0 3.087706697810841e-16
3476.0 3.088810306363657e-16
3477.0 3.089914305747397e-16
3478.0 3.0910186960915817e-16
3479.0 3.092123477525756e-16
3480.0 3.093228650179485e-16
3481.0 3.094334214182356e-16
3482.0 3.095440169663974e-16
3483.0 3.096546516753968e-16
3484.0 3.097653255581985e-16
3485.0 3.0987603862776954e-16
3486.0 3.099867908970787e-16
3487.0 3.1009758237909705e-16
3488.0 3.1020841308679754e-16
3489.0 3.1031928303315545e-16
3490.0 3.104301922311477e-16
3491.0 3.1054114069375333e-16
3492.0 3.1065212843395377e-16
3493.0 3.1076315546473193e-16
3494.0 3.108742217990732e-16
3495.0 3.1098532744996453e-16
3496.0 3.1109647243039526e-16
3497.0 3.112076567533565e-16
3498.0 3.113188804318415e-16
3499.0 3.1143014347884527e-16
3500.0 3.1154144590736494e-16
3501.0 3.1165278773039973e-16
3502.0 3.117641689609506e-16
3503.0 3.1187558961202037e-16
3504.0 3.119870496966144e-16
3505.0 3.1209854922773924e-16
3506.0 3.122100882184039e-16
3507.0 3.1232166668161914e-16
3508.0 3.1243328463039764e-16
3509.0 3.12544942077754e-16
3510.0 3.1265663903670474e-16
3511.0 3.127683755202685e-16
3512.0 3.1288015154146546e-16
3513.0 3.1299196711331796e-16
3514.0 3.1310382224885e-16
3515.0 3.132157169610878e-16
3516.0 3.1332765126305923e-16
3517.0 3.1343962516779406e-16
3518.0 3.135516386883239e-16
3519.0 3.136636918376823e-16
3520.0 3.137757846289046e-16
3521.0 3.138879170750281e-16
3522.0 3.140000891890918e-16
3523.0 3.141123009841366e-16
3524.0 3.1422455247320523e-16
3525.0 3.1433684366934235e-16
3526.0 3.1444917458559407e-16
3527.0 3.1456154523500886e-16
3528.0 3.1467395563063653e-16
3529.0 3.147864057855289e-16
3530.0 3.1489889571273953e-16
3531.0 3.15011425425324e-16
3532.0 3.151239949363391e-16
3533.0 3.1523660425884397e-16
3534.0 3.1534925340589924e-16
3535.0 3.1546194239056744e-16
3536.0 3.1557467122591254e-16
3537.0 3.1568743992500065e-16
3538.0 3.1580024850089945e-16
3539.0 3.159130969666784e-16
3540.0 3.1602598533540843e-16
3541.0 3.1613891362016266e-16
3542.0 3.162518818340156e-16
3543.0 3.163648899900434e-16
3544.0 3.164779381013241e-16
3545.0 3.165910261809375e-16
3546.0 3.167041542419649e-16
3547.0 3.1681732229748933e-16
3548.0 3.1693053036059543e-16
3549.0 3.170437784443699e-16
3550.0 3.1715706656190046e-16
3551.0 3.1727039472627695e-16
3552.0 3.173837629505907e-16
3553.0 3.1749717124793466e-16
3554.0 3.176106196314036e-16
3555.0 3.177241081140936e-16
3556.0 3.1783763670910264e-16
3557.0 3.179512054295302e-16
3558.0 3.180648142884772e-16
3559.0 3.1817846329904663e-16
3560.0 3.182921524743425e-16
3561.0 3.1840588182747087e-16
3562.0 3.18519651371539e-16
3563.0 3.1863346111965605e-16
3564.0 3.187473110849325e-16
3565.0 3.188612012804805e-16
3566.0 3.189751317194138e-16
3567.0 3.190891024148475e-16
3568.0 3.1920311337989853e-16
3569.0 3.1931716462768496e-16
3570.0 3.194312561713268e-16
3571.0 3.195453880239452e-16
3572.0 3.1965956019866316e-16
3573.0 3.1977377270860483e-16
3574.0 3.198880255668962e-16
3575.0 3.2000231878666433e-16
3576.0 3.2011665238103837e-16
3577.0 3.202310263631481e-16
3578.0 3.2034544074612565e-16
3579.0 3.2045989554310397e-16
3580.0 3.2057439076721757e-16
3581.0 3.206889264316028e-16
3582.0 3.2080350254939696e-16
3583.0 3.209181191337389e-16
3584.0 3.210327761977691e-16
3585.0 3.211474737546292e-16
3586.0 3.2126221181746237e-16
3587.0 3.213769903994131e-16
3588.0 3.214918095136274e-16
3589.0 3.216066691732526e-16
3590.0 3.217215693914372e-16
3591.0 3.2183651018133137e-16
3592.0 3.2195149155608657e-16
3593.0 3.2206651352885523e-16
3594.0 3.221815761127918e-16
3595.0 3.222966793210516e-16
3596.0 3.224118231667913e-16
3597.0 3.225270076631689e-16
3598.0 3.226422328233439e-16
3599.0 3.22757498660477e-16
3600.0 3.228728051877301e-16
3601.0 3.2298815241826665e-16
3602.0 3.231035403652507e-16
3603.0 3.232189690418485e-16
3604.0 3.23334438461227e-16
3605.0 3.2344994863655443e-16
3606.0 3.235654995810006e-16
3607.0 3.2368109130773615e-16
3608.0 3.237967238299331e-16
3609.0 3.2391239716076465e-16
3610.0 3.240281113134056e-16
3611.0 3.241438663010313e-16
3612.0 3.2425966213681867e-16
3613.0 3.243754988339459e-16
3614.0 3.2449137640559233e-16
3615.0 3.2460729486493824e-16
3616.0 3.247232542251653e-16
3617.0 3.2483925449945617e-16
3618.0 3.249552957009948e-16
3619.0 3.250713778429663e-16
3620.0 3.251875009385568e-16
3621.0 3.253036650009535e-16
3622.0 3.2541987004334494e-16
