# wavelength flux
1500.0 2.3162262180468812e-18
1501.0 2.321850209245077e-18
1502.0 2.3274742004432734e-18
1503.0 2.3330981916414692e-18
1504.0 2.338722182839665e-18
1505.0 2.344346174037861e-18
1506.0 2.3499701652360573e-18
1507.0 2.355594156434253e-18
1508.0 2.361218147632449e-18
1509.0 2.3668421388306453e-18
1510.0 2.372466130028841e-18
1511.0 2.378090121227037e-18
1512.0 2.3837141124252333e-18
1513.0 2.3893381036234292e-18
1514.0 2.394962094821625e-18
1515.0 2.4005860860198214e-18
1516.0 2.4062100772180173e-18
1517.0 2.411834068416213e-18
1518.0 2.417458059614409e-18
1519.0 2.4230820508126053e-18
1520.0 2.428706042010801e-18
1521.0 2.434330033208997e-18
1522.0 2.4399540244071933e-18
1523.0 2.4455780156053892e-18
1524.0 2.451202006803585e-18
1525.0 2.456825998001781e-18
1526.0 2.4624499891999772e-18
1527.0 2.468073980398173e-18
1528.0 2.473697971596369e-18
1529.0 2.4793219627945653e-18
1530.0 2.484945953992761e-18
1531.0 2.490569945190957e-18
1532.0 2.4961939363891533e-18
1533.0 2.501817927587349e-18
1534.0 2.507441918785545e-18
1535.0 2.5130659099837413e-18
1536.0 2.5186899011819372e-18
1537.0 2.524313892380133e-18
1538.0 2.529937883578329e-18
1539.0 2.5355618747765252e-18
1540.0 2.541185865974721e-18
1541.0 2.546809857172917e-18
1542.0 2.5524338483711133e-18
1543.0 2.558057839569309e-18
1544.0 2.563681830767505e-18
1545.0 2.569305821965701e-18
1546.0 2.574929813163897e-18
1547.0 2.580553804362093e-18
1548.0 2.5861777955602893e-18
1549.0 2.5918017867584852e-18
1550.0 2.597425777956681e-18
1551.0 2.603049769154877e-18
1552.0 2.6086737603530732e-18
1553.0 2.614297751551269e-18
1554.0 2.619921742749465e-18
1555.0 2.6255457339476613e-18
1556.0 2.631169725145857e-18
1557.0 2.636793716344053e-18
1558.0 2.642417707542249e-18
1559.0 2.6480416987404452e-18
1560.0 2.653665689938641e-18
1561.0 2.659289681136837e-18
1562.0 2.6649136723350332e-18
1563.0 2.670537663533229e-18
1564.0 2.676161654731425e-18
1565.0 2.681785645929621e-18
1566.0 2.687409637127817e-18
1567.0 2.693033628326013e-18
1568.0 2.6986576195242093e-18
1569.0 2.704281610722405e-18
1570.0 2.709905601920601e-18
1571.0 2.715529593118797e-18
1572.0 2.7211535843169932e-18
1573.0 2.726777575515189e-18
1574.0 2.732401566713385e-18
1575.0 2.7380255579115812e-18
1576.0 2.743649549109777e-18
1577.0 2.749273540307973e-18
1578.0 2.754897531506169e-18
1579.0 2.760521522704365e-18
1580.0 2.766145513902561e-18
1581.0 2.771769505100757e-18
1582.0 2.777393496298953e-18
1583.0 2.783017487497149e-18
1584.0 2.788641478695345e-18
1585.0 2.794265469893541e-18
1586.0 2.799889461091737e-18
1587.0 2.805513452289933e-18
1588.0 2.8111374434881292e-18
1589.0 2.816761434686325e-18
1590.0 2.822385425884521e-18
1591.0 2.828009417082717e-18
1592.0 2.833633408280913e-18
1593.0 2.839257399479109e-18
1594.0 2.844881390677305e-18
1595.0 2.850505381875501e-18
1596.0 2.856129373073697e-18
1597.0 2.861753364271893e-18
1598.0 2.867377355470089e-18
1599.0 2.873001346668285e-18
1600.0 2.878625337866481e-18
1601.0 2.8842493290646773e-18
1602.0 2.889873320262873e-18
1603.0 2.895497311461069e-18
1604.0 2.901121302659265e-18
1605.0 2.9067452938574608e-18
1606.0 2.912369285055657e-18
1607.0 2.917993276253853e-18
1608.0 2.9236172674520492e-18
1609.0 2.929241258650245e-18
1610.0 2.934865249848441e-18
1611.0 2.940489241046637e-18
1612.0 2.946113232244833e-18
1613.0 2.951737223443029e-18
1614.0 2.957361214641225e-18
1615.0 2.962985205839421e-18
1616.0 2.968609197037617e-18
1617.0 2.974233188235813e-18
1618.0 2.9798571794340088e-18
1619.0 2.985481170632205e-18
1620.0 2.991105161830401e-18
1621.0 2.9967291530285972e-18
1622.0 3.002353144226793e-18
1623.0 3.007977135424989e-18
1624.0 3.013601126623185e-18
1625.0 3.0192251178213807e-18
1626.0 3.024849109019577e-18
1627.0 3.030473100217773e-18
1628.0 3.036097091415969e-18
1629.0 3.041721082614165e-18
1630.0 3.047345073812361e-18
1631.0 3.0529690650105568e-18
1632.0 3.058593056208753e-18
1633.0 3.064217047406949e-18
1634.0 3.069841038605145e-18
1635.0 3.075465029803341e-18
1636.0 3.081089021001537e-18
1637.0 3.086713012199733e-18
1638.0 3.0923370033979287e-18
1639.0 3.097960994596125e-18
1640.0 3.103584985794321e-18
1641.0 3.109208976992517e-18
1642.0 3.114832968190713e-18
1643.0 3.120456959388909e-18
1644.0 3.1260809505871048e-18
1645.0 3.1317049417853007e-18
1646.0 3.137328932983497e-18
1647.0 3.142952924181693e-18
1648.0 3.148576915379889e-18
1649.0 3.154200906578085e-18
1650.0 3.159824897776281e-18
1651.0 3.1654488889744768e-18
1652.0 3.171072880172673e-18
1653.0 3.176696871370869e-18
1654.0 3.1823208625690648e-18
1655.0 3.187944853767261e-18
1656.0 3.193568844965457e-18
1657.0 3.199192836163653e-18
1658.0 3.2048168273618487e-18
1659.0 3.210440818560045e-18
1660.0 3.216064809758241e-18
1661.0 3.221688800956437e-18
1662.0 3.227312792154633e-18
1663.0 3.232936783352829e-18
1664.0 3.2385607745510248e-18
1665.0 3.2441847657492206e-18
1666.0 3.249808756947417e-18
1667.0 3.2554327481456128e-18
