# wavelength flux
3300.0 1.5249618639419247e-16
3301.0 1.5248957271201898e-16
3302.0 1.5248295664863868e-16
3303.0 1.5247633820342585e-16
3304.0 1.5246971737575474e-16
3305.0 1.524630941649997e-16
3306.0 1.5245646857053507e-16
3307.0 1.524498405917352e-16
3308.0 1.5244321022797452e-16
3309.0 1.5243657747862738e-16
3310.0 1.524299423430683e-16
3311.0 1.5242330482067167e-16
3312.0 1.52416664910812e-16
3313.0 1.524100226128639e-16
3314.0 1.5240337792620188e-16
3315.0 1.5239673085020048e-16
3316.0 1.523900813842343e-16
3317.0 1.5238342952767799e-16
3318.0 1.5237677527990618e-16
3319.0 1.5237011864029363e-16
3320.0 1.52363459608215e-16
3321.0 1.5235679818304506e-16
3322.0 1.5235013436415854e-16
3323.0 1.5234346815093022e-16
3324.0 1.52336799542735e-16
3325.0 1.5233012853894774e-16
3326.0 1.5232345513894323e-16
3327.0 1.5231677934209648e-16
3328.0 1.5231010114778242e-16
3329.0 1.5230342055537596e-16
3330.0 1.5229673756425215e-16
3331.0 1.5229005217378602e-16
3332.0 1.5228336438335265e-16
3333.0 1.522766741923271e-16
3334.0 1.522699816000845e-16
3335.0 1.5226328660600007e-16
3336.0 1.522565892094489e-16
3337.0 1.5224988940980627e-16
3338.0 1.522431872064474e-16
3339.0 1.5223648259874761e-16
3340.0 1.5222977558608214e-16
3341.0 1.5222306616782638e-16
3342.0 1.5221635434335573e-16
3343.0 1.522096401120456e-16
3344.0 1.5220292347327132e-16
3345.0 1.5219620442640852e-16
3346.0 1.5218948297083263e-16
3347.0 1.5218275910591916e-16
3348.0 1.5217603283104372e-16
3349.0 1.521693041455819e-16
3350.0 1.5216257304890938e-16
3351.0 1.521558395404018e-16
3352.0 1.521491036194349e-16
3353.0 1.5214236528538437e-16
3354.0 1.5213562453762599e-16
3355.0 1.5212888137553565e-16
3356.0 1.5212213579848908e-16
3357.0 1.5211538780586224e-16
3358.0 1.52108637397031e-16
3359.0 1.521018845713714e-16
3360.0 1.520951293282593e-16
3361.0 1.5208837166707088e-16
3362.0 1.52081611587182e-16
3363.0 1.5207484908796895e-16
3364.0 1.5206808416880773e-16
3365.0 1.5206131682907452e-16
3366.0 1.5205454706814559e-16
3367.0 1.5204777488539715e-16
3368.0 1.520410002802055e-16
3369.0 1.5203422325194688e-16
3370.0 1.5202744379999773e-16
3371.0 1.5202066192373443e-16
3372.0 1.5201387762253334e-16
3373.0 1.52007090895771e-16
3374.0 1.5200030174282387e-16
3375.0 1.5199351016306848e-16
