# wavelength flux
5200.00000 9.12569e-16
5203.49593 1.01960e-15
5206.99187 1.05555e-15
5210.48780 9.31467e-16
5213.98374 9.36488e-16
5217.47967 9.88807e-16
5220.97561 1.01212e-15
5224.47155 9.86481e-16
5227.96748 1.08252e-15
5231.46342 1.12620e-15
5234.95935 1.17008e-15
5238.45529 1.09524e-15
5241.95122 1.09794e-15
5245.44715 1.14422e-15
5248.94309 1.09870e-15
5252.43902 1.12159e-15
5255.93496 1.18010e-15
5259.43089 1.20617e-15
5262.92683 1.15754e-15
5266.42276 1.13654e-15
5269.91870 1.14052e-15
5273.41463 1.17123e-15
5276.91057 1.25616e-15
5280.40650 1.24254e-15
5283.90244 1.26866e-15
5287.39837 1.28986e-15
5290.89431 1.24486e-15
5294.39024 1.27693e-15
5297.88618 1.31053e-15
5301.38211 1.30324e-15
5304.87805 1.31787e-15
5308.37398 1.39050e-15
5311.86992 1.44689e-15
5315.36585 1.44824e-15
5318.86179 1.47724e-15
5322.35772 1.43765e-15
5325.85366 1.52424e-15
5329.34959 1.53193e-15
5332.84553 1.42447e-15
5336.34146 1.39869e-15
5339.83740 1.51175e-15
5343.33333 1.48609e-15
5346.82927 1.54361e-15
5350.32520 1.53618e-15
5353.82114 1.52165e-15
5357.31707 1.48133e-15
5360.81301 1.57324e-15
5364.30894 1.56143e-15
5367.80488 1.49609e-15
5371.30081 1.48213e-15
5374.79675 1.50284e-15
5378.29268 1.50556e-15
5381.78862 1.48550e-15
5385.28455 1.40898e-15
5388.78049 1.42139e-15
5392.27642 1.47644e-15
5395.77236 1.49361e-15
5399.26829 1.48093e-15
5402.76423 1.48938e-15
5406.26016 1.42424e-15
5409.75610 1.34715e-15
5413.25203 1.41061e-15
5416.74797 1.45439e-15
5420.24390 1.36711e-15
5423.73984 1.36275e-15
5427.23577 1.40469e-15
5430.73171 1.40268e-15
5434.22764 1.41317e-15
5437.72358 1.38692e-15
5441.21951 1.40292e-15
5444.71545 1.40711e-15
5448.21138 1.37391e-15
5451.70732 1.44292e-15
5455.20325 1.44267e-15
5458.69919 1.40322e-15
5462.19512 1.37323e-15
5465.69106 1.38193e-15
5469.18699 1.39348e-15
5472.68293 1.45154e-15
5476.17886 1.45632e-15
5479.67480 1.46697e-15
5483.17073 1.47804e-15
5486.66667 1.49205e-15
5490.16260 1.48571e-15
5493.65854 1.51292e-15
5497.15447 1.51380e-15
5500.65041 1.53962e-15
5504.14634 1.53962e-15
5507.64228 1.51445e-15
5511.13821 1.50008e-15
5514.63415 1.51382e-15
5518.13008 1.59608e-15
5521.62602 1.58002e-15
5525.12195 1.52418e-15
5528.61789 1.54908e-15
5532.11382 1.50806e-15
5535.60976 1.45884e-15
5539.10569 1.49887e-15
5542.60163 1.51419e-15
5546.09756 1.53462e-15
5549.59350 1.50852e-15
5553.08943 1.44296e-15
5556.58537 1.46902e-15
5560.08130 1.52144e-15
5563.57724 1.52343e-15
5567.07317 1.51044e-15
5570.56911 1.46314e-15
5574.06504 1.47333e-15
5577.56098 1.47273e-15
5581.05691 1.45445e-15
5584.55285 1.48152e-15
5588.04878 1.49829e-15
5591.54472 1.50703e-15
5595.04065 1.48227e-15
5598.53659 1.45429e-15
5602.03252 1.43685e-15
5605.52846 1.38456e-15
5609.02439 1.38675e-15
5612.52033 1.44384e-15
5616.01626 1.45938e-15
5619.51220 1.42945e-15
5623.00813 1.45976e-15
5626.50407 1.41541e-15
5630.00000 1.42366e-15
5633.49593 1.40950e-15
5636.99187 1.41103e-15
5640.48780 1.44508e-15
5643.98374 1.47989e-15
5647.47967 1.47961e-15
5650.97561 1.46656e-15
5654.47155 1.48270e-15
5657.96748 1.41232e-15
5661.46342 1.39066e-15
5664.95935 1.41372e-15
5668.45529 1.40067e-15
5671.95122 1.41913e-15
5675.44715 1.46462e-15
5678.94309 1.45833e-15
5682.43902 1.41976e-15
5685.93496 1.41228e-15
5689.43090 1.41099e-15
5692.92683 1.40823e-15
5696.42277 1.41139e-15
5699.91870 1.42050e-15
5703.41464 1.34295e-15
5706.91057 1.33509e-15
5710.40650 1.35646e-15
5713.90244 1.36412e-15
5717.39837 1.32946e-15
5720.89431 1.27383e-15
5724.39024 1.32477e-15
5727.88618 1.30658e-15
5731.38211 1.33683e-15
5734.87805 1.36504e-15
5738.37398 1.29204e-15
5741.86992 1.30514e-15
5745.36585 1.30959e-15
5748.86179 1.25687e-15
5752.35772 1.40328e-15
5755.85366 1.36473e-15
5759.34959 1.28850e-15
5762.84553 1.27655e-15
5766.34146 1.23085e-15
5769.83740 1.25519e-15
5773.33333 1.25517e-15
5776.82927 1.24384e-15
5780.32520 1.27412e-15
5783.82114 1.27942e-15
5787.31707 1.26019e-15
5790.81301 1.19911e-15
5794.30894 1.18924e-15
5797.80488 1.23564e-15
5801.30081 1.25702e-15
5804.79675 1.25750e-15
5808.29268 1.18484e-15
5811.78862 1.17856e-15
5815.28455 1.24130e-15
5818.78049 1.19840e-15
5822.27642 1.17749e-15
5825.77236 1.21766e-15
5829.26829 1.27128e-15
5832.76423 1.29764e-15
5836.26016 1.27141e-15
5839.75610 1.28602e-15
5843.25203 1.30176e-15
5846.74797 1.33685e-15
5850.24390 1.32162e-15
5853.73984 1.34250e-15
5857.23577 1.35541e-15
5860.73171 1.31943e-15
5864.22764 1.38995e-15
5867.72358 1.43267e-15
