# wavelength flux
3600.00000 7.34443e-16
3601.92559 5.57486e-16
3603.85117 4.14361e-16
3605.77676 5.33144e-16
3607.70235 5.23410e-16
3609.62794 4.63424e-16
3611.55352 5.92205e-16
3613.47911 5.94716e-16
3615.40470 4.83558e-16
3617.33029 6.93365e-16
3619.25587 6.59982e-16
3621.18146 4.46641e-16
3623.10705 5.76786e-16
3625.03264 6.16660e-16
3626.95822 5.32690e-16
3628.88381 4.89167e-16
3630.80940 6.22483e-16
3632.73499 6.11181e-16
3634.66057 5.62825e-16
3636.58616 6.14245e-16
3638.51175 5.78318e-16
3640.43734 6.43071e-16
3642.36292 6.78623e-16
3644.28851 6.69193e-16
3646.21410 6.67666e-16
3648.13969 7.01026e-16
3650.06527 6.35230e-16
3651.99086 6.32179e-16
3653.91645 6.58955e-16
3655.84204 6.35470e-16
3657.76762 6.01464e-16
3659.69321 6.92621e-16
3661.61880 7.34667e-16
3663.54439 6.15273e-16
3665.46997 6.06407e-16
3667.39556 6.60148e-16
3669.32115 6.58087e-16
3671.24673 6.63817e-16
3673.17232 6.38784e-16
3675.09791 5.77681e-16
3677.02350 6.03038e-16
3678.94908 6.13555e-16
3680.87467 6.39890e-16
3682.80026 6.30520e-16
3684.72585 6.01123e-16
3686.65143 5.79395e-16
3688.57702 5.68695e-16
3690.50261 6.47713e-16
3692.42820 6.55339e-16
3694.35378 5.78602e-16
3696.27937 4.29513e-16
3698.20496 4.66236e-16
3700.13055 5.62247e-16
3702.05613 6.00373e-16
3703.98172 5.28952e-16
3705.90731 4.68407e-16
3707.83290 4.81441e-16
3709.75848 5.12624e-16
3711.68407 5.03392e-16
3713.60966 5.22445e-16
3715.53525 4.66339e-16
3717.46083 4.60441e-16
3719.38642 4.59033e-16
3721.31201 4.73798e-16
3723.23760 5.14141e-16
3725.16318 4.22451e-16
3727.08877 4.19438e-16
3729.01436 3.92539e-16
3730.93994 3.63741e-16
3732.86553 4.43653e-16
3734.79112 4.69248e-16
3736.71671 4.73335e-16
3738.64229 4.47322e-16
3740.56788 4.65077e-16
3742.49347 4.86607e-16
3744.41906 5.13788e-16
3746.34464 4.93938e-16
3748.27023 5.28332e-16
3750.19582 6.15857e-16
3752.12141 6.08274e-16
3754.04699 6.05435e-16
3755.97258 6.18437e-16
3757.89817 5.88637e-16
3759.82376 5.30924e-16
3761.74934 4.65150e-16
3763.67493 4.42961e-16
3765.60052 4.38458e-16
3767.52610 4.27353e-16
3769.45169 4.51955e-16
3771.37728 4.36816e-16
3773.30287 4.41709e-16
3775.22845 4.26416e-16
3777.15404 4.46568e-16
3779.07963 4.93434e-16
3781.00522 4.65651e-16
3782.93080 4.57795e-16
3784.85639 4.89361e-16
3786.78198 5.01127e-16
3788.70757 5.01175e-16
3790.63315 5.01656e-16
3792.55874 4.71263e-16
3794.48433 4.47790e-16
3796.40992 4.15084e-16
3798.33550 4.30321e-16
3800.26109 4.99091e-16
3802.18668 5.06906e-16
3804.11227 4.94158e-16
3806.03785 5.23119e-16
3807.96344 5.70078e-16
3809.88903 6.02703e-16
3811.81462 5.69803e-16
3813.74020 5.91819e-16
3815.66579 6.14527e-16
3817.59138 5.73213e-16
3819.51696 5.49538e-16
3821.44255 5.39075e-16
3823.36814 5.56164e-16
3825.29373 5.18975e-16
3827.21931 5.14619e-16
3829.14490 5.83140e-16
3831.07049 6.14589e-16
3832.99608 5.86953e-16
3834.92166 6.42994e-16
3836.84725 6.69293e-16
3838.77284 6.73321e-16
3840.69843 6.57027e-16
3842.62401 6.13108e-16
3844.54960 6.36218e-16
3846.47519 6.41963e-16
3848.40078 6.52441e-16
3850.32636 6.85975e-16
3852.25195 7.38163e-16
3854.17754 6.89661e-16
3856.10313 6.58004e-16
3858.02871 6.61085e-16
3859.95430 6.41611e-16
3861.87989 6.13340e-16
3863.80548 6.07633e-16
3865.73106 6.63323e-16
3867.65665 6.89561e-16
3869.58224 6.98371e-16
3871.50783 7.21781e-16
3873.43341 7.72991e-16
3875.35900 8.14088e-16
3877.28459 8.26406e-16
3879.21018 8.25948e-16
3881.13576 8.36827e-16
3883.06135 8.43919e-16
3884.98694 8.41516e-16
3886.91253 8.63928e-16
3888.83811 9.08068e-16
3890.76370 9.06564e-16
3892.68929 8.86379e-16
3894.61488 8.96684e-16
3896.54046 9.58637e-16
3898.46605 9.77565e-16
3900.39164 9.32857e-16
3902.31722 9.31103e-16
3904.24281 9.68418e-16
3906.16840 9.83658e-16
3908.09399 1.00610e-15
3910.01957 1.01135e-15
3911.94516 9.90112e-16
3913.87075 9.67980e-16
3915.79634 9.61304e-16
3917.72192 1.01571e-15
3919.64751 1.04515e-15
3921.57310 1.05038e-15
3923.49869 1.09309e-15
3925.42427 1.11218e-15
3927.34986 1.09560e-15
3929.27545 1.07318e-15
3931.20104 1.11143e-15
3933.12662 1.16027e-15
3935.05221 1.20686e-15
3936.97780 1.23036e-15
3938.90339 1.23358e-15
3940.82897 1.31339e-15
3942.75456 1.36534e-15
3944.68015 1.35003e-15
3946.60574 1.36562e-15
3948.53132 1.36942e-15
3950.45691 1.36561e-15
3952.38250 1.35041e-15
3954.30808 1.34612e-15
3956.23367 1.31571e-15
3958.15926 1.25680e-15
3960.08485 1.21699e-15
3962.01043 1.20632e-15
3963.93602 1.22995e-15
3965.86161 1.26565e-15
3967.78720 1.31149e-15
3969.71278 1.41244e-15
3971.63837 1.45273e-15
3973.56396 1.50143e-15
3975.48955 1.46887e-15
3977.41513 1.46211e-15
3979.34072 1.52635e-15
3981.26631 1.48726e-15
3983.19190 1.45720e-15
3985.11748 1.49629e-15
3987.04307 1.48256e-15
3988.96866 1.43166e-15
3990.89424 1.40859e-15
3992.81983 1.36668e-15
3994.74542 1.34109e-15
3996.67101 1.29323e-15
3998.59659 1.24919e-15
4000.52218 1.29644e-15
4002.44777 1.38050e-15
4004.37336 1.41753e-15
4006.29895 1.43896e-15
4008.22453 1.44633e-15
4010.15012 1.44853e-15
4012.07571 1.45862e-15
4014.00129 1.49094e-15
4015.92688 1.50765e-15
4017.85247 1.47904e-15
4019.77806 1.47454e-15
4021.70364 1.48344e-15
4023.62923 1.46714e-15
4025.55482 1.43966e-15
4027.48041 1.41174e-15
4029.40599 1.45410e-15
4031.33158 1.49125e-15
4033.25717 1.45249e-15
4035.18276 1.44400e-15
4037.10834 1.41112e-15
4039.03393 1.43463e-15
4040.95952 1.40007e-15
4042.88511 1.32550e-15
4044.81069 1.32354e-15
4046.73628 1.34874e-15
4048.66187 1.36768e-15
4050.58745 1.34273e-15
4052.51304 1.38335e-15
4054.43863 1.36111e-15
4056.36422 1.36177e-15
4058.28980 1.34584e-15
4060.21539 1.29552e-15
4062.14098 1.28777e-15
4064.06657 1.23382e-15
4065.99215 1.20257e-15
4067.91774 1.21572e-15
4069.84333 1.21596e-15
4071.76892 1.19360e-15
4073.69450 1.17633e-15
4075.62009 1.13715e-15
4077.54568 1.15409e-15
4079.47127 1.14647e-15
4081.39685 1.11301e-15
4083.32244 1.10861e-15
4085.24803 1.09569e-15
4087.17362 1.08114e-15
4089.09920 1.08189e-15
4091.02479 1.05500e-15
4092.95038 1.04073e-15
4094.87597 1.02601e-15
4096.80155 1.04887e-15
4098.72714 1.03356e-15
4100.65273 9.90932e-16
4102.57831 9.92065e-16
4104.50390 1.00140e-15
4106.42949 9.65436e-16
4108.35508 9.67390e-16
4110.28067 1.00428e-15
4112.20625 9.73818e-16
4114.13184 9.41432e-16
4116.05743 9.57989e-16
4117.98301 9.87547e-16
4119.90860 9.53323e-16
4121.83419 9.34241e-16
4123.75978 9.62224e-16
4125.68536 9.41105e-16
4127.61095 9.22665e-16
4129.53654 9.47605e-16
4131.46213 9.37683e-16
4133.38771 9.23162e-16
4135.31330 9.41206e-16
4137.23889 9.13895e-16
4139.16448 9.19009e-16
4141.09006 9.50163e-16
4143.01565 9.58232e-16
4144.94124 9.22763e-16
4146.86683 9.35470e-16
4148.79241 9.37304e-16
4150.71800 9.50307e-16
4152.64359 9.45714e-16
4154.56918 9.39497e-16
4156.49476 9.27675e-16
4158.42035 9.03753e-16
4160.34594 9.32847e-16
4162.27153 9.50091e-16
4164.19711 9.55852e-16
4166.12270 9.57518e-16
4168.04829 9.27637e-16
4169.97387 9.43024e-16
4171.89946 9.46742e-16
4173.82505 9.31557e-16
4175.75064 9.35830e-16
4177.67623 9.42937e-16
4179.60181 9.28860e-16
4181.52740 9.59591e-16
4183.45299 9.78567e-16
4185.37857 9.22385e-16
4187.30416 9.20485e-16
4189.22975 9.49330e-16
4191.15534 9.69200e-16
4193.08092 9.79959e-16
4195.00651 9.57604e-16
4196.93210 9.80955e-16
4198.85769 9.72000e-16
4200.78327 9.64082e-16
4202.70886 9.45397e-16
4204.63445 9.31787e-16
4206.56004 9.28996e-16
4208.48562 9.43140e-16
4210.41121 9.55819e-16
4212.33680 9.57636e-16
4214.26239 9.74150e-16
4216.18797 9.94633e-16
4218.11356 9.84890e-16
4220.03915 9.79933e-16
4221.96473 9.60041e-16
4223.89032 9.72822e-16
4225.81591 1.00402e-15
4227.74150 9.70353e-16
4229.66709 9.84418e-16
4231.59267 9.75600e-16
4233.51826 9.99291e-16
4235.44385 9.98198e-16
4237.36943 9.85987e-16
4239.29502 9.92816e-16
4241.22061 9.96254e-16
4243.14620 1.01755e-15
4245.07178 1.04545e-15
4246.99737 1.03079e-15
4248.92296 9.99107e-16
4250.84855 1.02773e-15
4252.77413 1.04357e-15
4254.69972 9.81380e-16
