# wavelength flux
2989.20000 0.00000e+00
2998.00000 9.81554e-17
2998.60000 1.55982e-16
2998.80000 1.56133e-16
3000.00000 1.62946e-16
3000.20000 1.56133e-16
3001.00000 1.55982e-16
3001.80000 1.56133e-16
3002.00000 1.55982e-16
3002.20000 1.56133e-16
3002.80000 1.62946e-16
3003.00000 1.56133e-16
3003.20000 1.62946e-16
3003.60000 3.13164e-16
3003.80000 1.62946e-16
3004.20000 1.56133e-16
3004.40000 1.62946e-16
3006.00000 3.13164e-16
3006.40000 3.47314e-16
3006.60000 3.13164e-16
3006.80000 1.62946e-16
3007.00000 1.55982e-16
3007.60000 9.81554e-17
3007.80000 1.55982e-16
3008.00000 9.81554e-17
3008.40000 -5.79745e-18
3008.60000 -8.53957e-17
3008.80000 -5.79745e-18
3009.00000 8.13965e-17
3009.20000 9.81554e-17
3009.40000 1.55982e-16
3009.60000 1.62946e-16
3010.00000 1.55982e-16
3010.40000 1.62946e-16
3010.60000 1.55982e-16
3011.20000 9.81554e-17
3011.60000 8.13965e-17
3011.80000 -5.79745e-18
3012.20000 -8.53957e-17
3012.40000 -5.79745e-18
3013.00000 -2.97027e-18
3013.60000 8.13965e-17
3014.00000 -2.97027e-18
3014.20000 -5.79745e-18
3014.40000 -8.53957e-17
3015.00000 -5.79745e-18
3015.60000 -8.53957e-17
3015.80000 -1.31061e-16
3016.00000 -8.53957e-17
3016.20000 -5.34900e-17
3016.40000 -8.53957e-17
3017.00000 -1.31061e-16
3018.00000 -5.79745e-18
3018.20000 -8.53957e-17
3018.60000 -5.34900e-17
3018.80000 -8.53957e-17
3019.00000 -1.31061e-16
3019.60000 -1.43826e-16
3020.00000 -2.57255e-16
3020.20000 -1.47136e-16
3020.40000 -1.43826e-16
3020.80000 -1.31061e-16
3021.20000 -8.53957e-17
3022.20000 -5.34900e-17
3022.80000 -2.97027e-18
3023.00000 -5.34900e-17
3023.80000 -1.31061e-16
3024.00000 -5.34900e-17
3024.40000 -5.79745e-18
3024.60000 -5.34900e-17
3025.60000 -8.53957e-17
3025.80000 -1.43826e-16
3026.00000 -5.34900e-17
3026.40000 -8.53957e-17
3027.00000 -5.34900e-17
3027.40000 -5.79745e-18
3027.80000 -2.97027e-18
3028.20000 -5.03842e-19
3028.40000 5.68263e-17
3028.60000 6.97786e-17
3029.20000 5.83277e-17
3030.20000 6.97786e-17
3030.40000 5.83277e-17
3030.60000 5.68263e-17
3030.80000 5.83277e-17
3031.00000 6.97786e-17
3031.20000 5.83277e-17
3031.40000 6.97786e-17
3031.60000 7.89698e-17
3032.00000 1.22683e-16
3032.20000 8.08801e-17
3032.40000 1.22683e-16
3033.40000 1.49772e-16
3033.60000 1.34421e-16
3034.00000 1.48995e-16
3034.40000 1.49772e-16
3034.80000 1.61608e-16
3035.00000 1.86130e-16
3035.20000 1.49772e-16
3035.40000 1.48995e-16
3035.80000 1.49772e-16
3036.20000 1.48995e-16
3037.00000 6.97786e-17
3037.20000 1.45462e-16
3037.80000 2.70505e-16
3038.00000 5.68263e-17
3038.20000 1.34421e-16
3038.60000 1.61608e-16
3038.80000 5.83277e-17
3039.00000 1.27489e-16
3039.20000 1.34421e-16
3039.80000 1.78568e-16
3040.00000 1.34421e-16
3040.20000 2.01922e-16
3040.40000 1.45462e-16
3040.60000 1.34421e-16
3040.80000 2.19511e-16
3041.00000 2.18494e-16
3041.20000 1.22683e-16
3041.40000 1.48995e-16
3041.60000 7.89698e-17
3041.80000 1.27489e-16
3042.00000 8.08801e-17
3042.20000 1.27489e-16
