# wavelength flux
3581.45630 4.15606e-16
3582.36960 4.17913e-16
3583.28320 4.20106e-16
3584.19650 4.22237e-16
3585.11010 4.24316e-16
3586.02340 4.26363e-16
3586.93680 4.28388e-16
3587.85030 4.30128e-16
3588.76370 4.29289e-16
3589.67700 4.24021e-16
3590.59060 4.15060e-16
3591.50390 5.11700e-16
3592.41750 6.19221e-16
3593.33080 5.85503e-16
3594.24410 4.57178e-16
3595.15770 3.35182e-16
3596.07100 3.82392e-16
3596.98440 3.64715e-16
3597.89790 3.64645e-16
3598.81130 3.87923e-16
3599.72490 4.00813e-16
3600.63820 4.99120e-16
3601.55150 3.90069e-16
3602.46510 3.03340e-16
3603.37840 2.55673e-16
3604.29170 2.44009e-16
3605.20530 4.15862e-16
3606.11870 2.75382e-16
3607.03220 2.03001e-16
3607.94560 2.58292e-16
3608.85890 4.39425e-16
3609.77250 2.18659e-16
3610.68580 3.08922e-16
3611.59910 4.08779e-16
3612.51270 3.05183e-16
3613.42600 4.61752e-16
3614.33960 4.05627e-16
3615.25290 3.56352e-16
3616.16630 3.06175e-16
3617.07980 3.74871e-16
3617.99320 4.64380e-16
3618.90670 5.38895e-16
3619.82010 5.22885e-16
3620.73340 4.41969e-16
3621.64700 3.79509e-16
3622.56030 4.21304e-16
3623.47360 3.83711e-16
3624.38720 2.47613e-16
3625.30050 1.47805e-16
3626.21410 1.88938e-16
3627.12740 2.46261e-16
3628.04080 2.68929e-16
3628.95430 3.17048e-16
3629.86770 2.87132e-16
3630.78100 3.04095e-16
3631.69460 2.72837e-16
3632.60790 2.33095e-16
3633.52150 2.12994e-16
3634.43480 2.07593e-16
3635.34810 1.89846e-16
3636.26170 3.23615e-16
3637.17500 2.80815e-16
3638.08840 1.90284e-16
3639.00200 2.77716e-16
3639.91530 3.16062e-16
3640.82890 3.40526e-16
3641.74220 3.10945e-16
3642.65550 2.62507e-16
3643.56910 3.33842e-16
3644.48240 3.77458e-16
3645.39600 2.93036e-16
3646.30930 2.52967e-16
3647.22270 1.83375e-16
3648.13620 1.98385e-16
3649.04960 2.37968e-16
3649.96290 2.50302e-16
3650.87650 2.74833e-16
3651.78980 3.18649e-16
3652.70340 2.66441e-16
3653.61670 2.53943e-16
3654.53000 2.74992e-16
3655.44360 2.33082e-16
3656.35690 1.78081e-16
3657.27030 2.20258e-16
3658.18380 2.21504e-16
3659.09720 1.93589e-16
3660.01070 1.96797e-16
3660.92410 2.30910e-16
3661.83740 2.91843e-16
3662.75100 3.25660e-16
3663.66430 2.32777e-16
3664.57760 1.54435e-16
3665.49120 2.63766e-16
3666.40450 3.24036e-16
3667.31810 2.42065e-16
3668.23140 2.32473e-16
3669.14480 2.44600e-16
3670.05830 2.02993e-16
3670.97170 2.20702e-16
3671.88500 1.99305e-16
3672.79860 1.80455e-16
3673.71190 1.83149e-16
3674.62550 1.47714e-16
3675.53880 1.34709e-16
3676.45210 2.06894e-16
3677.36570 2.20931e-16
3678.27910 2.42675e-16
3679.19260 2.66478e-16
3680.10600 2.08214e-16
3681.01930 1.64873e-16
3681.93290 2.09398e-16
3682.84620 1.83659e-16
3683.75950 1.66168e-16
3684.67310 1.73100e-16
3685.58640 1.46112e-16
3686.50000 1.70458e-16
3687.41330 1.92896e-16
3688.32670 2.08136e-16
3689.24020 2.34788e-16
3690.15360 1.96490e-16
3691.06690 1.70202e-16
3691.98050 2.11073e-16
3692.89380 2.51923e-16
3693.80740 2.33937e-16
3694.72070 1.84966e-16
3695.63400 2.27267e-16
3696.54760 2.37633e-16
3697.46090 2.11546e-16
3698.37430 1.47080e-16
3699.28780 1.61756e-16
3700.20120 2.87790e-16
3701.11470 3.05006e-16
3702.02810 2.04389e-16
3702.94140 2.20811e-16
3703.85500 1.96544e-16
3704.76830 2.41770e-16
3705.68160 2.67130e-16
3706.59520 2.98360e-16
3707.50850 2.44262e-16
3708.42210 2.50725e-16
3709.33540 2.18505e-16
3710.24880 2.32584e-16
3711.16240 2.16383e-16
3712.07570 2.08640e-16
3712.98930 1.99598e-16
3713.90260 2.03723e-16
3714.81590 1.64793e-16
3715.72950 1.83120e-16
3716.64280 2.08276e-16
3717.55620 1.93617e-16
3718.46970 2.19779e-16
3719.38310 1.75427e-16
3720.29660 1.90436e-16
3721.21000 2.17912e-16
3722.12330 2.78206e-16
3723.03690 2.55805e-16
3723.95020 2.18686e-16
3724.86350 2.28767e-16
3725.77710 2.37007e-16
3726.69040 2.57901e-16
3727.60400 2.45427e-16
3728.51730 1.84815e-16
3729.43070 1.73718e-16
3730.34420 1.75938e-16
3731.25760 2.12555e-16
3732.17090 1.69157e-16
3733.08450 1.13431e-16
3733.99780 2.11519e-16
3734.91140 2.26326e-16
3735.82470 1.58574e-16
3736.73800 1.77461e-16
3737.65160 2.10465e-16
3738.56490 1.68459e-16
