# wavelength flux
3535.81519 3.68561e-17
3538.43324 7.61462e-17
3541.05130 7.67141e-17
3543.66936 1.29112e-16
3546.28741 1.82911e-16
3548.90547 2.76515e-16
3551.52353 2.55723e-16
3554.14158 1.64394e-16
3556.75964 3.53313e-16
3559.37770 1.03769e-16
3561.99575 1.77889e-16
3564.61381 1.84420e-16
3567.23187 1.28048e-16
3569.84992 1.67467e-16
3572.46798 1.69382e-16
3575.08604 1.37631e-16
3577.70409 1.43046e-16
3580.32215 1.88026e-16
3582.94021 1.33448e-16
3585.55826 1.84754e-16
3588.17632 2.57444e-16
3590.79438 1.59537e-16
3593.41243 2.00522e-16
3596.03049 1.77722e-16
3598.64855 1.73140e-16
3601.26660 2.64891e-16
3603.88466 2.59092e-16
3606.50272 2.65488e-16
3609.12077 4.03171e-17
3611.73883 2.40646e-16
3614.35689 2.94974e-16
3616.97494 2.83219e-16
3619.59300 2.29533e-16
3622.21106 3.31148e-16
3624.82911 3.63521e-16
3627.44717 3.15390e-16
3630.06523 2.09435e-16
3632.68328 2.92330e-16
3635.30134 3.24605e-16
3637.91940 2.99830e-16
3640.53745 1.93883e-16
3643.15551 1.91432e-16
3645.77357 1.85622e-16
3648.39162 2.41646e-16
3651.00968 1.98756e-16
3653.62774 2.02082e-16
3656.24579 2.40187e-16
3658.86385 2.75988e-16
3661.48191 3.08707e-16
3664.09996 2.96971e-16
3666.71802 2.95876e-16
3669.33608 3.57066e-16
3671.95413 3.53605e-16
3674.57219 3.78361e-16
3677.19025 3.61564e-16
3679.80830 3.06050e-16
3682.42636 2.37938e-16
3685.04442 2.38950e-16
3687.66247 2.31150e-16
3690.28053 2.70243e-16
3692.89859 2.57235e-16
3695.51664 2.51759e-16
3698.13470 3.01046e-16
3700.75276 2.69956e-16
3703.37081 2.13771e-16
3705.98887 2.77562e-16
3708.60693 2.88523e-16
3711.22498 2.85571e-16
3713.84304 2.64055e-16
3716.46110 2.16597e-16
3719.07915 2.39755e-16
3721.69721 3.00886e-16
3724.31527 2.65420e-16
3726.93332 2.39444e-16
3729.55138 2.94126e-16
3732.16944 2.75827e-16
3734.78749 2.23148e-16
3737.40555 2.65764e-16
3740.02361 2.05732e-16
3742.64166 2.54534e-16
3745.25972 3.07708e-16
3747.87778 2.78289e-16
3750.49583 2.94280e-16
3753.11389 2.76049e-16
3755.73195 3.09613e-16
3758.35000 3.45245e-16
3760.96806 3.57449e-16
3763.58612 2.98949e-16
3766.20417 2.38526e-16
3768.82223 2.46207e-16
3771.44029 2.71849e-16
3774.05834 1.24763e-16
3776.67640 2.23523e-16
3779.29446 2.07949e-16
3781.91251 2.10189e-16
3784.53057 2.12587e-16
3787.14863 2.40750e-16
3789.76668 3.80307e-16
3792.38474 2.43325e-16
3795.00280 2.77691e-16
3797.62085 5.23899e-16
3800.23891 2.33172e-16
3802.85697 1.88647e-16
3805.47502 2.11230e-16
3808.09308 2.90305e-16
3810.71114 2.85230e-16
3813.32919 2.76061e-16
3815.94725 2.97332e-16
3818.56531 3.03390e-16
3821.18336 2.30669e-16
3823.80142 2.49749e-16
3826.41948 2.47583e-16
3829.03753 2.57478e-16
3831.65559 3.01332e-16
3834.27365 3.15442e-16
3836.89171 2.96340e-16
3839.50976 2.74414e-16
3842.12782 2.90186e-16
3844.74588 2.44645e-16
3847.36393 2.04796e-16
3849.98199 2.20160e-16
3852.60005 2.75984e-16
3855.21810 2.88294e-16
3857.83616 2.32167e-16
3860.45422 2.60008e-16
3863.07227 2.63979e-16
3865.69033 2.49185e-16
3868.30838 5.10467e-17
3870.92644 -1.00835e-17
3873.54450 2.51079e-16
3876.16255 2.40872e-16
3878.78061 2.64395e-16
3881.39867 2.59824e-16
3884.01672 2.65171e-16
3886.63478 2.90132e-16
3889.25284 2.72379e-16
3891.87090 2.47850e-16
3894.48895 2.70158e-16
3897.10701 2.61112e-16
3899.72507 2.26686e-16
3902.34312 2.44463e-16
3904.96118 2.38837e-16
3907.57924 2.88035e-16
3910.19729 2.69088e-16
3912.81535 2.30413e-16
3915.43341 2.59116e-16
3918.05146 2.31128e-16
3920.66952 2.62664e-16
3923.28757 2.38384e-16
3925.90563 2.66784e-16
3928.52369 2.76960e-16
3931.14175 3.01616e-16
3933.75980 3.33600e-16
3936.37786 2.72476e-16
3938.99592 3.21817e-16
3941.61397 3.15092e-16
3944.23203 3.06416e-16
3946.85009 2.59424e-16
3949.46814 3.26108e-16
3952.08620 3.01135e-16
3954.70426 2.94217e-16
3957.32231 2.85469e-16
3959.94037 3.25246e-16
3962.55843 3.54551e-16
3965.17648 3.28339e-16
3967.79454 3.27878e-16
3970.41260 3.47166e-16
3973.03065 3.68633e-16
3975.64871 3.71523e-16
3978.26677 3.80081e-16
3980.88482 3.63398e-16
3983.50288 3.15060e-16
3986.12094 3.76576e-16
3988.73899 3.60871e-16
3991.35705 3.64257e-16
3993.97511 3.49011e-16
3996.59316 3.23691e-16
3999.21122 3.24164e-16
4001.82928 3.53193e-16
4004.44733 3.49625e-16
4007.06539 3.76697e-16
4009.68345 3.81687e-16
4012.30150 3.62703e-16
4014.91956 3.69559e-16
4017.53762 4.13176e-16
4020.15567 4.49766e-16
4022.77373 4.17374e-16
4025.39179 4.21972e-16
4028.00984 4.17367e-16
4030.62790 3.52577e-16
4033.24596 4.26306e-16
4035.86401 4.04314e-16
4038.48207 3.89332e-16
4041.10013 3.80300e-16
4043.71818 4.12987e-16
4046.33624 4.04618e-16
4048.95430 4.03398e-16
