# wavelength flux
3975.00000 -1.04299e-17
3976.84152 2.65212e-17
3978.68304 2.17083e-17
3980.52457 1.86827e-17
3982.36609 -1.59065e-17
3984.20761 -4.09270e-17
3986.04913 -1.05248e-17
3987.89065 5.48968e-17
3989.73218 3.94384e-17
3991.57370 5.35940e-17
3993.41522 5.04457e-17
3995.25674 1.88169e-17
3997.09826 -1.87587e-17
3998.93978 -1.74755e-17
4000.78131 -1.59948e-17
4002.62283 4.16252e-17
4004.46435 -9.82255e-18
4006.30587 -5.17684e-18
4008.14739 1.63609e-17
4009.98892 3.85104e-17
4011.83044 4.48929e-17
4013.67196 -4.45309e-17
4015.51348 3.11450e-17
4017.35500 4.33363e-17
4019.19652 -2.29895e-17
4021.03805 3.65757e-17
4022.87957 3.18018e-17
4024.72109 2.70280e-17
4026.56261 2.22548e-17
4028.40413 8.12684e-17
4030.24566 5.40182e-17
4032.08718 2.71324e-17
4033.92870 3.52639e-17
4035.77022 -1.75018e-17
4037.61174 6.79250e-17
4039.45327 5.05356e-17
4041.29479 5.77426e-17
4043.13631 5.24248e-17
4044.97783 -4.82991e-18
4046.81935 5.29203e-17
4048.66088 3.18636e-17
4050.50240 2.01644e-17
4052.34392 5.90523e-18
4054.18544 5.54510e-17
4056.02696 2.73328e-17
4057.86848 3.99917e-17
4059.71001 5.43257e-17
4061.55153 2.36759e-17
4063.39305 7.08192e-18
4065.23457 -1.49539e-17
4067.07609 2.07812e-17
4068.91762 2.89360e-17
4070.75914 3.83728e-17
4072.60066 -4.30759e-19
4074.44218 -2.94809e-17
4076.28370 2.23672e-17
4078.12522 4.50404e-17
4079.96675 -1.92775e-17
4081.80827 -2.55173e-17
4083.64979 1.49710e-17
4085.49131 1.13882e-17
4087.33283 2.46391e-17
4089.17436 4.58919e-17
4091.01588 3.53091e-17
4092.85740 4.20425e-17
4094.69892 3.63659e-17
4096.54044 6.51804e-17
4098.38197 2.36865e-17
4100.22349 2.24028e-17
4102.06501 5.80162e-17
4103.90653 6.22636e-17
4105.74805 4.13485e-17
4107.58957 2.09236e-18
4109.43110 4.28413e-17
4111.27262 4.26944e-17
4113.11414 2.17595e-17
4114.95566 7.99957e-17
4116.79718 3.03264e-17
4118.63871 3.25267e-17
4120.48023 4.25824e-17
4122.32175 2.36990e-17
4124.16327 2.56564e-17
4126.00479 2.76143e-17
4127.84632 2.95717e-17
4129.68784 3.15296e-17
4131.52936 3.34870e-17
4133.37088 3.54449e-17
4135.21240 4.44785e-17
4137.05393 4.35563e-17
4138.89545 5.40467e-17
4140.73697 7.12524e-18
4142.57849 4.88565e-17
4144.42001 2.65936e-17
4146.26153 1.87732e-17
