# wavelength flux
6495.00000 2.99607e-17
6496.98409 3.00288e-17
6498.96818 3.01645e-17
6500.95227 3.27206e-17
6502.93637 2.84424e-17
6504.92046 2.85146e-17
6506.90455 3.01135e-17
6508.88864 2.98443e-17
6510.87273 3.10279e-17
6512.85682 3.13213e-17
6514.84091 3.17351e-17
6516.82501 2.93550e-17
6518.80910 3.89271e-17
6520.79319 7.38206e-17
6522.77728 7.05693e-17
6524.76137 4.85410e-17
6526.74546 5.86678e-17
6528.72956 5.23103e-17
6530.71365 4.69460e-17
6532.69774 3.99969e-17
6534.68183 3.23823e-17
6536.66592 2.79109e-17
6538.65001 2.42548e-17
6540.63411 2.90398e-17
6542.61820 3.36968e-17
6544.60229 3.10570e-17
6546.58638 2.55582e-17
6548.57047 2.83096e-17
6550.55456 3.30405e-17
6552.53865 3.12700e-17
6554.52275 3.28356e-17
6556.50684 3.02074e-17
6558.49093 3.07884e-17
6560.47502 2.92644e-17
6562.45911 3.09760e-17
6564.44320 2.96330e-17
6566.42729 3.13530e-17
6568.41139 3.13083e-17
6570.39548 2.97893e-17
6572.37957 3.18101e-17
6574.36366 3.17327e-17
6576.34775 2.99303e-17
6578.33184 3.08174e-17
6580.31593 2.95542e-17
6582.30003 2.78856e-17
6584.28412 3.00023e-17
6586.26821 3.11819e-17
6588.25230 3.44310e-17
6590.23639 3.54226e-17
6592.22048 3.85094e-17
6594.20457 3.48164e-17
6596.18867 3.78442e-17
6598.17276 3.71136e-17
6600.15685 3.67230e-17
6602.14094 3.98080e-17
6604.12503 5.25223e-17
6606.10912 6.75796e-17
6608.09322 7.80222e-17
6610.07731 7.91514e-17
6612.06140 7.27000e-17
6614.04549 5.77638e-17
6616.02958 3.93189e-17
6618.01367 2.92035e-17
6619.99777 2.82142e-17
6621.98186 2.92062e-17
6623.96595 3.18609e-17
6625.95004 4.08560e-17
6627.93413 4.41131e-17
6629.91822 4.83180e-17
6631.90231 5.35245e-17
6633.88641 5.00683e-17
6635.87050 4.34466e-17
6637.85459 3.76087e-17
6639.83868 3.36029e-17
6641.82277 2.96808e-17
6643.80686 2.94730e-17
6645.79095 2.87586e-17
6647.77505 2.78256e-17
6649.75914 2.85350e-17
6651.74323 2.90457e-17
6653.72732 2.72085e-17
6655.71141 2.73718e-17
6657.69550 2.98921e-17
6659.67959 2.85492e-17
6661.66369 3.16176e-17
6663.64778 3.11688e-17
6665.63187 2.91045e-17
6667.61596 3.22314e-17
6669.60005 3.05731e-17
6671.58414 2.79791e-17
6673.56824 2.91321e-17
6675.55233 3.20082e-17
6677.53642 2.88248e-17
6679.52051 3.14561e-17
6681.50460 2.93767e-17
6683.48869 2.91394e-17
6685.47278 2.82644e-17
6687.45688 2.89833e-17
6689.44097 2.97995e-17
6691.42506 2.72897e-17
6693.40915 2.78639e-17
6695.39324 2.59944e-17
6697.37733 2.88121e-17
6699.36143 3.05295e-17
6701.34552 2.99010e-17
6703.32961 3.04428e-17
6705.31370 3.12917e-17
6707.29779 2.81028e-17
6709.28188 2.57875e-17
6711.26597 2.95078e-17
6713.25007 2.92281e-17
6715.23416 2.92163e-17
6717.21825 3.09709e-17
6719.20234 3.08181e-17
6721.18643 2.97540e-17
6723.17052 2.99294e-17
6725.15462 2.84427e-17
6727.13871 2.63239e-17
6729.12280 2.71317e-17
6731.10689 2.78780e-17
6733.09098 2.82371e-17
6735.07507 2.90162e-17
6737.05916 3.00542e-17
6739.04325 3.00557e-17
6741.02735 2.92127e-17
6743.01144 3.12817e-17
6744.99553 3.17025e-17
6746.97962 2.85506e-17
6748.96371 2.56270e-17
6750.94780 2.60568e-17
6752.93190 2.67375e-17
6754.91599 2.63918e-17
6756.90008 2.69677e-17
6758.88417 2.90045e-17
6760.86826 3.11140e-17
6762.85235 3.50950e-17
6764.83644 3.58632e-17
6766.82054 3.56573e-17
6768.80463 3.59120e-17
6770.78872 3.11275e-17
6772.77281 2.98921e-17
6774.75690 3.00196e-17
6776.74099 3.42004e-17
6778.72509 3.88645e-17
6780.70918 3.67847e-17
6782.69327 2.98472e-17
6784.67736 3.09055e-17
6786.66145 3.33372e-17
6788.64554 2.94710e-17
6790.62963 2.64020e-17
6792.61373 2.48411e-17
6794.59782 2.75265e-17
6796.58191 2.54743e-17
6798.56600 2.54199e-17
6800.55009 2.58737e-17
6802.53418 2.86077e-17
6804.51828 2.68064e-17
6806.50237 2.60914e-17
6808.48646 2.56475e-17
6810.47055 2.72414e-17
6812.45464 2.63514e-17
6814.43873 2.72423e-17
6816.42282 2.53957e-17
6818.40692 2.48658e-17
6820.39101 2.76230e-17
6822.37510 2.87170e-17
6824.35919 2.71868e-17
6826.34328 2.73464e-17
6828.32737 2.68416e-17
6830.31146 2.40100e-17
6832.29556 2.49671e-17
6834.27965 2.44698e-17
6836.26374 2.75944e-17
6838.24783 2.76974e-17
6840.23192 2.75340e-17
6842.21601 2.50123e-17
6844.20010 2.57070e-17
6846.18420 2.55617e-17
6848.16829 2.76803e-17
6850.15238 2.69538e-17
6852.13647 2.93773e-17
6854.12056 2.50453e-17
6856.10465 2.49802e-17
6858.08875 2.64218e-17
6860.07284 2.40250e-17
6862.05693 2.50204e-17
6864.04102 2.35305e-17
6866.02511 2.18238e-17
6868.00920 2.61424e-17
6869.99330 2.66762e-17
6871.97739 2.64432e-17
6873.96148 2.75430e-17
6875.94557 2.73183e-17
6877.92966 2.81940e-17
6879.91375 2.64946e-17
6881.89784 2.38550e-17
6883.88194 2.44288e-17
6885.86603 2.35157e-17
6887.85012 2.35364e-17
6889.83421 2.71668e-17
6891.81830 2.82705e-17
6893.80239 2.63850e-17
6895.78648 2.62466e-17
6897.77058 2.51750e-17
6899.75467 2.49753e-17
6901.73876 2.77402e-17
6903.72285 2.68838e-17
6905.70694 2.51150e-17
6907.69103 2.57747e-17
6909.67512 2.54804e-17
6911.65922 2.60745e-17
6913.64331 2.74226e-17
6915.62740 2.61636e-17
6917.61149 2.55033e-17
6919.59558 2.63649e-17
6921.57967 2.34399e-17
6923.56376 2.54001e-17
6925.54786 2.75487e-17
6927.53195 2.64271e-17
6929.51604 2.57317e-17
6931.50013 2.66542e-17
6933.48422 2.52281e-17
6935.46831 2.43553e-17
6937.45241 2.77353e-17
6939.43650 2.78883e-17
6941.42059 2.57577e-17
6943.40468 2.51117e-17
6945.38877 2.78294e-17
6947.37286 2.48325e-17
6949.35696 2.58545e-17
6951.34105 2.61350e-17
6953.32514 2.83700e-17
6955.30923 2.84041e-17
6957.29332 2.70026e-17
6959.27741 2.47227e-17
6961.26150 2.48577e-17
6963.24560 2.49138e-17
6965.22969 2.77814e-17
6967.21378 2.73361e-17
6969.19787 2.41705e-17
6971.18196 2.45427e-17
6973.16605 2.71312e-17
6975.15014 2.48445e-17
6977.13424 2.47320e-17
6979.11833 2.52660e-17
6981.10242 2.50169e-17
6983.08651 2.65435e-17
6985.07060 2.52549e-17
6987.05469 2.50240e-17
6989.03878 2.32736e-17
6991.02288 2.30964e-17
6993.00697 2.38650e-17
6994.99106 2.58982e-17
6996.97515 2.63979e-17
6998.95924 2.42275e-17
7000.94333 2.57462e-17
7002.92743 2.68779e-17
7004.91152 2.42273e-17
7006.89561 2.71276e-17
7008.87970 2.80991e-17
7010.86379 2.69949e-17
7012.84788 2.59476e-17
7014.83198 2.54644e-17
7016.81607 2.58928e-17
7018.80016 2.60168e-17
7020.78425 2.44462e-17
7022.76834 2.40054e-17
7024.75243 2.60667e-17
7026.73652 2.43480e-17
7028.72062 2.53658e-17
7030.70471 2.63164e-17
7032.68880 2.52857e-17
7034.67289 2.59073e-17
7036.65698 2.59140e-17
7038.64107 2.81487e-17
7040.62516 2.88384e-17
7042.60926 2.74148e-17
7044.59335 2.66641e-17
7046.57744 2.52797e-17
7048.56153 2.49756e-17
7050.54562 2.58311e-17
7052.52971 2.64940e-17
7054.51380 2.52033e-17
7056.49790 2.51725e-17
7058.48199 2.31631e-17
7060.46608 2.42885e-17
7062.45017 2.58699e-17
7064.43426 2.60006e-17
7066.41835 2.48062e-17
7068.40244 2.59355e-17
7070.38654 2.75459e-17
7072.37063 2.56705e-17
7074.35472 2.59523e-17
7076.33881 2.48398e-17
7078.32290 2.43317e-17
7080.30699 2.38145e-17
7082.29109 2.48914e-17
7084.27518 2.32065e-17
7086.25927 2.45359e-17
7088.24336 2.51050e-17
7090.22745 2.42507e-17
7092.21154 2.49128e-17
7094.19564 2.47265e-17
7096.17973 2.45062e-17
