# wavelength flux
1500.0 2.5154295778058922e-18
1501.0 2.519868536016989e-18
1502.0 2.5243074942280865e-18
1503.0 2.5287464524391834e-18
1504.0 2.5331854106502804e-18
1505.0 2.5376243688613777e-18
1506.0 2.5420633270724746e-18
1507.0 2.5465022852835716e-18
1508.0 2.5509412434946685e-18
1509.0 2.555380201705766e-18
1510.0 2.5598191599168627e-18
1511.0 2.5642581181279597e-18
1512.0 2.568697076339057e-18
1513.0 2.573136034550154e-18
1514.0 2.577574992761251e-18
1515.0 2.5820139509723482e-18
1516.0 2.586452909183445e-18
1517.0 2.590891867394542e-18
1518.0 2.595330825605639e-18
1519.0 2.5997697838167363e-18
1520.0 2.6042087420278333e-18
1521.0 2.6086477002389302e-18
1522.0 2.6130866584500275e-18
1523.0 2.6175256166611245e-18
1524.0 2.6219645748722214e-18
1525.0 2.6264035330833187e-18
1526.0 2.6308424912944157e-18
1527.0 2.6352814495055126e-18
1528.0 2.63972040771661e-18
1529.0 2.644159365927707e-18
1530.0 2.6485983241388038e-18
1531.0 2.6530372823499007e-18
1532.0 2.657476240560998e-18
1533.0 2.661915198772095e-18
1534.0 2.666354156983192e-18
1535.0 2.6707931151942892e-18
1536.0 2.675232073405386e-18
1537.0 2.679671031616483e-18
1538.0 2.6841099898275804e-18
1539.0 2.6885489480386774e-18
1540.0 2.6929879062497743e-18
1541.0 2.6974268644608712e-18
1542.0 2.7018658226719686e-18
1543.0 2.7063047808830655e-18
1544.0 2.7107437390941624e-18
1545.0 2.7151826973052598e-18
1546.0 2.7196216555163567e-18
1547.0 2.7240606137274536e-18
1548.0 2.728499571938551e-18
1549.0 2.732938530149648e-18
1550.0 2.737377488360745e-18
1551.0 2.741816446571842e-18
1552.0 2.746255404782939e-18
1553.0 2.750694362994036e-18
1554.0 2.7551333212051333e-18
1555.0 2.7595722794162303e-18
1556.0 2.7640112376273272e-18
1557.0 2.768450195838424e-18
1558.0 2.7728891540495215e-18
1559.0 2.7773281122606184e-18
1560.0 2.7817670704717153e-18
1561.0 2.7862060286828127e-18
1562.0 2.7906449868939096e-18
1563.0 2.7950839451050065e-18
1564.0 2.7995229033161035e-18
1565.0 2.8039618615272008e-18
1566.0 2.8084008197382977e-18
1567.0 2.8128397779493947e-18
1568.0 2.817278736160492e-18
1569.0 2.821717694371589e-18
1570.0 2.826156652582686e-18
1571.0 2.830595610793783e-18
1572.0 2.83503456900488e-18
1573.0 2.839473527215977e-18
1574.0 2.8439124854270744e-18
1575.0 2.8483514436381713e-18
1576.0 2.8527904018492682e-18
1577.0 2.8572293600603656e-18
1578.0 2.8616683182714625e-18
1579.0 2.8661072764825594e-18
1580.0 2.8705462346936564e-18
1581.0 2.8749851929047537e-18
1582.0 2.8794241511158506e-18
1583.0 2.8838631093269476e-18
1584.0 2.888302067538045e-18
1585.0 2.892741025749142e-18
1586.0 2.8971799839602388e-18
1587.0 2.9016189421713357e-18
1588.0 2.906057900382433e-18
1589.0 2.91049685859353e-18
1590.0 2.914935816804627e-18
1591.0 2.9193747750157242e-18
1592.0 2.923813733226821e-18
1593.0 2.928252691437918e-18
1594.0 2.9326916496490154e-18
1595.0 2.9371306078601123e-18
1596.0 2.9415695660712093e-18
1597.0 2.9460085242823066e-18
1598.0 2.9504474824934035e-18
1599.0 2.9548864407045005e-18
1600.0 2.9593253989155978e-18
1601.0 2.9637643571266947e-18
1602.0 2.9682033153377917e-18
1603.0 2.972642273548889e-18
1604.0 2.977081231759986e-18
1605.0 2.981520189971083e-18
1606.0 2.9859591481821798e-18
1607.0 2.9903981063932767e-18
1608.0 2.994837064604374e-18
1609.0 2.999276022815471e-18
1610.0 3.003714981026568e-18
1611.0 3.0081539392376652e-18
1612.0 3.012592897448762e-18
1613.0 3.017031855659859e-18
1614.0 3.0214708138709564e-18
1615.0 3.0259097720820534e-18
1616.0 3.0303487302931503e-18
1617.0 3.0347876885042476e-18
1618.0 3.0392266467153446e-18
1619.0 3.0436656049264415e-18
1620.0 3.048104563137539e-18
1621.0 3.0525435213486358e-18
1622.0 3.0569824795597327e-18
1623.0 3.06142143777083e-18
1624.0 3.065860395981927e-18
1625.0 3.070299354193024e-18
1626.0 3.0747383124041212e-18
1627.0 3.079177270615218e-18
1628.0 3.083616228826315e-18
1629.0 3.088055187037412e-18
1630.0 3.092494145248509e-18
1631.0 3.0969331034596063e-18
1632.0 3.1013720616707032e-18
1633.0 3.1058110198818e-18
1634.0 3.1102499780928975e-18
1635.0 3.1146889363039944e-18
1636.0 3.1191278945150913e-18
1637.0 3.1235668527261887e-18
1638.0 3.1280058109372856e-18
1639.0 3.1324447691483825e-18
1640.0 3.13688372735948e-18
1641.0 3.1413226855705768e-18
1642.0 3.1457616437816737e-18
1643.0 3.150200601992771e-18
1644.0 3.154639560203868e-18
1645.0 3.159078518414965e-18
1646.0 3.1635174766260622e-18
1647.0 3.167956434837159e-18
1648.0 3.172395393048256e-18
1649.0 3.1768343512593534e-18
1650.0 3.1812733094704504e-18
1651.0 3.1857122676815473e-18
1652.0 3.1901512258926443e-18
1653.0 3.194590184103741e-18
1654.0 3.1990291423148385e-18
1655.0 3.2034681005259354e-18
1656.0 3.2079070587370324e-18
1657.0 3.2123460169481297e-18
1658.0 3.2167849751592266e-18
1659.0 3.2212239333703236e-18
1660.0 3.225662891581421e-18
1661.0 3.230101849792518e-18
1662.0 3.2345408080036148e-18
1663.0 3.238979766214712e-18
1664.0 3.243418724425809e-18
1665.0 3.247857682636906e-18
1666.0 3.2522966408480033e-18
1667.0 3.2567355990591002e-18
1668.0 3.261174557270197e-18
1669.0 3.2656135154812945e-18
1670.0 3.2700524736923914e-18
1671.0 3.2744914319034883e-18
1672.0 3.2789303901145857e-18
1673.0 3.2833693483256826e-18
1674.0 3.2878083065367795e-18
1675.0 3.2922472647478765e-18
1676.0 3.2966862229589734e-18
1677.0 3.3011251811700707e-18
1678.0 3.3055641393811677e-18
1679.0 3.3100030975922646e-18
1680.0 3.314442055803362e-18
1681.0 3.318881014014459e-18
1682.0 3.3233199722255558e-18
1683.0 3.327758930436653e-18
1684.0 3.33219788864775e-18
1685.0 3.336636846858847e-18
1686.0 3.3410758050699443e-18
1687.0 3.3455147632810413e-18
1688.0 3.349953721492138e-18
1689.0 3.3543926797032355e-18
1690.0 3.3588316379143324e-18
1691.0 3.3632705961254294e-18
1692.0 3.3677095543365267e-18
1693.0 3.3721485125476236e-18
1694.0 3.3765874707587206e-18
1695.0 3.381026428969818e-18
1696.0 3.3854653871809144e-18
1697.0 3.3899043453920118e-18
1698.0 3.394343303603109e-18
1699.0 3.3987822618142056e-18
1700.0 3.403221220025303e-18
1701.0 3.4076601782364e-18
1702.0 3.412099136447497e-18
1703.0 3.416538094658594e-18
1704.0 3.420977052869691e-18
1705.0 3.425416011080788e-18
1706.0 3.4298549692918854e-18
1707.0 3.4342939275029823e-18
1708.0 3.4387328857140792e-18
1709.0 3.4431718439251765e-18
1710.0 3.4476108021362735e-18
1711.0 3.4520497603473704e-18
1712.0 3.4564887185584677e-18
1713.0 3.4609276767695647e-18
1714.0 3.4653666349806616e-18
1715.0 3.469805593191759e-18
1716.0 3.474244551402856e-18
