# wavelength flux
3300.0 1.2339498124830262e-15
3301.0 1.2339337872045365e-15
3302.0 1.2339177489793749e-15
3303.0 1.2339016977974241e-15
3304.0 1.2338856336485596e-15
3305.0 1.23386955652265e-15
3306.0 1.233853466409555e-15
3307.0 1.2338373632991293e-15
3308.0 1.2338212471812181e-15
3309.0 1.23380511804566e-15
3310.0 1.2337889758822868e-15
3311.0 1.2337728206809225e-15
3312.0 1.2337566524313829e-15
3313.0 1.2337404711234783e-15
3314.0 1.2337242767470095e-15
3315.0 1.2337080692917712e-15
3316.0 1.2336918487475504e-15
3317.0 1.2336756151041272e-15
3318.0 1.2336593683512731e-15
3319.0 1.2336431084787532e-15
3320.0 1.2336268354763253e-15
3321.0 1.2336105493337384e-15
3322.0 1.2335942500407356e-15
3323.0 1.233577937587052e-15
3324.0 1.233561611962415e-15
3325.0 1.2335452731565454e-15
3326.0 1.2335289211591557e-15
3327.0 1.233512555959951e-15
3328.0 1.2334961775486295e-15
3329.0 1.2334797859148814e-15
3330.0 1.2334633810483894e-15
3331.0 1.2334469629388302e-15
3332.0 1.233430531575871e-15
3333.0 1.2334140869491723e-15
3334.0 1.2333976290483877e-15
3335.0 1.2333811578631621e-15
3336.0 1.2333646733831343e-15
3337.0 1.2333481755979346e-15
3338.0 1.2333316644971867e-15
3339.0 1.2333151400705054e-15
3340.0 1.2332986023075e-15
3341.0 1.2332820511977701e-15
3342.0 1.2332654867309092e-15
3343.0 1.233248908896503e-15
3344.0 1.2332323176841297e-15
3345.0 1.2332157130833596e-15
3346.0 1.2331990950837563e-15
3347.0 1.2331824636748746e-15
3348.0 1.2331658188462626e-15
3349.0 1.2331491605874616e-15
3350.0 1.2331324888880038e-15
3351.0 1.233115803737414e-15
3352.0 1.2330991051252114e-15
3353.0 1.2330823930409048e-15
3354.0 1.2330656674739977e-15
3355.0 1.233048928413985e-15
3356.0 1.2330321758503544e-15
3357.0 1.233015409772585e-15
3358.0 1.2329986301701504e-15
3359.0 1.2329818370325144e-15
3360.0 1.232965030349135e-15
3361.0 1.232948210109461e-15
3362.0 1.2329313763029348e-15
3363.0 1.2329145289189903e-15
3364.0 1.2328976679470554e-15
3365.0 1.232880793376548e-15
3366.0 1.2328639051968803e-15
3367.0 1.2328470033974561e-15
3368.0 1.2328300879676718e-15
3369.0 1.2328131588969155e-15
3370.0 1.2327962161745694e-15
3371.0 1.2327792597900054e-15
3372.0 1.2327622897325905e-15
3373.0 1.232745305991682e-15
3374.0 1.2327283085566306e-15
3375.0 1.232711297416779e-15
3376.0 1.2326942725614627e-15
3377.0 1.2326772339800086e-15
3378.0 1.2326601816617364e-15
3379.0 1.2326431155959589e-15
3380.0 1.2326260357719803e-15
3381.0 1.2326089421790966e-15
3382.0 1.232591834806598e-15
3383.0 1.2325747136437649e-15
3384.0 1.2325575786798713e-15
3385.0 1.232540429904183e-15
3386.0 1.232523267305959e-15
3387.0 1.2325060908744487e-15
3388.0 1.2324889005988955e-15
3389.0 1.2324716964685348e-15
