# wavelength flux
3300.0 4.699873654160073e-16
3301.0 4.699873639611002e-16
3302.0 4.699873625061929e-16
3303.0 4.699873610512858e-16
3304.0 4.699873595963786e-16
3305.0 4.699873581414715e-16
3306.0 4.699873566865643e-16
3307.0 4.69987355231657e-16
3308.0 4.699873537767499e-16
3309.0 4.699873523218427e-16
3310.0 4.699873508669356e-16
3311.0 4.699873494120285e-16
3312.0 4.699873479571213e-16
3313.0 4.699873465022143e-16
3314.0 4.69987345047307e-16
3315.0 4.699873435924e-16
3316.0 4.699873421374929e-16
3317.0 4.699873406825857e-16
3318.0 4.699873392276787e-16
3319.0 4.699873377727715e-16
3320.0 4.699873363178645e-16
3321.0 4.699873348629574e-16
3322.0 4.699873334080503e-16
3323.0 4.69987331953143e-16
3324.0 4.69987330498236e-16
3325.0 4.699873290433289e-16
3326.0 4.699873275884218e-16
3327.0 4.699873261335148e-16
3328.0 4.699873246786077e-16
3329.0 4.699873232237007e-16
3330.0 4.699873217687937e-16
3331.0 4.699873203138865e-16
3332.0 4.699873188589795e-16
3333.0 4.699873174040725e-16
3334.0 4.699873159491654e-16
3335.0 4.699873144942585e-16
3336.0 4.699873130393513e-16
3337.0 4.699873115844444e-16
3338.0 4.699873101295373e-16
3339.0 4.699873086746303e-16
3340.0 4.699873072197233e-16
3341.0 4.699873057648162e-16
3342.0 4.699873043099093e-16
3343.0 4.699873028550022e-16
3344.0 4.699873014000953e-16
3345.0 4.699872999451883e-16
3346.0 4.699872984902812e-16
3347.0 4.699872970353743e-16
3348.0 4.699872955804672e-16
3349.0 4.699872941255604e-16
3350.0 4.699872926706535e-16
3351.0 4.699872912157463e-16
3352.0 4.699872897608394e-16
3353.0 4.699872883059324e-16
3354.0 4.699872868510256e-16
3355.0 4.699872853961186e-16
3356.0 4.699872839412117e-16
3357.0 4.699872824863047e-16
3358.0 4.699872810313977e-16
3359.0 4.699872795764909e-16
3360.0 4.699872781215839e-16
3361.0 4.69987276666677e-16
3362.0 4.699872752117701e-16
3363.0 4.699872737568632e-16
3364.0 4.699872723019562e-16
3365.0 4.699872708470493e-16
3366.0 4.699872693921424e-16
3367.0 4.699872679372355e-16
3368.0 4.699872664823287e-16
3369.0 4.699872650274218e-16
3370.0 4.699872635725148e-16
3371.0 4.699872621176081e-16
3372.0 4.699872606627011e-16
3373.0 4.699872592077943e-16
3374.0 4.699872577528875e-16
3375.0 4.699872562979806e-16
3376.0 4.699872548430736e-16
3377.0 4.699872533881668e-16
3378.0 4.699872519332601e-16
3379.0 4.699872504783531e-16
3380.0 4.699872490234464e-16
3381.0 4.699872475685396e-16
3382.0 4.699872461136326e-16
3383.0 4.699872446587259e-16
3384.0 4.69987243203819e-16
3385.0 4.699872417489123e-16
3386.0 4.699872402940054e-16
3387.0 4.699872388390987e-16
3388.0 4.699872373841918e-16
3389.0 4.69987235929285e-16
3390.0 4.699872344743783e-16
3391.0 4.699872330194714e-16
3392.0 4.699872315645648e-16
3393.0 4.69987230109658e-16
3394.0 4.699872286547511e-16
3395.0 4.699872271998445e-16
3396.0 4.699872257449375e-16
3397.0 4.699872242900308e-16
3398.0 4.699872228351242e-16
3399.0 4.699872213802173e-16
3400.0 4.699872199253106e-16
3401.0 4.699872184704038e-16
3402.0 4.699872170154972e-16
3403.0 4.699872155605904e-16
3404.0 4.699872141056837e-16
3405.0 4.699872126507769e-16
3406.0 4.699872111958702e-16
3407.0 4.699872097409635e-16
3408.0 4.699872082860568e-16
3409.0 4.699872068311502e-16
3410.0 4.699872053762433e-16
3411.0 4.699872039213367e-16
3412.0 4.699872024664301e-16
3413.0 4.699872010115233e-16
3414.0 4.699871995566168e-16
3415.0 4.6998719810170985e-16
3416.0 4.699871966468033e-16
3417.0 4.699871951918966e-16
3418.0 4.6998719373699e-16
3419.0 4.699871922820833e-16
3420.0 4.699871908271766e-16
3421.0 4.6998718937227e-16
3422.0 4.699871879173632e-16
3423.0 4.699871864624567e-16
3424.0 4.699871850075501e-16
3425.0 4.699871835526435e-16
3426.0 4.699871820977367e-16
3427.0 4.699871806428301e-16
3428.0 4.699871791879237e-16
3429.0 4.699871777330169e-16
3430.0 4.699871762781105e-16
3431.0 4.699871748232037e-16
3432.0 4.699871733682971e-16
3433.0 4.699871719133906e-16
3434.0 4.69987170458484e-16
3435.0 4.699871690035774e-16
3436.0 4.699871675486708e-16
3437.0 4.699871660937642e-16
3438.0 4.699871646388576e-16
3439.0 4.69987163183951e-16
3440.0 4.6998716172904455e-16
3441.0 4.699871602741379e-16
3442.0 4.699871588192314e-16
3443.0 4.699871573643249e-16
3444.0 4.699871559094183e-16
3445.0 4.699871544545117e-16
3446.0 4.699871529996051e-16
3447.0 4.699871515446987e-16
3448.0 4.699871500897921e-16
3449.0 4.699871486348856e-16
3450.0 4.699871471799791e-16
3451.0 4.699871457250725e-16
3452.0 4.69987144270166e-16
3453.0 4.699871428152595e-16
3454.0 4.699871413603531e-16
3455.0 4.699871399054465e-16
3456.0 4.699871384505401e-16
3457.0 4.699871369956336e-16
3458.0 4.699871355407271e-16
3459.0 4.699871340858207e-16
3460.0 4.69987132630914e-16
3461.0 4.699871311760077e-16
3462.0 4.699871297211011e-16
3463.0 4.699871282661948e-16
3464.0 4.699871268112883e-16
3465.0 4.699871253563817e-16
3466.0 4.699871239014754e-16
3467.0 4.69987122446569e-16
3468.0 4.699871209916625e-16
3469.0 4.69987119536756e-16
3470.0 4.699871180818496e-16
3471.0 4.699871166269432e-16
3472.0 4.699871151720367e-16
3473.0 4.699871137171304e-16
3474.0 4.699871122622239e-16
3475.0 4.699871108073175e-16
3476.0 4.699871093524112e-16
3477.0 4.699871078975047e-16
3478.0 4.699871064425984e-16
3479.0 4.699871049876919e-16
3480.0 4.699871035327856e-16
3481.0 4.699871020778791e-16
3482.0 4.699871006229728e-16
3483.0 4.699870991680664e-16
3484.0 4.699870977131601e-16
3485.0 4.699870962582538e-16
3486.0 4.699870948033472e-16
3487.0 4.69987093348441e-16
3488.0 4.699870918935346e-16
3489.0 4.699870904386284e-16
3490.0 4.69987088983722e-16
3491.0 4.699870875288156e-16
3492.0 4.699870860739093e-16
3493.0 4.69987084619003e-16
3494.0 4.699870831640967e-16
3495.0 4.699870817091902e-16
3496.0 4.69987080254284e-16
3497.0 4.699870787993777e-16
3498.0 4.699870773444713e-16
3499.0 4.699870758895651e-16
3500.0 4.699870744346587e-16
3500.03 2.8122e-16
3504.11 3.2515e-16
3508.19 2.6767e-16
3512.27 3.1762e-16
3516.35 2.9321e-16
3520.43 2.6661e-16
3524.51 2.6116e-16
3528.59 2.5646e-16
3532.68 3.335e-16
3536.76 2.356e-16
3540.84 2.4977e-16
3544.92 2.4256e-16
3549.0 2.8579e-16
3553.08 2.557e-16
3557.16 2.493e-16
3561.24 3.1793e-16
3565.33 2.4697e-16
3569.41 2.8475e-16
3573.49 2.8068e-16
3577.57 2.9312e-16
3581.65 2.9699e-16
3585.73 2.9803e-16
3589.81 2.544e-16
3593.89 3.4755e-16
3597.98 2.9769e-16
3602.06 2.6643e-16
3606.14 2.6956e-16
3610.22 3.0296e-16
3614.3 2.795e-16
3618.38 2.32e-16
3622.46 2.8321e-16
3626.54 2.9376e-16
3630.63 2.6943e-16
3634.71 3.0765e-16
3638.79 2.5933e-16
3642.87 2.5901e-16
3646.95 3.4461e-16
3651.03 2.3712e-16
3655.11 3.1623e-16
3659.2 2.9776e-16
3663.28 3.1874e-16
3667.36 2.9681e-16
3671.44 3.0348e-16
3675.52 2.6114e-16
3679.6 3.3833e-16
3683.68 3.1794e-16
3687.76 2.6058e-16
3691.85 2.9248e-16
3695.93 3.1912e-16
