# wavelength flux
3300.0 5.902368040332262e-18
3301.0 5.904798934148558e-18
3302.0 5.907230783217865e-18
3303.0 5.909663587830254e-18
3304.0 5.912097348275718e-18
3305.0 5.9145320648441894e-18
3306.0 5.916967737825502e-18
3307.0 5.919404367509427e-18
3308.0 5.9218419541856494e-18
3309.0 5.924280498143774e-18
3310.0 5.926719999673331e-18
3311.0 5.9291604590637774e-18
3312.0 5.931601876604481e-18
3313.0 5.934044252584734e-18
3314.0 5.9364875872937414e-18
3315.0 5.938931881020637e-18
3316.0 5.941377134054461e-18
3317.0 5.943823346684191e-18
3318.0 5.946270519198708e-18
3319.0 5.9487186518868095e-18
3320.0 5.95116774503722e-18
3321.0 5.9536177989385685e-18
3322.0 5.956068813879407e-18
3323.0 5.958520790148213e-18
3324.0 5.9609737280333594e-18
3325.0 5.963427627823153e-18
3326.0 5.9658824898057994e-18
3327.0 5.968338314269432e-18
3328.0 5.970795101502091e-18
3329.0 5.973252851791721e-18
3330.0 5.975711565426207e-18
3331.0 5.9781712426933185e-18
3332.0 5.980631883880755e-18
3333.0 5.983093489276119e-18
3334.0 5.985556059166922e-18
3335.0 5.9880195938405935e-18
3336.0 5.990484093584475e-18
3337.0 5.9929495586858175e-18
3338.0 5.995415989431773e-18
3339.0 5.997883386109409e-18
3340.0 6.0003517490057064e-18
3341.0 6.002821078407539e-18
3342.0 6.0052913746017155e-18
3343.0 6.007762637874931e-18
3344.0 6.0102348685137895e-18
3345.0 6.012708066804812e-18
3346.0 6.015182233034413e-18
3347.0 6.017657367488923e-18
3348.0 6.020133470454582e-18
3349.0 6.022610542217521e-18
3350.0 6.025088583063788e-18
3351.0 6.027567593279325e-18
3352.0 6.030047573149991e-18
3353.0 6.032528522961536e-18
3354.0 6.035010442999613e-18
3355.0 6.037493333549796e-18
3356.0 6.03997719489754e-18
3357.0 6.0424620273282126e-18
3358.0 6.044947831127081e-18
3359.0 6.0474346065793076e-18
3360.0 6.049922353969961e-18
3361.0 6.052411073584014e-18
3362.0 6.054900765706335e-18
3363.0 6.057391430621684e-18
3364.0 6.0598830686147335e-18
3365.0 6.0623756799700434e-18
3366.0 6.064869264972071e-18
3367.0 6.067363823905186e-18
3368.0 6.0698593570536385e-18
3369.0 6.072355864701585e-18
3370.0 6.0748533471330735e-18
3371.0 6.077351804632046e-18
3372.0 6.079851237482345e-18
3373.0 6.082351645967696e-18
3374.0 6.0848530303717485e-18
3375.0 6.087355390978013e-18
3376.0 6.0898587280699056e-18
3377.0 6.0923630419307416e-18
3378.0 6.094868332843717e-18
3379.0 6.0973746010919285e-18
3380.0 6.099881846958367e-18
3381.0 6.102390070725906e-18
3382.0 6.104899272677317e-18
3383.0 6.1074094530952546e-18
3384.0 6.109920612262272e-18
3385.0 6.112432750460799e-18
3386.0 6.114945867973172e-18
3387.0 6.117459965081605e-18
3388.0 6.1199750420681976e-18
3389.0 6.122491099214947e-18
3390.0 6.125008136803728e-18
3391.0 6.1275261551162986e-18
3392.0 6.130045154434326e-18
3393.0 6.132565135039338e-18
3394.0 6.13508609721276e-18
3395.0 6.137608041235899e-18
3396.0 6.1401309673899435e-18
3397.0 6.142654875955975e-18
3398.0 6.145179767214944e-18
3399.0 6.147705641447704e-18
3400.0 6.150232498934977e-18
3401.0 6.152760339957365e-18
3402.0 6.155289164795364e-18
3403.0 6.157818973729334e-18
3404.0 6.16034976703953e-18
3405.0 6.162881545006089e-18
3406.0 6.1654143079090125e-18
3407.0 6.167948056028196e-18
3408.0 6.1704827896434036e-18
3409.0 6.173018509034286e-18
3410.0 6.17555521448036e-18
3411.0 6.178092906261037e-18
3412.0 6.180631584655593e-18
3413.0 6.18317124994318e-18
3414.0 6.185711902402834e-18
3415.0 6.188253542313458e-18
3416.0 6.1907961699538265e-18
3417.0 6.19333978560261e-18
3418.0 6.195884389538328e-18
3419.0 6.198429982039393e-18
3420.0 6.2009765633840734e-18
3421.0 6.203524133850518e-18
3422.0 6.206072693716753e-18
3423.0 6.208622243260659e-18
3424.0 6.2111727827600186e-18
3425.0 6.213724312492455e-18
3426.0 6.216276832735471e-18
3427.0 6.218830343766445e-18
3428.0 6.221384845862616e-18
3429.0 6.223940339301096e-18
3430.0 6.2264968243588706e-18
3431.0 6.2290543013127786e-18
3432.0 6.231612770439543e-18
3433.0 6.234172232015738e-18
3434.0 6.236732686317814e-18
3435.0 6.239294133622079e-18
3436.0 6.241856574204716e-18
3437.0 6.244420008341769e-18
3438.0 6.24698443630914e-18
3439.0 6.2495498583826025e-18
3440.0 6.25211627483779e-18
3441.0 6.254683685950193e-18
3442.0 6.257252091995171e-18
3443.0 6.259821493247947e-18
3444.0 6.2623918899836046e-18
3445.0 6.2649632824770815e-18
3446.0 6.267535671003175e-18
3447.0 6.2701090558365514e-18
3448.0 6.272683437251722e-18
3449.0 6.275258815523078e-18
3450.0 6.277835190924851e-18
3451.0 6.28041256373113e-18
3452.0 6.2829909342158716e-18
3453.0 6.2855703026528795e-18
3454.0 6.288150669315814e-18
3455.0 6.290732034478205e-18
3456.0 6.293314398413417e-18
3457.0 6.295897761394681e-18
3458.0 6.298482123695076e-18
3459.0 6.301067485587543e-18
3460.0 6.3036538473448576e-18
3461.0 6.306241209239672e-18
3462.0 6.308829571544478e-18
3463.0 6.311418934531612e-18
3464.0 6.314009298473273e-18
3465.0 6.316600663641504e-18
3466.0 6.319193030308196e-18
3467.0 6.32178639874509e-18
3468.0 6.324380769223784e-18
3469.0 6.326976142015716e-18
3470.0 6.329572517392172e-18
3471.0 6.332169895624282e-18
3472.0 6.334768276983033e-18
3473.0 6.337367661739238e-18
3474.0 6.339968050163587e-18
3475.0 6.3425694425265865e-18
3476.0 6.3451718390985955e-18
3477.0 6.347775240149823e-18
3478.0 6.350379645950313e-18
3479.0 6.3529850567699525e-18
3480.0 6.355591472878484e-18
3481.0 6.3581988945454735e-18
3482.0 6.360807322040339e-18
3483.0 6.363416755632332e-18
3484.0 6.366027195590553e-18
3485.0 6.368638642183926e-18
3486.0 6.37125109568124e-18
3487.0 6.3738645563510986e-18
3488.0 6.3764790244619474e-18
3489.0 6.379094500282079e-18
3490.0 6.38171098407961e-18
3491.0 6.384328476122509e-18
3492.0 6.386946976678558e-18
3493.0 6.389566486015395e-18
3494.0 6.392187004400485e-18
3495.0 6.394808532101119e-18
3496.0 6.397431069384433e-18
3497.0 6.4000546165173906e-18
3498.0 6.402679173766775e-18
3499.0 6.405304741399233e-18
3500.0 6.40793131968121e-18
3501.0 6.410558908878999e-18
3502.0 6.4131875092587185e-18
3503.0 6.4158171210863105e-18
3504.0 6.4184477446275536e-18
3505.0 6.421079380148056e-18
3506.0 6.4237120279132494e-18
3507.0 6.42634568818839e-18
3508.0 6.428980361238562e-18
3509.0 6.43161604732868e-18
3510.0 6.434252746723469e-18
3511.0 6.436890459687509e-18
3512.0 6.4395291864851765e-18
3513.0 6.442168927380675e-18
3514.0 6.444809682638041e-18
3515.0 6.447451452521126e-18
3516.0 6.450094237293611e-18
3517.0 6.452738037218981e-18
3518.0 6.455382852560565e-18
3519.0 6.458028683581499e-18
3520.0 6.460675530544734e-18
3521.0 6.463323393713051e-18
3522.0 6.465972273349042e-18
3523.0 6.468622169715109e-18
3524.0 6.4712730830734995e-18
3525.0 6.473925013686245e-18
3526.0 6.476577961815211e-18
3527.0 6.479231927722073e-18
3528.0 6.481886911668319e-18
3529.0 6.484542913915252e-18
3530.0 6.487199934723998e-18
3531.0 6.489857974355486e-18
3532.0 6.492517033070457e-18
3533.0 6.495177111129463e-18
3534.0 6.497838208792877e-18
3535.0 6.500500326320869e-18
3536.0 6.503163463973425e-18
3537.0 6.5058276220103515e-18
3538.0 6.508492800691239e-18
