# wavelength flux
3300.0 6.014140462430299e-14
3301.0 6.013188972127259e-14
3302.0 6.012237265987906e-14
3303.0 6.011285344079305e-14
3304.0 6.010333206468619e-14
3305.0 6.009380853223098e-14
3306.0 6.008428284410094e-14
3307.0 6.007475500097046e-14
3308.0 6.006522500351492e-14
3309.0 6.005569285241064e-14
3310.0 6.004615854833485e-14
3311.0 6.003662209196574e-14
3312.0 6.002708348398245e-14
3313.0 6.001754272506505e-14
3314.0 6.000799981589456e-14
3315.0 5.999845475715294e-14
3316.0 5.998890754952307e-14
3317.0 5.997935819368882e-14
3318.0 5.996980669033496e-14
3319.0 5.996025304014722e-14
3320.0 5.995069724381224e-14
3321.0 5.994113930201767e-14
3322.0 5.993157921545204e-14
3323.0 5.992201698480484e-14
3324.0 5.991245261076654e-14
3325.0 5.990288609402847e-14
3326.0 5.989331743528298e-14
3327.0 5.988374663522335e-14
3328.0 5.987417369454375e-14
3329.0 5.986459861393937e-14
3330.0 5.985502139410627e-14
3331.0 5.984544203574149e-14
3332.0 5.983586053954302e-14
3333.0 5.982627690620978e-14
3334.0 5.981669113644162e-14
3335.0 5.980710323093937e-14
3336.0 5.979751319040475e-14
3337.0 5.978792101554045e-14
3338.0 5.977832670705016e-14
3339.0 5.976873026563839e-14
3340.0 5.97591316920107e-14
3341.0 5.974953098687354e-14
3342.0 5.973992815093434e-14
3343.0 5.973032318490142e-14
3344.0 5.97207160894841e-14
3345.0 5.97111068653926e-14
3346.0 5.97014955133381e-14
3347.0 5.969188203403274e-14
3348.0 5.968226642818957e-14
3349.0 5.967264869652263e-14
3350.0 5.966302883974683e-14
3351.0 5.96534068585781e-14
3352.0 5.964378275373327e-14
3353.0 5.963415652593012e-14
3354.0 5.962452817588739e-14
3355.0 5.961489770432475e-14
3356.0 5.960526511196282e-14
3357.0 5.959563039952315e-14
3358.0 5.958599356772821e-14
3359.0 5.957635461730152e-14
3360.0 5.956671354896742e-14
3361.0 5.955707036345125e-14
3362.0 5.954742506147929e-14
3363.0 5.953777764377878e-14
3364.0 5.952812811107783e-14
3365.0 5.95184764641056e-14
3366.0 5.950882270359215e-14
3367.0 5.949916683026844e-14
3368.0 5.948950884486641e-14
3369.0 5.947984874811901e-14
3370.0 5.947018654075996e-14
3371.0 5.946052222352414e-14
3372.0 5.945085579714718e-14
3373.0 5.94411872623658e-14
3374.0 5.943151661991755e-14
3375.0 5.942184387054104e-14
3376.0 5.941216901497571e-14
3377.0 5.940249205396202e-14
3378.0 5.939281298824133e-14
3379.0 5.9383131818556e-14
3380.0 5.937344854564925e-14
3381.0 5.936376317026534e-14
3382.0 5.935407569314938e-14
3383.0 5.93443861150475e-14
3384.0 5.933469443670674e-14
3385.0 5.932500065887508e-14
3386.0 5.931530478230145e-14
3387.0 5.930560680773574e-14
3388.0 5.929590673592874e-14
3389.0 5.928620456763223e-14
3390.0 5.927650030359893e-14
3391.0 5.926679394458249e-14
3392.0 5.925708549133749e-14
3393.0 5.924737494461945e-14
3394.0 5.923766230518493e-14
3395.0 5.922794757379127e-14
3396.0 5.921823075119689e-14
3397.0 5.92085118381611e-14
3398.0 5.919879083544416e-14
3399.0 5.918906774380725e-14
3400.0 5.917934256401254e-14
3401.0 5.916961529682312e-14
3402.0 5.915988594300303e-14
3403.0 5.915015450331723e-14
3404.0 5.914042097853167e-14
3405.0 5.913068536941318e-14
3406.0 5.912094767672961e-14
3407.0 5.91112079012497e-14
3408.0 5.910146604374314e-14
3409.0 5.909172210498057e-14
3410.0 5.90819760857336e-14
3411.0 5.907222798677476e-14
3412.0 5.906247780887748e-14
3413.0 5.905272555281625e-14
3414.0 5.904297121936636e-14
3415.0 5.903321480930416e-14
3416.0 5.902345632340688e-14
3417.0 5.901369576245271e-14
3418.0 5.900393312722079e-14
3419.0 5.899416841849124e-14
3420.0 5.898440163704502e-14
3421.0 5.897463278366413e-14
3422.0 5.896486185913148e-14
3423.0 5.895508886423094e-14
3424.0 5.894531379974727e-14
3425.0 5.893553666646624e-14
3426.0 5.892575746517451e-14
3427.0 5.891597619665975e-14
3428.0 5.89061928617105e-14
3429.0 5.889640746111628e-14
3430.0 5.888661999566754e-14
3431.0 5.88768304661557e-14
3432.0 5.886703887337312e-14
3433.0 5.885724521811306e-14
3434.0 5.884744950116975e-14
3435.0 5.883765172333838e-14
3436.0 5.882785188541505e-14
