# wavelength flux
3890.00096 -1.03488e-17
3891.00086 2.33829e-19
3892.00076 4.74607e-18
3893.00066 4.74576e-18
3894.00056 -1.03461e-17
3895.00046 -1.03455e-17
3896.00036 -1.03448e-17
3897.00026 2.15463e-19
3898.00016 2.15449e-19
3899.00006 2.15435e-19
3899.99996 4.16508e-18
3900.99986 4.16481e-18
3901.99976 4.74303e-18
3902.99966 4.74272e-18
3903.99956 4.16402e-18
3904.99946 4.16375e-18
3905.99936 2.15339e-19
3906.99926 -1.93847e-18
3907.99916 -8.20331e-18
3908.99906 -8.20279e-18
3909.99896 -8.20227e-18
3910.99886 -8.20175e-18
3911.99876 -2.55212e-18
3912.99866 -1.93774e-18
3913.99856 4.16138e-18
3914.99846 7.03135e-19
3915.99836 -1.93737e-18
3916.99826 -1.93725e-18
3917.99816 7.03003e-19
3918.99806 7.02959e-19
3919.99796 7.02915e-19
3920.99786 5.56351e-18
3921.99776 5.56316e-18
3922.99766 7.72325e-18
3923.99756 7.72277e-18
3924.99746 7.72229e-18
3925.99736 8.22879e-18
3926.99726 8.35257e-18
3927.99716 8.28266e-18
3928.99706 8.28215e-18
3929.99696 8.28164e-18
3930.99686 7.71941e-18
3931.99676 9.37547e-18
3932.99666 1.10419e-17
3933.99656 9.37431e-18
3934.99646 9.37373e-18
3935.99636 1.10399e-17
3936.99626 9.37258e-18
3937.99616 9.37200e-18
3938.99606 9.37142e-18
3939.99596 7.28982e-18
3940.99586 5.37148e-18
3941.99576 3.66241e-18
3942.99566 3.66219e-18
3943.99556 5.37049e-18
3944.99546 5.37016e-18
3945.99536 5.36983e-18
3946.99526 5.36950e-18
3948.00516 1.20248e-17
3949.00506 1.20241e-17
3950.00496 3.82699e-18
3951.00486 2.57543e-18
3952.00476 2.57528e-18
3953.00466 3.84683e-18
3954.00456 3.84660e-18
3955.00446 5.44403e-18
3956.00436 3.84613e-18
3957.00426 8.11312e-18
3958.00416 8.11263e-18
3959.00406 8.11214e-18
3960.00396 3.84520e-18
3961.00386 3.82444e-18
3962.00376 3.82421e-18
3963.00366 3.82398e-18
3964.00356 3.82375e-18
3965.00346 5.16556e-19
3966.00336 1.84412e-18
3967.00326 1.84401e-18
3968.00316 1.26046e-18
3969.00306 5.16432e-19
3970.00296 -2.37591e-18
3971.00286 -2.44309e-18
3972.00276 -2.44294e-18
3973.00266 -2.37548e-18
3974.00256 -2.37534e-18
3975.00246 5.16246e-19
3976.00236 1.49648e-18
3977.00226 1.49639e-18
3978.00216 1.49630e-18
3979.00206 1.33903e-18
3980.00196 1.33895e-18
3981.00186 1.49603e-18
3982.00176 1.33879e-18
3983.00166 1.25933e-18
3984.00156 -4.64088e-19
3985.00146 1.49568e-18
3986.00136 3.01330e-18
3987.00126 3.01312e-18
3988.00116 1.33831e-18
3989.00106 1.33823e-18
3990.00096 1.33815e-18
3991.00086 5.10662e-19
3992.00076 5.10632e-19
3993.00066 -4.63840e-19
3994.00056 3.82700e-19
3995.00046 5.10542e-19
3996.00036 1.53544e-19
3997.00026 -7.90607e-19
3998.00016 -7.90560e-19
3999.00006 -7.90513e-19
3999.99996 -7.90467e-19
4000.99986 1.53498e-19
4001.99976 -1.76322e-18
4002.99966 -9.72954e-19
4003.99956 -9.72897e-19
4004.99946 1.53462e-19
4005.99936 1.53453e-19
4006.99926 3.82406e-19
4007.99916 3.82384e-19
4008.99906 3.82362e-19
4009.99896 3.17877e-18
4010.99886 3.17858e-18
4011.99876 3.17840e-18
4012.99866 3.17821e-18
4013.99856 3.99209e-18
4014.99846 3.99186e-18
4015.99836 3.99162e-18
4016.99826 3.17747e-18
4017.99816 2.70957e-18
4018.99806 5.37298e-18
4019.99796 5.37266e-18
4020.99786 5.37235e-18
4021.99776 8.35060e-18
4022.99766 8.35011e-18
4023.99756 8.34962e-18
4024.99746 8.34914e-18
4025.99736 5.37078e-18
4026.99726 -9.48618e-19
4027.99716 -9.48563e-19
4028.99706 -4.76301e-18
4029.99696 -4.76273e-18
4030.99686 -4.76246e-18
4031.99676 8.34573e-18
4032.99666 8.72220e-18
4033.99656 1.95028e-17
4034.99646 1.95017e-17
4035.99636 1.95005e-17
4036.99626 1.68998e-17
4037.99616 1.68988e-17
4038.99606 6.62047e-18
4039.99596 6.62008e-18
4040.99586 5.05832e-18
4041.99576 -1.36841e-18
4042.99566 5.05774e-18
4043.99556 6.61855e-18
4044.99546 8.45393e-18
4045.99536 8.45344e-18
4046.99526 8.45295e-18
4048.00516 6.61702e-18
4049.00506 8.45197e-18
4050.00496 6.61625e-18
4051.00486 5.05539e-18
4052.00476 4.79127e-18
4053.00466 5.05481e-18
4054.00456 5.54233e-18
4055.00446 6.61434e-18
4056.00436 6.84871e-18
4057.00426 6.84832e-18
4058.00416 7.68135e-18
4059.00406 7.68090e-18
4060.00396 8.44660e-18
4061.00386 9.48717e-18
4062.00376 8.82254e-18
4063.00366 7.67913e-18
4064.00356 6.84555e-18
4065.00346 5.53881e-18
4066.00336 6.84476e-18
4067.00326 7.67736e-18
4068.00316 7.67692e-18
4069.00306 7.67648e-18
4070.00296 9.50835e-18
4071.00286 9.50780e-18
4072.00276 9.50726e-18
4073.00266 1.31084e-17
4074.00256 9.19925e-18
4075.00246 9.19871e-18
4076.00236 9.19819e-18
4077.00226 9.19766e-18
4078.00216 8.81441e-18
4079.00206 9.19660e-18
4080.00196 9.50288e-18
4081.00186 9.19554e-18
4082.00176 9.50179e-18
4083.00166 9.61660e-18
4084.00156 9.61605e-18
4085.00146 9.61550e-18
4086.00136 9.61495e-18
4087.00126 9.19237e-18
4088.00116 9.00165e-18
4089.00106 9.19131e-18
4090.00096 9.19078e-18
4091.00086 9.00010e-18
4092.00076 9.61163e-18
4093.00066 9.61775e-18
4094.00056 9.61052e-18
4095.00046 9.60997e-18
4096.00036 8.99751e-18
4097.00026 4.43992e-18
4098.00016 4.43966e-18
4099.00006 4.43941e-18
4099.99996 3.44265e-18
4100.99986 3.44245e-18
4101.99976 3.44226e-18
4102.99966 3.44206e-18
4103.99956 4.14198e-18
4104.99946 2.74362e-18
4105.99936 2.74347e-18
4106.99926 3.98631e-18
4107.99916 3.98608e-18
4108.99906 3.98585e-18
4109.99896 2.74284e-18
4110.99886 3.98539e-18
4111.99876 4.43609e-18
4112.99866 4.43584e-18
4113.99856 4.74912e-18
4114.99846 4.13937e-18
4115.99836 4.74857e-18
4116.99826 5.85593e-18
4117.99816 6.26436e-18
4118.99806 4.74775e-18
4119.99796 5.85492e-18
4120.99786 6.26328e-18
4121.99776 6.26291e-18
4122.99766 8.23478e-18
4123.99756 8.23431e-18
4124.99746 6.26183e-18
4125.99736 6.26147e-18
4126.99726 6.26111e-18
4127.99716 5.85223e-18
4128.99706 7.08362e-18
4129.99696 8.23147e-18
4130.99686 7.08280e-18
4131.99676 5.85088e-18
4132.99666 8.59035e-18
4133.99656 8.73136e-18
4134.99646 8.73086e-18
4135.99636 8.58887e-18
4136.99626 7.32669e-18
4137.99616 6.65203e-18
4138.99606 7.32585e-18
4139.99596 7.32543e-18
4140.99586 5.85803e-18
4141.99576 6.65050e-18
4142.99566 9.35759e-18
4143.99556 9.52710e-18
4144.99546 9.52655e-18
4145.99536 9.52600e-18
4147.00526 7.32247e-18
4148.00516 9.35489e-18
4149.00506 9.82511e-18
4150.00496 9.35381e-18
4151.00486 9.35327e-18
4152.00476 9.35273e-18
4153.00466 9.52215e-18
4154.00456 9.52160e-18
4155.00446 1.18236e-17
4156.00436 1.18229e-17
4157.00426 1.20112e-17
4158.00416 1.31219e-17
4159.00406 1.24514e-17
4160.00396 1.36957e-17
4161.00386 1.36949e-17
4162.00376 1.24492e-17
4163.00366 1.20070e-17
4164.00356 1.24478e-17
4165.00346 1.02402e-17
4166.00336 8.36099e-18
4167.00326 7.69285e-18
4168.00316 7.69240e-18
4169.00306 1.02378e-17
4170.00296 1.20021e-17
4171.00286 1.20015e-17
4172.00276 7.69062e-18
4173.00266 7.38725e-18
4174.00256 7.68972e-18
4175.00246 7.68928e-18
4176.00236 5.76965e-18
4177.00226 5.34281e-18
4178.00216 3.60165e-18
4179.00206 5.76864e-18
4180.00196 5.76830e-18
4181.00186 5.34157e-18
4182.00176 5.34126e-18
4183.00166 6.71749e-18
4184.00156 6.71710e-18
4185.00146 5.34032e-18
4186.00136 5.25547e-18
4187.00126 3.59976e-18
4188.00116 2.31408e-18
4189.00106 2.31395e-18
4190.00096 1.57535e-18
4191.00086 1.57526e-18
4192.00076 1.57517e-18
4193.00066 4.08707e-18
4194.00056 5.25302e-18
4195.00046 5.25271e-18
4196.00036 4.08635e-18
4197.00026 5.25210e-18
4198.00016 5.25179e-18
4199.00006 3.72638e-18
4199.99996 1.60917e-18
4200.99986 1.60907e-18
4201.99976 3.46955e-18
4202.99966 6.43257e-18
4203.99956 6.43219e-18
4204.99946 3.72507e-18
4205.99936 3.78525e-18
4206.99926 3.78503e-18
4207.99916 3.78481e-18
4208.99906 3.72419e-18
4209.99896 3.46792e-18
4210.99886 3.46771e-18
4211.99876 3.46751e-18
4212.99866 3.78369e-18
4213.99856 3.46710e-18
4214.99846 3.78325e-18
4215.99836 3.78302e-18
4216.99826 6.24307e-18
4217.99816 6.24270e-18
4218.99806 3.78236e-18
4219.99796 4.65521e-18
4220.99786 3.78191e-18
4221.99776 3.78169e-18
4222.99766 2.50641e-18
4223.99756 3.82045e-18
4224.99746 3.82022e-18
4225.99736 3.82000e-18
4226.99726 4.38601e-18
4227.99716 3.46727e-18
4228.99706 3.81932e-18
4229.99696 3.46686e-18
4230.99686 3.46665e-18
4231.99676 -1.94620e-19
4232.99666 -1.26051e-19
4233.99656 -1.94597e-19
4234.99646 -9.70188e-19
4235.99636 -1.26029e-19
4236.99626 -1.26021e-19
4237.99616 7.47382e-19
4238.99606 7.47338e-19
4239.99596 3.46480e-18
4240.99586 9.21079e-19
4241.99576 2.07553e-18
4242.99566 2.07541e-18
4243.99556 2.07528e-18
4244.99546 9.20860e-19
4245.99536 2.07504e-18
4246.99526 4.74803e-18
4247.99516 3.33447e-18
4248.99506 4.74746e-18
4250.00496 3.52995e-18
4251.00486 3.52974e-18
4252.00476 4.74661e-18
4253.00466 5.11891e-18
4254.00456 4.14613e-18
4255.00446 4.14588e-18
4256.00436 4.74547e-18
4257.00426 4.14538e-18
4258.00416 4.74490e-18
4259.00406 4.79376e-18
4260.00396 4.79347e-18
4261.00386 4.79318e-18
4262.00376 7.44553e-18
4263.00366 5.02350e-18
4264.00356 5.02320e-18
4265.00346 6.62273e-18
4266.00336 5.02260e-18
4267.00326 4.57165e-18
4268.00316 4.79117e-18
4269.00306 4.79088e-18
4270.00296 4.57082e-18
4271.00286 5.02109e-18
4272.00276 4.79001e-18
4273.00266 4.56999e-18
4274.00256 4.56972e-18
4275.00246 3.84936e-18
4276.00236 3.84913e-18
4277.00226 4.56889e-18
4278.00216 3.84867e-18
4279.00206 3.84843e-18
4280.00196 5.26095e-18
4281.00186 5.30326e-18
4282.00176 5.26031e-18
4283.00166 4.56723e-18
4284.00156 5.25968e-18
4285.00146 5.30197e-18
4286.00136 8.98245e-18
4287.00126 1.06139e-17
4288.00116 1.06132e-17
4289.00106 1.06126e-17
4290.00096 1.12993e-17
4291.00086 1.12986e-17
4292.00076 1.06209e-17
4293.00066 1.06100e-17
4294.00056 8.97808e-18
4295.00046 1.06087e-17
4296.00036 1.06183e-17
4297.00026 1.12945e-17
4298.00016 1.06170e-17
4299.00006 1.13224e-17
4299.99996 1.13217e-17
4300.99986 1.12917e-17
4301.99976 1.12910e-17
4302.99966 7.40032e-18
4303.99956 7.18304e-18
4304.99946 7.18260e-18
4305.99936 7.18216e-18
4306.99926 7.18172e-18
4307.99916 1.06105e-17
4308.99906 1.12046e-17
4309.99896 1.13148e-17
4310.99886 1.13595e-17
4311.99876 1.13134e-17
4312.99866 8.52840e-18
4313.99856 8.52787e-18
4314.99846 8.52735e-18
4315.99836 8.52682e-18
4316.99826 8.71910e-18
4317.99816 8.71857e-18
4318.99806 8.71803e-18
4319.99796 1.02498e-17
4320.99786 1.02492e-17
4321.99776 8.52366e-18
4322.99766 8.52314e-18
4323.99756 7.69452e-18
4324.99746 7.69404e-18
4325.99736 7.78534e-18
4326.99726 7.78485e-18
4327.99716 7.78437e-18
4328.99706 7.69214e-18
4329.99696 8.07387e-18
4330.99686 8.07337e-18
