# wavelength flux
3699.99874 3.34940e-18
3701.47226 -4.31584e-18
3702.93577 -1.13499e-18
3704.40930 -1.66962e-19
3705.88282 -2.86351e-18
3707.34633 -7.26884e-18
3708.81986 4.09044e-19
3710.29338 1.66531e-18
3711.75689 2.23846e-18
3713.23042 6.26014e-19
3714.70394 -6.59554e-19
3716.16745 1.26763e-18
3717.64098 1.29974e-18
3719.11450 1.33185e-18
3720.57801 1.28677e-18
3722.05154 1.24168e-18
3723.51504 1.19661e-18
3724.98857 1.15154e-18
3726.46210 1.10648e-18
3727.92560 1.06141e-18
3729.39913 1.01635e-18
3730.87266 9.71295e-19
3732.33616 9.26242e-19
3733.80969 8.81201e-19
3735.28322 8.36156e-19
3736.74672 7.91116e-19
3738.22025 7.46087e-19
3739.69378 7.01055e-19
3741.15728 6.56035e-19
3742.63081 6.11011e-19
3744.10434 5.65984e-19
3745.56784 5.20976e-19
3747.04137 4.75964e-19
3748.50487 4.30964e-19
3749.97840 3.85960e-19
3751.45193 3.40968e-19
3752.91543 2.95973e-19
3754.38896 2.50981e-19
3755.86249 2.05993e-19
3757.32599 7.83472e-19
3758.79952 1.16093e-18
3760.27305 -4.89233e-19
3761.73655 9.81429e-19
3763.21008 1.13696e-18
3764.68361 1.02426e-18
3766.14711 9.11569e-19
3767.62064 7.98887e-19
3769.09417 6.86215e-19
3770.55767 5.73552e-19
3772.03120 4.60900e-19
3773.50473 3.48256e-19
3774.96823 2.35623e-19
3776.44176 1.22998e-19
3777.90526 1.03838e-20
3779.37879 -1.02221e-19
3780.85232 -2.14817e-19
3782.31582 -3.27403e-19
3783.78935 -4.39980e-19
3785.26288 -4.39962e-19
3786.72638 3.06771e-19
3788.19991 3.94131e-19
3789.67344 -2.60127e-19
3791.13694 3.68149e-19
3792.61047 -2.83834e-19
3794.08400 -2.20298e-18
3795.54750 -4.74352e-18
3797.02103 7.52076e-19
3798.49456 3.34141e-18
3799.95806 1.54848e-18
3801.43159 -1.18315e-18
3802.89510 -6.36571e-19
3804.36862 1.61499e-18
3805.84215 7.05894e-19
3807.30566 1.00314e-18
3808.77918 -1.55169e-18
3810.25271 1.06135e-18
3811.71622 1.20726e-18
3813.18974 -1.53707e-18
3814.66327 -1.31248e-18
3816.12678 -2.76054e-18
3817.60030 -2.00920e-19
3819.07383 9.08231e-19
3820.53734 2.62713e-18
3822.01086 9.88141e-19
3823.48439 -3.90364e-18
3824.94790 -4.44153e-18
3826.42142 -2.29762e-18
3827.88493 -1.94276e-18
3829.35846 -1.66303e-18
3830.83198 9.34050e-19
3832.29549 9.07341e-19
3833.76902 9.07305e-19
3835.24254 9.23432e-19
3836.70605 9.39558e-19
3838.17958 9.55682e-19
3839.65310 9.71805e-19
3841.11661 9.87928e-19
3842.59014 1.00405e-18
3844.06366 1.02017e-18
3845.52717 1.03629e-18
3847.00070 1.05240e-18
3848.47422 1.06852e-18
3849.93773 1.08464e-18
3851.41126 1.10075e-18
3852.88478 1.11686e-18
3854.34829 1.13297e-18
3855.82182 1.14909e-18
3857.28532 3.06854e-19
3858.75885 1.92133e-18
3860.23238 -2.92525e-19
3861.69588 1.12159e-18
3863.16941 -8.34510e-19
3864.64294 5.48310e-19
3866.10644 -7.58872e-19
3867.57997 3.24528e-19
3869.05350 1.65777e-18
3870.51700 1.14226e-18
3871.99053 1.31576e-18
3873.46406 3.11743e-19
3874.92756 -4.76967e-19
3876.40109 1.47221e-18
3877.87462 9.84725e-19
3879.33812 1.37889e-18
3880.81165 1.86622e-18
3882.27515 8.69244e-19
3883.74868 8.87151e-19
3885.22221 1.20248e-18
3886.68571 1.41721e-18
3888.15924 8.82407e-19
3889.63277 2.33141e-18
3891.09627 1.52888e-18
3892.56980 6.33526e-19
3894.04333 1.13993e-18
3895.50683 -5.46422e-19
3896.98036 2.90868e-19
3898.45389 2.54914e-20
3899.91739 4.34094e-19
3901.39092 1.18066e-18
3902.86445 -2.08198e-19
3904.32795 -1.52109e-18
3905.80148 -1.18221e-18
3907.26498 -1.15609e-19
3908.73851 -5.83984e-19
3910.21204 1.47422e-18
3911.67554 1.59623e-18
3913.14907 -4.31959e-19
3914.62260 4.11371e-19
3916.08610 9.92364e-19
3917.55963 9.72872e-19
3919.03316 2.34216e-18
3920.49666 2.20870e-18
3921.97019 2.72988e-18
3923.44372 2.90356e-18
3924.90722 3.16667e-18
3926.38075 1.88362e-18
3927.85428 1.41416e-18
3929.31778 2.16762e-18
3930.79131 2.38248e-18
3932.25482 2.41352e-18
3933.72834 1.10554e-18
3935.20187 1.66211e-18
3936.66538 1.46740e-18
3938.13890 5.30061e-19
3939.61243 1.24447e-18
3941.07594 1.41432e-18
3942.54946 3.27156e-18
3944.02299 2.54738e-18
3945.48650 7.19696e-19
3946.96002 2.30753e-18
3948.43355 1.71101e-18
3949.89706 1.36885e-18
3951.37058 2.12602e-18
3952.84411 9.15234e-19
3954.30762 1.83941e-18
3955.78114 6.32367e-19
3957.25467 2.51825e-18
3958.71818 9.91744e-19
3960.19170 1.10283e-18
3961.65521 8.46448e-19
3963.12874 8.67063e-19
3964.60226 1.20571e-19
3966.06577 1.10498e-19
3967.53930 4.56868e-19
3969.01282 5.71481e-19
3970.47633 2.92605e-19
3971.94986 8.10158e-19
3973.42338 5.67610e-19
