# wavelength flux
3354.88618 9.24303e-18
3358.96052 1.06181e-17
3363.02478 1.11947e-17
3367.09912 1.12354e-17
3371.16337 1.18070e-17
3375.23771 1.21857e-17
3379.30197 1.26079e-17
3383.37631 1.29569e-17
3387.45065 1.33731e-17
3391.51490 1.38407e-17
3395.58924 1.40789e-17
3399.65350 1.42524e-17
3403.72784 1.46964e-17
3407.79209 1.48559e-17
3411.86643 1.51336e-17
3415.93069 1.56577e-17
3420.00503 1.56152e-17
3424.06929 1.59503e-17
3428.14362 1.62832e-17
3432.20788 1.66632e-17
3436.28222 1.66504e-17
3440.35656 1.66821e-17
3444.42081 1.70164e-17
3448.49515 1.69266e-17
3452.55941 1.74106e-17
3456.63375 1.74703e-17
3460.69801 1.77956e-17
3464.77234 1.79183e-17
3468.83660 1.82737e-17
3472.91094 1.81185e-17
3476.97519 1.83718e-17
3481.04953 1.87214e-17
3485.11379 1.85391e-17
3489.18813 1.84372e-17
3493.26247 1.86847e-17
3497.32672 1.87854e-17
3501.40106 1.90445e-17
3505.46532 1.89839e-17
3509.53966 1.88545e-17
3513.60391 1.90348e-17
3517.67825 1.91471e-17
3521.74251 1.94234e-17
3525.81685 1.94563e-17
3529.88110 1.93423e-17
3533.95545 1.93625e-17
3538.01970 1.92144e-17
3542.09404 1.94405e-17
3546.16838 1.90210e-17
3550.23263 1.93574e-17
3554.30697 1.93958e-17
3558.37123 1.92333e-17
3562.44557 1.90104e-17
3566.50982 1.91872e-17
3570.58416 1.94091e-17
3574.64842 1.93569e-17
3578.72276 1.91782e-17
3582.78701 1.92144e-17
3586.86136 1.90790e-17
3590.92561 1.89853e-17
3594.99995 1.91332e-17
3599.07429 1.90405e-17
3603.13854 1.91623e-17
3607.21288 1.97897e-17
3611.27714 1.96002e-17
3615.35148 1.95385e-17
3619.41573 1.94465e-17
3623.49007 1.96182e-17
3627.55433 1.96289e-17
3631.62867 1.95773e-17
3635.69292 1.97675e-17
3639.76726 1.98751e-17
3643.83152 1.98114e-17
3647.90586 2.00743e-17
3651.98020 2.00762e-17
3656.04445 2.00554e-17
3660.11879 1.99878e-17
3664.18305 1.99369e-17
3668.25739 1.99846e-17
3672.32164 1.98861e-17
3676.39598 1.99793e-17
3680.46024 2.00686e-17
3684.53458 2.00948e-17
3688.59884 2.04079e-17
3692.67317 2.06758e-17
3696.73743 2.06059e-17
3700.81177 2.05697e-17
3704.88611 2.08023e-17
3708.95036 2.10907e-17
3713.02470 2.11728e-17
3717.08896 2.10316e-17
3721.16330 2.12436e-17
3725.22755 2.12231e-17
3729.30189 2.12127e-17
3733.36615 2.12273e-17
3737.44049 2.12650e-17
3741.50474 2.12832e-17
3745.57908 2.12882e-17
3749.64334 2.12932e-17
3753.71768 2.12982e-17
3757.79202 2.13032e-17
3761.85628 2.13083e-17
3765.93061 2.13134e-17
3769.99487 2.13185e-17
3774.06921 2.13237e-17
3778.13346 2.13289e-17
3782.20780 2.13341e-17
3786.27206 2.15792e-17
3790.34640 2.17822e-17
3794.41065 2.17188e-17
3798.48499 2.20112e-17
3802.54925 2.20963e-17
3806.62359 2.20916e-17
3810.69793 2.22305e-17
3814.76219 2.22453e-17
3818.83652 2.23197e-17
3822.90078 2.22824e-17
3826.97512 2.26050e-17
3831.03937 2.26979e-17
3835.11371 2.25662e-17
3839.17797 2.27042e-17
3843.25231 2.29156e-17
3847.31656 2.31154e-17
3851.39090 2.36097e-17
3855.45516 2.34674e-17
3859.52950 2.36427e-17
3863.60384 2.38344e-17
3867.66809 2.40614e-17
3871.74244 2.40097e-17
3875.80669 2.42907e-17
3879.88103 2.44174e-17
3883.94528 2.45987e-17
3888.01962 2.47401e-17
3892.08388 2.47877e-17
3896.15822 2.49667e-17
3900.22247 2.51415e-17
3904.29681 2.54210e-17
3908.37115 2.51132e-17
3912.43541 2.54989e-17
3916.50975 2.54756e-17
3920.57400 2.57541e-17
3924.64835 2.61578e-17
3928.71260 2.59952e-17
3932.78694 2.62809e-17
3936.85119 2.60342e-17
3940.92553 2.59804e-17
3944.98979 2.63695e-17
3949.06413 2.66026e-17
3953.12838 2.66294e-17
3957.20272 2.64127e-17
3961.26698 2.65505e-17
3965.34132 2.66239e-17
3969.41566 2.64454e-17
3973.47991 2.62841e-17
3977.55426 2.66232e-17
3981.61851 2.69081e-17
3985.69285 2.71459e-17
3989.75711 2.70165e-17
3993.83144 2.70779e-17
3997.89570 2.69553e-17
4001.97004 2.72233e-17
4006.03429 2.71854e-17
4010.10863 2.72095e-17
4014.17289 2.74686e-17
4018.24723 2.75007e-17
4022.32157 2.73323e-17
4026.38582 2.76406e-17
4030.46016 2.79014e-17
4034.52442 2.78529e-17
4038.59876 2.77247e-17
