# wavelength flux
3372.80723 4.75992e-18
3375.76213 1.35939e-18
3378.71704 7.37231e-18
3381.67195 6.35551e-18
3384.61676 6.13234e-18
3387.57167 1.12428e-18
3390.52657 1.20719e-18
3393.48148 -7.78063e-19
3396.43638 5.75723e-18
3399.39129 4.09490e-18
3402.34620 1.02612e-17
3405.30110 1.08644e-17
3408.25601 2.42056e-18
3411.21091 6.10213e-18
3414.16581 8.07236e-18
3417.12072 3.18697e-18
3420.07562 1.16156e-17
3423.02045 3.31515e-18
3425.97535 8.29496e-18
3428.93026 8.30661e-18
3431.88516 6.23049e-18
3434.84006 1.14358e-18
3437.79497 1.01507e-17
3440.74987 8.46112e-18
3443.70478 9.39167e-18
3446.65969 8.92355e-18
3449.61459 5.49957e-18
3452.56949 2.94446e-18
3455.52440 7.78331e-18
3458.47930 9.27198e-18
3461.43421 8.34085e-18
3464.37903 6.12504e-18
3467.33394 8.43456e-18
3470.28884 2.14898e-18
3473.24374 3.74490e-18
3476.19865 6.83702e-18
3479.15355 5.80861e-18
3482.10846 2.92171e-18
3485.06336 4.04522e-18
3488.01827 4.91013e-18
3490.97318 6.82458e-18
3493.92808 7.29309e-18
3496.88298 8.50815e-18
3499.83789 7.21665e-18
3502.78271 3.08051e-18
3505.73762 6.16684e-18
3508.69252 5.09909e-18
3511.64743 5.27915e-18
3514.60233 8.69102e-18
3517.55723 7.31415e-18
3520.51214 6.84028e-18
3523.46704 1.03196e-17
3526.42195 6.37199e-18
3529.37685 5.76217e-18
3532.33176 8.63241e-18
3535.28666 7.02763e-18
3538.24157 6.62171e-18
3541.18639 7.33966e-18
3544.14129 4.40030e-18
3547.09620 6.20598e-18
3550.05111 6.62279e-18
3553.00601 5.93939e-18
3555.96091 4.92808e-18
3558.91582 6.14272e-18
3561.87072 7.50813e-18
3564.82563 6.48867e-18
3567.78053 4.98503e-18
3570.73544 5.35975e-18
3573.69034 7.86826e-18
3576.64525 6.83516e-18
3579.60015 6.23316e-18
3582.54497 7.63268e-18
3585.49988 9.36625e-18
3588.45478 6.79163e-18
3591.40969 4.62327e-18
3594.36460 7.61846e-18
3597.31950 7.78464e-18
3600.27440 6.99209e-18
3603.22931 6.56944e-18
3606.18421 7.25068e-18
3609.13912 5.32098e-18
3612.09402 7.68720e-18
3615.04893 8.72480e-18
3618.00383 7.05888e-18
3620.95874 5.95333e-18
3623.90356 5.81285e-18
3626.85846 6.37001e-18
3629.81337 7.02989e-18
3632.76827 7.90744e-18
3635.72318 8.60789e-18
3638.67809 6.63408e-18
3641.63299 6.66724e-18
3644.58789 7.72498e-18
3647.54280 8.61869e-18
3650.49770 8.57960e-18
3653.45261 9.17392e-18
3656.40751 6.93729e-18
3659.36242 -1.18878e-18
3662.30724 2.11113e-18
3665.26214 9.27276e-18
3668.21705 9.23680e-18
3671.17195 8.49916e-18
3674.12686 9.32706e-18
3677.08176 7.50967e-18
3680.03667 8.21589e-18
3682.99157 1.00741e-17
3685.94648 9.67871e-18
3688.90138 9.21273e-18
3691.85629 9.79237e-18
3694.81119 9.86141e-18
3697.76610 9.55199e-18
3700.71092 9.57950e-18
3703.66582 1.11797e-17
3706.62073 1.03869e-17
3709.57563 9.68992e-18
3712.53054 1.04967e-17
3715.48544 1.03040e-17
3718.44035 9.40880e-18
3721.39525 9.78057e-18
3724.35016 9.01328e-18
3727.30506 1.07651e-17
3730.25997 1.06689e-17
