# wavelength flux
3311.92711 2.96920e-17
3316.97361 3.55370e-17
3322.02011 3.54029e-17
3327.07671 2.86606e-17
3332.12321 2.31728e-17
3337.16971 1.78553e-17
3342.22630 1.33749e-17
3347.27280 1.14650e-17
3352.31930 1.63849e-17
3357.36580 1.98959e-17
3362.42239 1.74614e-17
3367.46889 2.09108e-17
3372.51539 2.70917e-17
3377.57199 3.04518e-17
3382.61848 2.44617e-17
3387.66498 2.02899e-17
3392.71149 1.58540e-17
3397.76808 1.05870e-17
3402.81458 2.12208e-18
3407.86108 1.12494e-17
3412.91767 2.22285e-17
3417.96417 2.19730e-17
3423.01067 2.09884e-17
3428.06726 1.99135e-17
3433.11376 1.88563e-17
3438.16026 1.79216e-17
3443.20676 1.72052e-17
3448.26336 1.80288e-17
3453.30986 2.23588e-17
3458.35636 1.69346e-17
3463.41295 1.41899e-17
3468.45945 1.59873e-17
3473.50595 1.84571e-17
3478.56254 2.33448e-17
3483.60904 2.40592e-17
3488.65554 1.49903e-17
3493.70204 1.70458e-17
3498.75864 2.24593e-17
3503.80514 5.36264e-18
3508.85164 3.19531e-18
3513.90823 4.40579e-18
3518.95473 1.42826e-17
3524.00123 2.17072e-17
3529.05782 1.17633e-17
3534.10432 5.26150e-18
3539.15082 5.25454e-18
3544.19732 6.68714e-18
3549.25392 9.18389e-18
3554.30042 7.47464e-18
3559.34692 3.45883e-18
3564.40351 1.43850e-18
3569.45001 2.60209e-18
3574.49651 4.77121e-18
3579.54301 7.10371e-18
3584.59960 1.67112e-17
3589.64610 1.91627e-17
3594.69260 1.63577e-17
3599.74919 1.30866e-17
3604.79569 4.43471e-18
3609.84219 6.17182e-18
3614.89879 7.28435e-18
3619.94529 6.17749e-18
3624.99179 1.43696e-17
3630.03829 6.99451e-18
3635.09488 2.89552e-18
3640.14138 7.78579e-18
3645.18788 1.97419e-17
3650.24447 1.37195e-17
3655.29097 6.10872e-18
3660.33747 5.04179e-18
3665.39407 1.09243e-17
3670.44057 9.93011e-18
3675.48707 6.87570e-18
3680.53357 6.39605e-18
3685.59016 9.22087e-18
3690.63666 1.20490e-17
3695.68316 1.01940e-17
3700.73975 8.87001e-18
3705.78625 9.18887e-18
3710.83275 1.07016e-17
3715.88935 1.48194e-17
3720.93585 7.54938e-18
3725.98235 9.55066e-18
3731.02885 5.78540e-18
3736.08544 6.01254e-18
3741.13194 9.32783e-18
3746.17844 9.27471e-18
3751.23503 8.44827e-18
3756.28153 8.71229e-18
3761.32803 1.13877e-17
3766.38462 7.72985e-18
3771.43112 1.66078e-18
3776.47762 6.02708e-18
3781.52412 4.03483e-18
3786.58072 7.22950e-19
3791.62722 3.71923e-18
3796.67372 5.66116e-18
3801.73031 4.51435e-18
3806.77681 4.79607e-18
3811.82331 3.92986e-18
3816.86981 2.36018e-18
3821.92640 7.84344e-19
3826.97290 5.78890e-19
3832.01940 5.61914e-19
3837.07600 5.12861e-18
3842.12250 6.56422e-18
3847.16900 6.07072e-18
3852.22559 4.50557e-18
3857.27209 4.97518e-18
3862.31859 6.14488e-18
3867.36509 6.87635e-18
3872.42168 4.26113e-18
3877.46818 1.58720e-18
3882.51468 7.99339e-18
3887.57128 9.23595e-18
3892.61778 8.60677e-18
3897.66428 9.37446e-18
3902.72087 9.34304e-18
3907.76737 1.10821e-17
3912.81387 1.29025e-17
3917.86037 9.25025e-18
3922.91696 7.76427e-18
3927.96346 1.49792e-17
3933.00996 1.62906e-17
3938.06655 1.47998e-17
3943.11305 1.41638e-17
3948.15955 1.52928e-17
3953.21615 1.69918e-17
3958.26265 1.75981e-17
3963.30915 1.91921e-17
3968.35565 2.04336e-17
3973.41224 2.19602e-17
3978.45874 1.88453e-17
3983.50524 1.53927e-17
3988.56183 1.98678e-17
3993.60833 1.82867e-17
3998.65483 2.05383e-17
4003.70133 1.88062e-17
4008.75793 1.18611e-17
4013.80443 9.79298e-18
4018.85093 1.81444e-17
4023.90752 1.49166e-17
4028.95402 1.40777e-17
4034.00052 1.61424e-17
4039.05711 1.94564e-17
4044.10361 2.18225e-17
4049.15011 2.34429e-17
4054.19661 2.04849e-17
4059.25321 1.23505e-17
4064.29971 8.27882e-18
4069.34621 1.72194e-18
4074.40280 3.03705e-18
4079.44930 6.07737e-18
4084.49580 1.14331e-17
4089.55239 1.63861e-17
4094.59889 1.44685e-17
4099.64539 1.14805e-17
4104.69189 1.56916e-17
4109.74848 1.46541e-17
4114.79498 1.18291e-17
4119.84148 1.07638e-17
4124.89808 7.40674e-18
4129.94458 1.14166e-17
4134.99108 1.22820e-17
4140.04767 1.18440e-17
4145.09417 1.41707e-17
4150.14067 1.35158e-17
4155.18717 7.84513e-18
4160.24376 1.00568e-17
4165.29026 1.12450e-17
4170.33676 1.22454e-17
4175.39336 1.58094e-17
4180.43986 9.07558e-18
4185.48636 5.70469e-18
4190.53286 9.62119e-18
4195.58945 1.41092e-17
4200.63595 1.41909e-17
4205.68245 1.04025e-17
4210.73904 1.03495e-17
4215.78554 1.09364e-17
4220.83204 1.01256e-17
4225.88864 1.03502e-17
4230.93514 1.38881e-17
4235.98164 1.58287e-17
4241.03823 1.39672e-17
4246.08473 1.72877e-17
4251.13123 1.86889e-17
4256.17773 1.50262e-17
4261.23432 1.49404e-17
4266.28082 1.30075e-17
4271.32732 1.09587e-17
4276.38391 8.26518e-18
4281.43041 1.11566e-17
4286.47691 1.18251e-17
4291.52341 9.96259e-18
4296.58001 9.71253e-18
4301.62651 1.04943e-17
4306.67301 1.24593e-17
4311.72960 1.08918e-17
4316.77610 1.33429e-17
4321.82260 1.10952e-17
4326.87919 9.95773e-18
4331.92569 1.17270e-17
4336.97219 1.15222e-17
4342.01869 9.57562e-18
4347.07529 1.11671e-17
4352.12179 1.30972e-17
4357.16829 1.31798e-17
4362.22488 1.30928e-17
4367.27138 1.03156e-17
4372.31788 1.20217e-17
4377.37447 1.36362e-17
4382.42097 9.20689e-18
4387.46747 1.03190e-17
4392.51397 1.63837e-17
4397.57057 1.73444e-17
4402.61707 1.24964e-17
4407.66357 8.59251e-18
4412.72016 7.69240e-18
4417.76666 1.07174e-17
4422.81316 1.12269e-17
4427.85966 9.62274e-18
4432.91625 1.07547e-17
4437.96275 9.14836e-18
4443.00925 1.09464e-17
4448.06584 1.05351e-17
4453.11234 1.12658e-17
4458.15884 1.32415e-17
4463.21544 1.20399e-17
4468.26194 1.34374e-17
4473.30844 1.35905e-17
4478.35494 1.42816e-17
4483.41153 1.31853e-17
4488.45803 1.18944e-17
4493.50453 1.47671e-17
4498.56112 1.72954e-17
4503.60762 1.43998e-17
4508.65412 1.26860e-17
4513.71072 1.24215e-17
4518.75722 1.44333e-17
4523.80372 1.63996e-17
4528.85022 1.67342e-17
4533.90681 1.62612e-17
4538.95331 1.36927e-17
4543.99981 1.47034e-17
4549.05640 1.62587e-17
4554.10290 1.63000e-17
4559.14940 1.71739e-17
4564.20600 1.85146e-17
4569.25249 1.77509e-17
4574.29900 1.81909e-17
4579.34549 1.58068e-17
4584.40209 1.52715e-17
4589.44859 1.36681e-17
4594.49509 1.63211e-17
4599.55168 1.75038e-17
4604.59818 1.66221e-17
4609.64468 1.67064e-17
4614.70127 1.57133e-17
4619.74777 1.66690e-17
4624.79427 1.98456e-17
4629.84077 1.79354e-17
4634.89737 1.74923e-17
4639.94387 1.85861e-17
4644.99037 1.73915e-17
4650.04696 1.67805e-17
4655.09346 1.83713e-17
4660.13996 1.82729e-17
4665.19655 1.77027e-17
4670.24305 1.74708e-17
4675.28955 1.64229e-17
4680.33605 1.72872e-17
4685.39265 1.68064e-17
4690.43915 1.82695e-17
4695.48565 2.01207e-17
4700.54224 1.90296e-17
4705.58874 1.48611e-17
4710.63524 1.49128e-17
4715.68174 1.93542e-17
4720.73833 1.72109e-17
4725.78483 1.50312e-17
4730.83133 1.45118e-17
4735.88792 1.59946e-17
4740.93443 1.55837e-17
4745.98093 1.33134e-17
4751.03752 1.14267e-17
4756.08402 1.15485e-17
4761.13052 1.22310e-17
4766.17702 1.47151e-17
4771.23361 1.53019e-17
4776.28011 1.47440e-17
4781.32661 1.46619e-17
4786.38320 1.51101e-17
4791.42970 1.33011e-17
4796.47620 1.28830e-17
4801.53280 1.41928e-17
4806.57930 1.28292e-17
4811.62580 1.30377e-17
4816.67230 1.22944e-17
4821.72889 1.19524e-17
4826.77539 1.16964e-17
4831.82189 1.08627e-17
4836.87848 1.09485e-17
4841.92498 1.18356e-17
4846.97148 1.10400e-17
4852.01798 1.19334e-17
4857.07458 1.08088e-17
4862.12108 1.01401e-17
4867.16758 1.02842e-17
4872.22417 9.00438e-18
4877.27067 1.07928e-17
4882.31717 1.04220e-17
4887.37376 8.41266e-18
4892.42026 8.87883e-18
4897.46676 1.14377e-17
4902.51326 1.05530e-17
4907.56986 1.56855e-17
4912.61636 2.04471e-17
4917.66286 1.06831e-17
4922.71945 1.10789e-17
4927.76595 1.11336e-17
4932.81245 1.24494e-17
4937.86904 1.63167e-17
4942.91554 1.50858e-17
4947.96204 1.53934e-17
4953.00854 1.54205e-17
4958.06513 1.46228e-17
4963.11163 1.49302e-17
4968.15813 1.58907e-17
4973.21473 1.64912e-17
4978.26123 1.44938e-17
4983.30773 1.61379e-17
4988.36432 1.69438e-17
4993.41082 1.68271e-17
4998.45732 1.46519e-17
5003.50382 1.47281e-17
5008.56041 1.60369e-17
5013.60691 1.39115e-17
5018.65341 1.55276e-17
5023.71001 1.41563e-17
5028.75651 1.77927e-17
5033.80301 2.31145e-17
5038.85960 1.37987e-17
5043.90610 1.08237e-17
5048.95260 1.35457e-17
5053.99910 1.40754e-17
5059.05569 1.17167e-17
5064.10219 1.20881e-17
5069.14869 1.42301e-17
5074.20529 1.34320e-17
5079.25179 1.34238e-17
5084.29828 1.45281e-17
5089.35488 1.21264e-17
5094.40138 1.08278e-17
5099.44788 1.16302e-17
5104.49438 1.33373e-17
5109.55097 1.69141e-17
5114.59747 1.56295e-17
5119.64397 1.13798e-17
5124.70056 1.29498e-17
5129.74706 1.44465e-17
5134.79356 1.48157e-17
5139.84006 1.47371e-17
5144.89666 1.42605e-17
5149.94316 1.40491e-17
5154.98966 1.39379e-17
5160.04625 1.28935e-17
5165.09275 1.38443e-17
5170.13925 1.67716e-17
5175.19584 1.68160e-17
5180.24234 1.45201e-17
5185.28884 1.47006e-17
5190.33534 1.56647e-17
5195.39194 1.57863e-17
5200.43844 1.62096e-17
5205.48494 1.49888e-17
5210.54153 1.42935e-17
5215.58803 1.60218e-17
5220.63453 1.62597e-17
5225.69112 1.64722e-17
5230.73762 1.65235e-17
5235.78412 1.61634e-17
5240.83062 1.53468e-17
5245.88722 1.59383e-17
5250.93372 1.69538e-17
5255.98022 1.75647e-17
5261.03681 1.65544e-17
5266.08331 1.69613e-17
5271.12981 1.87215e-17
5276.17631 1.75119e-17
5281.23290 1.64836e-17
5286.27940 1.67602e-17
5291.32590 1.78568e-17
5296.38249 1.83703e-17
5301.42899 1.66479e-17
5306.47549 1.64151e-17
5311.53209 1.80014e-17
5316.57859 1.77614e-17
5321.62509 1.67414e-17
5326.67159 1.67110e-17
5331.72818 1.79629e-17
5336.77468 1.95755e-17
5341.82118 1.87982e-17
5346.87777 1.82788e-17
5351.92427 1.75605e-17
5356.97077 1.73622e-17
5362.02737 1.71390e-17
5367.07387 1.72878e-17
5372.12037 1.95935e-17
5377.16687 1.87218e-17
5382.22346 1.77593e-17
5387.26996 1.87284e-17
5392.31646 1.83708e-17
5397.37305 1.72018e-17
5402.41955 1.75427e-17
5407.46605 1.88488e-17
5412.52265 1.81188e-17
5417.56915 1.61934e-17
5422.61564 1.65395e-17
5427.66215 1.76752e-17
5432.71874 1.81733e-17
5437.76524 1.66967e-17
5442.81174 1.88098e-17
5447.86833 1.82598e-17
5452.91483 1.77758e-17
5457.96133 1.89636e-17
