# wavelength flux
3900.00117 5.25352e-18
3901.99555 5.27808e-18
3903.99995 5.33713e-18
3906.00435 5.41673e-18
3907.99872 5.46807e-18
3910.00312 5.48786e-18
3911.99750 5.51334e-18
3914.00190 5.57348e-18
3915.99628 5.62241e-18
3918.00068 5.61142e-18
3920.00508 5.67871e-18
3921.99946 5.74579e-18
3924.00386 5.80594e-18
3925.99824 5.78859e-18
3928.00264 5.78302e-18
3929.99701 5.76164e-18
3932.00141 5.77931e-18
3933.99579 5.84149e-18
3936.00019 5.86349e-18
3938.00459 5.85969e-18
3939.99897 5.89323e-18
3942.00337 5.96284e-18
3943.99775 6.01369e-18
3946.00215 6.03361e-18
3947.99653 6.16499e-18
3950.00093 6.22760e-18
3951.99530 6.25492e-18
3953.99970 6.29215e-18
3956.00410 6.25296e-18
3957.99848 6.24357e-18
3960.00288 6.31401e-18
3961.99726 6.34667e-18
3964.00166 6.36075e-18
3965.99604 6.35876e-18
3968.00044 6.36119e-18
3970.00484 6.31987e-18
3971.99922 6.32636e-18
3974.00362 6.36125e-18
3975.99799 6.42865e-18
3978.00239 6.47088e-18
3979.99677 6.52770e-18
3982.00117 6.52682e-18
3983.99555 6.52260e-18
3985.99995 6.55131e-18
3988.00435 6.59225e-18
3989.99873 6.63711e-18
3992.00313 6.67272e-18
3993.99751 6.67622e-18
3996.00191 6.68904e-18
3997.99628 6.71692e-18
4000.00068 6.72206e-18
4001.99506 6.73863e-18
4003.99946 6.75658e-18
4006.00386 6.76905e-18
4007.99824 6.78352e-18
4010.00264 6.81157e-18
4011.99702 6.82883e-18
4014.00142 6.88636e-18
4015.99580 6.92844e-18
4018.00020 6.95033e-18
4020.00460 6.93792e-18
4021.99897 6.91937e-18
4024.00337 6.96016e-18
4025.99775 6.97263e-18
4028.00215 6.97149e-18
4029.99653 6.94887e-18
4032.00093 6.91653e-18
4033.99531 6.86280e-18
4035.99971 6.83419e-18
4038.00411 6.84789e-18
4039.99849 6.81401e-18
