# wavelength flux
3719.99538 5.07290e-19
3721.50320 3.45375e-18
3723.00084 7.54558e-18
3724.49848 8.41302e-18
3725.99611 6.91994e-18
3727.50394 5.03749e-18
3729.00157 8.09332e-18
3730.49921 7.93182e-18
3731.99684 8.00472e-18
3733.50467 1.11481e-17
3735.00230 9.75944e-18
3736.49994 5.84283e-18
3737.99758 3.84635e-18
3739.49521 2.32254e-18
3741.00304 4.05687e-18
3742.50067 6.12282e-18
3743.99831 6.18348e-18
3745.49594 4.31434e-18
3747.00377 4.53247e-18
3748.50140 5.56663e-18
3749.99904 6.64474e-18
3751.49668 8.43830e-18
3753.00450 1.01243e-17
3754.50214 4.78477e-18
3755.99977 5.96669e-18
3757.49741 7.09013e-18
3758.99504 4.88718e-18
3760.50287 4.93819e-18
3762.00050 8.61991e-18
3763.49814 9.37699e-19
3764.99578 7.12914e-18
3766.50360 5.03469e-18
3768.00124 4.94761e-18
3769.49887 4.43623e-18
3770.99651 3.97791e-18
3772.50433 6.59232e-18
3774.00197 5.33405e-18
3775.49960 8.37848e-18
3776.99724 6.45106e-18
3778.49488 6.58572e-18
3780.00270 6.72038e-18
3781.50034 6.49998e-18
3782.99797 6.27957e-18
3784.49561 6.05919e-18
3786.00343 5.83888e-18
3787.50107 5.61856e-18
3788.99870 5.39826e-18
3790.49634 5.17803e-18
3792.00416 4.95779e-18
3793.50180 4.73761e-18
3794.99944 4.51743e-18
3796.49707 4.29727e-18
3798.00490 4.07718e-18
3799.50253 3.85707e-18
3801.00017 3.63700e-18
3802.49780 3.41698e-18
3803.99544 3.19696e-18
3805.50326 2.97700e-18
3807.00090 2.75703e-18
3808.49854 2.53709e-18
3809.99617 2.31721e-18
3811.50400 2.09732e-18
3813.00163 1.87746e-18
3814.49927 1.65766e-18
3815.99690 1.43784e-18
3817.50473 1.21809e-18
3819.00236 6.64993e-18
3820.50000 1.03039e-17
3821.99764 7.16344e-18
3823.49527 4.23942e-18
3825.00310 3.24480e-18
3826.50073 5.76196e-18
3827.99837 7.56844e-18
3829.49600 7.41194e-18
3831.00383 5.08930e-18
3832.50146 6.47624e-18
3833.99910 8.99209e-18
3835.49674 6.09744e-18
3837.00456 5.41860e-18
3838.50220 4.85711e-18
3839.99983 6.83954e-18
3841.49747 6.24566e-18
3842.99510 1.45452e-18
3844.50293 2.72454e-18
3846.00056 8.43682e-18
3847.49820 6.43915e-18
3848.99584 8.75636e-18
3850.50366 9.33138e-18
3852.00130 6.02373e-18
3853.49893 6.86827e-18
3854.99657 8.84686e-18
3856.50439 9.43049e-18
3858.00203 3.46889e-18
3859.49966 1.85992e-18
3860.99730 3.60275e-18
3862.49494 7.53065e-18
3864.00276 8.30699e-18
3865.50040 6.72018e-18
3866.99803 6.25476e-18
3868.49567 9.15015e-18
3870.00349 9.08776e-18
3871.50113 7.74833e-18
3872.99876 5.33030e-18
3874.49640 8.31753e-18
3876.00422 9.36284e-18
3877.50186 6.11187e-18
3878.99950 5.90590e-18
3880.49713 9.47993e-18
3881.99477 8.27892e-18
3883.50259 6.95378e-18
3885.00023 8.58257e-18
3886.49786 8.22718e-18
3887.99550 8.65338e-18
3889.50332 7.09420e-18
3891.00096 8.39708e-18
3892.49860 7.28228e-18
3893.99623 7.71223e-18
3895.50406 9.18939e-18
3897.00169 8.45805e-18
3898.49933 8.20449e-18
3899.99696 6.96486e-18
3901.50479 6.26545e-18
3903.00242 6.47156e-18
3904.50006 6.45249e-18
3905.99770 6.70784e-18
3907.49533 9.94121e-18
3909.00316 1.18449e-17
3910.50079 7.67497e-18
3911.99843 4.35615e-18
3913.49606 4.85182e-18
3915.00389 8.72186e-18
3916.50152 6.28727e-18
3917.99916 6.78375e-18
3919.49680 8.59567e-18
3921.00462 7.39661e-18
3922.50226 1.12473e-17
3923.99989 1.36097e-17
3925.49753 1.14350e-17
3926.99516 1.44764e-17
3928.50299 7.35022e-18
3930.00062 7.80573e-18
3931.49826 1.34296e-17
3932.99590 1.13379e-17
3934.50372 1.11674e-17
3936.00136 9.03304e-18
3937.49899 9.58906e-18
3938.99663 8.85126e-18
3940.50445 8.31099e-18
3942.00209 1.03172e-17
3943.49972 1.06792e-17
3944.99736 9.41151e-18
3946.49500 9.13033e-18
3948.00282 8.78957e-18
3949.50046 9.91135e-18
3950.99809 9.92059e-18
3952.49573 1.00586e-17
3954.00355 9.87899e-18
3955.50119 8.31343e-18
3956.99882 9.24835e-18
3958.49646 8.22454e-18
3960.00428 8.54288e-18
3961.50192 9.86116e-18
3962.99956 6.60272e-18
3964.49719 6.90494e-18
3965.99483 8.21964e-18
3967.50265 7.67175e-18
3969.00029 9.07129e-18
3970.49792 8.92805e-18
3971.99556 1.10095e-17
3973.50338 1.06190e-17
3975.00102 7.62524e-18
3976.49866 9.82856e-18
3977.99629 9.63806e-18
3979.50412 9.61905e-18
3981.00175 8.08340e-18
3982.49939 7.30513e-18
3983.99702 8.12620e-18
3985.50485 1.05064e-17
3987.00248 1.08040e-17
3988.50012 7.53668e-18
3989.99776 7.36837e-18
3991.49539 9.68955e-18
3993.00322 1.01173e-17
3994.50085 9.33838e-18
