# wavelength flux
3579.96049 1.12061e-18
3581.43354 4.73070e-19
3582.89644 -3.21432e-18
3584.36949 -2.33504e-18
3585.84255 4.54154e-18
3587.30544 3.92897e-18
3588.77850 6.14647e-18
3590.25155 4.78945e-18
3591.72461 3.29433e-18
3593.18750 1.66355e-17
3594.66056 1.55138e-17
3596.13362 7.44460e-18
3597.59651 8.27222e-18
3599.06957 1.30749e-17
3600.54262 1.21746e-17
3602.00552 3.86577e-18
3603.47857 4.49391e-19
3604.95163 -2.64215e-18
3606.42468 2.71605e-18
3607.88758 6.66993e-18
3609.36063 -2.23246e-18
3610.83369 -3.42501e-18
3612.29658 -5.83488e-19
3613.76964 3.71799e-18
3615.24269 1.17245e-17
3616.70559 1.14366e-17
3618.17865 5.88408e-18
3619.65170 2.43236e-18
3621.12475 -1.29562e-19
3622.58765 3.35994e-18
3624.06071 3.72797e-18
3625.53376 4.32691e-18
3626.99666 4.87195e-18
3628.46971 6.42991e-18
3629.94277 7.82854e-18
3631.40566 5.72244e-18
3632.87872 4.32690e-18
3634.35177 1.79296e-18
3635.82483 -2.00527e-18
3637.28772 -3.57986e-18
3638.76078 5.03379e-19
3640.23383 6.19504e-18
3641.69673 5.02585e-18
3643.16979 6.11563e-19
3644.64284 -1.68056e-18
3646.10574 1.10798e-18
3647.57879 3.62117e-18
3649.05185 6.03728e-18
3650.52490 8.64449e-18
3651.98780 9.79755e-18
3653.46085 7.28621e-18
3654.93391 1.10638e-18
3656.39680 -8.46668e-19
3657.86986 4.59272e-18
3659.34291 5.82762e-18
3660.80581 2.14281e-18
3662.27886 3.38367e-18
3663.75192 7.11888e-18
3665.21481 7.71022e-18
3666.68787 3.37760e-18
3668.16093 -3.02909e-19
3669.63398 2.31898e-19
3671.09688 7.66668e-19
3672.56993 1.30140e-18
3674.04299 1.83610e-18
3675.50588 2.37076e-18
3676.97894 2.90538e-18
3678.45199 3.43997e-18
3679.91489 3.97452e-18
3681.38794 4.50903e-18
3682.86100 5.04351e-18
3684.33405 5.57795e-18
3685.79695 6.11236e-18
3687.27000 6.64673e-18
3688.74306 7.18106e-18
3690.20595 7.18082e-18
3691.67901 8.46824e-18
3693.15207 6.81748e-18
3694.61496 1.74824e-18
3696.08802 -7.58430e-19
3697.56107 4.41894e-18
3699.03413 4.90408e-18
3700.49702 3.11556e-18
3701.97008 8.93496e-18
3703.44313 3.35616e-18
3704.90603 -1.83451e-18
3706.37908 4.43265e-18
3707.85214 8.12122e-18
3709.31503 5.28586e-18
3710.78809 3.79420e-18
3712.26114 3.78541e-18
3713.73420 6.46587e-18
3715.19710 4.73823e-18
3716.67015 2.63525e-18
3718.14320 5.14340e-18
3719.60610 8.34453e-18
3721.07916 5.85576e-18
3722.55221 6.76577e-19
3724.01511 2.32097e-18
3725.48816 5.22360e-18
3726.96122 8.71855e-18
3728.43427 1.08441e-17
3729.89717 8.57667e-18
3731.37022 3.54634e-18
3732.84328 -2.75143e-18
3734.30617 4.12851e-19
3735.77923 8.98527e-18
3737.25228 4.99070e-18
3738.71518 -2.87741e-19
3740.18824 7.22478e-18
3741.66129 1.01678e-17
3743.13435 3.73612e-18
3744.59724 8.54858e-19
3746.07030 -8.27871e-19
3747.54335 4.06677e-18
3749.00625 1.16851e-17
3750.47930 1.25304e-17
3751.95236 6.09552e-18
3753.41525 1.79285e-18
3754.88831 2.78991e-18
3756.36136 4.01641e-18
3757.83442 3.88615e-18
3759.29731 3.66444e-18
3760.77037 3.08648e-18
3762.24342 4.27545e-18
3763.70632 6.67572e-18
3765.17938 7.50284e-18
3766.65243 7.68875e-18
3768.11533 7.73083e-18
3769.58838 7.77289e-18
3771.06144 7.70891e-18
3772.53449 7.64493e-18
3773.99739 7.58095e-18
3775.47044 7.51699e-18
3776.94350 7.45302e-18
3778.40639 7.38906e-18
3779.87945 7.32510e-18
3781.35250 7.26114e-18
3782.81540 7.19719e-18
3784.28845 7.13324e-18
3785.76151 7.06930e-18
3787.23456 7.00537e-18
3788.69746 6.94144e-18
3790.17051 6.87751e-18
3791.64357 6.81358e-18
3793.10647 6.74966e-18
3794.57952 6.68574e-18
3796.05258 6.62183e-18
3797.51547 6.55791e-18
3798.98853 6.49401e-18
3800.46158 6.43012e-18
3801.93464 6.36622e-18
3803.39753 6.30232e-18
3804.87059 6.23842e-18
3806.34364 6.17455e-18
3807.80654 6.11066e-18
3809.27959 7.52108e-18
3810.75265 2.25597e-18
3812.21555 5.40715e-18
3813.68860 1.17248e-17
3815.16165 8.03601e-18
3816.63471 7.67371e-18
3818.09761 1.08349e-17
3819.57066 1.20263e-17
3821.04372 1.30567e-17
3822.50661 9.20533e-18
3823.97967 -5.50024e-19
3825.45272 -3.44097e-18
3826.91562 6.30906e-20
3828.38867 2.91464e-18
3829.86173 -3.41236e-19
3831.33478 -2.20542e-18
3832.79768 1.91360e-18
3834.27073 5.79108e-18
3835.74379 7.54445e-18
3837.20669 4.31795e-18
3838.67974 2.24877e-18
3840.15280 3.92074e-18
3841.61569 4.44434e-18
3843.08875 7.29364e-18
3844.56180 8.78725e-18
3846.03486 7.39655e-18
3847.49775 3.86400e-18
3848.97081 3.29866e-18
3850.44386 8.55986e-18
3851.90676 8.69795e-18
3853.37981 4.81246e-18
3854.85287 -3.17756e-19
3856.31576 3.08561e-18
3857.78882 8.43417e-18
3859.26187 4.83297e-18
3860.73493 6.37947e-19
3862.19783 4.28279e-19
3863.67088 3.16120e-18
3865.14394 5.28387e-18
3866.60683 6.22930e-18
3868.07989 9.33047e-18
3869.55294 5.67374e-18
3871.01584 8.55196e-19
3872.48889 5.40021e-18
3873.96195 7.61022e-18
3875.42484 5.86785e-18
3876.89790 7.35164e-18
3878.37095 9.59399e-18
3879.84401 4.43044e-18
3881.30690 2.27101e-18
3882.77996 5.20264e-18
3884.25301 6.26102e-18
3885.71591 6.03291e-18
3887.18896 7.73631e-18
3888.66202 1.24084e-17
