# wavelength flux
3485.00480 1.49211e-17
3486.47202 1.17089e-17
3487.93924 1.45752e-17
3489.40645 1.43305e-17
3490.88386 1.61611e-17
3492.35107 1.60948e-17
3493.81829 1.34302e-17
3495.28550 1.32133e-17
3496.76291 1.42276e-17
3498.23013 1.67628e-17
3499.69734 1.55685e-17
3501.17475 1.57179e-17
3502.64196 1.78711e-17
3504.10918 1.69440e-17
3505.57640 1.55794e-17
3507.05380 1.65666e-17
3508.52102 1.76860e-17
3509.98823 1.59551e-17
3511.45545 1.59546e-17
3512.93285 1.69269e-17
3514.40007 1.59192e-17
3515.86728 1.52211e-17
3517.34469 1.66192e-17
3518.81191 1.74314e-17
3520.27912 1.93879e-17
3521.74634 2.21502e-17
3523.22374 2.05715e-17
3524.69096 1.83154e-17
3526.15817 1.64982e-17
3527.62539 1.51561e-17
3529.10280 1.78532e-17
3530.57001 1.77791e-17
3532.03723 1.70272e-17
3533.51463 1.88505e-17
3534.98185 2.12411e-17
3536.44906 1.94795e-17
3537.91628 1.47232e-17
3539.39369 1.64715e-17
3540.86090 2.24437e-17
3542.32812 2.08798e-17
3543.79533 1.77169e-17
3545.27274 1.77720e-17
3546.73995 1.48039e-17
3548.20717 1.71897e-17
3549.68458 1.88756e-17
3551.15179 1.58999e-17
3552.61901 1.49230e-17
3554.08622 1.67603e-17
3555.56363 2.00647e-17
3557.03084 1.95498e-17
3558.49806 1.63976e-17
3559.96528 1.49938e-17
3561.44268 1.56431e-17
3562.90990 1.67546e-17
3564.37711 1.78725e-17
3565.85452 1.87528e-17
3567.32173 1.81333e-17
3568.78895 1.62119e-17
3570.25617 1.47739e-17
3571.73357 1.33273e-17
3573.20079 1.31290e-17
3574.66800 1.46034e-17
3576.13522 1.57664e-17
3577.61262 1.60684e-17
3579.07984 1.51975e-17
3580.54706 1.74331e-17
3582.02446 1.89809e-17
3583.49168 1.61557e-17
3584.95889 1.50052e-17
3586.42611 1.62069e-17
3587.90351 1.66167e-17
3589.37073 1.67834e-17
3590.83795 1.55865e-17
3592.30516 1.57894e-17
3593.78257 1.69463e-17
3595.24978 1.63624e-17
3596.71700 1.87424e-17
3598.19440 2.10683e-17
3599.66162 1.83199e-17
3601.12884 1.45218e-17
3602.59605 1.34512e-17
3604.07346 1.44325e-17
3605.54067 1.60883e-17
3607.00789 1.55019e-17
3608.47511 1.51401e-17
3609.95251 1.91589e-17
3611.41973 1.95986e-17
3612.88694 1.52909e-17
3614.36435 1.46419e-17
3615.83156 1.41815e-17
3617.29878 1.29360e-17
3618.76600 1.55252e-17
3620.24340 1.60307e-17
3621.71062 1.81611e-17
3623.17783 1.84958e-17
3624.64505 1.63777e-17
3626.12245 1.49106e-17
3627.58967 1.55086e-17
3629.05689 1.55418e-17
3630.53429 1.57482e-17
3632.00151 1.48116e-17
3633.46872 1.44743e-17
3634.93594 1.50416e-17
3636.41334 1.52284e-17
3637.88056 1.85052e-17
3639.34778 1.91570e-17
3640.81499 1.65917e-17
3642.29240 1.50141e-17
3643.75961 1.29634e-17
3645.22683 1.31213e-17
3646.70423 1.38792e-17
3648.17145 1.53806e-17
3649.63867 1.69837e-17
3651.10588 1.55670e-17
3652.58329 1.70955e-17
3654.05050 1.71737e-17
3655.51772 1.46382e-17
3656.98493 1.34821e-17
3658.46234 1.59907e-17
3659.92956 1.74073e-17
3661.39677 1.51572e-17
3662.87418 1.40247e-17
3664.34139 1.60398e-17
3665.80861 1.92574e-17
3667.27582 1.93309e-17
3668.75323 1.67909e-17
3670.22045 1.40441e-17
3671.68766 1.21317e-17
3673.15488 1.62484e-17
3674.63228 2.12133e-17
3676.09950 1.75320e-17
3677.56671 1.47960e-17
3679.04412 1.56076e-17
3680.51134 1.52637e-17
3681.97855 1.52744e-17
3683.44577 1.64914e-17
3684.92317 1.79657e-17
3686.39039 1.67570e-17
3687.85760 1.64184e-17
3689.33501 1.82153e-17
3690.80223 1.64351e-17
3692.26944 1.27692e-17
3693.73666 1.32519e-17
3695.21406 1.59116e-17
