# wavelength flux
3485.00480 3.26607e-18
3486.47202 1.29714e-17
3487.93924 1.02638e-17
3489.40645 -1.14609e-18
3490.88386 4.07158e-18
3492.35107 4.15279e-18
3493.81829 8.91082e-19
3495.28550 7.45158e-18
3496.76291 1.40820e-17
3498.23013 1.42171e-17
3499.69734 2.64580e-17
3501.17475 -1.51930e-18
3502.64196 -1.02176e-17
3504.10918 2.55761e-17
3505.57640 2.43901e-17
3507.05380 1.70593e-17
3508.52102 1.13844e-17
3509.98823 1.38928e-17
3511.45545 2.16162e-17
3512.93285 3.25134e-17
3514.40007 3.77675e-17
3515.86728 4.41032e-18
3517.34469 -5.60165e-18
3518.81191 2.05880e-17
3520.27912 1.81265e-17
3521.74634 6.59020e-18
3523.22374 -2.93722e-18
3524.69096 4.99626e-18
3526.15817 1.47193e-17
3527.62539 1.47924e-18
3529.10280 3.11959e-17
3530.57001 3.25262e-17
3532.03723 9.37734e-18
3533.51463 1.22081e-17
3534.98185 1.74917e-17
3536.44906 8.89722e-18
3537.91628 2.63543e-17
3539.39369 2.20783e-17
3540.86090 1.57660e-18
3542.32812 8.04594e-18
3543.79533 -7.51566e-18
3545.27274 -8.98901e-18
3546.73995 9.76053e-18
3548.20717 2.01329e-17
3549.68458 2.49647e-17
3551.15179 2.38262e-17
3552.61901 -8.23582e-18
3554.08622 -1.42946e-17
3555.56363 4.15218e-18
3557.03084 1.04932e-17
3558.49806 2.21440e-17
3559.96528 1.25898e-17
3561.44268 1.05708e-17
3562.90990 2.62824e-17
3564.37711 2.50281e-17
3565.85452 6.13045e-18
3567.32173 4.08388e-18
3568.78895 1.97730e-18
3570.25617 3.03667e-18
3571.73357 2.21989e-17
3573.20079 2.05373e-17
3574.66800 1.81189e-18
3576.13522 2.01786e-17
3577.61262 1.25189e-17
3579.07984 -1.45556e-17
3580.54706 -1.95273e-17
3582.02446 -7.95273e-18
3583.49168 1.63327e-17
3584.95889 2.65548e-17
3586.42611 -5.77438e-18
3587.90351 -4.64015e-18
3589.37073 1.97922e-17
3590.83795 6.65499e-19
3592.30516 -1.91001e-19
3593.78257 1.06687e-17
3595.24978 2.35635e-17
3596.71700 8.82081e-18
3598.19440 7.57990e-19
3599.66162 2.22351e-17
3601.12884 1.08380e-17
3602.59605 -1.90080e-17
3604.07346 9.33196e-19
3605.54067 1.77297e-17
3607.00789 8.57947e-18
3608.47511 1.14896e-17
3609.95251 9.99917e-18
3611.41973 9.02380e-18
3612.88694 3.31109e-18
3614.36435 -4.62671e-18
3615.83156 4.07520e-18
3617.29878 1.45704e-18
3618.76600 1.08221e-17
3620.24340 2.32301e-17
3621.71062 1.04464e-17
3623.17783 6.41172e-18
3624.64505 -2.39039e-18
3626.12245 6.19734e-18
3627.58967 2.43410e-17
3629.05689 2.35435e-17
3630.53429 2.20956e-17
3632.00151 1.53875e-17
3633.46872 1.44209e-17
3634.93594 1.61640e-17
3636.41334 5.22163e-18
3637.88056 1.62499e-17
3639.34778 1.02107e-17
3640.81499 2.64872e-18
3642.29240 -1.77165e-18
3643.75961 1.13801e-17
3645.22683 3.45652e-18
3646.70423 6.05186e-18
3648.17145 1.13136e-17
3649.63867 7.78764e-18
3651.10588 -4.75536e-19
3652.58329 5.81410e-18
3654.05050 2.27055e-17
3655.51772 1.94294e-17
3656.98493 6.04139e-18
3658.46234 3.03703e-18
3659.92956 2.21485e-17
3661.39677 1.66137e-17
3662.87418 8.87320e-19
3664.34139 -6.22063e-18
3665.80861 -8.63190e-18
3667.27582 9.52976e-18
3668.75323 1.34443e-17
3670.22045 1.18718e-17
3671.68766 1.83953e-17
3673.15488 1.46573e-17
3674.63228 2.09547e-17
3676.09950 2.41095e-17
3677.56671 8.75381e-18
3679.04412 6.99083e-18
3680.51134 1.55103e-17
3681.97855 1.51704e-17
3683.44577 2.14386e-17
3684.92317 8.52896e-18
3686.39039 -5.43007e-18
3687.85760 1.11282e-17
3689.33501 1.95488e-17
3690.80223 7.13607e-18
3692.26944 -1.99867e-18
3693.73666 4.47281e-19
3695.21406 5.18549e-18
3696.68128 1.90906e-17
3698.14849 1.30131e-17
3699.61571 5.57713e-18
3701.09312 4.68702e-18
3702.56033 9.03102e-18
3704.02755 1.64755e-17
3705.49476 1.73719e-17
3706.97217 1.43877e-17
3708.43938 -1.18275e-17
3709.90660 -1.41060e-17
3711.38401 9.54112e-18
3712.85122 7.94461e-18
3714.31844 6.82401e-18
3715.78565 5.70357e-18
3717.26306 4.58328e-18
3718.73027 3.46315e-18
3720.19749 2.34316e-18
3721.67490 2.34300e-18
3723.14211 5.31764e-18
3724.60933 2.99613e-18
3726.07654 6.55348e-18
3727.55395 6.12128e-18
3729.02116 9.53881e-19
3730.48838 2.33399e-18
3731.95560 7.95253e-18
3733.43300 1.17192e-17
3734.90022 4.08746e-18
3736.36743 3.52657e-18
3737.84484 1.37231e-17
3739.31205 1.23477e-17
3740.77927 1.65468e-17
3742.24649 2.79776e-17
3743.72389 1.80414e-17
3745.19111 5.52026e-18
3746.65832 7.96235e-21
3748.12554 5.52047e-18
3749.60295 9.71395e-18
