# wavelength flux
3484.99972 2.25778e-17
3486.46996 2.87929e-17
3487.94020 3.56281e-17
3489.41044 1.27191e-17
3490.88068 9.64053e-18
3492.35092 1.51470e-17
3493.82116 3.78142e-17
3495.29140 3.75183e-17
3496.76164 1.27790e-17
3498.23188 2.43366e-18
3499.70212 3.35814e-17
3501.17236 3.51602e-17
3502.64260 3.32685e-17
3504.11284 2.87928e-17
3505.58308 3.80743e-17
3507.05332 2.90051e-17
3508.52356 1.55622e-17
3509.99380 2.51535e-17
3511.46404 3.88489e-17
3512.93428 2.55087e-17
3514.40452 4.16119e-17
3515.87476 4.27348e-17
3517.34500 2.87408e-17
3518.80503 1.98359e-17
3520.27527 2.87226e-17
3521.74551 3.31493e-17
3523.21575 2.29217e-17
3524.68599 2.06058e-17
3526.15623 1.72764e-17
3527.62647 2.05263e-17
3529.09671 2.60037e-17
3530.56695 2.95291e-17
3532.03719 9.58224e-18
3533.50743 8.58732e-18
3534.97767 2.13480e-17
3536.44791 2.84202e-17
3537.91815 4.11545e-17
3539.38839 2.18569e-17
3540.85863 2.87973e-17
3542.32887 2.65275e-17
3543.79911 1.99976e-17
3545.26935 3.37625e-17
3546.73959 3.13634e-17
3548.20983 1.60387e-17
3549.68007 2.95489e-17
3551.15031 1.57957e-17
3552.62055 1.77096e-17
3554.09079 2.31794e-17
3555.56103 1.16690e-17
3557.03127 1.37259e-17
3558.50151 2.88632e-17
3559.97175 3.67404e-17
3561.44199 4.11984e-17
3562.91223 3.74452e-17
3564.38247 2.37401e-17
3565.85271 1.01158e-17
3567.32295 2.32765e-17
3568.79319 3.39568e-17
3570.26343 2.41489e-17
3571.73367 2.09423e-17
3573.20391 2.67295e-17
3574.67415 2.86578e-17
3576.14439 3.43137e-17
3577.61463 2.27636e-17
3579.08487 3.43019e-17
3580.55511 1.84616e-17
3582.01514 1.17443e-17
3583.48538 2.38154e-17
3584.95562 1.84305e-17
3586.42586 1.93111e-17
3587.89610 2.63812e-17
3589.36634 3.03914e-17
3590.83658 2.22969e-17
3592.30682 2.72936e-17
3593.77706 2.28148e-17
3595.24730 2.09602e-17
3596.71754 1.45151e-17
3598.18778 2.32275e-17
3599.65802 4.21818e-17
3601.12826 2.47731e-17
3602.59850 9.95426e-18
3604.06874 1.80241e-17
3605.53898 1.40654e-17
3607.00922 2.50163e-17
3608.47946 3.63246e-17
3609.94970 1.45748e-17
3611.41994 1.55910e-17
3612.89018 2.95410e-17
3614.36042 2.58234e-17
3615.83066 2.02810e-17
3617.30090 1.71083e-17
3618.77114 2.41585e-17
3620.24138 1.57314e-17
3621.71162 2.41103e-17
3623.18186 2.70740e-17
3624.65210 3.27050e-17
3626.12234 1.94407e-17
3627.59258 2.90172e-17
3629.06282 1.72984e-17
3630.53306 1.53536e-17
3632.00330 3.16491e-17
3633.47354 2.61266e-17
3634.94378 1.91015e-17
3636.41402 2.11332e-17
3637.88426 1.52705e-17
3639.35450 3.29504e-17
3640.82474 1.29300e-17
3642.29498 1.48301e-17
3643.75501 2.54636e-17
3645.22525 2.62061e-17
3646.69549 2.60902e-17
3648.16573 1.68469e-17
3649.63597 2.16241e-17
3651.10621 2.64182e-17
3652.57645 2.25713e-17
3654.04669 2.13951e-17
3655.51693 2.37462e-17
3656.98717 2.16789e-17
3658.45741 2.23665e-17
3659.92765 2.28542e-17
3661.39789 2.57476e-17
3662.86813 2.95734e-17
3664.33837 2.72027e-17
3665.80861 1.75752e-17
3667.27885 1.61988e-17
3668.74909 1.25951e-17
3670.21933 2.12862e-17
3671.68957 2.73697e-17
3673.15981 1.76195e-17
3674.63005 2.00304e-17
3676.10029 2.85551e-17
3677.57053 2.56531e-17
3679.04077 2.28100e-17
3680.51101 1.87516e-17
3681.98125 1.86494e-17
3683.45149 2.02781e-17
3684.92173 3.44614e-17
3686.39197 2.45435e-17
3687.86221 1.31177e-17
3689.33245 1.40229e-17
3690.80269 2.14042e-17
3692.27293 1.98455e-17
3693.74317 2.40899e-17
3695.21341 2.34704e-17
3696.68365 2.59156e-17
3698.15389 1.92038e-17
3699.62413 1.98585e-17
3701.09437 2.64678e-17
3702.56461 3.04909e-17
3704.03485 1.73021e-17
3705.49488 2.77576e-17
3706.96512 1.73508e-17
3708.43536 2.34420e-17
3709.90560 2.64077e-17
3711.37584 2.34481e-17
3712.84608 2.06815e-17
3714.31632 2.00407e-17
3715.78656 1.97994e-17
3717.25680 2.20777e-17
3718.72704 1.79613e-17
3720.19728 1.78546e-17
3721.66752 2.11484e-17
3723.13776 2.10987e-17
3724.60800 2.75670e-17
3726.07824 1.83298e-17
3727.54848 1.36756e-17
3729.01872 1.43307e-17
3730.48896 1.60469e-17
3731.95920 1.44177e-17
3733.42944 1.96106e-17
3734.89968 1.42155e-17
3736.36992 1.80197e-17
3737.84016 1.89373e-17
3739.31040 1.40577e-17
3740.78064 1.38713e-17
3742.25088 2.17868e-17
3743.72112 2.29379e-17
3745.19136 1.76352e-17
3746.66160 1.67222e-17
3748.13184 1.83372e-17
3749.60208 1.67158e-17
3751.07232 1.85514e-17
3752.54256 1.51668e-17
3754.01280 1.26552e-17
3755.48304 2.32580e-17
3756.95328 2.19436e-17
3758.42352 1.98020e-17
3759.89376 1.35889e-17
3761.36400 1.41506e-17
3762.83424 2.09199e-17
3764.30448 1.81945e-17
3765.77472 1.35599e-17
3767.24496 1.98384e-17
3768.70499 1.94800e-17
3770.17523 1.38444e-17
3771.64547 1.60428e-17
3773.11571 1.37271e-17
3774.58595 8.22928e-18
3776.05619 1.40992e-17
3777.52643 1.82510e-17
3778.99667 9.37519e-18
3780.46691 1.48234e-17
3781.93715 1.39173e-17
3783.40739 1.72810e-17
3784.87763 1.61097e-17
3786.34787 1.51614e-17
3787.81811 1.43212e-17
3789.28835 8.34572e-18
3790.75859 1.05702e-17
3792.22883 1.12093e-17
3793.69907 8.11068e-18
3795.16931 1.01579e-17
3796.63955 1.25605e-17
3798.10979 1.02085e-17
3799.58003 8.94180e-18
3801.05027 1.08558e-17
3802.52051 9.25645e-18
3803.99075 9.72095e-18
3805.46099 7.58851e-18
3806.93123 9.90307e-18
3808.40147 1.15643e-17
3809.87171 7.43439e-18
3811.34195 1.16158e-17
3812.81219 1.44269e-17
3814.28243 9.65118e-18
3815.75267 8.13007e-18
3817.22291 1.31554e-17
3818.69315 1.16580e-17
3820.16339 1.05799e-17
3821.63363 1.05326e-17
3823.10387 1.42191e-17
3824.57411 1.39516e-17
3826.04435 1.43964e-17
3827.51459 1.32643e-17
3828.98483 1.05357e-17
3830.44486 7.44507e-18
3831.91510 8.76877e-18
3833.38534 1.41552e-17
3834.85558 1.24848e-17
3836.32582 1.03278e-17
3837.79606 1.30548e-17
3839.26630 1.37535e-17
3840.73654 7.61597e-18
3842.20678 7.42154e-18
3843.67702 8.97728e-18
3845.14726 1.18855e-17
3846.61750 1.32779e-17
3848.08774 8.18206e-18
3849.55798 1.18393e-17
3851.02822 1.06957e-17
3852.49846 5.91994e-18
3853.96870 9.58286e-18
3855.43894 6.91623e-18
3856.90918 8.29052e-18
3858.37942 1.04763e-17
3859.84966 6.17710e-18
3861.31990 1.20827e-17
3862.79014 1.42108e-17
3864.26038 1.05837e-17
