# wavelength flux
3658.54602 3.21042e-17
3660.63349 3.06124e-17
3662.73129 3.52505e-17
3664.82909 1.37795e-17
3666.91656 2.26636e-17
3669.00403 5.64371e-17
3671.09150 3.51092e-17
3673.18930 2.07087e-17
3675.27677 2.54525e-17
3677.36423 2.12269e-17
3679.45170 2.18806e-17
3681.54950 2.68551e-17
3683.63697 2.54327e-17
3685.72444 3.14353e-17
3687.81191 3.81834e-17
3689.90971 1.85642e-17
3691.99718 9.34976e-18
3694.08465 2.90117e-17
3696.17211 1.55578e-17
3698.25958 3.48100e-17
3700.35738 4.20816e-17
3702.44485 2.07212e-17
3704.53232 2.22365e-17
3706.61979 3.23716e-17
3708.71759 1.74276e-17
3710.80506 1.21864e-17
3712.89253 2.56950e-17
3714.97999 1.39884e-17
3717.07780 2.04846e-17
3719.16526 2.81956e-17
3721.25273 2.18035e-17
3723.34020 1.58695e-17
3725.42767 3.09665e-17
3727.53580 2.07591e-17
3729.62327 1.80451e-17
3731.71074 3.24322e-17
3733.79821 2.50185e-17
3735.89601 2.11082e-17
3737.98348 1.90860e-17
3740.07095 2.94641e-17
3742.15841 3.16100e-17
3744.24588 1.92160e-17
3746.34368 3.45028e-17
3748.43115 1.86847e-17
3750.51862 2.35635e-17
3752.60609 2.33497e-17
3754.70389 2.59586e-17
3756.79136 2.36453e-17
3758.87883 3.38280e-17
3760.96629 3.07293e-17
3763.06410 2.85541e-17
3765.15156 2.48770e-17
3767.23903 2.28580e-17
3769.32650 2.01631e-17
3771.41397 2.34318e-17
3773.51177 2.30722e-17
3775.59924 2.45317e-17
3777.68671 3.41270e-17
3779.77417 3.28833e-17
3781.87198 2.87680e-17
3783.95944 2.65503e-17
3786.04691 2.52105e-17
3788.13438 2.84706e-17
3790.23218 3.51163e-17
3792.32998 3.13282e-17
3794.41745 3.36219e-17
3796.50492 2.67276e-17
3798.59239 2.54826e-17
3800.69019 3.05363e-17
3802.77766 2.73078e-17
3804.86513 2.88119e-17
3806.95259 3.18872e-17
3809.05040 3.24860e-17
3811.13786 2.80086e-17
3813.22533 2.91836e-17
3815.31280 3.00587e-17
3817.40027 3.35040e-17
3819.49807 2.82270e-17
3821.58554 2.76690e-17
