# wavelength flux
3474.99588 8.76615e-18
3476.46610 8.68412e-18
3477.93632 7.61856e-18
3479.40654 8.09791e-18
3480.87676 8.89179e-18
3482.34698 8.02658e-18
3483.81720 8.06214e-18
3485.28742 7.87332e-18
3486.75764 8.71732e-18
3488.22786 8.30252e-18
3489.69808 8.12437e-18
3491.16830 8.59425e-18
3492.63852 8.24782e-18
3494.10874 7.68859e-18
3495.57896 7.98140e-18
3497.04918 7.77865e-18
3498.51940 8.69262e-18
3499.98962 9.21398e-18
3501.45984 8.48725e-18
3502.93006 8.29919e-18
3504.40028 9.16903e-18
3505.87050 8.48590e-18
3507.34072 7.78227e-18
3508.81094 7.92337e-18
3510.28116 8.87108e-18
3511.75138 8.60100e-18
3513.22160 7.58405e-18
3514.69182 8.39975e-18
3516.16204 9.00406e-18
3517.63226 8.49303e-18
3519.10248 8.41810e-18
3520.57270 9.08380e-18
3522.04292 8.87152e-18
3523.51314 9.35405e-18
3524.98336 7.87021e-18
3526.45358 8.21508e-18
3527.92380 9.83720e-18
3529.39402 8.87494e-18
3530.86424 8.36865e-18
3532.33446 9.00903e-18
3533.80468 8.88682e-18
3535.27490 8.47763e-18
3536.74512 9.18447e-18
3538.20527 8.32606e-18
3539.67549 8.19476e-18
3541.14571 8.39424e-18
3542.61593 9.92094e-18
3544.08615 9.49799e-18
3545.55637 8.66432e-18
3547.02659 7.66620e-18
3548.49681 8.22561e-18
3549.96703 7.59501e-18
3551.43725 8.46852e-18
3552.90747 8.74065e-18
3554.37769 9.78770e-18
3555.84791 8.77052e-18
3557.31813 7.05693e-18
3558.78835 7.38645e-18
3560.25857 8.71630e-18
3561.72879 9.90765e-18
3563.19901 8.16644e-18
3564.66923 7.65481e-18
3566.13945 7.89535e-18
3567.60967 8.79870e-18
3569.07989 8.23332e-18
3570.55011 7.29119e-18
3572.02033 7.94298e-18
3573.49055 8.52568e-18
3574.96077 9.11780e-18
3576.43099 8.92963e-18
3577.90121 8.26279e-18
3579.37143 9.39107e-18
3580.84165 9.60400e-18
3582.31187 8.52204e-18
3583.78209 7.72030e-18
3585.25231 7.21388e-18
3586.72253 8.57165e-18
3588.19275 9.12128e-18
3589.66297 8.95466e-18
3591.13319 7.39213e-18
3592.60341 8.24708e-18
3594.07363 9.18856e-18
3595.54385 9.44691e-18
3597.01407 9.35315e-18
3598.48429 1.00823e-17
3599.95451 9.18607e-18
3601.42473 8.39335e-18
3602.88488 7.89835e-18
3604.36517 8.07735e-18
3605.82532 7.97102e-18
3607.29554 8.42860e-18
3608.76576 8.11292e-18
3610.23598 8.89270e-18
3611.70620 8.74879e-18
3613.17642 9.14031e-18
3614.64664 8.39250e-18
3616.11686 9.57717e-18
3617.58708 9.68827e-18
3619.05730 9.43102e-18
3620.52752 8.16055e-18
3621.99774 8.13657e-18
3623.46796 7.95261e-18
3624.93818 8.08942e-18
3626.40840 8.72153e-18
3627.87862 7.95228e-18
3629.34884 7.87163e-18
3630.81906 8.49913e-18
3632.28928 9.13215e-18
3633.75950 9.04479e-18
3635.22972 8.36170e-18
3636.69994 7.65063e-18
3638.17016 7.50243e-18
3639.64038 7.85301e-18
3641.11060 7.79736e-18
3642.58082 7.50858e-18
3644.05104 6.52218e-18
3645.52126 6.29328e-18
3646.99148 7.03428e-18
3648.46170 7.23674e-18
3649.93192 7.81337e-18
3651.40214 7.37272e-18
3652.87236 6.86913e-18
3654.34258 7.39050e-18
3655.81280 6.72151e-18
3657.28302 6.11673e-18
3658.75324 6.48527e-18
3660.22346 6.98552e-18
3661.69368 6.00706e-18
3663.16390 7.26752e-18
3664.63412 6.53733e-18
3666.10434 6.72958e-18
3667.57456 7.23503e-18
3669.04478 5.92187e-18
3670.51500 6.29416e-18
3671.97515 6.97420e-18
3673.44537 6.09127e-18
3674.91559 6.29142e-18
3676.38581 6.14705e-18
3677.85603 5.87142e-18
3679.32625 5.06606e-18
3680.79647 5.39018e-18
3682.26669 6.25707e-18
3683.73691 6.40442e-18
3685.20713 6.20240e-18
3686.67735 6.35873e-18
3688.14757 6.03934e-18
3689.61779 5.81623e-18
3691.08801 5.48094e-18
3692.55823 5.93715e-18
3694.02845 5.90098e-18
3695.49867 5.37431e-18
3696.96889 5.14887e-18
3698.43911 4.72805e-18
3699.90933 5.69199e-18
3701.37955 5.50058e-18
3702.84977 5.18112e-18
3704.31999 5.02363e-18
3705.79021 4.55544e-18
3707.26043 5.22935e-18
3708.73065 5.14719e-18
3710.20087 4.94975e-18
3711.67109 5.09626e-18
3713.14131 5.15954e-18
3714.61153 4.69578e-18
3716.08175 4.62811e-18
3717.55197 5.34721e-18
3719.02219 5.33313e-18
3720.49241 4.65820e-18
3721.96263 5.08317e-18
3723.43285 5.53935e-18
3724.90307 5.15121e-18
3726.37329 5.13863e-18
3727.84351 5.99779e-18
3729.31373 5.45274e-18
3730.78395 5.93820e-18
3732.25417 5.38043e-18
3733.72439 5.06504e-18
3735.19461 5.06756e-18
3736.66483 5.07007e-18
3738.13505 5.09837e-18
3739.59520 5.12667e-18
3741.06542 5.15497e-18
3742.53564 5.18326e-18
3744.00586 5.21155e-18
3745.47608 5.23984e-18
3746.94630 5.26813e-18
3748.41652 5.29642e-18
3749.88674 5.32470e-18
3751.35696 5.35299e-18
3752.82718 5.38127e-18
3754.29740 5.40956e-18
3755.76762 5.43784e-18
3757.23784 5.46612e-18
3758.70806 5.49439e-18
3760.17828 5.52267e-18
3761.64850 5.55094e-18
3763.11872 5.57922e-18
3764.58894 5.60749e-18
3766.05916 5.63577e-18
3767.52938 5.66403e-18
3768.99960 5.69230e-18
