# wavelength flux
3491.65808 4.07135e-18
3493.65724 2.61094e-18
3495.64634 -1.25470e-18
3497.64550 5.26506e-18
3499.63461 -8.62932e-20
3501.63376 -1.27461e-18
3503.63291 -1.95454e-18
3505.62202 9.56336e-18
3507.62118 4.93460e-19
3509.62033 -4.30293e-18
3511.60944 -1.11797e-18
3513.60859 4.20223e-18
3515.59770 2.00611e-18
3517.59685 -1.04263e-18
3519.59601 7.29876e-18
3521.58512 1.67955e-18
3523.58427 5.81571e-18
3525.57338 1.04425e-17
3527.57253 1.40111e-17
3529.57169 4.72612e-18
3531.56079 9.93886e-19
3533.55995 -3.47409e-18
3535.54906 1.23121e-18
3537.54821 5.83857e-18
3539.54736 2.89635e-18
3541.53647 4.70445e-18
3543.53563 9.20614e-18
3545.52473 1.05801e-17
3547.52389 2.07607e-18
3549.52304 4.47326e-18
3551.51215 -1.60703e-18
3553.51130 -8.81601e-19
3555.51046 4.26238e-19
3557.49957 3.01294e-18
3559.49872 1.20262e-18
3561.48783 4.94823e-18
3563.48698 1.30732e-17
3565.48614 2.76406e-18
3567.47524 6.92525e-18
3569.47440 1.09457e-17
3571.46351 2.85653e-18
3573.46266 4.09090e-18
3575.46181 1.73021e-18
3577.45092 5.06071e-18
3579.45008 4.35107e-18
3581.43918 8.33271e-18
3583.43834 7.75458e-18
3585.43749 3.90905e-18
3587.42660 2.73817e-18
3589.42575 5.13819e-18
3591.42491 -1.23557e-18
3593.41402 2.23767e-18
3595.41317 4.52731e-18
3597.40228 7.22374e-19
3599.40143 6.99647e-18
3601.40059 5.14254e-18
3603.38969 3.81505e-18
3605.38885 1.00889e-17
3607.37796 6.39933e-18
3609.37711 4.15943e-18
3611.37626 -4.59287e-19
3613.36537 -3.49285e-18
3615.36453 1.11909e-18
3617.35363 2.07003e-18
3619.35279 6.54821e-18
3621.35194 -6.00052e-19
3623.34105 1.37564e-18
3625.34020 1.11289e-17
3627.33936 9.02624e-18
3629.32847 5.86134e-18
3631.32762 5.58948e-19
3633.31673 1.31529e-18
3635.31588 7.72410e-18
3637.31504 6.35237e-18
3639.30414 6.28793e-18
3641.30330 8.96221e-18
3643.29241 1.07079e-17
3645.29156 3.51432e-18
3647.29071 3.72502e-18
3649.27982 -3.94364e-18
3651.27898 4.82496e-18
3653.26808 9.79217e-18
3655.26724 8.59502e-18
3657.26639 8.00119e-18
3659.25550 2.31206e-18
3661.25465 -2.25233e-18
3663.24376 -6.28949e-19
3665.24292 5.39432e-18
3667.24207 4.27952e-18
3669.23118 5.56027e-18
3671.23033 3.01500e-18
3673.22949 -3.57514e-18
3675.21859 1.68268e-19
3677.21775 2.28972e-19
3679.20686 2.74137e-18
3681.20601 3.67268e-18
3683.20516 -1.48379e-18
3685.19427 2.21774e-18
3687.19343 2.05583e-18
3689.18253 1.65982e-18
3691.18169 5.38735e-18
3693.18084 1.31785e-18
3695.16995 -6.61061e-19
3697.16910 -3.89528e-19
3699.15821 6.44485e-18
3701.15737 6.78433e-18
3703.15652 7.44479e-18
3705.14563 2.73457e-18
3707.14478 2.31655e-19
3709.14394 7.38990e-18
3711.13304 -6.63792e-20
3713.13220 -3.03736e-18
3715.12131 3.71583e-18
3717.12046 8.98799e-18
3719.11961 6.04255e-18
3721.10872 1.59533e-18
3723.10788 -1.33515e-18
3725.09698 -1.14415e-18
3727.09614 -9.53175e-19
3729.09529 -1.01745e-18
3731.08440 -1.08171e-18
3733.08355 -1.14596e-18
3735.07266 -1.21021e-18
3737.07182 -1.27446e-18
3739.07097 -1.33870e-18
3741.06008 -1.40293e-18
