# wavelength flux
3502.20156 1.37954e-17
3506.44962 1.53485e-17
3510.68766 1.41109e-17
3514.93571 1.44597e-17
3519.18377 1.56936e-17
3523.43183 1.46471e-17
3527.66986 1.41564e-17
3531.91792 1.49483e-17
3536.16597 1.40360e-17
3540.40401 1.46243e-17
3544.65207 1.41289e-17
3548.90012 1.37289e-17
3553.14818 1.38334e-17
3557.38622 1.36205e-17
3561.63427 1.38686e-17
3565.88233 1.37347e-17
3570.12036 1.37611e-17
3574.36842 1.37117e-17
3578.61648 1.37047e-17
3582.86453 1.31431e-17
3587.10257 1.29392e-17
3591.35063 1.24896e-17
3595.59868 1.33614e-17
3599.83672 1.21491e-17
3604.08478 1.21525e-17
3608.33283 1.26580e-17
3612.58089 1.25317e-17
3616.81892 1.24135e-17
3621.06698 1.23677e-17
3625.31504 1.24130e-17
3629.56309 1.24916e-17
3633.80113 1.27131e-17
3638.04919 1.26852e-17
3642.29724 1.27738e-17
3646.53528 1.29935e-17
3650.78333 1.26334e-17
3655.03139 1.25935e-17
3659.27945 1.17227e-17
3663.51748 1.20086e-17
3667.76554 1.17061e-17
3672.01360 1.15331e-17
3676.25163 1.14927e-17
3680.49969 1.11007e-17
3684.74774 1.05332e-17
3688.99580 1.04823e-17
3693.23384 9.78557e-18
3697.48189 9.47349e-18
3701.72995 8.94105e-18
3705.97800 8.49941e-18
3710.21604 8.06100e-18
3714.46410 7.70401e-18
3718.71215 7.61275e-18
3722.95019 7.52150e-18
3727.19825 7.43028e-18
3731.44630 7.33908e-18
3735.69436 7.24790e-18
3739.93240 7.15674e-18
3744.18045 7.06560e-18
3748.42851 6.97449e-18
3752.66655 6.88340e-18
3756.91460 6.79233e-18
3761.16266 6.54302e-18
3765.41071 6.47129e-18
3769.64875 6.85657e-18
3773.89681 6.86147e-18
3778.14486 7.09711e-18
3782.39292 7.42090e-18
3786.63096 7.62992e-18
3790.87901 8.05529e-18
3795.12707 7.85318e-18
3799.36510 7.79899e-18
3803.61316 8.58868e-18
3807.86122 9.17955e-18
3812.10927 9.42036e-18
3816.34731 9.68826e-18
3820.59537 1.05175e-17
3824.84342 1.08861e-17
3829.08146 1.11006e-17
3833.32951 1.12895e-17
3837.57757 1.16227e-17
3841.82563 1.22665e-17
3846.06366 1.22021e-17
3850.31172 1.24818e-17
3854.55978 1.29897e-17
3858.80783 1.32207e-17
3863.04587 1.37926e-17
3867.29392 1.42780e-17
3871.54198 1.46590e-17
3875.78002 1.52539e-17
3880.02807 1.54522e-17
3884.27613 1.56708e-17
3888.52419 1.59224e-17
3892.76222 1.64177e-17
3897.01028 1.68420e-17
3901.25833 1.68163e-17
3905.49637 1.71106e-17
3909.74443 1.75366e-17
3913.99248 1.77805e-17
3918.24054 1.79259e-17
3922.47858 1.78661e-17
3926.72663 1.77642e-17
3930.97469 1.79033e-17
3935.21272 1.77268e-17
3939.46078 1.78134e-17
3943.70884 1.80209e-17
3947.95689 1.87966e-17
3952.19493 1.93048e-17
3956.44299 1.99245e-17
3960.69104 2.03050e-17
3964.93910 2.06679e-17
3969.17714 2.10274e-17
3973.42519 2.06105e-17
3977.67325 2.04645e-17
3981.91128 2.05842e-17
3986.15934 2.08342e-17
3990.40740 2.08059e-17
3994.65545 2.07863e-17
3998.89349 2.08536e-17
4003.14155 2.04567e-17
4007.38960 2.02212e-17
4011.62764 2.01098e-17
4015.87569 1.97452e-17
4020.12375 1.94598e-17
4024.37181 1.93955e-17
4028.60984 1.91399e-17
4032.85790 1.88949e-17
4037.10595 1.88374e-17
4041.35401 1.84676e-17
4045.59205 1.81595e-17
4049.84010 1.81852e-17
4054.08816 1.79706e-17
4058.32620 1.75287e-17
4062.57425 1.72635e-17
4066.82231 1.71477e-17
4071.07037 1.67810e-17
4075.30840 1.65852e-17
4079.55646 1.65396e-17
4083.80451 1.62143e-17
4088.04255 1.55941e-17
4092.29061 1.52298e-17
4096.53866 1.49377e-17
4100.78672 1.47314e-17
4105.02476 1.48839e-17
4109.27281 1.48056e-17
4113.52087 1.46030e-17
4117.76892 1.43398e-17
4122.00696 1.41925e-17
4126.25502 1.37312e-17
4130.50307 1.34507e-17
4134.74111 1.34507e-17
4138.98917 1.33920e-17
4143.23722 1.33425e-17
4147.48528 1.32443e-17
4151.72332 1.31058e-17
4155.97137 1.26502e-17
4160.21943 1.25182e-17
4164.45746 1.26592e-17
4168.70552 1.27197e-17
4172.95358 1.26594e-17
4177.20163 1.27273e-17
4181.43967 1.28952e-17
4185.68772 1.29781e-17
4189.93578 1.28662e-17
4194.18384 1.29014e-17
4198.42187 1.29366e-17
4202.66993 1.30538e-17
4206.91799 1.31456e-17
4211.15602 1.33443e-17
4215.40408 1.33960e-17
4219.65213 1.35252e-17
4223.90019 1.35711e-17
4228.13823 1.33516e-17
4232.38628 1.31914e-17
4236.63434 1.34225e-17
4240.87238 1.35982e-17
4245.12043 1.33860e-17
4249.36849 1.34727e-17
4253.61654 1.36534e-17
4257.85458 1.37825e-17
4262.10264 1.39085e-17
4266.35069 1.39705e-17
4270.58873 1.38804e-17
4274.83679 1.39586e-17
4279.08484 1.41181e-17
4283.33290 1.40187e-17
4287.57094 1.39145e-17
4291.81899 1.40486e-17
4296.06705 1.39939e-17
4300.31510 1.39935e-17
4304.55314 1.39675e-17
4308.80120 1.35642e-17
4313.04925 1.34857e-17
4317.28729 1.34078e-17
4321.53535 1.34081e-17
4325.78340 1.32654e-17
4330.03146 1.30810e-17
4334.26950 1.30096e-17
4338.51755 1.28751e-17
4342.76561 1.28235e-17
4347.00364 1.25635e-17
4351.25170 1.22598e-17
4355.49976 1.22055e-17
4359.74781 1.21512e-17
4363.98585 1.20969e-17
4368.23391 1.20427e-17
4372.48196 1.19884e-17
4376.73002 1.19341e-17
4380.96805 1.18799e-17
4385.21611 1.18256e-17
4389.46417 1.17714e-17
4393.70220 1.17172e-17
4397.95026 1.20465e-17
4402.19832 1.24502e-17
4406.44637 1.26148e-17
4410.68441 1.26606e-17
4414.93246 1.28602e-17
4419.18052 1.29671e-17
4423.41856 1.31066e-17
4427.66661 1.32116e-17
4431.91467 1.33203e-17
4436.16273 1.33182e-17
4440.40076 1.34773e-17
4444.64882 1.37416e-17
4448.89687 1.38160e-17
4453.13491 1.41694e-17
4457.38297 1.44189e-17
4461.63102 1.46687e-17
4465.87908 1.49328e-17
4470.11712 1.50579e-17
4474.36517 1.51257e-17
4478.61323 1.54876e-17
4482.86128 1.56824e-17
4487.09932 1.59472e-17
4491.34738 1.59556e-17
4495.59543 1.59732e-17
4499.83347 1.61718e-17
4504.08153 1.62838e-17
4508.32958 1.64504e-17
4512.57764 1.67154e-17
4516.81567 1.69424e-17
4521.06373 1.71669e-17
4525.31179 1.72789e-17
4529.54982 1.72558e-17
4533.79788 1.74568e-17
4538.04594 1.76566e-17
4542.29399 1.76809e-17
4546.53203 1.78376e-17
4550.78008 1.81432e-17
4555.02814 1.83725e-17
4559.27620 1.81252e-17
4563.51423 1.80171e-17
4567.76229 1.80390e-17
4572.01035 1.81117e-17
4576.24838 1.81626e-17
4580.49644 1.79653e-17
4584.74449 1.78293e-17
4588.99255 1.77040e-17
4593.23059 1.76885e-17
4597.47864 1.73596e-17
4601.72670 1.72115e-17
4605.96474 1.69407e-17
4610.21279 1.66544e-17
4614.46085 1.64069e-17
4618.70890 1.61643e-17
