# wavelength flux
3474.10410 1.52040e-17
3475.57140 1.31187e-17
3477.04875 1.25527e-17
3478.51605 2.11794e-17
3479.98335 1.94180e-17
3481.45065 1.41540e-17
3482.92800 1.18392e-17
3484.39530 1.06747e-17
3485.86260 1.71356e-17
3487.32990 2.32940e-17
3488.80725 2.60771e-17
3490.27455 1.55934e-17
3491.74185 1.23326e-17
3493.21920 1.71789e-17
3494.68650 1.40336e-17
3496.15380 1.31738e-17
3497.62110 7.81427e-18
3499.09845 1.09177e-17
3500.56575 2.64204e-17
3502.03305 2.76982e-17
3503.50035 1.29801e-17
3504.97770 -1.76778e-18
3506.44500 -3.07110e-18
3507.91230 3.37858e-18
3509.38965 1.16143e-17
3510.85695 1.57369e-17
3512.32425 1.30496e-17
3513.79155 1.32248e-17
3515.26890 1.54654e-17
3516.73620 9.96662e-18
3518.20350 1.16206e-17
3519.67080 1.44546e-17
3521.14815 1.70744e-17
3522.61545 1.93548e-17
3524.08275 1.62412e-17
3525.56010 1.02516e-17
3527.02740 9.36228e-18
3528.49470 1.45585e-17
3529.96200 1.57431e-17
3531.43935 1.56451e-17
3532.90665 2.08016e-17
3534.37395 1.65337e-17
3535.84125 6.99346e-18
3537.31860 7.83429e-18
3538.78590 1.07034e-17
3540.25320 7.81536e-18
3541.73055 1.08418e-17
3543.19785 1.25372e-17
3544.66515 7.61567e-18
3546.13245 1.47617e-18
3547.60980 5.97850e-18
3549.07710 6.72212e-18
3550.54440 5.60025e-18
3552.01170 1.07522e-17
3553.48905 1.51622e-17
3554.95635 8.90194e-18
3556.42365 1.02317e-17
3557.90100 7.05248e-18
3559.36830 5.23775e-18
3560.83560 1.06413e-17
3562.30290 1.37472e-17
3563.78025 1.48740e-17
3565.24755 1.48497e-17
3566.71485 7.52733e-18
3568.18215 3.21040e-18
3569.65950 7.37520e-18
3571.12680 1.17651e-17
3572.59410 7.87597e-18
3574.07145 9.81831e-18
3575.53875 6.21969e-18
