# wavelength flux
3359.99730 9.06055e-18
3363.02730 1.09835e-17
3366.06740 9.47133e-18
3369.09740 7.81238e-18
3372.12740 9.02775e-18
3375.15740 1.01407e-17
3378.19750 8.80968e-18
3381.22750 1.06418e-17
3384.25750 9.73511e-18
3387.28750 8.83964e-18
3390.31750 9.56008e-18
3393.35760 8.38156e-18
3396.38760 9.07052e-18
3399.41760 1.05979e-17
3402.44760 1.02762e-17
3405.48770 1.01599e-17
3408.51770 8.96722e-18
3411.54770 7.61642e-18
3414.57770 9.48253e-18
3417.61780 9.45961e-18
3420.64780 9.58917e-18
3423.67780 9.52114e-18
3426.70780 8.63556e-18
3429.73780 9.18364e-18
3432.77790 9.35839e-18
3435.80790 9.60469e-18
3438.83790 9.09766e-18
3441.86790 1.02195e-17
3444.90800 1.03273e-17
3447.93800 9.58134e-18
3450.96800 9.03165e-18
3453.99800 9.91016e-18
3457.02800 1.02163e-17
3460.06810 9.46295e-18
3463.09810 1.02223e-17
3466.12810 1.01420e-17
3469.15810 9.64572e-18
3472.18810 9.21555e-18
3475.22820 9.53285e-18
3478.25820 9.89129e-18
3481.28820 9.30387e-18
3484.31820 9.15008e-18
3487.35830 1.08038e-17
3490.38830 1.02278e-17
3493.41830 8.65256e-18
3496.44830 9.19569e-18
3499.47830 1.03883e-17
3502.51840 8.58879e-18
3505.54840 8.72880e-18
3508.57840 8.58380e-18
3511.60840 9.40817e-18
3514.64850 9.24365e-18
3517.67850 9.59120e-18
3520.70850 1.03577e-17
3523.73850 9.64654e-18
3526.77860 7.98038e-18
3529.80860 9.95201e-18
3532.83860 9.65159e-18
3535.86860 1.05751e-17
3538.89860 9.74023e-18
3541.93870 1.01153e-17
3544.96870 9.92796e-18
3547.99870 8.96183e-18
3551.02870 8.47701e-18
3554.06880 9.33511e-18
3557.09880 9.98806e-18
3560.12880 1.07505e-17
3563.15880 1.07193e-17
3566.18880 9.23024e-18
3569.22890 9.85205e-18
3572.25890 1.01024e-17
3575.28890 9.41556e-18
3578.31890 9.42412e-18
3581.35900 1.01871e-17
3584.38900 9.34710e-18
3587.41900 9.80805e-18
3590.44900 1.00313e-17
3593.47900 8.72119e-18
3596.51910 9.53739e-18
3599.54910 8.85083e-18
3602.57910 9.31661e-18
3605.60910 1.04186e-17
3608.64920 9.10845e-18
3611.67920 9.98717e-18
3614.70920 1.01108e-17
3617.73920 1.06731e-17
3620.76920 9.68240e-18
3623.80930 9.18844e-18
3626.83930 1.04557e-17
3629.86930 1.05469e-17
3632.89930 8.75846e-18
3635.93940 9.21182e-18
3638.96940 9.26607e-18
3641.99940 1.07241e-17
3645.02940 1.15177e-17
3648.05940 9.77830e-18
3651.09950 1.02479e-17
3654.12950 1.07637e-17
3657.15950 1.02753e-17
3660.18950 1.06937e-17
3663.22960 9.25563e-18
3666.25960 9.96667e-18
3669.28960 1.00791e-17
3672.31960 1.06498e-17
3675.34960 1.02034e-17
3678.38970 1.10756e-17
3681.41970 1.02490e-17
3684.44970 9.39709e-18
3687.47970 8.31484e-18
3690.51980 9.68106e-18
3693.54980 9.10182e-18
3696.57980 8.70736e-18
3699.60980 8.61521e-18
3702.63980 9.16586e-18
3705.67990 7.42800e-18
3708.70990 8.27758e-18
3711.73990 8.65873e-18
3714.76990 9.74574e-18
3717.81000 9.22539e-18
3720.84000 8.43589e-18
3723.87000 9.51311e-18
3726.90000 1.00550e-17
3729.93000 9.10977e-18
3732.97010 8.75815e-18
3736.00010 9.22098e-18
3739.03010 9.19355e-18
3742.06010 9.21706e-18
3745.10020 9.16892e-18
3748.13020 9.20130e-18
3751.16020 9.23367e-18
3754.19020 9.26603e-18
3757.22020 9.29839e-18
3760.26030 9.33074e-18
3763.29030 9.36308e-18
3766.32030 9.39542e-18
3769.35030 9.42775e-18
3772.39040 9.46007e-18
3775.42040 9.49239e-18
3778.45040 9.52470e-18
3781.48040 9.55701e-18
3784.51040 9.58931e-18
3787.55050 9.42978e-18
3790.58050 9.54053e-18
3793.61050 1.03599e-17
3796.64050 9.03688e-18
3799.68060 8.54598e-18
3802.71060 8.61467e-18
3805.74060 8.63439e-18
3808.77060 9.69086e-18
3811.80060 9.83186e-18
3814.84070 9.39352e-18
3817.87070 1.05358e-17
3820.90070 1.03772e-17
3823.93070 9.53508e-18
3826.97080 9.42412e-18
3830.00080 9.18738e-18
3833.03080 9.40141e-18
3836.06080 9.94731e-18
3839.09080 9.94156e-18
3842.13090 9.45902e-18
3845.16090 9.38299e-18
3848.19090 9.56480e-18
3851.22090 9.58954e-18
3854.26100 1.01541e-17
3857.29100 1.07354e-17
3860.32100 9.94359e-18
3863.35100 9.74314e-18
3866.38100 9.34476e-18
3869.42110 9.50347e-18
3872.45110 1.08568e-17
3875.48110 1.09874e-17
3878.51110 1.03608e-17
3881.55120 9.30986e-18
3884.58120 1.00953e-17
3887.61120 9.06660e-18
3890.64120 9.81085e-18
3893.67120 1.01068e-17
3896.71130 9.06903e-18
3899.74130 1.03208e-17
3902.77130 1.01157e-17
3905.80130 9.91769e-18
3908.84140 1.04012e-17
3911.87140 1.03191e-17
3914.90140 9.23013e-18
3917.93140 9.65729e-18
3920.96140 1.01810e-17
3924.00150 1.15692e-17
3927.03150 1.39766e-17
3930.06150 1.44440e-17
3933.09150 1.15584e-17
3936.13160 9.02380e-18
