# wavelength flux
3476.99970 1.16262e-17
3478.46940 9.70719e-18
3479.93910 4.13262e-18
3481.40880 1.85326e-17
3482.87850 2.23614e-17
3484.34820 1.02086e-17
3485.81790 1.55831e-17
3487.28760 1.33219e-17
3488.75730 2.09569e-17
3490.22700 2.08603e-17
3491.69670 1.26072e-17
3493.16640 9.74759e-18
3494.63610 1.52976e-17
3496.10580 1.97712e-17
3497.57550 1.76771e-17
3499.04520 1.37045e-17
3500.52525 1.56239e-17
3501.99495 1.26897e-17
3503.46465 1.23794e-17
3504.93435 8.35261e-18
3506.40405 1.61842e-17
3507.87375 1.88066e-17
3509.34345 1.53275e-17
3510.81315 1.23857e-17
3512.28285 1.56655e-17
3513.75255 1.90534e-17
3515.22225 1.71444e-17
3516.69195 9.84691e-18
3518.16165 7.20928e-18
3519.63135 1.09040e-17
3521.10105 1.24098e-17
3522.57075 1.56468e-17
3524.04045 1.14675e-17
3525.51015 7.28268e-18
3526.97985 2.04971e-17
3528.44955 1.56491e-17
3529.91925 1.92324e-17
3531.38895 1.38268e-17
3532.85865 1.50411e-17
3534.32835 1.59887e-17
3535.79805 1.17496e-17
3537.26775 2.05411e-17
3538.73745 2.49742e-17
3540.20715 2.03779e-17
3541.67685 1.54355e-17
3543.14655 1.76414e-17
3544.61625 1.98010e-17
3546.08595 2.16900e-17
3547.55565 1.35747e-17
3549.02535 1.56257e-17
3550.49505 1.56402e-17
3551.97510 2.48477e-17
3553.44480 2.16409e-17
3554.91450 1.90192e-17
3556.38420 1.71403e-17
3557.85390 1.57197e-17
3559.32360 1.78142e-17
3560.79330 1.57025e-17
3562.26300 1.41046e-17
3563.73270 1.54094e-17
3565.20240 1.54815e-17
3566.67210 1.49066e-17
3568.14180 1.83091e-17
3569.61150 2.04403e-17
3571.08120 1.42777e-17
3572.55090 1.19167e-17
3574.02060 1.64556e-17
3575.49030 1.58338e-17
3576.96000 1.95482e-17
3578.42970 1.79786e-17
3579.89940 1.11653e-17
3581.36910 1.32061e-17
3582.83880 1.61868e-17
3584.30850 1.71846e-17
3585.77820 1.60565e-17
3587.24790 9.82994e-18
3588.71760 1.20451e-17
3590.18730 1.72551e-17
3591.65700 1.63948e-17
3593.12670 1.34678e-17
3594.59640 1.35591e-17
3596.06610 1.62558e-17
3597.53580 1.99406e-17
3599.00550 1.89254e-17
3600.47520 2.00308e-17
3601.95525 1.65685e-17
3603.42495 1.52955e-17
3604.89465 1.60632e-17
3606.36435 1.81764e-17
3607.83405 1.61107e-17
3609.30375 1.20991e-17
3610.77345 1.90353e-17
3612.24315 1.58790e-17
3613.71285 1.44616e-17
3615.18255 1.33632e-17
3616.65225 1.00693e-17
3618.12195 1.74538e-17
3619.59165 1.76139e-17
3621.06135 1.88807e-17
3622.53105 2.22996e-17
3624.00075 1.50838e-17
3625.47045 1.36316e-17
3626.94015 1.74046e-17
3628.40985 1.72721e-17
3629.87955 1.98801e-17
3631.34925 1.86456e-17
3632.81895 1.63304e-17
3634.28865 1.78443e-17
3635.75835 1.95480e-17
3637.22805 1.50998e-17
3638.69775 1.15853e-17
3640.16745 1.21080e-17
3641.63715 1.10402e-17
3643.10685 1.88279e-17
3644.57655 1.67975e-17
3646.04625 1.78340e-17
3647.51595 1.53133e-17
3648.98565 9.75933e-18
3650.45535 1.65453e-17
3651.92505 2.05247e-17
3653.39475 1.78295e-17
3654.87480 1.63742e-17
3656.34450 1.29922e-17
3657.81420 1.26704e-17
3659.28390 1.71840e-17
3660.75360 1.55403e-17
3662.22330 1.70462e-17
3663.69300 1.59607e-17
3665.16270 1.38902e-17
3666.63240 1.66605e-17
3668.10210 1.77136e-17
3669.57180 1.57078e-17
3671.04150 1.40774e-17
3672.51120 1.04216e-17
3673.98090 1.35530e-17
3675.45060 1.50691e-17
3676.92030 1.68221e-17
3678.39000 1.60088e-17
3679.85970 9.14004e-18
3681.32940 1.51380e-17
3682.79910 1.47282e-17
3684.26880 1.49099e-17
3685.73850 1.72626e-17
3687.20820 1.86051e-17
3688.67790 1.62677e-17
3690.14760 1.80953e-17
3691.61730 1.51823e-17
3693.08700 1.19525e-17
3694.55670 1.49352e-17
3696.02640 1.41349e-17
3697.49610 9.94935e-18
3698.96580 1.28664e-17
3700.43550 1.38576e-17
3701.90520 1.69327e-17
3703.38525 1.55367e-17
3704.85495 1.66400e-17
3706.32465 1.21385e-17
3707.79435 1.45355e-17
3709.26405 1.48225e-17
3710.73375 1.37315e-17
3712.20345 1.86048e-17
3713.67315 1.52069e-17
3715.14285 1.23276e-17
3716.61255 1.43589e-17
3718.08225 1.78319e-17
3719.55195 1.86942e-17
3721.02165 1.38202e-17
3722.49135 1.36550e-17
3723.96105 1.79735e-17
3725.43075 1.49246e-17
3726.90045 1.40768e-17
3728.37015 1.22473e-17
3729.83985 1.71131e-17
3731.30955 1.59796e-17
3732.77925 1.37601e-17
3734.24895 1.55511e-17
3735.71865 1.67725e-17
3737.18835 1.88995e-17
3738.65805 1.32380e-17
3740.12775 1.34460e-17
3741.59745 1.43861e-17
3743.06715 1.26024e-17
3744.53685 1.32799e-17
3746.00655 1.53161e-17
3747.47625 1.36901e-17
3748.94595 1.25285e-17
3750.41565 1.15414e-17
3751.88535 1.35427e-17
3753.36540 1.35492e-17
3754.83510 1.32246e-17
3756.30480 1.28634e-17
3757.77450 1.12509e-17
3759.24420 1.08859e-17
3760.71390 1.51239e-17
3762.18360 1.56730e-17
3763.65330 9.82243e-18
3765.12300 1.43183e-17
3766.59270 1.67297e-17
3768.06240 1.46363e-17
3769.53210 1.50669e-17
3771.00180 1.46429e-17
3772.47150 1.41963e-17
3773.94120 1.49880e-17
3775.41090 1.59630e-17
3776.88060 1.55599e-17
3778.35030 1.65857e-17
3779.82000 1.35977e-17
3781.28970 1.11014e-17
3782.75940 1.23997e-17
3784.22910 1.42507e-17
3785.69880 1.45749e-17
3787.16850 1.78422e-17
3788.63820 1.52383e-17
3790.10790 1.47985e-17
3791.57760 1.24840e-17
3793.04730 1.25031e-17
3794.51700 1.15985e-17
3795.98670 1.35643e-17
3797.45640 1.51890e-17
3798.92610 1.34646e-17
3800.39580 1.32956e-17
3801.86550 1.42883e-17
3803.33520 1.56791e-17
3804.81525 1.22958e-17
3806.28495 1.65962e-17
3807.75465 1.41931e-17
3809.22435 1.57673e-17
3810.69405 1.15583e-17
3812.16375 1.37419e-17
3813.63345 1.67208e-17
3815.10315 1.18771e-17
3816.57285 1.02525e-17
3818.04255 1.32421e-17
3819.51225 1.38839e-17
3820.98195 1.11659e-17
3822.45165 1.24547e-17
3823.92135 1.45369e-17
3825.39105 1.03826e-17
3826.86075 1.20001e-17
3828.33045 1.31745e-17
3829.80015 1.31354e-17
3831.26985 1.46340e-17
3832.73955 1.17102e-17
3834.20925 1.07209e-17
3835.67895 1.44465e-17
3837.14865 1.20169e-17
3838.61835 1.25351e-17
3840.08805 1.27558e-17
3841.55775 1.11398e-17
3843.02745 1.42774e-17
3844.49715 1.30244e-17
3845.96685 9.91404e-18
3847.43655 1.08094e-17
3848.90625 1.37215e-17
3850.37595 1.46262e-17
3851.84565 1.40519e-17
3853.31535 1.41633e-17
3854.79540 1.68221e-17
3856.26510 1.41406e-17
3857.73480 1.15354e-17
3859.20450 1.38870e-17
3860.67420 1.36558e-17
3862.14390 1.37107e-17
3863.61360 1.48620e-17
3865.08330 1.48137e-17
3866.55300 1.75065e-17
3868.02270 1.74640e-17
3869.49240 1.53741e-17
3870.96210 1.23296e-17
3872.43180 1.55878e-17
3873.90150 1.35081e-17
3875.37120 1.38529e-17
3876.84090 1.75237e-17
3878.31060 1.57900e-17
3879.78030 1.58026e-17
3881.25000 1.59374e-17
3882.71970 1.53197e-17
3884.18940 1.58272e-17
3885.65910 1.46654e-17
3887.12880 1.28790e-17
3888.59850 1.37426e-17
3890.06820 1.39952e-17
3891.53790 1.66499e-17
3893.00760 1.32034e-17
3894.47730 1.31332e-17
3895.94700 1.38189e-17
3897.41670 1.78805e-17
3898.88640 1.58062e-17
3900.35610 1.46887e-17
3901.82580 1.54653e-17
3903.29550 1.61017e-17
3904.76520 1.70316e-17
3906.24525 1.36626e-17
3907.71495 1.36548e-17
3909.18465 1.75962e-17
3910.65435 1.71403e-17
3912.12405 1.55795e-17
3913.59375 1.34214e-17
3915.06345 1.76502e-17
3916.53315 1.41956e-17
3918.00285 1.51979e-17
3919.47255 1.59853e-17
3920.94225 1.56995e-17
3922.41195 1.49552e-17
3923.88165 1.41336e-17
3925.35135 1.65623e-17
3926.82105 1.80398e-17
