# wavelength flux
3468.00384 8.47573e-18
3469.46544 8.63225e-18
3470.93712 8.00875e-18
3472.40880 5.57725e-18
3473.88048 1.21409e-17
3475.35216 1.61953e-17
3476.82384 8.79973e-18
3478.28544 7.79247e-18
3479.75712 4.06695e-18
3481.22880 8.46583e-18
3482.70048 1.38701e-17
3484.17216 -8.25951e-19
3485.64384 5.90498e-18
3487.10544 1.41520e-17
3488.57712 -4.91162e-19
3490.04880 -1.90246e-19
3491.52048 8.90189e-18
3492.99216 2.39267e-17
3494.46384 2.27093e-17
3495.92544 3.96327e-18
3497.39712 8.87316e-18
3498.86880 1.41135e-17
3500.34048 1.18835e-17
3501.81216 1.21343e-17
3503.28384 9.55808e-18
3504.74544 9.76838e-18
3506.21712 8.92540e-18
3507.68880 5.49928e-18
3509.16048 3.63060e-18
3510.63216 1.20951e-17
3512.10384 9.69389e-18
3513.56544 -8.42531e-19
3515.03712 8.09060e-19
3516.50880 2.64581e-18
3517.98048 -6.84409e-19
3519.45216 3.62498e-18
3520.92384 9.70186e-18
3522.38544 1.88256e-17
3523.85712 1.31594e-17
3525.32880 1.73397e-17
3526.80048 1.24973e-17
3528.27216 5.31121e-18
3529.74384 1.01606e-20
3531.20544 2.46158e-18
3532.67712 7.86581e-18
3534.14880 1.23565e-17
3535.62048 1.19918e-17
3537.09216 1.01733e-17
3538.56384 5.62236e-18
3540.02544 6.90795e-18
3541.49712 3.12691e-18
3542.96880 7.89209e-18
3544.44048 1.13602e-17
3545.91216 1.88981e-17
3547.38384 7.47889e-18
3548.84544 2.03228e-18
3550.31712 -3.99823e-18
3551.78880 1.65667e-18
3553.26048 2.51079e-18
3554.73216 6.94077e-18
3556.20384 1.04520e-17
3557.66544 1.75362e-17
3559.13712 1.66938e-17
3560.60880 2.16482e-17
3562.08048 5.44654e-18
3563.55216 -4.23649e-18
3565.02384 3.21494e-18
3566.48544 6.79468e-18
3567.95712 4.31081e-18
3569.42880 3.03418e-18
3570.90048 5.15182e-18
3572.37216 6.48193e-18
3573.84384 6.51388e-18
3575.30544 8.27648e-18
3576.77712 1.23540e-17
3578.24880 4.32659e-18
3579.72048 8.44098e-18
3581.19216 1.49598e-17
3582.66384 1.07126e-17
3584.12544 4.13715e-18
3585.59712 6.88339e-18
3587.06880 9.81916e-18
3588.54048 4.59229e-18
3590.01216 1.18272e-17
3591.48384 7.12803e-18
3592.94544 7.78085e-18
3594.41712 3.75568e-18
3595.88880 1.51658e-17
3597.36048 1.74642e-17
3598.83216 9.71387e-18
3600.30384 1.01418e-17
3601.76544 1.16023e-17
3603.23712 5.80077e-18
3604.70880 1.17309e-17
3606.18048 1.15385e-17
3607.65216 9.32778e-18
3609.12384 1.43570e-17
3610.58544 6.89893e-18
3612.05712 8.42436e-18
3613.52880 8.07838e-18
3615.00048 4.35117e-18
3616.47216 5.67333e-18
3617.94384 2.66475e-18
3619.40544 4.65560e-18
3620.87712 3.96970e-18
3622.34880 1.04169e-17
3623.82048 9.58246e-18
3625.29216 4.97501e-18
3626.76384 4.76162e-18
3628.22544 7.15383e-18
3629.69712 9.38107e-18
3631.16880 1.21116e-17
3632.64048 1.30666e-17
3634.11216 1.48387e-17
3635.58384 1.22841e-17
3637.04544 9.42830e-18
3638.51712 7.51860e-18
3639.98880 -6.76779e-19
3641.46048 4.60877e-18
3642.93216 9.53771e-18
3644.40384 1.12019e-17
3645.86544 1.11918e-17
3647.33712 4.68065e-18
3648.80880 5.61336e-18
3650.28048 1.02743e-17
3651.75216 1.00198e-17
3653.22384 8.33665e-18
3654.68544 9.75683e-18
3656.15712 6.33732e-18
3657.62880 3.07090e-18
3659.10048 6.70147e-18
3660.57216 6.45343e-18
3662.04384 7.51045e-18
3663.50544 5.63369e-18
3664.97712 6.40563e-18
3666.44880 9.02481e-18
3667.92048 8.38020e-18
3669.39216 8.92953e-18
3670.86384 9.36931e-18
3672.32544 1.30816e-17
3673.79712 1.38679e-17
3675.26880 1.20972e-17
3676.74048 7.78528e-18
3678.21216 9.06692e-18
3679.68384 1.06520e-17
3681.14544 5.99391e-18
3682.61712 8.65725e-18
3684.08880 1.24642e-17
3685.56048 9.50633e-18
3687.03216 1.10411e-17
3688.50384 1.08023e-17
3689.96544 4.74089e-18
3691.43712 5.26925e-18
3692.90880 9.47412e-18
3694.38048 6.74794e-18
3695.85216 1.15449e-17
3697.32384 1.19241e-17
3698.78544 9.50718e-18
3700.25712 7.09967e-18
3701.72880 7.28505e-18
3703.20048 7.11290e-18
3704.67216 4.87578e-18
3706.14384 6.23792e-18
3707.60544 1.00521e-17
3709.07712 1.12440e-17
3710.54880 9.06114e-18
3712.02048 9.58150e-18
3713.49216 7.97257e-18
3714.96384 9.18097e-18
3716.42544 1.13330e-17
3717.89712 7.58667e-18
3719.36880 6.65218e-18
3720.84048 1.03899e-17
3722.31216 7.39613e-18
3723.78384 7.22191e-18
3725.24544 1.01884e-17
3726.71712 6.56629e-18
3728.18880 3.17441e-18
3729.66048 7.12001e-18
3731.13216 8.92661e-18
3732.60384 9.73627e-18
3734.06544 1.13535e-17
3735.53712 9.27221e-18
3737.00880 7.48693e-18
3738.48048 7.44858e-18
3739.95216 7.41024e-18
3741.42384 7.39981e-18
3742.88544 7.38939e-18
3744.35712 7.37897e-18
3745.82880 7.36855e-18
3747.30048 7.35814e-18
3748.77216 7.34774e-18
3750.24384 7.33735e-18
3751.70544 7.32696e-18
3753.17712 7.31657e-18
3754.64880 7.30619e-18
3756.12048 7.29582e-18
3757.59216 7.28546e-18
3759.06384 7.27510e-18
3760.52544 7.26474e-18
3761.99712 7.25439e-18
3763.46880 7.24405e-18
3764.94048 7.23371e-18
3766.41216 7.22338e-18
3767.88384 7.21306e-18
3769.34544 7.20274e-18
3770.81712 7.19242e-18
3772.28880 7.18212e-18
3773.76048 7.17181e-18
3775.23216 7.16152e-18
3776.70384 7.15123e-18
3778.16544 7.14094e-18
3779.63712 8.94301e-18
3781.10880 6.14219e-18
3782.58048 4.35297e-18
3784.05216 7.17434e-18
3785.52384 5.59935e-18
3786.98544 3.81308e-18
3788.45712 5.77630e-18
3789.92880 4.93791e-18
3791.40048 5.56934e-18
3792.87216 8.33835e-18
3794.34384 9.14757e-18
3795.80544 7.53760e-18
3797.27712 6.30412e-18
3798.74880 4.31841e-18
3800.22048 6.83934e-18
3801.69216 9.19043e-18
3803.16384 9.34396e-18
3804.62544 7.53698e-18
3806.09712 5.24674e-18
3807.56880 4.55202e-18
3809.04048 6.37735e-18
3810.51216 7.50963e-18
3811.98384 5.69756e-18
3813.44544 5.05956e-18
3814.91712 6.57519e-18
3816.38880 9.09598e-18
3817.86048 9.65504e-18
3819.33216 6.89259e-18
3820.80384 4.70224e-18
3822.26544 5.84788e-18
3823.73712 6.06248e-18
3825.20880 6.09888e-18
3826.68048 7.11499e-18
3828.15216 5.64158e-18
3829.62384 4.33325e-18
3831.08544 7.02352e-18
3832.55712 6.65376e-18
3834.02880 3.53162e-18
3835.50048 3.68498e-18
3836.97216 5.00548e-18
3838.44384 5.39341e-18
3839.90544 5.98350e-18
3841.37712 7.92495e-18
3842.84880 7.32147e-18
3844.32048 7.10771e-18
3845.79216 8.59325e-18
3847.26384 6.87237e-18
3848.72544 7.13591e-18
3850.19712 8.73851e-18
3851.66880 7.94142e-18
3853.14048 6.50108e-18
3854.61216 5.90472e-18
3856.08384 7.04023e-18
3857.54544 5.82597e-18
3859.01712 3.28096e-18
3860.48880 3.29875e-18
3861.96048 6.21884e-18
3863.43216 5.30125e-18
3864.90384 3.06391e-18
3866.36544 6.06878e-18
3867.83712 8.22440e-18
3869.30880 7.04007e-18
3870.78048 4.79138e-18
3872.25216 7.08838e-18
3873.72384 9.92178e-18
3875.18544 8.93956e-18
3876.65712 8.10022e-18
3878.12880 9.34550e-18
3879.60048 1.12329e-17
3881.07216 9.63021e-18
3882.54384 8.04958e-18
3884.00544 8.59918e-18
3885.47712 8.01067e-18
3886.94880 6.36599e-18
3888.42048 6.39070e-18
3889.89216 8.13285e-18
