# wavelength flux
3200.09220 2.19939e-17
3200.29560 2.17606e-17
3200.49900 1.57928e-17
3200.69223 1.88598e-17
3200.89563 2.56644e-17
3201.09903 2.61775e-17
3201.29226 2.19866e-17
3201.49566 2.08217e-17
3201.69906 1.74145e-17
3201.89229 2.00925e-17
3202.09569 2.61446e-17
3202.29909 2.89594e-17
3202.49232 2.24026e-17
3202.69572 1.87820e-17
3202.89912 1.58403e-17
3203.09235 1.68675e-17
3203.29575 2.51972e-17
3203.49915 3.06821e-17
3203.69238 2.98025e-17
3203.89578 2.15035e-17
3204.08901 2.18052e-17
3204.29241 2.51300e-17
3204.49581 2.32966e-17
3204.68904 2.62873e-17
3204.89244 2.23764e-17
3205.09584 2.15670e-17
3205.28907 2.30499e-17
3205.49247 2.62693e-17
3205.69587 2.60267e-17
3205.88910 2.99138e-17
3206.09250 2.95868e-17
3206.29590 2.36145e-17
3206.48913 1.87266e-17
3206.69253 1.89329e-17
3206.89593 2.44932e-17
3207.08916 2.90080e-17
3207.29256 2.33212e-17
3207.49596 2.26628e-17
3207.68919 2.09493e-17
3207.89259 2.04577e-17
3208.09599 2.17244e-17
3208.28922 2.66125e-17
3208.49262 2.45943e-17
3208.69602 2.26509e-17
3208.88925 2.51142e-17
3209.09265 2.50446e-17
3209.29605 2.22033e-17
3209.48928 2.47929e-17
3209.69268 2.25295e-17
3209.89608 2.30756e-17
3210.08931 2.88580e-17
3210.29271 2.98388e-17
3210.49611 2.82247e-17
3210.68934 2.79783e-17
3210.89274 2.69436e-17
3211.09614 2.64177e-17
3211.28937 2.70739e-17
3211.49277 2.38858e-17
3211.69617 2.19494e-17
3211.88940 2.56207e-17
3212.09280 2.54011e-17
3212.29620 2.47553e-17
3212.48943 2.48945e-17
3212.69283 2.48873e-17
3212.89623 2.45839e-17
3213.08946 2.66088e-17
3213.29286 2.85466e-17
3213.49626 2.32742e-17
3213.68949 1.85081e-17
3213.89289 2.15877e-17
3214.09629 2.64172e-17
3214.28952 2.86003e-17
3214.49292 2.45654e-17
3214.69632 1.52410e-17
3214.88955 1.10877e-17
3215.09295 1.89527e-17
3215.29635 2.36458e-17
3215.48958 2.43256e-17
3215.69298 2.05234e-17
3215.89638 2.07564e-17
3216.08961 1.91517e-17
3216.29301 2.21556e-17
3216.49641 2.34102e-17
3216.68964 1.99073e-17
3216.89304 2.15409e-17
3217.09644 2.25066e-17
3217.28967 1.89197e-17
3217.49307 1.80357e-17
3217.69647 1.93956e-17
3217.88970 2.30684e-17
3218.09310 2.57122e-17
3218.29650 2.31917e-17
3218.48973 1.99067e-17
3218.69313 2.02426e-17
3218.89653 1.82996e-17
3219.08976 2.32218e-17
3219.29316 2.24923e-17
3219.49656 2.07304e-17
3219.68979 2.21724e-17
3219.89319 2.26568e-17
3220.09659 2.17122e-17
3220.28982 2.20967e-17
3220.49322 1.92111e-17
3220.69662 1.78650e-17
3220.88985 2.08908e-17
3221.09325 2.15797e-17
3221.29665 2.15372e-17
3221.48988 2.15943e-17
3221.69328 2.24665e-17
3221.89668 2.48991e-17
3222.08991 2.33831e-17
3222.29331 2.45119e-17
3222.49671 2.32435e-17
3222.68994 2.28594e-17
3222.89334 2.74292e-17
3223.09674 2.30946e-17
3223.28997 1.86210e-17
3223.49337 2.36147e-17
3223.69677 2.40577e-17
3223.89000 2.36225e-17
3224.09340 2.07469e-17
3224.29680 1.72430e-17
3224.49003 1.88319e-17
3224.69343 2.23166e-17
3224.89683 2.08351e-17
3225.09006 1.77846e-17
3225.29346 1.63930e-17
3225.49686 1.57134e-17
3225.69009 1.79640e-17
3225.89349 1.87017e-17
3226.09689 1.96734e-17
3226.29012 2.25289e-17
3226.49352 2.00009e-17
3226.69692 1.73631e-17
3226.89015 1.39880e-17
3227.09355 1.82321e-17
3227.29695 1.96092e-17
3227.49018 1.49125e-17
3227.69358 1.80115e-17
3227.89698 1.79612e-17
3228.09021 1.45442e-17
3228.29361 1.43397e-17
3228.49701 1.75214e-17
3228.69024 2.02966e-17
3228.89364 2.09522e-17
3229.09704 1.75682e-17
3229.29027 1.77819e-17
3229.49367 1.91984e-17
3229.69707 1.68479e-17
3229.89030 1.93375e-17
3230.09370 1.95095e-17
3230.29710 1.62445e-17
3230.49033 1.83038e-17
3230.69373 1.90399e-17
3230.89713 2.05189e-17
3231.09036 2.25846e-17
3231.29376 2.30231e-17
3231.49716 1.84575e-17
3231.69039 1.89713e-17
3231.89379 2.33608e-17
3232.09719 2.47205e-17
3232.29042 2.46155e-17
3232.49382 2.29725e-17
3232.69722 2.01458e-17
3232.89045 2.34375e-17
3233.09385 2.00241e-17
3233.29725 1.82048e-17
3233.49048 2.23038e-17
3233.69388 2.48544e-17
3233.89728 2.36561e-17
3234.09051 2.26929e-17
3234.29391 2.21133e-17
3234.49731 2.43161e-17
3234.69054 2.70310e-17
3234.89394 2.45940e-17
3235.09734 2.06503e-17
3235.29057 1.94553e-17
3235.49397 2.15891e-17
3235.69737 2.31228e-17
3235.89060 2.08645e-17
3236.09400 2.42375e-17
3236.29740 2.40529e-17
3236.49063 2.30304e-17
3236.69403 2.38460e-17
3236.89743 2.51166e-17
3237.09066 2.62861e-17
3237.29406 2.56971e-17
3237.49746 2.41205e-17
3237.69069 2.27567e-17
3237.89409 2.14930e-17
3238.09749 2.60685e-17
3238.29072 2.67128e-17
3238.49412 2.50114e-17
3238.69752 2.68009e-17
3238.89075 2.74882e-17
3239.09415 2.73255e-17
3239.29755 2.62703e-17
3239.49078 2.62760e-17
3239.69418 2.57519e-17
3239.89758 2.37606e-17
3240.09081 2.67950e-17
3240.29421 3.18115e-17
3240.49761 3.06398e-17
3240.69084 2.38720e-17
3240.89424 2.19602e-17
3241.09764 2.25660e-17
3241.29087 2.38677e-17
3241.49427 2.81423e-17
3241.69767 2.97677e-17
3241.89090 2.85998e-17
3242.09430 2.45364e-17
3242.29770 2.34133e-17
3242.49093 2.40641e-17
3242.69433 2.64821e-17
3242.89773 2.65886e-17
3243.09096 2.43430e-17
3243.29436 2.69282e-17
3243.49776 2.43092e-17
3243.69099 2.40195e-17
3243.89439 2.50578e-17
3244.09779 2.71689e-17
3244.29102 2.90145e-17
3244.49442 2.97422e-17
3244.69782 2.67948e-17
3244.89105 2.42171e-17
3245.09445 2.62875e-17
3245.29785 2.72046e-17
3245.49108 2.45011e-17
3245.69448 2.55503e-17
3245.89788 2.97456e-17
3246.09111 2.83353e-17
3246.29451 2.80309e-17
3246.49791 3.11758e-17
3246.69114 2.85477e-17
3246.89454 2.61271e-17
3247.08777 2.89639e-17
3247.29117 2.33964e-17
3247.49457 2.15225e-17
