# wavelength flux
3549.99702 2.55900e-18
3555.00452 2.49178e-18
3560.00201 2.49433e-18
3564.99949 2.45935e-18
3569.99698 2.48389e-18
3575.00448 2.33492e-18
3580.00196 2.31435e-18
3584.99945 2.32497e-18
3589.99693 2.22494e-18
3595.00443 2.28602e-18
3600.00192 2.29407e-18
3604.99940 2.23411e-18
3609.99689 2.27312e-18
3615.00439 2.09145e-18
3620.00187 2.15856e-18
3624.99936 2.38607e-18
3629.99684 2.16620e-18
3635.00434 2.39515e-18
3640.00183 2.27033e-18
3644.99931 2.44394e-18
3649.99680 2.42171e-18
3655.00430 2.40957e-18
3660.00178 2.49170e-18
3664.99927 2.57486e-18
3669.99675 2.80165e-18
3675.00425 2.91909e-18
3680.00173 3.20047e-18
3684.99922 3.23595e-18
3689.99671 3.27086e-18
3695.00421 3.51846e-18
3700.00169 3.77430e-18
3704.99917 3.75129e-18
3709.99666 3.81501e-18
3715.00416 3.75427e-18
3720.00164 3.84638e-18
3724.99913 3.77850e-18
3729.99662 3.86834e-18
3735.00412 3.82299e-18
3740.00160 3.52200e-18
3744.99908 3.36266e-18
3749.99657 3.04474e-18
3755.00407 2.91106e-18
3760.00156 2.61812e-18
3764.99904 2.34093e-18
3769.99653 2.13474e-18
3775.00403 1.86707e-18
3780.00151 1.80031e-18
3784.99899 1.75187e-18
3789.99648 1.66994e-18
3795.00398 1.58534e-18
3800.00147 1.50936e-18
3804.99895 1.47408e-18
3809.99644 1.46457e-18
3815.00394 1.53333e-18
3820.00142 1.60593e-18
3824.99891 1.72059e-18
3829.99639 1.79729e-18
3835.00389 1.86307e-18
3840.00138 2.09279e-18
3844.99886 2.09711e-18
3849.99635 2.29427e-18
3855.00385 2.60691e-18
3860.00133 2.79774e-18
3864.99882 3.09819e-18
3869.99630 3.48913e-18
3875.00380 3.93873e-18
3880.00129 4.23418e-18
3884.99877 4.60205e-18
3889.99626 4.97191e-18
3895.00376 5.47255e-18
3900.00124 5.96886e-18
3904.99873 6.41665e-18
3909.99621 6.96753e-18
3915.00371 7.40024e-18
3920.00120 7.80090e-18
3924.99868 8.27183e-18
3929.99617 8.36321e-18
3935.00367 8.63639e-18
3940.00115 8.75534e-18
3944.99864 9.18350e-18
3949.99612 9.30345e-18
3955.00362 9.54289e-18
3960.00111 9.82264e-18
3964.99859 1.01315e-17
3969.99608 1.04715e-17
3975.00358 1.06225e-17
3980.00106 1.09253e-17
