# wavelength flux
3200.61142 1.85694e-17
3202.48871 3.86227e-17
3204.37611 1.57022e-17
3206.25340 3.84647e-17
3208.13070 2.41813e-17
3210.00800 -1.55520e-18
3211.89539 -4.86373e-18
3213.77269 -1.23634e-18
3215.64999 7.60492e-19
3217.53738 -9.81851e-18
3219.41468 -5.55687e-18
3221.29197 1.87925e-17
3223.16927 2.78105e-17
3225.05666 2.01810e-17
3226.93396 2.18602e-17
3228.81126 4.04866e-17
3230.69865 1.10665e-17
3232.57595 -3.35791e-17
3234.45325 -5.87256e-18
3236.33054 4.38851e-17
3238.21793 3.79690e-17
3240.09523 -8.90246e-18
3241.97253 -2.87124e-17
3243.85992 8.46590e-19
3245.73722 1.96360e-17
3247.61452 2.41961e-18
3249.49182 6.40864e-19
3251.37921 1.39048e-18
3253.25650 1.83445e-18
3255.13380 5.62959e-18
3257.02119 4.98608e-19
3258.89849 1.00990e-17
3260.77579 2.77600e-17
3262.65309 1.45273e-17
3264.54048 -2.21979e-17
3266.41778 -2.87928e-17
3268.29507 2.11445e-17
3270.17237 5.58677e-17
3272.05976 6.53300e-18
3273.93706 -3.10376e-17
3275.81436 -2.29624e-17
3277.70175 -3.45424e-18
3279.57905 1.60947e-17
3281.45635 1.21060e-17
3283.33364 2.65319e-17
3285.22104 3.58990e-17
3287.09833 3.07380e-17
3288.97563 2.23455e-17
3290.86302 1.85618e-17
3292.74032 -4.60689e-18
3294.61762 -1.50428e-17
3296.49492 1.97041e-17
3298.38231 3.06880e-17
3300.25961 3.96794e-17
3302.13690 7.01388e-17
3304.02429 2.76541e-17
3305.90159 -6.50030e-18
3307.77889 -6.45963e-18
3309.65619 -1.00343e-17
3311.54358 -2.51740e-18
3313.42088 3.85951e-18
3315.29818 9.65664e-18
3317.17547 1.07399e-17
3319.06286 5.82356e-18
3320.94016 -1.16178e-17
3322.81746 -3.63238e-18
3324.70485 -8.13197e-19
3326.58215 -5.71910e-19
3328.45945 2.84965e-17
3330.33675 3.33184e-17
3332.22414 9.34242e-18
3334.10143 2.48424e-18
3335.97873 1.76779e-18
3337.86612 3.38938e-18
3339.74342 9.85995e-18
3341.62072 7.17627e-18
3343.49802 4.59729e-18
3345.38541 7.85086e-18
3347.26271 3.30515e-17
3349.14000 8.93486e-18
3351.02740 -2.35501e-17
3352.90469 -6.91329e-18
3354.78199 1.05985e-18
3356.65929 -8.01702e-18
3358.54668 6.12023e-18
3360.42398 1.12464e-17
3362.30128 1.14635e-17
3364.18867 1.09278e-17
3366.06597 -3.05898e-18
3367.94326 -1.49308e-19
3369.82056 6.94463e-18
3371.70795 4.50667e-18
3373.58525 1.10849e-17
3375.46255 1.29613e-17
3377.33985 2.41479e-18
3379.22724 6.73735e-18
3381.10453 1.79761e-17
3382.98183 1.32605e-17
3384.86922 1.51626e-17
3386.74652 1.15256e-17
3388.62382 -2.99804e-19
3390.50112 8.75216e-19
3392.38851 9.04050e-18
3394.26581 1.91607e-17
3396.14311 2.06359e-17
3398.03050 1.04074e-17
3399.90779 2.93369e-18
3401.78509 2.07018e-17
3403.66239 2.16241e-17
3405.54978 7.10257e-18
3407.42708 4.18539e-18
3409.30438 -4.82663e-18
3411.19177 -6.98089e-18
3413.06907 -1.46603e-19
3414.94636 -2.16659e-18
3416.82366 -3.35753e-18
3418.71105 4.05057e-20
3420.58835 3.09738e-18
3422.46565 3.67734e-19
3424.34295 7.97477e-18
3426.23034 9.84851e-18
3428.10764 4.09429e-18
3429.98493 9.90925e-18
3431.87233 1.22813e-17
3433.74962 1.55064e-17
3435.62692 8.39641e-18
3437.50422 -4.51441e-20
3439.39161 1.49374e-18
3441.26891 1.70723e-18
3443.14621 -6.45223e-19
3445.03360 7.97046e-18
3446.91090 1.76447e-17
3448.78819 1.02870e-17
3450.66549 1.60380e-18
3452.55288 -2.05703e-18
3454.43018 -3.21993e-18
3456.30748 2.00650e-18
3458.19487 1.00010e-18
3460.07217 6.51413e-19
3461.94947 1.34725e-17
3463.82676 2.53234e-17
3465.71415 2.51360e-17
3467.59145 1.79278e-17
3469.46875 1.23789e-17
3471.35614 1.44342e-17
3473.23344 1.37135e-17
3475.11074 6.63629e-18
3476.98804 9.64051e-18
3478.87543 1.47669e-17
3480.75272 1.02710e-17
3482.63002 4.08888e-18
3484.50732 5.61294e-18
3486.39471 1.01568e-17
3488.27201 1.86482e-17
3490.14931 1.32986e-17
3492.03670 2.78463e-18
3493.91400 8.41713e-18
3495.79129 1.35442e-17
3497.66859 1.44818e-17
3499.55598 1.75841e-17
3501.43328 1.62142e-17
3503.31058 2.38256e-18
3505.19797 -6.24775e-18
3507.07527 1.13515e-18
3508.95257 1.52015e-18
3510.82986 3.49677e-18
3512.71726 -3.02110e-18
3514.59455 1.97560e-19
3516.47185 8.61419e-18
3518.35924 1.35191e-17
3520.23654 2.39995e-17
3522.11384 2.28707e-17
3523.99114 1.71601e-17
3525.87853 1.65700e-17
3527.75583 1.13608e-17
3529.63312 -4.55069e-19
3531.51042 -3.65743e-18
3533.39781 4.41791e-18
3535.27511 1.23074e-17
3537.15241 1.54001e-17
3539.03980 1.21687e-17
3540.91710 8.04495e-18
3542.79440 5.19553e-18
3544.67169 1.44894e-17
3546.55908 1.98035e-17
3548.43638 1.00126e-17
3550.31368 5.59369e-18
3552.20107 7.24552e-18
3554.07837 1.29786e-17
3555.95567 1.64853e-17
3557.83297 1.78353e-17
3559.72036 1.53075e-17
3561.59765 2.91116e-18
3563.47495 2.06408e-18
3565.36234 6.40922e-18
3567.23964 6.10393e-18
3569.11694 4.76516e-18
3570.99424 8.39783e-19
3572.88163 1.13102e-18
3574.75893 5.72484e-18
3576.63622 8.79163e-18
3578.52362 1.40814e-17
3580.40091 1.55310e-17
3582.27821 1.20365e-17
3584.15551 7.04912e-18
3586.04290 9.50412e-18
3587.92020 1.50598e-17
3589.79750 1.94034e-17
3591.67479 1.17291e-17
3593.56219 1.81849e-18
3595.43948 8.36296e-18
3597.31678 1.04119e-17
3599.20417 8.18971e-18
3601.08147 8.86063e-18
3602.95877 3.74057e-18
3604.83607 4.67130e-19
3606.72346 4.38245e-18
3608.60076 8.81015e-18
3610.47805 1.17026e-17
3612.36544 1.26534e-17
3614.24274 1.01930e-17
