# wavelength flux
3750.03552 2.69004e-17
3751.30865 2.84620e-17
3752.58177 1.27485e-17
3753.84471 -5.34349e-18
3755.11783 2.15298e-19
3756.39096 1.98410e-17
3757.65390 1.78615e-17
3758.92702 1.08504e-17
3760.20015 1.95127e-17
3761.46309 2.60446e-17
3762.73621 1.78249e-17
3764.00934 8.59157e-18
3765.27228 1.45165e-17
3766.54540 3.16155e-17
3767.81853 3.12930e-17
3769.08147 7.84814e-18
3770.35459 -9.26821e-18
3771.62772 1.30022e-18
3772.90084 2.56832e-17
3774.16379 3.92980e-17
3775.43691 4.02647e-17
3776.71004 3.87010e-17
3777.97297 3.71376e-17
3779.24610 3.55746e-17
3780.51922 3.33146e-17
3781.78217 3.10555e-17
3783.05529 2.87968e-17
3784.32841 2.65385e-17
3785.59135 2.42802e-17
3786.86448 2.20223e-17
3788.13760 1.97657e-17
3789.41073 1.75087e-17
3790.67367 1.52525e-17
3791.94679 1.29967e-17
3793.21992 1.07413e-17
3794.48286 8.48588e-18
3795.75598 6.23087e-18
3797.02911 3.97715e-18
3798.29205 1.72295e-18
3799.56518 -5.30409e-19
3800.83830 -2.78380e-18
3802.10124 -5.03591e-18
3803.37436 -7.28851e-18
3804.64749 -9.54070e-18
3805.92061 -1.17921e-17
3807.18356 -1.40430e-17
3808.45668 -1.62936e-17
3809.72980 -1.85442e-17
3810.99275 -2.07940e-17
3812.26587 -2.30434e-17
3813.53899 -2.52924e-17
3814.80193 -2.75414e-17
3816.07506 -2.97901e-17
3817.34819 -3.20375e-17
3818.61112 -1.36957e-17
3819.88425 1.80460e-17
3821.15737 2.93751e-17
3822.42031 1.92612e-17
3823.69344 1.41128e-17
3824.96656 2.01291e-17
3826.23969 1.62250e-17
3827.50263 -1.47233e-19
3828.77575 -5.74414e-18
3830.04888 2.91133e-18
3831.31182 3.14125e-18
3832.58494 -1.33595e-18
3833.85807 -9.23028e-20
3835.12101 4.31517e-18
3836.39414 7.91127e-19
3837.66726 -1.03338e-17
3838.93020 -1.62312e-17
3840.20332 -1.36070e-17
3841.47645 -4.03112e-18
3842.74957 6.60437e-18
3844.01251 4.03065e-18
3845.28564 2.84037e-18
3846.55876 1.43700e-17
3847.82170 1.85490e-17
3849.09483 1.07250e-17
3850.36795 5.44203e-18
3851.63089 5.07310e-18
3852.90402 2.53007e-18
3854.17715 3.55071e-18
3855.44008 1.70494e-17
3856.71321 2.95733e-17
3857.98633 2.38953e-17
3859.25946 1.52817e-17
3860.52240 5.25736e-18
3861.79552 3.17635e-18
3863.06865 1.82271e-17
3864.33159 3.38326e-17
3865.60471 2.85085e-17
3866.87784 8.54799e-18
3868.14078 -1.69051e-18
3869.41390 9.02074e-18
3870.68703 1.67414e-17
3871.94997 1.47620e-17
3873.22309 1.95621e-17
3874.49622 2.96146e-17
3875.75916 2.76261e-17
3877.03228 1.89271e-17
3878.30541 1.76282e-17
3879.57854 1.61900e-17
3880.84147 1.00269e-17
3882.11460 5.05839e-18
3883.38772 4.85352e-18
3884.65067 4.16764e-18
3885.92379 -1.50819e-18
3887.19691 -1.69854e-18
3888.45985 4.21436e-18
3889.73298 4.29128e-18
3891.00610 3.17146e-18
3892.26905 1.26557e-17
3893.54217 2.69532e-17
3894.81529 3.00744e-17
3896.07823 1.96810e-17
3897.35136 1.34369e-17
3898.62448 1.35382e-17
3899.89761 1.26723e-17
3901.16055 9.52215e-18
3902.43368 4.97806e-18
3903.70680 4.10615e-18
3904.96974 1.45543e-17
3906.24286 1.63714e-17
3907.51599 1.31752e-17
3908.77893 1.43282e-17
3910.05206 1.18216e-17
3911.32518 8.13686e-18
3912.58812 1.03719e-17
3913.86125 -5.60711e-19
