# wavelength flux
3477.83064 4.16882e-18
3479.29692 4.16860e-18
3480.76320 1.12788e-18
3482.23952 -2.30064e-18
3483.70580 3.41368e-18
3485.17207 8.97140e-18
3486.64840 2.63192e-17
3488.11467 2.66452e-18
3489.59100 1.53290e-18
3491.05727 4.79241e-18
3492.52355 3.31000e-18
3493.99987 6.45084e-18
3495.46615 7.13594e-18
3496.93243 -2.18312e-18
3498.40875 3.16322e-18
3499.87503 8.38702e-18
3501.34130 4.11929e-18
3502.81763 4.87680e-18
3504.28390 3.38646e-18
3505.76022 -2.13278e-19
3507.22650 1.01570e-18
3508.69278 9.88414e-19
3510.16910 3.71468e-18
3511.63538 2.82634e-18
3513.10166 -3.43118e-19
3514.57798 -1.30243e-19
3516.04426 3.50440e-18
3517.51053 4.31708e-18
3518.98686 2.25965e-18
3520.45313 -2.99800e-18
3521.92945 2.52766e-18
3523.39573 4.14547e-18
3524.86201 3.26708e-18
3526.33833 1.34706e-17
3527.80461 7.15480e-18
3529.27089 2.99606e-18
3530.74721 1.12612e-17
3532.21349 2.20883e-18
3533.67976 -1.93060e-18
3535.15609 2.24184e-18
3536.62236 1.20882e-18
3538.09868 2.78035e-18
3539.56496 3.79452e-18
3541.03124 1.40047e-18
3542.50756 -9.04032e-19
3543.97384 -1.80553e-18
3545.44012 8.13874e-19
3546.91644 3.62329e-18
3548.38272 1.95603e-18
3549.84899 5.21728e-18
3551.32532 5.52093e-18
3552.79159 -9.01631e-19
3554.26791 -1.40547e-18
3555.73419 -4.45111e-19
3557.20047 2.13008e-18
3558.67679 4.65793e-18
3560.14307 2.88625e-18
3561.60935 1.87983e-18
3563.08567 5.46859e-19
3564.55195 2.93636e-19
3566.01822 3.98303e-18
3567.49455 5.36818e-18
3568.96082 5.31407e-19
3570.43714 -7.14144e-20
3571.90342 5.87485e-20
3573.36970 4.26422e-18
3574.84602 1.99436e-18
3576.31230 -1.05437e-19
3577.77858 1.15022e-18
3579.25490 2.81961e-18
3580.72118 6.81995e-18
3582.18745 3.79216e-18
3583.66378 2.72672e-19
3585.13005 1.77669e-18
3586.60637 3.01281e-18
3588.07265 1.60143e-19
3589.53893 1.30306e-19
3591.01525 2.62515e-18
3592.48153 9.98186e-19
3593.94781 2.94020e-19
3595.42413 7.54660e-19
3596.89041 8.00657e-19
3598.35668 -1.37193e-18
3599.83301 4.82011e-18
3601.29928 4.95961e-18
3602.77560 3.14211e-18
3604.24188 8.45743e-18
3605.70816 8.99619e-18
3607.18448 7.31624e-18
3608.65076 3.85956e-18
3610.11704 1.93703e-18
3611.59336 5.81374e-18
3613.05964 2.97921e-18
3614.52592 8.73707e-19
3616.00224 1.57856e-18
3617.46851 2.90931e-18
3618.94483 -2.19323e-19
3620.41111 7.13553e-18
3621.87739 8.24080e-18
3623.35371 1.55890e-18
3624.81999 3.41643e-18
3626.28627 4.51031e-18
3627.76259 3.52917e-18
3629.22887 1.76008e-18
3630.69515 3.08510e-18
3632.17147 2.36369e-18
3633.63774 2.55326e-18
3635.11407 2.40604e-18
3636.58034 2.19988e-18
3638.04662 5.02629e-18
3639.52294 1.56995e-18
3640.98922 3.22978e-18
3642.45550 4.91883e-18
3643.93182 2.61680e-19
3645.39810 7.91982e-19
3646.86438 9.18365e-19
3648.34070 -1.12334e-18
3649.80697 4.31720e-18
3651.28330 6.78279e-19
3652.74957 1.09816e-19
3654.21585 3.13802e-18
3655.69217 6.34964e-19
3657.15845 7.99456e-19
3658.62473 1.76933e-18
3660.10105 2.66671e-18
3661.56733 1.93218e-18
3663.03360 -1.13811e-18
3664.50993 1.33022e-18
3665.97620 2.65086e-18
3667.44248 1.29014e-18
3668.91880 3.79514e-18
3670.38508 4.43875e-18
3671.86140 3.02316e-18
3673.32768 2.77139e-18
3674.79396 6.58362e-18
3676.27028 1.14035e-17
3677.73656 7.64276e-18
3679.20283 2.41797e-18
3680.67916 1.78513e-18
3682.14543 4.06267e-18
3683.62175 2.82775e-18
3685.08803 4.01402e-18
3686.55431 1.21520e-18
3688.03063 2.49785e-18
3689.49691 4.75567e-18
3690.96319 4.50840e-18
3692.43951 6.87731e-18
3693.90579 4.26978e-18
3695.37207 5.69278e-19
3696.84839 2.94520e-18
3698.31466 4.07767e-18
3699.79098 2.22712e-18
3701.25726 1.98302e-18
3702.72354 5.53629e-18
3704.19986 3.57320e-18
3705.66614 4.68886e-18
3707.13242 1.04825e-17
3708.60874 5.03435e-18
3710.07502 8.82870e-19
3711.54129 1.01419e-18
3713.01762 3.70067e-18
3714.48389 2.87975e-18
3715.95017 1.74124e-18
3717.42649 1.49696e-18
3718.89277 5.49146e-18
3720.36909 4.15850e-18
3721.83537 4.58162e-18
3723.30165 2.18163e-18
3724.77797 2.27581e-18
