# wavelength flux
3706.85195 5.71071e-18
3708.32416 6.15829e-18
3709.79636 6.36597e-18
3711.25855 5.10885e-18
3712.73076 4.77108e-18
3714.20296 4.78238e-18
3715.67517 4.79368e-18
3717.13736 4.79357e-18
3718.60956 4.79345e-18
3720.08177 4.79334e-18
3721.55397 4.79322e-18
3723.02617 4.79311e-18
3724.48837 4.79299e-18
3725.96057 4.79288e-18
3727.43278 4.79277e-18
3728.90498 4.79266e-18
3730.36717 4.79255e-18
3731.83938 4.79244e-18
3733.31158 4.79233e-18
3734.78379 4.79222e-18
3736.24598 4.79211e-18
3737.71818 4.79200e-18
3739.19039 4.79190e-18
3740.66259 4.79179e-18
3742.13480 4.79169e-18
3743.59699 4.79158e-18
3745.06919 4.79148e-18
3746.54140 4.79137e-18
3748.01360 4.79127e-18
3749.47579 4.79117e-18
3750.94799 4.79106e-18
3752.42020 4.79096e-18
3753.89241 5.57868e-18
3755.36461 6.11660e-18
3756.82680 5.65297e-18
3758.29901 5.80567e-18
3759.77121 5.66837e-18
3761.24342 4.79725e-18
3762.70561 5.57240e-18
3764.17781 5.99544e-18
3765.65002 5.62594e-18
3767.12222 5.56002e-18
3768.59443 6.21030e-18
3770.05661 6.17581e-18
3771.52882 6.20180e-18
3773.00103 5.73990e-18
3774.47323 5.45089e-18
3775.93542 6.29778e-18
3777.40763 6.03045e-18
3778.87983 5.99819e-18
3780.35204 7.32683e-18
3781.81423 7.64318e-18
3783.28643 6.79112e-18
3784.75864 5.48205e-18
3786.23084 5.49971e-18
3787.70305 6.14769e-18
3789.16523 6.54225e-18
3790.63744 7.07546e-18
3792.10965 7.32996e-18
3793.58185 7.01814e-18
3795.04404 6.59361e-18
3796.51625 6.53417e-18
3797.98845 7.33174e-18
3799.46066 7.35887e-18
3800.93286 8.05214e-18
3802.39505 8.09909e-18
3803.86726 7.51399e-18
3805.33946 7.71567e-18
3806.81167 7.56271e-18
3808.27386 7.75012e-18
3809.74606 8.09978e-18
3811.21827 9.04247e-18
3812.69047 9.15558e-18
3814.16268 8.50714e-18
3815.62487 9.27718e-18
3817.09707 8.75396e-18
3818.56928 7.96367e-18
3820.04148 9.20629e-18
3821.50367 9.35608e-18
3822.97588 8.46679e-18
3824.44808 8.67845e-18
3825.92029 9.05331e-18
3827.38248 1.05314e-17
3828.85468 1.12722e-17
3830.32689 1.01904e-17
3831.79909 1.00212e-17
3833.27130 1.05155e-17
3834.73349 1.04218e-17
3836.20569 1.03950e-17
3837.67790 1.06270e-17
3839.15010 1.17428e-17
3840.61229 1.20815e-17
3842.08450 1.15023e-17
3843.55670 1.18752e-17
3845.02891 1.19251e-17
3846.50111 1.16905e-17
3847.96330 1.14865e-17
3849.43551 1.21700e-17
3850.90771 1.28646e-17
3852.37992 1.25263e-17
3853.84211 1.18888e-17
3855.31431 1.22386e-17
3856.78652 1.34371e-17
3858.25872 1.45747e-17
3859.73092 1.45583e-17
3861.19312 1.42715e-17
3862.66532 1.42988e-17
3864.13753 1.49412e-17
3865.60973 1.53306e-17
3867.07192 1.50318e-17
3868.54413 1.54014e-17
3870.01633 1.50151e-17
3871.48854 1.51138e-17
3872.95073 1.55599e-17
3874.42293 1.54386e-17
3875.89514 1.59802e-17
3877.36734 1.64355e-17
3878.83955 1.59603e-17
3880.30174 1.57743e-17
3881.77394 1.64016e-17
3883.24615 1.66162e-17
3884.71835 1.75705e-17
3886.18054 1.71609e-17
3887.65275 1.61108e-17
3889.12495 1.72015e-17
3890.59716 1.66766e-17
3892.06936 1.63627e-17
3893.53155 1.70054e-17
3895.00376 1.63047e-17
3896.47596 1.63551e-17
3897.94817 1.68432e-17
3899.41036 1.64857e-17
3900.88256 1.60832e-17
3902.35477 1.51273e-17
3903.82697 1.49486e-17
3905.29918 1.62407e-17
3906.76137 1.70028e-17
3908.23357 1.76470e-17
3909.70578 1.73974e-17
3911.17798 1.82910e-17
3912.64017 1.78921e-17
3914.11238 1.72380e-17
3915.58458 1.75921e-17
3917.05679 1.79019e-17
3918.51898 1.78532e-17
3919.99118 1.80640e-17
3921.46339 1.84934e-17
3922.93559 1.76022e-17
3924.40780 1.69496e-17
3925.86998 1.85979e-17
3927.34219 1.77151e-17
3928.81439 1.80402e-17
3930.28660 1.80788e-17
3931.74879 1.60851e-17
3933.22100 1.64770e-17
3934.69320 1.66747e-17
3936.16541 1.76638e-17
3937.63761 1.61055e-17
3939.09980 1.53729e-17
3940.57201 1.71637e-17
3942.04421 1.72120e-17
3943.51642 1.79872e-17
3944.97861 1.81296e-17
3946.45081 1.80371e-17
3947.92302 1.67267e-17
3949.39522 1.75281e-17
3950.86742 1.85587e-17
3952.32962 1.79953e-17
3953.80182 1.74327e-17
3955.27403 1.71043e-17
3956.74623 1.71048e-17
3958.20842 1.77118e-17
3959.68063 1.87764e-17
3961.15283 1.84971e-17
3962.62504 1.82178e-17
3964.08723 1.79386e-17
3965.55943 1.76593e-17
3967.03164 1.73801e-17
3968.50384 1.71009e-17
3969.97605 1.68217e-17
3971.43824 1.65425e-17
3972.91044 1.62634e-17
3974.38265 1.59843e-17
3975.85485 1.57052e-17
3977.31704 1.54261e-17
3978.78924 1.54255e-17
3980.26145 1.64262e-17
3981.73365 1.78183e-17
3983.20586 1.68089e-17
3984.66805 1.65644e-17
3986.14026 1.75745e-17
3987.61246 1.71292e-17
3989.08467 1.60238e-17
3990.54686 1.60076e-17
3992.01906 1.63236e-17
3993.49127 1.59806e-17
3994.96347 1.66104e-17
3996.43568 1.71476e-17
3997.89786 1.63200e-17
3999.37007 1.57132e-17
4000.84227 1.53444e-17
4002.31448 1.57356e-17
4003.77667 1.55376e-17
4005.24888 1.60919e-17
4006.72108 1.55875e-17
4008.19329 1.50339e-17
4009.65548 1.52477e-17
4011.12768 1.55320e-17
4012.59989 1.45033e-17
4014.07209 1.39470e-17
4015.54430 1.50120e-17
4017.00648 1.49299e-17
4018.47869 1.42044e-17
4019.95089 1.39933e-17
4021.42310 1.34892e-17
4022.88529 1.41182e-17
4024.35750 1.49308e-17
4025.82970 1.46673e-17
4027.30191 1.40762e-17
4028.77411 1.44905e-17
4030.23630 1.40590e-17
4031.70851 1.40114e-17
4033.18071 1.32721e-17
4034.65292 1.40537e-17
4036.11511 1.49125e-17
4037.58731 1.34996e-17
4039.05952 1.33786e-17
4040.53172 1.39282e-17
4041.99391 1.39798e-17
4043.46612 1.35158e-17
4044.93832 1.32068e-17
4046.41053 1.35512e-17
4047.88273 1.31310e-17
4049.34492 1.29723e-17
4050.81713 1.29570e-17
4052.28933 1.29256e-17
4053.76154 1.26597e-17
4055.22373 1.25113e-17
4056.69593 1.31195e-17
4058.16814 1.41139e-17
4059.64034 1.38863e-17
4061.11255 1.32021e-17
4062.57474 1.30678e-17
4064.04694 1.29752e-17
4065.51915 1.40419e-17
4066.99135 1.42546e-17
4068.45354 1.35448e-17
4069.92575 1.36335e-17
4071.39795 1.29798e-17
4072.87016 1.28945e-17
4074.34236 1.30705e-17
4075.80455 1.36998e-17
4077.27676 1.32272e-17
4078.74896 1.27788e-17
4080.22117 1.30918e-17
4081.68336 1.36000e-17
4083.15556 1.32925e-17
4084.62777 1.26620e-17
4086.09997 1.30119e-17
4087.56216 1.35624e-17
4089.03436 1.30476e-17
4090.50657 1.28603e-17
4091.97878 1.28824e-17
4093.45098 1.30537e-17
4094.91317 1.30131e-17
4096.38537 1.27728e-17
4097.85758 1.34813e-17
4099.32978 1.36547e-17
4100.79198 1.31433e-17
4102.26418 1.35633e-17
4103.73639 1.33111e-17
4105.20859 1.35894e-17
4106.68080 1.40093e-17
4108.14299 1.37686e-17
4109.61519 1.33888e-17
4111.08740 1.29774e-17
4112.55960 1.32428e-17
4114.02179 1.30186e-17
4115.49399 1.25218e-17
4116.96620 1.31831e-17
4118.43841 1.31647e-17
4119.90060 1.18248e-17
4121.37280 1.29755e-17
4122.84501 1.33533e-17
4124.31721 1.30956e-17
4125.78942 1.26767e-17
4127.25161 1.24291e-17
4128.72381 1.30408e-17
4130.19602 1.35833e-17
4131.66822 1.34340e-17
4133.13041 1.31687e-17
4134.60261 1.27232e-17
4136.07482 1.23982e-17
4137.54703 1.32452e-17
4139.01923 1.32538e-17
4140.48142 1.27268e-17
4141.95363 1.23611e-17
4143.42583 1.33107e-17
4144.89804 1.35806e-17
4146.36022 1.31532e-17
4147.83243 1.42984e-17
4149.30464 1.40000e-17
4150.77684 1.27826e-17
4152.24904 1.26129e-17
4153.71123 1.33461e-17
4155.18344 1.27341e-17
4156.65565 1.25689e-17
4158.12785 1.25475e-17
4159.59004 1.32008e-17
4161.06225 1.22665e-17
4162.53445 1.29293e-17
4164.00666 1.32642e-17
4165.47886 1.25804e-17
4166.94105 1.37216e-17
4168.41326 1.30742e-17
4169.88546 1.23946e-17
4171.35766 1.25676e-17
4172.81985 1.31108e-17
4174.29206 1.25829e-17
4175.76427 1.24259e-17
4177.23647 1.27079e-17
4178.69866 1.19939e-17
4180.17087 1.25701e-17
4181.64307 1.25848e-17
4183.11528 1.25865e-17
4184.58748 1.23010e-17
4186.04967 1.19780e-17
4187.52188 1.27896e-17
4188.99408 1.27431e-17
4190.46628 1.29729e-17
4191.92847 1.31749e-17
4193.40068 1.35861e-17
4194.87289 1.31628e-17
