# wavelength flux
3699.99874 1.05622e-17
3701.47226 1.20251e-17
3702.93577 1.00877e-17
3704.40930 4.04559e-18
3705.88282 1.04647e-18
3707.34633 7.25955e-18
3708.81986 9.10952e-18
3710.29338 1.22598e-17
3711.75689 1.22099e-17
3713.23042 9.89303e-18
3714.70394 1.56424e-17
3716.16745 1.79660e-17
3717.64098 1.73221e-17
3719.11450 1.66782e-17
3720.57801 1.60032e-17
3722.05154 1.53281e-17
3723.51504 1.46533e-17
3724.98857 1.39783e-17
3726.46210 1.33036e-17
3727.92560 1.26288e-17
3729.39913 1.19541e-17
3730.87266 1.12794e-17
3732.33616 1.06048e-17
3733.80969 9.93039e-18
3735.28322 9.25591e-18
3736.74672 8.58150e-18
3738.22025 7.90726e-18
3739.69378 7.23296e-18
3741.15728 6.55884e-18
3742.63081 5.88467e-18
3744.10434 5.21045e-18
3745.56784 4.53651e-18
3747.04137 3.86252e-18
3748.50487 3.18871e-18
3749.97840 2.51484e-18
3751.45193 1.84114e-18
3752.91543 1.16739e-18
3754.38896 4.93693e-19
3755.86249 -1.79937e-19
3757.32599 4.96544e-18
3758.79952 3.50190e-18
3760.27305 -4.18002e-18
3761.73655 -1.93314e-18
3763.21008 -1.31357e-18
3764.68361 5.63199e-18
3766.14711 6.76028e-18
3767.62064 6.31440e-18
3769.09417 9.92690e-18
3770.55767 7.89435e-18
3772.03120 4.99355e-18
3773.50473 4.76584e-18
3774.96823 2.61489e-18
3776.44176 -7.49287e-19
3777.90526 1.82644e-19
3779.37879 6.09570e-18
3780.85232 2.80206e-18
3782.31582 -1.59472e-18
3783.78935 3.58141e-18
3785.26288 7.32663e-18
3786.72638 5.74643e-18
3788.19991 5.45417e-18
3789.67344 4.73593e-18
3791.13694 1.62996e-18
3792.61047 -1.56630e-18
3794.08400 1.00606e-18
3795.54750 6.45042e-18
3797.02103 6.32271e-18
3798.49456 5.91757e-18
3799.95806 8.99731e-18
3801.43159 9.26170e-18
3802.89510 5.51501e-18
3804.36862 8.15261e-18
3805.84215 1.00454e-17
3807.30566 7.37150e-18
