# wavelength flux
3501.29013 1.02555e-17
3504.24503 1.25691e-17
3507.19994 1.30313e-17
3510.15485 1.28538e-17
3513.10975 1.50220e-17
3516.05457 1.43741e-17
3519.00947 1.08126e-17
3521.96438 1.18012e-17
3524.91928 1.34783e-17
3527.86411 1.16370e-17
3530.81901 8.41314e-18
3533.77391 7.86502e-18
3536.72882 9.78646e-18
3539.68372 1.25858e-17
3542.62855 1.14084e-17
3545.58345 1.05182e-17
3548.53836 1.07918e-17
3551.49326 9.54090e-18
3554.43808 8.89431e-18
3557.39298 1.04582e-17
3560.34789 1.20144e-17
3563.30279 1.16435e-17
3566.25770 1.07375e-17
3569.20252 1.10201e-17
3572.15742 9.63842e-18
3575.11233 9.24490e-18
3578.06723 1.14574e-17
3581.01205 1.29426e-17
3583.96696 1.28708e-17
3586.92186 1.24601e-17
3589.87677 1.09488e-17
3592.83167 9.69388e-18
3595.77649 1.21866e-17
3598.73140 1.25893e-17
3601.68630 1.10018e-17
3604.64121 1.27760e-17
3607.59611 1.23532e-17
3610.54093 1.12931e-17
3613.49584 1.07507e-17
3616.45074 1.03686e-17
3619.40565 1.19417e-17
3622.35047 1.27441e-17
3625.30537 1.25668e-17
3628.26028 1.17681e-17
3631.21519 1.12974e-17
3634.17009 1.23150e-17
3637.11491 1.19453e-17
3640.06981 1.17995e-17
3643.02472 1.12462e-17
3645.97962 1.14835e-17
3648.92445 1.22690e-17
3651.87935 1.05215e-17
3654.83426 9.48928e-18
3657.78916 1.00903e-17
3660.74406 1.21509e-17
3663.68888 1.29179e-17
3666.64379 1.22478e-17
3669.59869 1.17743e-17
3672.55360 1.15517e-17
3675.49842 1.24165e-17
3678.45332 1.27236e-17
3681.40823 1.20430e-17
3684.36313 1.15429e-17
3687.31804 1.11313e-17
3690.26286 1.16554e-17
3693.21776 1.30068e-17
3696.17267 1.31683e-17
3699.12757 1.26959e-17
3702.08248 1.23726e-17
3705.02730 1.21809e-17
3707.98220 1.35430e-17
3710.93711 1.43241e-17
3713.89201 1.38512e-17
3716.83684 1.32361e-17
3719.79174 1.28476e-17
3722.74664 1.32734e-17
3725.70155 1.34389e-17
3728.65645 1.30129e-17
3731.60127 1.25485e-17
3734.55618 1.26799e-17
3737.51109 1.25901e-17
3740.46599 1.26377e-17
3743.41081 1.26578e-17
3746.36571 1.26779e-17
3749.32062 1.26980e-17
3752.27553 1.27182e-17
3755.23043 1.27383e-17
3758.17525 1.27584e-17
3761.13015 1.27785e-17
3764.08506 1.27987e-17
3767.03996 1.28188e-17
3769.98478 1.28389e-17
3772.93969 1.28591e-17
3775.89460 1.28792e-17
3778.84950 1.28993e-17
3781.80440 1.31569e-17
3784.74922 1.35349e-17
3787.70413 1.39078e-17
3790.65903 1.32611e-17
3793.61394 1.32769e-17
3796.56884 1.39159e-17
3799.51366 1.29072e-17
3802.46857 1.23799e-17
3805.42347 1.23197e-17
3808.37838 1.26820e-17
3811.32320 1.28003e-17
3814.27810 1.30699e-17
3817.23301 1.32798e-17
3820.18791 1.28141e-17
3823.14282 1.38766e-17
3826.08764 1.44503e-17
3829.04254 1.38060e-17
3831.99745 1.36828e-17
3834.95235 1.34526e-17
3837.89718 1.33920e-17
3840.85208 1.34886e-17
3843.80698 1.35648e-17
3846.76189 1.36651e-17
3849.71679 1.35044e-17
3852.66161 1.34135e-17
3855.61652 1.41226e-17
3858.57143 1.47724e-17
3861.52633 1.40229e-17
3864.48123 1.34320e-17
3867.42605 1.40346e-17
3870.38096 1.43154e-17
3873.33587 1.52066e-17
3876.29077 1.56386e-17
3879.23559 1.45353e-17
3882.19049 1.46744e-17
3885.14540 1.50616e-17
3888.10030 1.49212e-17
3891.05521 1.49054e-17
3894.00003 1.52257e-17
3896.95493 1.54085e-17
3899.90984 1.57630e-17
3902.86474 1.52664e-17
3905.80956 1.45612e-17
3908.76447 1.56581e-17
3911.71937 1.61315e-17
3914.67428 1.55160e-17
3917.62918 1.57159e-17
3920.57400 1.53522e-17
3923.52891 1.57734e-17
3926.48381 1.58853e-17
3929.43872 1.52921e-17
3932.38354 1.49877e-17
3935.33844 1.45213e-17
3938.29335 1.48837e-17
3941.24825 1.57961e-17
3944.20316 1.66162e-17
3947.14798 1.60099e-17
3950.10288 1.51845e-17
3953.05779 1.54580e-17
3956.01269 1.57193e-17
3958.95752 1.58990e-17
3961.91242 1.56139e-17
3964.86732 1.51281e-17
3967.82223 1.57188e-17
3970.77713 1.65690e-17
3973.72195 1.61345e-17
3976.67686 1.55525e-17
3979.63177 1.61196e-17
3982.58667 1.69161e-17
3985.54157 1.69702e-17
3988.48639 1.57718e-17
3991.44130 1.52513e-17
3994.39621 1.56239e-17
3997.35111 1.58904e-17
4000.29593 1.62427e-17
4003.25083 1.67193e-17
4006.20574 1.68539e-17
4009.16064 1.64770e-17
4012.11555 1.62548e-17
4015.06037 1.67865e-17
4018.01527 1.71871e-17
4020.97018 1.65953e-17
4023.92508 1.62485e-17
4026.86990 1.58702e-17
4029.82481 1.56444e-17
4032.77971 1.65523e-17
4035.73462 1.63697e-17
4038.68952 1.56186e-17
4041.63434 1.59989e-17
4044.58925 1.58516e-17
4047.54415 1.53756e-17
4050.49906 1.59291e-17
4053.44388 1.65651e-17
4056.39878 1.68618e-17
4059.35369 1.72490e-17
4062.30859 1.73867e-17
4065.26350 1.78057e-17
4068.20832 1.76462e-17
4071.16322 1.69195e-17
4074.11813 1.63217e-17
4077.07303 1.67210e-17
4080.02794 1.72534e-17
4082.97276 1.69956e-17
4085.92766 1.70472e-17
4088.88257 1.70676e-17
4091.83747 1.65164e-17
4094.78229 1.65627e-17
4097.73720 1.73222e-17
4100.69211 1.76486e-17
4103.64701 1.72011e-17
4106.60191 1.64929e-17
4109.54673 1.66093e-17
4112.50164 1.75395e-17
4115.45655 1.77165e-17
4118.41145 1.71165e-17
4121.35627 1.70411e-17
