# wavelength flux
3351.37660 3.50857e-18
3354.33151 2.71153e-18
3357.28641 2.74125e-18
3360.23123 3.74005e-18
3363.18614 4.17120e-18
3366.14104 3.82814e-18
3369.09595 3.69946e-18
3372.04077 5.70653e-18
3374.99568 7.21430e-18
3377.95058 6.13896e-18
3380.90548 4.35549e-18
3383.86039 3.98257e-18
3386.80521 4.36871e-18
3389.76012 5.05809e-18
3392.71502 5.36139e-18
3395.66993 4.31560e-18
3398.62483 3.96008e-18
3401.56965 4.76970e-18
3404.52455 4.39787e-18
3407.47946 4.29187e-18
3410.43437 3.62348e-18
3413.38927 3.25707e-18
3416.33409 4.25110e-18
3419.28899 4.41764e-18
3422.24390 4.25198e-18
3425.19880 4.42713e-18
3428.14362 5.01908e-18
3431.09853 5.82414e-18
3434.05343 5.33825e-18
3437.00834 4.60432e-18
3439.96324 5.21169e-18
3442.90806 6.19707e-18
3445.86297 6.73081e-18
3448.81787 7.16125e-18
3451.77278 6.71359e-18
3454.72768 5.82604e-18
3457.67251 6.28731e-18
3460.62741 7.40406e-18
3463.58231 7.36983e-18
3466.53722 6.90610e-18
3469.49212 6.58809e-18
3472.43694 6.56799e-18
3475.39185 6.62036e-18
3478.34676 7.00530e-18
3481.30166 7.71361e-18
3484.25656 6.92514e-18
3487.20138 6.74415e-18
3490.15629 7.97602e-18
3493.11119 7.88175e-18
3496.06610 7.27639e-18
3499.01092 7.30185e-18
3501.96582 6.86550e-18
3504.92073 6.50701e-18
3507.87563 7.22062e-18
3510.83054 8.08797e-18
3513.77536 8.32939e-18
3516.73027 8.24175e-18
3519.68517 7.91949e-18
3522.64007 7.35190e-18
3525.59498 7.08150e-18
3528.53980 7.49833e-18
3531.49471 7.97216e-18
3534.44961 7.80903e-18
3537.40452 7.76100e-18
3540.35942 7.77695e-18
3543.30424 7.47671e-18
3546.25914 7.28268e-18
3549.21405 7.07577e-18
3552.16895 7.22226e-18
3555.11377 7.83134e-18
3558.06868 7.68600e-18
3561.02358 7.49151e-18
3563.97849 7.92378e-18
3566.93339 8.09184e-18
3569.87821 7.80639e-18
3572.83312 8.18469e-18
3575.78802 8.37505e-18
3578.74293 8.23033e-18
3581.69783 8.30040e-18
3584.64265 8.23551e-18
3587.59756 8.45746e-18
3590.55246 8.65285e-18
3593.50737 8.84185e-18
3596.46227 8.84402e-18
3599.40710 8.67744e-18
3602.36200 8.16704e-18
3605.31690 7.90107e-18
3608.27181 8.32068e-18
3611.21663 8.69406e-18
3614.17153 8.67912e-18
3617.12644 8.68531e-18
3620.08135 8.60424e-18
3623.03625 9.12911e-18
3625.98107 9.92914e-18
3628.93597 9.87567e-18
3631.89088 9.66079e-18
3634.84578 9.36698e-18
3637.80069 9.25750e-18
3640.74551 9.51001e-18
3643.70041 9.80561e-18
3646.65532 9.85885e-18
3649.61022 9.73917e-18
3652.56513 9.69226e-18
3655.50995 9.93058e-18
3658.46485 1.01518e-17
3661.41976 1.00893e-17
3664.37466 9.79979e-18
3667.32957 1.01626e-17
3670.27439 1.05628e-17
3673.22929 9.88920e-18
3676.18420 9.28662e-18
3679.13910 9.49920e-18
3682.08392 1.00260e-17
