# wavelength flux
3483.11419 1.11776e-17
3487.33202 1.10585e-17
3491.54986 9.16771e-18
3495.76769 1.61937e-17
3499.98552 1.81061e-17
3504.20335 1.61510e-17
3508.42118 1.68297e-17
3512.63902 1.57885e-17
3516.85685 2.23456e-17
3521.07468 2.46442e-17
3525.29251 2.24009e-17
3529.51034 2.03154e-17
3533.72818 1.52211e-17
3537.94601 1.29829e-17
3542.16384 1.49687e-17
3546.38167 1.25781e-17
3550.59950 1.34350e-17
3554.81734 1.43567e-17
3559.03517 1.40859e-17
3563.25300 1.84254e-17
3567.47083 1.43176e-17
3571.67848 1.29797e-17
3575.89631 1.37585e-17
3580.11414 1.26138e-17
3584.33197 1.33293e-17
3588.54980 1.38349e-17
3592.76764 1.62882e-17
3596.98547 1.55999e-17
3601.20330 1.34964e-17
3605.42113 1.27370e-17
3609.63896 1.60639e-17
3613.85680 1.65406e-17
3618.07463 1.57143e-17
3622.29246 1.71048e-17
3626.51029 1.59595e-17
3630.72812 1.27863e-17
3634.94596 9.98160e-18
3639.16379 1.43816e-17
3643.38162 1.36473e-17
3647.59945 1.42439e-17
3651.81728 1.37114e-17
3656.03512 1.46454e-17
3660.25295 1.76618e-17
3664.47078 2.06598e-17
3668.67842 2.02204e-17
3672.89626 1.88173e-17
3677.11409 1.56336e-17
3681.33192 1.41219e-17
3685.54975 1.48265e-17
3689.76758 1.41122e-17
3693.98542 1.41753e-17
3698.20325 1.45984e-17
3702.42108 1.59595e-17
3706.63891 1.49417e-17
3710.85674 1.35091e-17
3715.07458 1.40833e-17
3719.29241 1.47209e-17
3723.51024 1.40676e-17
3727.72807 1.45729e-17
3731.94590 1.54491e-17
3736.16374 1.55023e-17
3740.38157 1.36155e-17
3744.59940 1.27877e-17
3748.81723 1.30873e-17
3753.03506 1.41157e-17
3757.25290 1.43251e-17
3761.47073 1.39296e-17
3765.67837 1.44073e-17
3769.89620 1.33532e-17
3774.11404 1.44279e-17
3778.33187 1.42684e-17
3782.54970 1.41921e-17
3786.76753 1.41158e-17
3790.98536 1.40395e-17
3795.20320 1.39633e-17
3799.42103 1.38871e-17
3803.63886 1.38110e-17
3807.85669 1.37349e-17
3812.07452 1.36588e-17
3816.29236 1.35828e-17
3820.51019 1.35069e-17
3824.72802 1.36319e-17
3828.94585 1.32421e-17
3833.16368 1.33917e-17
3837.38152 1.33342e-17
3841.59935 1.37109e-17
3845.81718 1.34280e-17
3850.03501 1.33287e-17
3854.25284 1.29654e-17
3858.47068 1.30944e-17
3862.67832 1.27639e-17
3866.89615 1.31490e-17
3871.11398 1.36917e-17
3875.33182 1.37287e-17
3879.54965 1.33053e-17
3883.76748 1.33448e-17
3887.98531 1.36834e-17
3892.20314 1.34866e-17
3896.42098 1.38960e-17
3900.63881 1.42376e-17
3904.85664 1.38670e-17
3909.07447 1.38396e-17
3913.29230 1.39374e-17
3917.51014 1.34101e-17
3921.72797 1.37099e-17
3925.94580 1.35976e-17
3930.16363 1.36321e-17
3934.38146 1.37001e-17
3938.59930 1.36186e-17
3942.81713 1.38010e-17
3947.03496 1.35291e-17
3951.25279 1.43943e-17
3955.47062 1.46319e-17
3959.67827 1.43439e-17
3963.89610 1.45899e-17
3968.11393 1.41649e-17
3972.33176 1.42688e-17
3976.54960 1.44138e-17
3980.76743 1.43094e-17
3984.98526 1.44028e-17
3989.20309 1.48326e-17
3993.42092 1.52689e-17
3997.63876 1.51181e-17
4001.85659 1.45373e-17
4006.07442 1.46989e-17
4010.29225 1.46570e-17
4014.51008 1.48636e-17
4018.72792 1.49111e-17
4022.94575 1.51847e-17
4027.16358 1.52416e-17
4031.38141 1.50637e-17
4035.59924 1.52464e-17
4039.81708 1.58864e-17
4044.03491 1.55822e-17
4048.25274 1.52148e-17
4052.47057 1.53695e-17
4056.67822 1.53653e-17
4060.89605 1.59324e-17
4065.11388 1.60457e-17
4069.33171 1.55267e-17
4073.54954 1.52794e-17
4077.76738 1.56805e-17
4081.98521 1.57573e-17
4086.20304 1.52556e-17
4090.42087 1.49406e-17
4094.63870 1.52232e-17
4098.85654 1.54055e-17
4103.07437 1.48576e-17
4107.29220 1.45609e-17
4111.51003 1.48971e-17
4115.72786 1.52688e-17
4119.94570 1.50624e-17
4124.16353 1.45265e-17
4128.38136 1.45422e-17
4132.59919 1.47138e-17
4136.81702 1.48257e-17
4141.03486 1.45729e-17
4145.25269 1.43518e-17
4149.47052 1.42373e-17
4153.67816 1.46439e-17
4157.89600 1.48232e-17
4162.11383 1.47013e-17
4166.33166 1.46944e-17
4170.54949 1.46859e-17
4174.76732 1.51640e-17
4178.98516 1.51547e-17
4183.20299 1.48391e-17
4187.42082 1.49147e-17
4191.63865 1.47147e-17
4195.85648 1.47963e-17
4200.07432 1.46344e-17
4204.29215 1.42827e-17
4208.50998 1.40042e-17
4212.72781 1.41007e-17
4216.94564 1.43298e-17
4221.16348 1.42217e-17
4225.38131 1.43072e-17
4229.59914 1.41734e-17
4233.81697 1.38406e-17
4238.03480 1.35054e-17
4242.25264 1.35563e-17
4246.47047 1.38808e-17
4250.67811 1.36758e-17
4254.89594 1.37629e-17
4259.11378 1.34487e-17
4263.33161 1.36271e-17
4267.54944 1.35169e-17
4271.76727 1.34513e-17
4275.98510 1.33616e-17
4280.20294 1.33324e-17
4284.42077 1.31577e-17
4288.63860 1.29507e-17
4292.85643 1.27341e-17
4297.07426 1.28179e-17
4301.29210 1.28199e-17
4305.50993 1.27675e-17
4309.72776 1.28482e-17
4313.94559 1.27455e-17
4318.16342 1.24573e-17
4322.38126 1.23201e-17
4326.59909 1.23065e-17
4330.81692 1.23846e-17
4335.03475 1.28291e-17
4339.25258 1.28260e-17
4343.46023 1.24585e-17
4347.68825 1.23667e-17
4351.89589 1.25173e-17
