# wavelength flux
3719.99538 1.69319e-17
3721.50320 8.61539e-18
3723.00084 4.17892e-18
3724.49848 -4.08914e-18
3725.99611 2.07072e-18
3727.50394 6.89695e-18
3729.00157 3.61080e-18
3730.49921 1.16809e-17
3731.99684 1.65865e-17
3733.50467 1.35807e-17
3735.00230 2.30676e-17
3736.49994 1.77904e-17
3737.99758 4.71756e-18
3739.49521 2.42898e-18
3741.00304 2.24708e-17
3742.50067 1.92070e-17
3743.99831 7.09382e-18
3745.49594 5.14452e-18
3747.00377 1.37581e-17
3748.50140 1.60537e-17
3749.99904 -8.79374e-19
3751.49668 4.61958e-18
3753.00450 1.23765e-17
3754.50214 -3.64885e-18
3755.99977 3.28423e-18
3757.49741 1.20780e-17
3758.99504 7.75807e-18
3760.50287 9.71512e-18
3762.00050 1.66195e-17
3763.49814 3.71953e-18
3764.99578 8.58555e-18
3766.50360 1.18933e-17
3768.00124 -9.42741e-18
3769.49887 -3.45252e-18
3770.99651 8.88538e-18
3772.50433 2.14016e-17
3774.00197 3.00815e-17
3775.49960 1.12612e-17
3776.99724 -1.07977e-17
3778.49488 -9.99242e-18
3780.00270 -9.18711e-18
3781.50034 -8.13373e-18
3782.99797 -7.08031e-18
3784.49561 -6.02701e-18
3786.00343 -4.97403e-18
3787.50107 -3.92099e-18
3788.99870 -2.86809e-18
3790.49634 -1.81549e-18
3792.00416 -7.62850e-19
3793.50180 2.89493e-19
3794.99944 1.34188e-18
3796.49707 2.39414e-18
3798.00490 3.44610e-18
3799.50253 4.49811e-18
3801.00017 5.54999e-18
3802.49780 6.60157e-18
3803.99544 7.65320e-18
3805.50326 8.70453e-18
3807.00090 9.75591e-18
3808.49854 1.08072e-17
3809.99617 1.18581e-17
3811.50400 1.29091e-17
3813.00163 1.39600e-17
3814.49927 1.50106e-17
3815.99690 1.60613e-17
3817.50473 1.71116e-17
3819.00236 7.40571e-18
3820.50000 1.09554e-17
3821.99764 1.28549e-17
3823.49527 8.97149e-18
3825.00310 2.74182e-18
3826.50073 2.02636e-18
3827.99837 9.83894e-18
3829.49600 2.01431e-17
3831.00383 1.85995e-17
3832.50146 8.55792e-18
3833.99910 9.52943e-18
3835.49674 6.12564e-18
3837.00456 1.61814e-17
3838.50220 1.83159e-17
3839.99983 8.90327e-18
3841.49747 5.55591e-18
3842.99510 -1.69120e-19
3844.50293 1.01401e-18
3846.00056 1.64184e-17
3847.49820 2.92146e-17
3848.99584 1.21833e-17
3850.50366 5.69957e-18
3852.00130 6.58387e-18
3853.49893 -3.28285e-19
3854.99657 1.19273e-17
3856.50439 1.34159e-17
3858.00203 -1.18408e-19
3859.49966 2.17817e-17
3860.99730 2.15684e-17
3862.49494 1.59934e-17
3864.00276 1.44354e-17
3865.50040 1.78273e-17
3866.99803 -5.00396e-18
3868.49567 1.13519e-17
3870.00349 1.14255e-17
3871.50113 2.83654e-18
3872.99876 9.56564e-20
3874.49640 8.05534e-19
3876.00422 5.97970e-18
3877.50186 2.11901e-17
3878.99950 1.35848e-17
3880.49713 1.75977e-17
3881.99477 1.62001e-17
3883.50259 9.11773e-18
3885.00023 1.33796e-17
3886.49786 1.75233e-17
3887.99550 6.43027e-18
3889.50332 5.54375e-18
3891.00096 -2.41687e-18
3892.49860 1.66901e-18
3893.99623 3.81024e-18
3895.50406 1.54180e-17
3897.00169 1.96446e-17
3898.49933 5.61897e-18
3899.99696 9.84433e-18
3901.50479 1.54444e-17
3903.00242 6.12079e-18
3904.50006 -4.25719e-18
3905.99770 -3.06388e-18
3907.49533 6.36105e-18
3909.00316 1.08763e-17
3910.50079 1.19480e-17
3911.99843 7.41535e-18
3913.49606 -3.29131e-18
3915.00389 -7.25206e-19
3916.50152 1.09261e-17
3917.99916 1.99636e-17
3919.49680 1.47007e-17
3921.00462 3.64194e-18
3922.50226 1.16054e-17
3923.99989 2.30767e-17
3925.49753 2.30746e-17
3926.99516 1.20811e-17
3928.50299 1.44625e-17
3930.00062 1.98074e-17
3931.49826 1.93336e-17
3932.99590 2.70665e-17
3934.50372 1.83988e-17
3936.00136 1.56139e-17
3937.49899 2.24696e-17
3938.99663 1.10115e-17
3940.50445 3.58586e-18
3942.00209 1.91725e-17
3943.49972 2.55690e-17
3944.99736 4.97305e-18
3946.49500 -1.06809e-18
3948.00282 5.49426e-18
3949.50046 2.06915e-17
3950.99809 1.91174e-17
3952.49573 4.03144e-18
3954.00355 8.62102e-18
3955.50119 9.03896e-18
3956.99882 2.12653e-17
3958.49646 2.18241e-17
3960.00428 1.84920e-17
3961.50192 1.28154e-17
3962.99956 1.44727e-17
3964.49719 8.29347e-18
3965.99483 1.32344e-17
3967.50265 9.25186e-18
3969.00029 1.78404e-17
3970.49792 2.91211e-17
3971.99556 2.22853e-17
3973.50338 2.12435e-17
3975.00102 2.99168e-17
3976.49866 2.86814e-17
3977.99629 2.05463e-17
3979.50412 1.69598e-17
3981.00175 1.73084e-17
3982.49939 1.94846e-17
3983.99702 1.72001e-17
3985.50485 1.01933e-17
3987.00248 1.09621e-17
3988.50012 1.33123e-17
3989.99776 1.56787e-17
3991.49539 1.85822e-17
3993.00322 1.90935e-17
3994.50085 2.37921e-17
3995.99849 1.96771e-17
3997.49612 1.49104e-17
3999.00395 1.26939e-17
4000.50158 9.70850e-18
4001.99922 1.71968e-17
4003.49686 1.05120e-17
4005.00468 -5.03616e-18
4006.50232 6.11075e-18
4007.99995 1.63563e-17
4009.49759 9.50074e-18
4010.99522 1.21162e-17
4012.50305 1.34936e-17
4014.00068 1.50010e-17
4015.49832 1.95402e-17
4016.99596 2.03493e-17
4018.50378 7.68302e-18
4020.00142 5.68107e-18
4021.49905 2.02077e-17
4022.99669 1.92157e-17
4024.50451 1.01238e-17
4026.00215 1.56995e-17
4027.49978 1.35496e-17
4028.99742 1.48926e-17
4030.49506 1.97873e-17
4032.00288 1.50079e-17
4033.50052 9.08123e-18
4034.99815 1.32331e-17
4036.49579 6.46594e-18
4038.00361 1.28261e-17
4039.50125 2.20285e-17
4040.99888 7.78105e-18
4042.49652 5.61711e-18
4044.00434 1.55685e-17
4045.50198 1.52277e-17
4046.99962 8.19241e-18
4048.49725 7.99086e-18
4049.99489 1.31436e-17
4051.50271 1.59183e-17
4053.00035 1.81832e-17
4054.49798 2.07801e-17
4055.99562 1.84168e-17
4057.50344 1.34840e-17
4059.00108 4.57151e-18
4060.49872 5.50379e-19
4061.99635 1.32925e-17
